filename,target_npz,runtime,best_loss,n_restarts_run,best_popsize,loss_name,gt_loss,nmse,gt_available,mu,D_mu,T0_mu,E,rho,h,Ly,T0,op_x,op_y,gt_E,gt_rho,gt_h,gt_Ly,gt_T0,gt_op_x,gt_op_y
random_IR_0001.npz,random_IR_0001.npz,21.35460686683655,1.187988254969241e-05,1,42,L1_STFT,1.40260717671481e-05,5.27904792312481e-06,True,49.51421806345179,13.78047125770234,12.31888946705171,157658075211.2675,13559.79610926279,0.003651545912967547,2.691559052321738,609.9601793711577,0.8264880202142091,0.7244177304237844,131819184298.8524,12673.80384034166,0.0038607574654896,2.691559161389242,602.7673484378831,0.8264881154026615,0.7244177335187193
random_IR_0002.npz,random_IR_0002.npz,40.45385670661926,2.10558355320245e-05,1,57,L1_STFT,2.06587774300715e-05,0.0288314048186499,True,40.91642358509416,17.89719545627236,4.561756361025332,75059275808.18431,8545.826396072658,0.004787883779607063,3.686141742486565,186.6507555597102,0.7883417876416365,0.9635423903868118,147920922722.1944,17314.43071595409,0.0048546510420041,3.686141702268032,383.4476844105894,0.7883418349360268,0.9635423527634041
random_IR_0003.npz,random_IR_0003.npz,170.6811492443085,4.059072307427414e-05,22,58,L1_STFT,4.550412995740771e-05,0.0007338348699251819,True,31.26793653847901,1.66315282253767,0.8295313969302971,119189446059.1714,18398.56092036609,0.001699477294654459,1.306004662725871,25.93773507589237,0.936305940355743,0.9895230405779931,186057982895.3271,18083.25309630123,0.0013485171988061,1.306004568773872,20.22819525635132,0.9363059526409414,0.9895229876940544
random_IR_0004.npz,random_IR_0004.npz,19.8654465675354,2.21361915464513e-05,1,37,L1_STFT,2.429556116112508e-05,9.918104169260337e-06,True,14.04376044381292,25.51221941508407,58.93631044994379,150435791443.8328,4693.236204999528,0.002992340430011307,3.417559878343063,827.6874254011988,0.5802431959832055,0.9728878242367887,164907916263.1111,4653.559206335945,0.0028459174490117,3.417559836228498,780.5313709946926,0.5802431108304328,0.972887769354296
random_IR_0005.npz,random_IR_0005.npz,37.8592517375946,9.167681128019467e-06,1,58,L1_STFT,8.549352969566826e-06,0.00686435347378285,True,66.20802403818413,5.05994513588852,5.858497663261296,90728434663.12547,19117.10447969219,0.003463287241460437,2.613359959526231,387.8795541168494,0.7885327853532806,0.5192069425288232,136791000829.1319,16985.59336136327,0.002658647759962,2.613360133075208,264.5629665485059,0.7885326349456379,0.519207002213814
random_IR_0006.npz,random_IR_0006.npz,31.29741954803467,1.102921305573545e-05,1,60,L1_STFT,1.206863544211956e-05,0.01199531420405741,True,97.38794147649782,8.976843883502875,8.868905924592415,90582280832.02547,20413.89185577103,0.004770670000829171,2.891142949304291,863.7244911447709,0.6861589930243928,0.7241456251607824,171318505762.8329,20172.46387607493,0.0034483828908896,2.891142941520044,616.9378275347882,0.6861588712811552,0.7241456573616774
random_IR_0007.npz,random_IR_0007.npz,194.3375067710876,9.204324669553898e-06,5,30,L1_STFT,1.169749702967238e-05,0.001297454603886264,True,27.81200263284973,0.9028050214483472,35.73129781583182,78392355173.64532,18141.11247037962,0.001533092453853671,3.123130347033825,993.7589489290525,0.5731738968249694,0.664559869260407,99188531844.29764,15037.9919488214,0.001240901886517,3.123130468189068,666.7700477785132,0.5731738858508781,0.6645598919528501
random_IR_0008.npz,random_IR_0008.npz,35.21789264678955,6.765142643416766e-06,1,58,L1_STFT,6.828887762821978e-06,0.0003722868993275914,True,64.03198026025244,3.76179852079419,6.362705790200475,98184361455.42407,21188.29662140985,0.003022044735561749,2.154761191016453,407.4166515599107,0.6123497724137836,0.5890416792522112,82612856044.4483,21011.42815551345,0.0032807870816715,2.154761235733606,438.6071274471857,0.612349610486469,0.5890416637636482
random_IR_0009.npz,random_IR_0009.npz,32.74139142036438,9.251032679458149e-06,1,30,L1_STFT,1.048903777700616e-05,3.544338579273542e-05,True,15.65543498780093,4.683009536487499,32.97175979283635,168992865950.8707,9229.404808640513,0.001696256184704826,2.994014144977017,516.1872418701381,0.5640839398232121,0.8316014893580108,91322346297.76453,7025.201129630132,0.0020131664101591,2.994014143849656,466.3161097485777,0.5640838191705095,0.831601498837984
random_IR_0010.npz,random_IR_0010.npz,61.5235698223114,1.339252230536658e-05,2,49,L1_STFT,1.332376086793374e-05,7.962602430806047e-06,True,31.19527926891258,1.299656259072749,11.55458925470033,131320910316.098,20598.87671935228,0.001514416523479903,1.500730489653952,360.4486386379534,0.9205929705430971,0.5570882648735964,81856495196.33838,17864.67272114118,0.0017863294467202,1.50073055891098,368.7314834092575,0.920593004674414,0.5570882198680419
random_IR_0011.npz,random_IR_0011.npz,93.31407761573792,1.157697988674045e-05,3,59,L1_STFT,1.169082770502428e-05,6.335389460966187e-06,True,40.31217303770445,9.585647182863838,24.6206215485713,195036599733.6579,14324.23787536901,0.002814263026657952,3.931731910759778,992.5107561618411,0.5292020511791151,0.6485754323328694,180107327647.9402,13801.09577120686,0.0028746048065908,3.931732448538848,976.7613205794552,0.5292020182046171,0.6485754116624407
random_IR_0012.npz,random_IR_0012.npz,104.3760004043579,9.047214916790836e-06,12,60,L1_STFT,8.641662134323269e-06,0.03208028060103697,True,63.87277039482827,6.57804913442643,6.464421236076391,126620294717.5338,19111.5127205243,0.003342109613658881,1.448569996640029,412.9004933473593,0.5414322536462327,0.8493113301058923,130382238160.7445,8408.083772606749,0.0021845607900885,1.44857002751819,118.7365316770545,0.5414322732109044,0.8493113384913098
random_IR_0013.npz,random_IR_0013.npz,77.58495688438416,3.27567286149133e-05,7,33,L1_STFT,3.3087042538682e-05,0.0009538126361728301,True,16.49685144125907,13.96567530170016,60.48842774794058,75954806669.98552,5086.054101153584,0.003243546197732613,2.743144215752514,997.8686064731088,0.9653550391698485,0.6660987909686771,155119813820.0954,4196.081602258703,0.0020615579637577,2.743144217199068,523.252820986165,0.965355136812345,0.6660987867011486
