index,filename,mode,source,mu_source,nmse_orig_csv,nmse_refined_csv,nmse_recomputed,sqerr_mu,sqerr_D_mu,sqerr_T0_mu,sqerr_Ly,sqerr_op_x,sqerr_op_y,pct_mu,pct_D_mu,pct_T0_mu,pct_Ly,pct_op_x,pct_op_y
0,random_IR_0001.npz,full_or_composite,raw7_vs_gt_raw7,,,,1.5112990515695294e-15,1.0324356263178173e-17,1.2668357213952147e-16,1.1068271465387367e-15,1.2524961146801604e-16,7.6985975832799e-15,1.1203972782360474e-19,0.11385741571636689,1.397071523865035,12.206134245780847,1.381257747961272,84.90044348805614,0.0012355786203404298
1,random_IR_0002.npz,full_or_composite,raw7_vs_gt_raw7,,,,4.076293379188199e-13,3.286548698231925e-13,3.250680147259339e-16,2.069912187877543e-12,1.879677781118092e-18,1.6900006982166065e-14,2.998201513751062e-14,13.43765194057437,0.013290996848002135,84.63212348934552,7.685404386882939e-05,0.690987514476192,1.2258692047120512
2,random_IR_0003.npz,full_or_composite,raw7_vs_gt_raw7,,,,1.8968695434400548e-13,1.111815831572795e-12,5.38839842360594e-19,2.1181373952454842e-14,5.845296474312383e-16,4.44780777853487e-15,9.164427297473657e-17,97.68865720697454,4.7344658310325393e-05,1.8610815932410323,0.05135915026002689,0.3908024666145972,0.008052238251497933
3,random_IR_0004.npz,full_or_composite,raw7_vs_gt_raw7,,,,1.5801984367701843e-13,3.988919358297877e-14,8.907489307494992e-16,8.918182026981964e-13,3.889920216070034e-16,6.944439088497032e-18,1.512498038949043e-14,4.20719244861735,0.0939490583400112,94.06183657551799,0.04102776087646267,0.0007324437790959746,1.595261712869096
4,random_IR_0005.npz,full_or_composite,raw7_vs_gt_raw7,,,,4.670523943034391e-14,2.718146266381327e-13,2.709918754003488e-19,3.593890032307805e-15,2.276120679807291e-15,3.882927028987918e-16,2.1582355370415122e-15,96.99647903654592,9.670288198411711e-05,1.2824721152422756,0.812228887511251,0.13856143608823257,0.7701618217303364
5,random_IR_0006.npz,full_or_composite,raw7_vs_gt_raw7,,,,4.6473853585340475e-14,2.6652811177276354e-13,1.86138396715502e-16,1.1085137903160046e-14,1.515343948584712e-16,2.390468528960145e-16,6.53152191649251e-16,95.58353468699516,0.0667538061208596,3.975403030582304,0.05434396015823064,0.08572807950211188,0.23423643664132565
6,random_IR_0007.npz,full_or_composite,raw7_vs_gt_raw7,,,,7.145087600778381e-15,1.3490149365545827e-14,8.408317927542625e-20,2.7489749886021703e-16,3.624317878483953e-15,3.636699803127772e-15,2.184437697547324e-14,31.467189112503487,0.000196132839729556,0.6412272650799268,8.454101803895593,8.482983942542548,50.95430174313871
7,random_IR_0008.npz,full_or_composite,raw7_vs_gt_raw7,,,,1.652101996582193e-14,6.581771110708989e-14,1.5826788090442027e-17,1.710889472943492e-16,8.430909228211558e-17,1.4374898401398702e-14,1.8662285458776087e-14,66.3979496456142,0.015966314552797886,0.17259724041281108,0.0850523479144862,14.50162523372947,18.826809217776226
8,random_IR_0009.npz,full_or_composite,raw7_vs_gt_raw7,,,,1.2964302869176678e-15,1.148706348275985e-19,1.840262361274853e-17,1.7129689127683967e-16,2.924406033481138e-16,1.0757884780038974e-17,7.28556884785344e-15,0.0014767555184257734,0.2365807067613556,2.20216097753711,3.7595620103801455,0.1383013660484645,93.66191818375451
9,random_IR_0010.npz,full_or_composite,raw7_vs_gt_raw7,,,,3.583860455071089e-15,1.822587631785949e-14,8.009636811572901e-19,1.6303885410210778e-15,3.6146826703420723e-17,2.6973235269651338e-17,1.5829768458917324e-15,84.75904938425757,0.0037248645289929515,7.582087162992594,0.1681000472189782,0.12543845576485718,7.36160008523701
