filename,target_npz,runtime,best_loss,optimizer,loss_name,budget,num_particles,max_iter,realized_budget,w,c1,c2,seed,optuna_trial,gt_loss,nmse,gt_available,mu,D_mu,T0_mu,E,rho,h,Ly,T0,op_x,op_y,gt_E,gt_rho,gt_h,gt_Ly,gt_T0,gt_op_x,gt_op_y
random_IR_0001.npz,random_IR_0001.npz,176.397,0.00109687,PSO+Optuna,L1_STFT,1000,44,21,968,0.20506520156428173,1.5661655661202813,1.5072666603242846,91047,33,1.403e-05,1.716e-05,True,49.98253098,13.78093418,12.21358482,159520473088.0,13698.52832031,0.00364875,2.69155216,610.46588135,0.82648313,0.72444463,131819184298.85242,12673.80384034,0.00386076,2.69155916,602.76734844,0.82648812,0.72441773
random_IR_0002.npz,random_IR_0002.npz,205.178,0.00661317,PSO+Optuna,L1_STFT,1000,44,21,968,0.15780088988347202,1.1493879228130788,1.2152071277675511,98999,18,2.066e-05,0.0053809,True,65.42492943,17.89498449,6.43226766,219999993856.0,16724.0625,0.00391202,3.68607759,420.83065796,0.78830802,0.96352792,147920922722.1944,17314.43071595,0.00485465,3.6861417,383.44768441,0.78834183,0.96354235
random_IR_0003.npz,random_IR_0003.npz,261.894,0.68352252,PSO+Optuna,L1_STFT,1000,50,19,1000,0.3472112189657439,2.4311370204856946,1.4587779686902622,41708,26,4.55e-05,0.00282586,True,17.7795241,1.64114547,39.2712526,189601153024.0,14806.77734375,0.00120077,1.30562639,698.22418213,0.90465844,0.98902637,186057982895.32712,18083.2530963,0.00134852,1.30600457,20.22819526,0.93630595,0.98952299
random_IR_0004.npz,random_IR_0004.npz,171.065,0.27632079,PSO+Optuna,L1_STFT,1000,55,17,990,0.6361964616468548,2.532586986693953,0.550905481397223,43742,16,2.43e-05,0.00049345,True,17.1367111,25.63389331,47.1807183,116124483584.0,4908.36914062,0.00349132,3.42151213,808.52233887,0.5680452,0.97811854,164907916263.11115,4653.55920634,0.00284592,3.41755984,780.53137099,0.58024311,0.97288777
random_IR_0005.npz,random_IR_0005.npz,255.877,0.02083859,PSO+Optuna,L1_STFT,1000,41,23,984,0.3033038092995795,1.7985244508827631,1.0653136002990424,69397,12,8.55e-06,0.01382988,True,15.28349478,5.05394859,7.33556688,196464738304.0,9310.69726562,0.0016415,2.61346102,112.11309814,0.78805959,0.51911926,136791000829.13193,16985.59336136,0.00265865,2.61336013,264.56296655,0.78853263,0.519207
random_IR_0006.npz,random_IR_0006.npz,209.235,0.02074283,PSO+Optuna,L1_STFT,1000,35,27,980,0.45002925762738444,1.2653496482521511,1.3375727298747224,17062,35,1.207e-05,0.01427276,True,39.21585349,8.97870347,6.51718599,100479238144.0,11522.44140625,0.00340343,2.8913722,255.57701111,0.68632829,0.7241767,171318505762.83295,20172.46387607,0.00344838,2.89114294,616.93782753,0.68615887,0.72414566
random_IR_0007.npz,random_IR_0007.npz,478.944,0.03594106,PSO+Optuna,L1_STFT,1000,46,20,966,0.5377933188451793,1.3524838033138664,0.8155443414789484,12004,20,1.17e-05,0.00061087,True,24.93297298,0.90059915,36.14731671,127874236416.0,19870.81640625,0.00125475,3.1204381,901.2600708,0.57438183,0.66431844,99188531844.29764,15037.99194882,0.0012409,3.12313047,666.77004778,0.57317389,0.66455989
random_IR_0008.npz,random_IR_0008.npz,265.1,0.0203055,PSO+Optuna,L1_STFT,1000,59,15,944,0.2136473809161876,2.4928929917076204,1.1147861561401373,97518,22,6.83e-06,0.02800157,True,26.42500918,3.76253193,6.30712313,164559323136.0,13949.97265625,0.00189427,2.15484595,166.66578674,0.61529458,0.58849609,82612856044.4483,21011.42815551,0.00328079,2.15476124,438.60712745,0.61234961,0.58904166
random_IR_0009.npz,random_IR_0009.npz,314.419,0.00866782,PSO+Optuna,L1_STFT,1000,54,17,972,0.1901669797763174,1.6396229758362157,1.662588914452884,39688,33,1.049e-05,0.00039616,True,9.08714448,4.68478808,33.32495763,171309268992.0,6450.56494141,0.00140874,2.99410343,302.82870483,0.5639925,0.83180928,91322346297.76453,7025.20112963,0.00201317,2.99401414,466.31610975,0.56408382,0.8316015
random_IR_0010.npz,random_IR_0010.npz,253.519,0.05097282,PSO+Optuna,L1_STFT,1000,54,17,972,0.20992812960959234,0.9114028092313842,2.185136441988686,46403,22,1.332e-05,0.00580722,True,12.55342833,1.30389163,11.49760301,184143462400.0,12553.42773438,0.001,1.50226235,144.33433533,0.91933954,0.55681181,81856495196.33838,17864.67272114,0.00178633,1.50073056,368.73148341,0.920593,0.55708822
