filename,target_npz,runtime,best_loss,optimizer,loss_name,num_particles,max_iter,w,c1,c2,gt_loss,nmse,gt_available,mu,D_mu,T0_mu,E,rho,h,Ly,T0,op_x,op_y,gt_E,gt_rho,gt_h,gt_Ly,gt_T0,gt_op_x,gt_op_y
random_IR_0001.npz,random_IR_0001.npz,0.232,0.54001474,PSO,L1_STFT,10,5,0.2,2.0,1.0,1.403e-05,0.02653253,True,34.46395668,29.11905742,10.27640105,133769789874.36133,7856.92897058,0.00438644,3.41029484,354.16544045,0.69785033,0.75358616,131819184298.85242,12673.80384034,0.00386076,2.69155916,602.76734844,0.82648812,0.72441773
random_IR_0002.npz,random_IR_0002.npz,0.299,0.7236762,PSO,L1_STFT,10,5,0.2,2.0,1.0,2.066e-05,0.08946838,True,24.87356464,40.25298105,35.28667902,158503899295.355,6005.12168518,0.00414206,3.92368609,877.70549142,0.78503249,0.75192015,147920922722.1944,17314.43071595,0.00485465,3.6861417,383.44768441,0.78834183,0.96354235
random_IR_0003.npz,random_IR_0003.npz,0.395,1.11047363,PSO,L1_STFT,10,5,0.2,2.0,1.0,4.55e-05,0.16246057,True,50.1860149,8.87291075,8.89025324,118392638870.83728,14402.03391111,0.00348465,4.0,446.16638155,0.96556173,0.88595291,186057982895.32712,18083.2530963,0.00134852,1.30600457,20.22819526,0.93630595,0.98952299
random_IR_0004.npz,random_IR_0004.npz,0.196,0.75046015,PSO,L1_STFT,10,5,0.2,2.0,1.0,2.43e-05,0.02118036,True,16.86397391,23.81530614,30.94975127,80524563356.5783,4405.00606014,0.00382837,2.52935468,521.93579791,0.65958761,0.95633637,164907916263.11115,4653.55920634,0.00284592,3.41755984,780.53137099,0.58024311,0.97288777
random_IR_0005.npz,random_IR_0005.npz,0.374,0.43448052,PSO,L1_STFT,10,5,0.2,2.0,1.0,8.55e-06,0.01801788,True,42.28666946,4.58804863,9.57378945,177704769163.80347,18327.72262809,0.00230725,2.43455751,404.84366992,0.69819223,0.64834816,136791000829.13193,16985.59336136,0.00265865,2.61336013,264.56296655,0.78853263,0.519207
random_IR_0006.npz,random_IR_0006.npz,0.313,0.42509937,PSO,L1_STFT,10,5,0.2,2.0,1.0,1.207e-05,0.02647871,True,31.66711435,6.24546268,26.28264719,145001388737.11877,12743.55704476,0.00248495,2.74838721,832.29559392,0.75660233,0.71541817,171318505762.83295,20172.46387607,0.00344838,2.89114294,616.93782753,0.68615887,0.72414566
random_IR_0007.npz,random_IR_0007.npz,0.404,0.43854946,PSO,L1_STFT,10,5,0.2,2.0,1.0,1.17e-05,0.04135542,True,28.04194756,2.94637465,1.91706433,126529453566.70023,14425.22166151,0.00194395,2.15949982,53.75821747,0.71606262,0.75963261,99188531844.29764,15037.99194882,0.0012409,3.12313047,666.77004778,0.57317389,0.66455989
random_IR_0008.npz,random_IR_0008.npz,0.451,0.42369485,PSO,L1_STFT,10,5,0.2,2.0,1.0,6.83e-06,0.01652085,True,65.26219094,5.12242225,8.13709333,104678660808.23438,19778.09777842,0.00329972,2.96404016,531.04453828,0.54693243,0.61154175,82612856044.4483,21011.42815551,0.00328079,2.15476124,438.60712745,0.61234961,0.58904166
random_IR_0009.npz,random_IR_0009.npz,0.521,0.46865201,PSO,L1_STFT,10,5,0.2,2.0,1.0,1.049e-05,0.06591291,True,45.60964228,2.68980763,1.74753125,112898799602.50128,19798.98703147,0.00230364,3.32696685,79.704275,0.81468564,0.75755309,91322346297.76453,7025.20112963,0.00201317,2.99401414,466.31610975,0.56408382,0.8316015
random_IR_0010.npz,random_IR_0010.npz,0.233,0.59077173,PSO,L1_STFT,10,5,0.2,2.0,1.0,1.332e-05,0.15018967,True,19.17372998,9.11693724,25.72956629,220000000000.0,9238.71285329,0.00207537,1.85864605,493.33175649,0.63917433,0.91658721,81856495196.33838,17864.67272114,0.00178633,1.50073056,368.73148341,0.920593,0.55708822
