filename,target_npz,runtime,best_loss,optimizer,loss_name,num_particles,max_iter,w,c1,c2,gt_loss,nmse,gt_available,mu,D_mu,T0_mu,E,rho,h,Ly,T0,op_x,op_y,gt_E,gt_rho,gt_h,gt_Ly,gt_T0,gt_op_x,gt_op_y
random_IR_0001.npz,random_IR_0001.npz,0.373,1.66237545,PSO,MSS,10,5,0.2,2.0,1.0,0.77671623,0.04510145,True,62.46476939,8.06354229,5.16039287,86206392638.36026,15477.84362154,0.00403575,3.93082087,322.34275078,0.70037557,0.75388359,131819184298.85242,12673.80384034,0.00386076,2.69155916,602.76734844,0.82648812,0.72441773
random_IR_0002.npz,random_IR_0002.npz,0.393,2.04085708,PSO,MSS,10,5,0.2,2.0,1.0,1.09980261,0.12712167,True,22.71764538,7.32633204,37.42510572,112785612600.91162,8905.26959485,0.00255103,3.85565475,850.2102803,0.70115647,0.66597911,147920922722.1944,17314.43071595,0.00485465,3.6861417,383.44768441,0.78834183,0.96354235
random_IR_0003.npz,random_IR_0003.npz,0.417,2.40815377,PSO,MSS,10,5,0.2,2.0,1.0,1.40233612,0.15718221,True,56.05802316,8.26133941,7.08084242,121481099857.49301,16015.00560722,0.00350034,3.97649388,396.93802845,0.93143395,1.0,186057982895.32712,18083.2530963,0.00134852,1.30600457,20.22819526,0.93630595,0.98952299
random_IR_0004.npz,random_IR_0004.npz,0.254,1.99372292,PSO,MSS,10,5,0.2,2.0,1.0,0.95469129,0.13613557,True,46.40182548,21.11423836,17.96246482,167864882241.82068,11501.84065776,0.0040343,3.09871763,833.49115752,0.92709396,0.75870271,164907916263.11115,4653.55920634,0.00284592,3.41755984,780.53137099,0.58024311,0.97288777
random_IR_0005.npz,random_IR_0005.npz,0.332,1.68755853,PSO,MSS,10,5,0.2,2.0,1.0,0.74725163,0.15343676,True,38.19103102,2.33629972,10.87286364,102274029863.51099,17837.5697752,0.00214104,1.31873478,415.24587241,0.56699776,0.86984886,136791000829.13193,16985.59336136,0.00265865,2.61336013,264.56296655,0.78853263,0.519207
random_IR_0006.npz,random_IR_0006.npz,0.445,1.62862062,PSO,MSS,10,5,0.2,2.0,1.0,0.73440981,0.0229585,True,39.14110175,5.39142278,23.53991431,121414639379.85416,14528.71077139,0.00269405,3.17250388,921.37818126,0.76392446,0.78521909,171318505762.83295,20172.46387607,0.00344838,2.89114294,616.93782753,0.68615887,0.72414566
random_IR_0007.npz,random_IR_0007.npz,0.424,1.42369652,PSO,MSS,10,5,0.2,2.0,1.0,0.72631347,0.0392251,True,19.42397653,3.05598632,4.20612314,144822249670.9704,11669.9559503,0.00166444,2.45875978,81.69963709,0.74894191,0.77208812,99188531844.29764,15037.99194882,0.0012409,3.12313047,666.77004778,0.57317389,0.66455989
random_IR_0008.npz,random_IR_0008.npz,0.425,1.4066782,PSO,MSS,10,5,0.2,2.0,1.0,0.6011613,0.02331764,True,73.72162771,4.94386355,5.98733507,97921746153.83507,21230.0,0.00347252,2.78410829,441.39608686,0.74508737,0.52466588,82612856044.4483,21011.42815551,0.00328079,2.15476124,438.60712745,0.61234961,0.58904166
random_IR_0009.npz,random_IR_0009.npz,0.481,1.70181727,PSO,MSS,10,5,0.2,2.0,1.0,0.67430782,0.10580697,True,16.85364941,0.77694143,14.0747484,147310858325.7566,16853.64941409,0.001,1.1,237.21087515,0.72901175,0.68311418,91322346297.76453,7025.20112963,0.00201317,2.99401414,466.31610975,0.56408382,0.8316015
random_IR_0010.npz,random_IR_0010.npz,0.377,1.59821975,PSO,MSS,10,5,0.2,2.0,1.0,0.81727743,0.10155642,True,14.03083576,1.34521399,26.48275793,145600061659.8156,12372.61733499,0.00113402,1.66749293,371.57522682,0.60518004,0.75348248,81856495196.33838,17864.67272114,0.00178633,1.50073056,368.73148341,0.920593,0.55708822
random_IR_0011.npz,random_IR_0011.npz,0.255,1.56036854,PSO,MSS,10,5,0.2,2.0,1.0,0.72122926,0.11606169,True,78.13498993,12.21007332,0.76632416,106575396665.53357,16794.1912585,0.0046525,2.79499787,59.87673059,0.77909455,0.8329582,180107327647.94016,13801.09577121,0.0028746,3.93173245,976.76132058,0.52920202,0.64857541
random_IR_0012.npz,random_IR_0012.npz,0.289,1.5358057,PSO,MSS,10,5,0.2,2.0,1.0,0.70928609,0.12342661,True,84.05041426,11.94397641,3.81886514,175181996840.07925,20961.51057302,0.00400975,1.92899444,320.97719682,0.81196371,0.80976458,130382238160.7445,8408.08377261,0.00218456,1.44857003,118.73653168,0.54143227,0.84931134
random_IR_0013.npz,random_IR_0013.npz,0.359,1.87693918,PSO,MSS,10,5,0.2,2.0,1.0,1.19360256,0.07913154,True,32.71428471,14.87976217,10.12621213,167047720993.78552,10221.68045899,0.00320048,3.74750081,331.27178651,0.7198538,0.75776361,155119813820.09543,4196.08160226,0.00206156,2.74314422,523.25282099,0.96535514,0.66609879
random_IR_0014.npz,random_IR_0014.npz,0.344,1.60997081,PSO,MSS,10,5,0.2,2.0,1.0,0.76621151,0.0630267,True,49.85261932,5.39674757,15.30125726,67000000000.0,13997.65804193,0.0035615,2.5205654,762.80775325,0.70626382,0.7202192,95028278387.08888,7870.83454741,0.00152719,3.0354901,716.33004085,0.79739134,0.5198527
random_IR_0015.npz,random_IR_0015.npz,0.257,2.20349479,PSO,MSS,10,5,0.2,2.0,1.0,1.39956319,0.11819893,True,36.54345001,3.6328133,17.6018157,139625978370.85287,16585.55109949,0.00220333,1.29444293,643.23107228,0.92025482,0.66869892,179484685384.75702,7506.14989601,0.00101878,3.50392608,677.81975863,0.98147239,0.63188904
random_IR_0016.npz,random_IR_0016.npz,0.234,2.04723835,PSO,MSS,10,5,0.2,2.0,1.0,0.89750254,0.05701776,True,9.10520871,89.85967875,74.33284791,174967100306.1854,2430.0,0.003747,2.02319795,676.81609435,0.72689094,0.72655107,212770598762.0987,6623.93469364,0.00336817,2.77085627,572.25618327,0.72909144,0.92474025
random_IR_0017.npz,random_IR_0017.npz,0.322,1.73454702,PSO,MSS,10,5,0.2,2.0,1.0,0.88513184,0.07626205,True,61.79903637,16.68678974,7.28289259,106913619421.66545,12956.57979863,0.0047697,3.66541914,450.07574428,0.61121093,0.76812577,201808789158.0077,9884.30792792,0.00218975,3.1284899,813.79968172,0.79482371,0.94205033
random_IR_0018.npz,random_IR_0018.npz,0.361,1.51418161,PSO,MSS,10,5,0.2,2.0,1.0,0.7686578,0.06209128,True,28.34782231,5.87702212,22.73810046,165016751344.05927,12611.08722829,0.00224785,2.42933105,644.57563147,0.59208564,0.77037954,165530500482.13452,20404.3723328,0.00390102,3.10834161,501.32936868,0.71768897,0.80713267
random_IR_0019.npz,random_IR_0019.npz,0.281,1.47953105,PSO,MSS,10,5,0.2,2.0,1.0,0.61198407,0.01014371,True,21.45995812,5.88174446,12.85951428,141897911391.36554,9958.4486791,0.00215495,1.21841336,275.96463788,0.64013519,0.65879409,161556360636.82275,7883.45901556,0.0022063,1.15566028,660.17693576,0.72009666,0.57638229
random_IR_0020.npz,random_IR_0020.npz,0.304,1.62697923,PSO,MSS,10,5,0.2,2.0,1.0,0.7638101,0.07925629,True,21.37747822,18.6659922,25.88831631,87703202403.06252,5757.60143805,0.00371291,3.41390335,553.4269181,0.6267692,0.67837106,166939725438.14145,13227.31467837,0.00327986,1.96501875,590.87685252,0.8295306,0.72139503
random_IR_0021.npz,random_IR_0021.npz,0.342,1.55030859,PSO,MSS,10,5,0.2,2.0,1.0,0.81957912,0.12520836,True,30.41490808,3.69443654,19.41780145,141577650404.56207,14660.7322191,0.00207458,1.48230948,590.59064615,0.82913826,0.73988955,190347680324.05112,19198.15907429,0.00247025,3.69998513,435.87056662,0.85490541,0.55911117
random_IR_0022.npz,random_IR_0022.npz,0.218,1.79185081,PSO,MSS,10,5,0.2,2.0,1.0,0.76083601,0.15778075,True,97.8403389,13.42026973,1.62520273,129071837690.80756,20151.98700067,0.00485512,2.4213557,159.01038585,0.76208931,0.81358185,199823286777.3368,5239.62812757,0.00385697,3.76649958,998.8470181,0.58962154,0.81162419
random_IR_0023.npz,random_IR_0023.npz,0.404,1.70059526,PSO,MSS,10,5,0.2,2.0,1.0,0.7240994,0.08341614,True,19.2767945,1.60740551,32.95091284,130498425053.55621,13893.09408914,0.00138751,1.48440649,635.18797544,0.7887374,0.69231415,129299044475.57794,13129.09388595,0.00439203,1.45907795,807.32088554,0.54389183,0.8517401
random_IR_0024.npz,random_IR_0024.npz,0.28,1.28919661,PSO,MSS,10,5,0.2,2.0,1.0,0.6263513,0.07929163,True,35.11058733,8.88222521,25.44753814,148303042627.17487,12230.68127832,0.0028707,1.59558141,893.47801015,0.69761413,0.56365336,197937911386.0695,20769.80429405,0.00388822,2.41527378,866.38366211,0.5157399,0.68638925
random_IR_0025.npz,random_IR_0025.npz,0.541,1.6993804,PSO,MSS,10,5,0.2,2.0,1.0,0.76066631,0.0725183,True,19.04169958,2.22324718,47.3873006,151698739625.39047,13004.22193432,0.00146427,3.16090566,902.33474181,0.83177226,0.89256826,97599468309.14922,3451.55418078,0.00168652,3.21697263,521.04139584,0.51907568,0.89891187
random_IR_0026.npz,random_IR_0026.npz,0.239,1.56491017,PSO,MSS,10,5,0.2,2.0,1.0,0.71112227,0.00833703,True,47.50636876,5.31437854,2.38547354,133561438575.82411,17147.20145964,0.0027705,2.14798425,113.32518569,0.65159141,0.78840334,71871356218.2901,15672.99075616,0.00238141,1.7493816,928.08201265,0.59070014,0.81452442
random_IR_0027.npz,random_IR_0027.npz,0.372,1.8486197,PSO,MSS,10,5,0.2,2.0,1.0,0.78123903,0.03706404,True,19.36973444,5.68604112,32.26386915,87380578349.30032,8002.63931298,0.00242042,2.61211331,624.94257754,0.73648936,0.65025517,148951818862.8186,13972.55997216,0.00195157,2.77396291,934.21465578,0.79905589,0.86775979
random_IR_0028.npz,random_IR_0028.npz,0.273,1.78521442,PSO,MSS,10,5,0.2,2.0,1.0,0.84707022,0.04280333,True,37.60243775,22.20983926,12.59008638,158934045647.61322,9652.73390465,0.00389552,3.31128227,473.41793948,0.86364288,0.79289573,211488975667.54184,5930.42851055,0.00259288,2.00464049,209.85165054,0.87237989,0.75032482
random_IR_0029.npz,random_IR_0029.npz,0.53,1.50434721,PSO,MSS,10,5,0.2,2.0,1.0,0.9082734,0.1066893,True,28.22662979,3.87013937,24.4640868,129633389058.08781,13336.80907548,0.00211645,3.93636949,690.5387212,0.75248019,0.61176849,114704769945.09769,10597.03256049,0.00201743,1.75950242,58.03858003,0.85120831,0.6950984
random_IR_0030.npz,random_IR_0030.npz,0.649,1.77404165,PSO,MSS,10,5,0.2,2.0,1.0,0.85733759,0.16727399,True,11.0445906,13.8695082,44.70592901,220000000000.0,5561.21194569,0.001986,3.84368384,493.7586833,0.64256116,0.66853651,136415617217.07494,15202.58414177,0.00109871,1.62085066,67.25895897,0.77292381,0.94936893
random_IR_0031.npz,random_IR_0031.npz,0.235,1.83546817,PSO,MSS,10,5,0.2,2.0,1.0,0.86483407,0.04109222,True,22.33889501,4.40144733,21.20990446,89829463679.59117,9673.82105482,0.00230921,3.24741905,473.80582883,0.67782458,0.66352187,70159602918.25648,7380.46068266,0.00186759,3.97198295,663.08157232,0.88160554,0.6668084
random_IR_0032.npz,random_IR_0032.npz,0.249,1.66450119,PSO,MSS,10,5,0.2,2.0,1.0,0.85681337,0.01803291,True,51.72839377,4.34560223,7.35921986,89444864182.09161,16979.97190594,0.00304644,1.63559804,380.68062269,0.63340913,0.7772269,200515550283.45148,14254.85865951,0.00335327,2.21204529,831.05014475,0.6440356,0.90104295
random_IR_0033.npz,random_IR_0033.npz,0.26,1.89146662,PSO,MSS,10,5,0.2,2.0,1.0,0.90818089,0.0652562,True,45.33400836,17.53708231,12.22838244,180865469886.84427,12350.88315334,0.00367051,2.9501629,554.36159191,0.76776862,0.51,211947700344.80545,6481.54432973,0.00481117,1.63834424,687.49140151,0.86811935,0.6344314
random_IR_0034.npz,random_IR_0034.npz,0.268,1.77341652,PSO,MSS,10,5,0.2,2.0,1.0,0.72220457,0.07283653,True,66.75001246,16.19260419,6.4499103,156457520551.4954,15641.43668571,0.00426751,3.04248462,430.53159288,0.75849819,0.71127043,131976876718.98044,6330.43741829,0.0030728,1.71860473,25.67246143,0.69334329,0.73715196
