filename,target_npz,runtime,best_loss,optimizer,loss_name,budget,num_particles,max_iter,realized_budget,w,c1,c2,seed,optuna_trial,gt_loss,nmse,gt_available,mu,D_mu,T0_mu,E,rho,h,Ly,T0,op_x,op_y,gt_E,gt_rho,gt_h,gt_Ly,gt_T0,gt_op_x,gt_op_y
random_IR_0001.npz,random_IR_0001.npz,316.436,0.00063687,PSO+Optuna,L1_STFT,2000,37,53,1998,0.23174350704934918,2.3186924748226923,1.7064154670536174,31634,3,1.403e-05,0.00145239,True,58.61280296,13.78099037,12.30996071,196891770880.0,16340.29394531,0.00358701,2.69159675,721.52130127,0.82648528,0.72441876,131819184298.85242,12673.80384034,0.00386076,2.69155916,602.76734844,0.82648812,0.72441773
random_IR_0002.npz,random_IR_0002.npz,414.254,0.00075849,PSO+Optuna,L1_STFT,2000,37,53,1998,0.5658113173581208,1.465008469916286,1.5090349628569026,55969,5,2.066e-05,0.00756296,True,106.14999763,17.89634178,4.65709781,170972708864.0,21230.0,0.005,3.68612099,494.35092163,0.78836024,0.96353412,147920922722.1944,17314.43071595,0.00485465,3.6861417,383.44768441,0.78834183,0.96354235
random_IR_0003.npz,random_IR_0003.npz,554.502,0.00654317,PSO+Optuna,L1_STFT,2000,31,63,1984,0.30331014167607717,2.016997450596378,1.5871814513202804,11057,9,4.55e-05,0.00537049,True,5.76796316,1.66330979,0.10434226,107931467776.0,5767.96289062,0.001,1.30600536,0.60184228,0.9363091,0.98956615,186057982895.32712,18083.2530963,0.00134852,1.30600457,20.22819526,0.93630595,0.98952299
random_IR_0004.npz,random_IR_0004.npz,324.103,0.02185114,PSO+Optuna,L1_STFT,2000,45,43,1980,0.44176611009230127,2.6191798243795663,1.2218130359182053,35019,31,2.43e-05,1.229e-05,True,12.4815037,25.50948885,57.98974807,94892285952.0,3720.80419922,0.00335452,3.41723537,723.79925537,0.58209515,0.97309089,164907916263.11115,4653.55920634,0.00284592,3.41755984,780.53137099,0.58024311,0.97288777
random_IR_0005.npz,random_IR_0005.npz,528.146,3.863e-05,PSO+Optuna,L1_STFT,2000,33,59,1980,0.43452243693264614,1.7540675843967242,1.3894312885680133,35307,35,8.55e-06,0.02362201,True,6.11090691,5.05992761,5.85793299,67000000512.0,3529.09301758,0.00173158,2.61335945,35.79728317,0.78853142,0.51920658,136791000829.13193,16985.59336136,0.00265865,2.61336013,264.56296655,0.78853263,0.519207
random_IR_0006.npz,random_IR_0006.npz,430.721,4.152e-05,PSO+Optuna,L1_STFT,2000,40,49,2000,0.3095382294662926,2.0352106062054407,1.695021280587405,25507,12,1.207e-05,0.04096521,True,18.14076429,8.97683023,8.8693829,142929526784.0,7751.50195312,0.00234029,2.89114141,160.89738464,0.68615973,0.72414464,171318505762.83295,20172.46387607,0.00344838,2.89114294,616.93782753,0.68615887,0.72414566
random_IR_0007.npz,random_IR_0007.npz,1101.263,0.0059243,PSO+Optuna,L1_STFT,2000,32,61,1984,0.1263531606069424,2.1353414826099493,2.033871122215233,38063,18,1.17e-05,1.755e-05,True,19.72274898,0.90279205,35.78625603,200312307712.0,19722.74804688,0.001,3.12314606,705.80334473,0.57289708,0.66470772,99188531844.29764,15037.99194882,0.0012409,3.12313047,666.77004778,0.57317389,0.66455989
random_IR_0008.npz,random_IR_0008.npz,512.865,6.76e-06,PSO+Optuna,L1_STFT,2000,40,49,2000,0.20895795937416478,1.2539527679555174,2.0207118517353138,77217,36,6.83e-06,0.02418007,True,29.42767296,3.76179882,6.36271716,219948384256.0,16510.54882812,0.00178236,2.15476131,187.23995972,0.61234963,0.58904159,82612856044.4483,21011.42815551,0.00328079,2.15476124,438.60712745,0.61234961,0.58904166
random_IR_0009.npz,random_IR_0009.npz,642.982,0.00400802,PSO+Optuna,L1_STFT,2000,47,41,1974,0.6373583684740571,1.3726881174614374,1.0952752184881436,24360,11,1.049e-05,0.00287704,True,27.77005941,4.68216339,33.25423152,219999993856.0,14768.13769531,0.0018804,2.99384975,923.47198486,0.56408817,0.83159339,91322346297.76453,7025.20112963,0.00201317,2.99401414,466.31610975,0.56408382,0.8316015
random_IR_0010.npz,random_IR_0010.npz,558.668,0.00107413,PSO+Optuna,L1_STFT,2000,44,44,1980,0.48914078484194906,1.5113978632741618,1.5388586155437531,22979,19,1.332e-05,0.00040864,True,37.04801111,1.29960685,11.54820049,67000000512.0,18459.22070312,0.00200702,1.50073099,427.83786011,0.92064083,0.55706048,81856495196.33838,17864.67272114,0.00178633,1.50073056,368.73148341,0.920593,0.55708822
