filename,target_npz,runtime,best_loss,optimizer,loss_name,budget,num_particles,max_iter,realized_budget,w,c1,c2,seed,optuna_trial,gt_loss,nmse,gt_available,mu,D_mu,T0_mu,E,rho,h,Ly,T0,op_x,op_y,gt_E,gt_rho,gt_h,gt_Ly,gt_T0,gt_op_x,gt_op_y
random_IR_0001.npz,random_IR_0001.npz,144.344,0.00824384,PSO+Optuna,L1_STFT,2000,43,45,1978,0.625975586712488,0.8913593681924407,1.8460396434112978,43195,31,1.363e-05,0.01705447,True,82.10897245,13.7753326,12.17893697,219949694976.0,21230.0,0.00386759,2.69133711,1000.0,0.82664281,0.72430634,131819184298.85242,12673.80384034,0.00386076,2.69155916,602.76734844,0.82648812,0.72441773
random_IR_0002.npz,random_IR_0002.npz,211.13,0.02679252,PSO+Optuna,L1_STFT,2000,60,32,1980,0.10669231481719288,1.751621985016737,2.4526186144012225,14303,11,1.504e-05,0.02798498,True,41.57000884,17.90820885,0.00024056,67000000512.0,8314.00195312,0.005,3.68660831,0.01,0.78795803,0.96350491,147920922722.1944,17314.43071595,0.00485465,3.6861417,383.44768441,0.78834183,0.96354235
random_IR_0003.npz,random_IR_0003.npz,221.599,1.06486928,PSO+Optuna,L1_STFT,2000,57,34,1995,0.1432546647611427,2.105783224331572,2.8788731150020244,64269,34,4.744e-05,0.01481798,True,51.46946475,1.64881377,19.42899552,67000000512.0,21230.0,0.00242437,1.30590439,1000.0,0.98278236,0.94130754,186057982895.32712,18083.2530963,0.00134852,1.30600457,20.22819526,0.93630595,0.98952299
random_IR_0004.npz,random_IR_0004.npz,177.22,0.00874281,PSO+Optuna,L1_STFT,2000,43,45,1978,0.4332030290753177,0.6362855576686868,2.170474126866443,41385,16,1.873e-05,0.00059196,True,7.06277171,25.51158842,59.20188014,86669484032.0,2469.68847656,0.00285978,3.41753769,418.12936401,0.58011258,0.97274256,164907916263.11115,4653.55920634,0.00284592,3.41755984,780.53137099,0.58024311,0.97288777
random_IR_0005.npz,random_IR_0005.npz,197.972,0.00081135,PSO+Optuna,L1_STFT,2000,57,34,1995,0.35422189943242205,2.0828543140982525,0.7779487086372909,93493,34,5.77e-06,0.00243856,True,32.61272238,5.05993739,5.80650455,126410784768.0,13317.42285156,0.00244888,2.61336374,189.36592102,0.78857565,0.51920986,136791000829.13193,16985.59336136,0.00265865,2.61336013,264.56296655,0.78853263,0.519207
random_IR_0006.npz,random_IR_0006.npz,185.79,0.00618515,PSO+Optuna,L1_STFT,2000,57,34,1995,0.335838142818944,1.1882873852407707,2.484027235403782,29479,1,1.01e-05,0.00470437,True,86.98772786,8.9779156,8.60339977,127720923136.0,21230.0,0.0040974,2.89129305,748.39019775,0.68580639,0.72425163,171318505762.83295,20172.46387607,0.00344838,2.89114294,616.93782753,0.68615887,0.72414566
random_IR_0007.npz,random_IR_0007.npz,384.167,0.0549658,PSO+Optuna,L1_STFT,2000,50,39,2000,0.30326329035354754,2.452544259928382,1.88373338024681,9070,0,9.82e-06,4.987e-05,True,20.32429784,0.90170919,33.54013471,206174289920.0,20324.296875,0.001,3.11995029,681.6796875,0.57486856,0.66423285,99188531844.29764,15037.99194882,0.0012409,3.12313047,666.77004778,0.57317389,0.66455989
random_IR_0008.npz,random_IR_0008.npz,263.411,4.787e-05,PSO+Optuna,L1_STFT,2000,40,49,2000,0.2946372280018548,2.2717208271551783,1.10064612925569,87080,37,5.18e-06,0.0492204,True,12.56886613,3.76179587,6.36251602,121833275392.0,7690.18505859,0.0016344,2.15476251,79.96961212,0.61234623,0.58904248,82612856044.4483,21011.42815551,0.00328079,2.15476124,438.60712745,0.61234961,0.58904166
random_IR_0009.npz,random_IR_0009.npz,277.76,0.09255814,PSO+Optuna,L1_STFT,2000,42,46,1974,0.6913950524290272,1.883668347725431,0.5361173725571514,78068,22,1.102e-05,0.00354329,True,28.93917491,4.69100469,20.61812231,179424198656.0,14173.5390625,0.00204177,2.99267626,596.67144775,0.56535661,0.83113533,91322346297.76453,7025.20112963,0.00201317,2.99401414,466.31610975,0.56408382,0.8316015
random_IR_0010.npz,random_IR_0010.npz,228.116,0.24494646,PSO+Optuna,L1_STFT,2000,51,38,1989,0.4989160570358515,2.3774477828455267,2.192501480167847,73073,19,1.185e-05,0.00019753,True,29.93715614,1.31819464,0.00033403,106143006720.0,18580.6171875,0.0016112,1.49764252,0.01,0.91808087,0.55836987,81856495196.33838,17864.67272114,0.00178633,1.50073056,368.73148341,0.920593,0.55708822
random_IR_0011.npz,random_IR_0011.npz,225.961,0.04060936,PSO+Optuna,L1_STFT,2000,32,61,1984,0.668329774401833,1.496051789568956,0.9879067874780146,99943,4,8.36e-06,0.00055967,True,33.79414278,9.58128878,29.587887,155248312320.0,11804.4140625,0.00286284,3.93144846,999.89727783,0.52925652,0.64859957,180107327647.94016,13801.09577121,0.0028746,3.93173245,976.76132058,0.52920202,0.64857541
random_IR_0012.npz,random_IR_0012.npz,161.176,0.02424056,PSO+Optuna,L1_STFT,2000,38,51,1976,0.6630802392074681,1.3336711399803076,1.8701353416048305,8142,11,7.3e-06,0.10560591,True,100.92920414,6.57153784,8.1184564,67000000512.0,20977.94726562,0.0048112,1.4484688,819.38934326,0.54184717,0.84975386,130382238160.7445,8408.08377261,0.00218456,1.44857003,118.73653168,0.54143227,0.84931134
random_IR_0013.npz,random_IR_0013.npz,129.732,0.06942097,PSO+Optuna,L1_STFT,2000,54,36,1998,0.22303153145730398,1.6167764390161445,2.3942935636682425,21007,32,2.557e-05,0.00014408,True,5.80194726,13.97175674,56.39248407,67000000512.0,2430.0,0.00238763,2.74409628,327.18621826,0.96697092,0.66588533,155119813820.09543,4196.08160226,0.00206156,2.74314422,523.25282099,0.96535514,0.66609879
random_IR_0014.npz,random_IR_0014.npz,227.617,0.01487416,PSO+Optuna,L1_STFT,2000,40,49,2000,0.5778720687571908,2.0839615931643842,1.2025356202918582,49248,37,1.007e-05,0.00030777,True,16.4680896,2.50247653,60.72349763,219999993856.0,12844.84472656,0.00128208,3.03557611,1000.0,0.79733586,0.52000028,95028278387.08888,7870.83454741,0.00152719,3.0354901,716.33004085,0.79739134,0.5198527
random_IR_0015.npz,random_IR_0015.npz,206.811,0.00533369,PSO+Optuna,L1_STFT,2000,44,44,1980,0.3213780555418212,2.6073515279561734,1.770157502203236,8457,33,3.801e-05,2.301e-05,True,8.86443987,2.20606807,88.41525467,219999993856.0,8864.43945312,0.001,3.50392914,783.75170898,0.98143744,0.63190293,179484685384.75702,7506.14989601,0.00101878,3.50392608,677.81975863,0.98147239,0.63188904
random_IR_0016.npz,random_IR_0016.npz,133.469,0.00439753,PSO+Optuna,L1_STFT,2000,44,44,1980,0.463901904702092,2.0413119043315127,1.3664665898853063,66734,18,1.108e-05,7.04e-06,True,22.9814155,32.39332234,25.76232201,67000000512.0,4596.28320312,0.005,2.77089357,592.05462646,0.72882402,0.92480278,212770598762.0987,6623.93469364,0.00336817,2.77085627,572.25618327,0.72909144,0.92474025
random_IR_0017.npz,random_IR_0017.npz,234.298,0.00073792,PSO+Optuna,L1_STFT,2000,44,44,1980,0.17863265134720613,1.7066646401672771,1.4707877105790206,43903,38,1.293e-05,0.00031383,True,17.14350493,8.70211351,37.74007321,70951313408.0,5972.10546875,0.0028706,3.12848902,646.99713135,0.79482305,0.94205564,201808789158.0077,9884.30792792,0.00218975,3.1284899,813.79968172,0.79482371,0.94205033
random_IR_0018.npz,random_IR_0018.npz,243.138,0.00597819,PSO+Optuna,L1_STFT,2000,56,34,1960,0.4984166912936872,1.0856340648558909,0.9418726326923818,84465,21,1.099e-05,0.00086461,True,87.06624065,10.97424453,5.61377405,126374895616.0,19797.53320312,0.00439783,3.10834122,488.77020264,0.71758389,0.80711603,165530500482.13452,20404.3723328,0.00390102,3.10834161,501.32936868,0.71768897,0.80713267
random_IR_0019.npz,random_IR_0019.npz,109.826,0.00826197,PSO+Optuna,L1_STFT,2000,54,36,1998,0.5670912960128652,1.6711687238002295,0.7083394358796158,10992,22,5.37e-06,2.81e-06,True,17.73577813,8.86776045,38.67287636,101029904384.0,6829.59033203,0.0025969,1.155689,685.89355469,0.72059184,0.57570332,161556360636.82275,7883.45901556,0.0022063,1.15566028,660.17693576,0.72009666,0.57638229
random_IR_0020.npz,random_IR_0020.npz,124.618,0.00055861,PSO+Optuna,L1_STFT,2000,44,44,1980,0.4216138722963222,1.4973485918077745,1.415478038771611,42338,19,8.01e-06,0.00053483,True,49.25924671,12.06794273,13.62298509,145521901568.0,13752.21679688,0.00358191,1.96500087,671.0579834,0.8295002,0.72140288,166939725438.14145,13227.31467837,0.00327986,1.96501875,590.87685252,0.8295306,0.72139503
random_IR_0021.npz,random_IR_0021.npz,216.122,0.02066281,PSO+Optuna,L1_STFT,2000,46,42,1978,0.5661263013627144,1.088684867065039,1.7669854174364836,42099,25,8.85e-06,0.00509341,True,65.54132997,5.37786862,12.08804026,134766575616.0,21230.0,0.0030872,3.70032454,792.26623535,0.85477889,0.55915099,190347680324.05112,19198.15907429,0.00247025,3.69998513,435.87056662,0.85490541,0.55911117
random_IR_0022.npz,random_IR_0022.npz,216.602,0.0013471,PSO+Optuna,L1_STFT,2000,47,41,1974,0.14495025581615106,1.318230053175928,1.5696437323287449,67027,8,1.123e-05,0.00050832,True,14.48100531,50.43129916,49.4378557,195512762368.0,4165.23925781,0.00347663,3.76655722,715.90985107,0.58960062,0.81165457,199823286777.3368,5239.62812757,0.00385697,3.76649958,998.8470181,0.58962154,0.81162419
random_IR_0023.npz,random_IR_0023.npz,97.967,0.04631612,PSO+Optuna,L1_STFT,2000,46,42,1978,0.5012498181510587,1.789636063809415,0.7487827435381098,87104,9,1.023e-05,0.01911844,True,22.75487611,16.87371883,29.58677537,160330809344.0,7590.45019531,0.00299783,1.45908988,673.2434082,0.54374802,0.85173428,129299044475.57794,13129.09388595,0.00439203,1.45907795,807.32088554,0.54389183,0.8517401
random_IR_0024.npz,random_IR_0024.npz,170.805,0.01431394,PSO+Optuna,L1_STFT,2000,54,36,1998,0.24655981826553047,1.7681982169596795,1.3752160444120922,94733,35,8.36e-06,0.02738771,True,38.71618568,12.80878681,8.50916661,133757984768.0,11163.87011719,0.00346799,2.41526794,329.44247437,0.51567215,0.68640727,197937911386.0695,20769.80429405,0.00388822,2.41527378,866.38366211,0.5157399,0.68638925
