filename,target_npz,runtime,best_loss,optimizer,loss_name,budget,num_particles,max_iter,realized_budget,w,c1,c2,seed,optuna_trial,gt_loss,nmse,gt_available,mu,D_mu,T0_mu,E,rho,h,Ly,T0,op_x,op_y,gt_E,gt_rho,gt_h,gt_Ly,gt_T0,gt_op_x,gt_op_y
random_IR_0001.npz,random_IR_0001.npz,346.818,1.11008358,PSO+Optuna,MSS,2000,39,50,1989,0.41677128012248266,1.5263848323342815,1.0991895114419004,82166,33,0.77671623,0.01302335,True,64.53898753,13.96698194,10.61341889,208457105408.0,17679.4453125,0.00365051,2.73982811,684.97930908,0.71171582,0.73339158,131819184298.85242,12673.80384034,0.00386076,2.69155916,602.76734844,0.82648812,0.72441773
random_IR_0002.npz,random_IR_0002.npz,353.947,1.37008262,PSO+Optuna,MSS,2000,47,41,1974,0.4514548647433917,2.3583697453740062,1.2239756918775722,77710,30,1.09980261,4.246e-05,True,82.66249815,17.72668944,7.91025094,131879927808.0,16532.5,0.005,3.67824507,653.88110352,0.78846365,0.96351016,147920922722.1944,17314.43071595,0.00485465,3.6861417,383.44768441,0.78834183,0.96354235
random_IR_0003.npz,random_IR_0003.npz,308.477,1.98567486,PSO+Optuna,MSS,2000,54,36,1998,0.22415755161554435,1.424396791877044,1.3424222944672342,89718,22,1.40233612,0.14952073,True,78.3739021,14.43798064,1.49482594,153460768768.0,17970.51171875,0.00436125,2.81209731,117.1553421,0.6456058,1.0,186057982895.32712,18083.2530963,0.00134852,1.30600457,20.22819526,0.93630595,0.98952299
random_IR_0004.npz,random_IR_0004.npz,267.584,1.35502625,PSO+Optuna,MSS,2000,41,47,1968,0.2883353499871876,2.5359864152068496,1.0148180537888571,78282,9,0.95469129,0.00226895,True,20.18699987,25.54840004,19.61389567,185823264768.0,6410.75439453,0.00314893,3.41388369,395.94570923,0.58004057,0.97287166,164907916263.11115,4653.55920634,0.00284592,3.41755984,780.53137099,0.58024311,0.97288777
random_IR_0005.npz,random_IR_0005.npz,502.624,0.96600401,PSO+Optuna,MSS,2000,34,57,1972,0.38512105144408343,2.789711853564094,1.50660513026662,67246,26,0.74725163,0.00400839,True,58.44379796,5.03379743,5.10823279,70064349184.0,16167.46386719,0.0036149,2.60888553,298.54452515,0.74570775,0.51942921,136791000829.13193,16985.59336136,0.00265865,2.61336013,264.56296655,0.78853263,0.519207
random_IR_0006.npz,random_IR_0006.npz,403.635,0.94341671,PSO+Optuna,MSS,2000,30,65,1980,0.6267821074086759,2.4548284300759904,1.5541057987755984,985,6,0.73440981,0.00062544,True,66.01583767,8.90669213,10.76430796,219999993856.0,21230.0,0.00310955,2.8848567,710.61480713,0.71093148,0.72473514,171318505762.83295,20172.46387607,0.00344838,2.89114294,616.93782753,0.68615887,0.72414566
random_IR_0007.npz,random_IR_0007.npz,946.095,0.91648722,PSO+Optuna,MSS,2000,44,44,1980,0.43941042762559995,1.9209937606662664,1.8131304094630254,40170,31,0.72631347,0.0013076,True,9.50438522,0.90231113,35.28288521,96479002624.0,9504.38476562,0.001,3.11213112,335.34213257,0.5761261,0.66493195,99188531844.29764,15037.99194882,0.0012409,3.12313047,666.77004778,0.57317389,0.66455989
random_IR_0008.npz,random_IR_0008.npz,535.725,0.69198656,PSO+Optuna,MSS,2000,44,44,1980,0.7121446030103183,1.3700454349611455,0.7588113818171472,37292,35,0.6011613,0.00150411,True,59.08775328,3.75882633,7.60782879,67000000512.0,17685.67578125,0.00334099,2.15429783,449.5295105,0.61180604,0.58829707,82612856044.4483,21011.42815551,0.00328079,2.15476124,438.60712745,0.61234961,0.58904166
random_IR_0009.npz,random_IR_0009.npz,736.207,1.09858084,PSO+Optuna,MSS,2000,36,54,1980,0.49263815296514313,2.195228525756284,2.4055174348129467,37867,34,0.67430782,0.00950586,True,2.43000012,8.04755427,0.00411523,219999993856.0,2430.0,0.001,3.45208931,0.01,0.50999999,0.82119471,91322346297.76453,7025.20112963,0.00201317,2.99401414,466.31610975,0.56408382,0.8316015
random_IR_0010.npz,random_IR_0010.npz,720.444,1.1639328,PSO+Optuna,MSS,2000,55,35,1980,0.6055915668934901,1.0088529509168145,1.9999880306616853,83191,21,0.81727743,0.0015335,True,35.05893985,1.31735747,8.60755778,111809634304.0,21009.07226562,0.00166875,1.51123714,301.77185059,0.90976167,0.51401418,81856495196.33838,17864.67272114,0.00178633,1.50073056,368.73148341,0.920593,0.55708822
random_IR_0011.npz,random_IR_0011.npz,468.182,0.98516387,PSO+Optuna,MSS,2000,49,39,1960,0.4417765424159863,2.2875055286730017,1.3355540410886015,183,22,0.72122926,0.00124365,True,32.22112251,10.24539566,18.89037818,67719884800.0,8480.83789062,0.00379929,3.99957848,608.66918945,0.50999999,0.65032828,180107327647.94016,13801.09577121,0.0028746,3.93173245,976.76132058,0.52920202,0.64857541
random_IR_0012.npz,random_IR_0012.npz,324.673,0.93380088,PSO+Optuna,MSS,2000,32,61,1984,0.4267878154921594,0.754646373779692,1.9860684774557031,63015,27,0.70928609,0.05398288,True,77.36829211,6.57636728,12.06875014,108567773184.0,20633.01953125,0.00374973,1.44869268,933.73858643,0.54557413,0.85306925,130382238160.7445,8408.08377261,0.00218456,1.44857003,118.73653168,0.54143227,0.84931134
random_IR_0013.npz,random_IR_0013.npz,264.651,1.55423403,PSO+Optuna,MSS,2000,55,35,1980,0.18613223619942865,2.244152739117154,1.9000346193588005,24021,19,1.19360256,0.04276882,True,33.9858375,14.08574368,0.00029424,185081724928.0,11049.49414062,0.00307578,1.64941192,0.01,0.87987196,0.6913951,155119813820.09543,4196.08160226,0.00206156,2.74314422,523.25282099,0.96535514,0.66609879
random_IR_0014.npz,random_IR_0014.npz,551.096,1.13781035,PSO+Optuna,MSS,2000,39,50,1989,0.5924566314771859,0.7330957023637579,1.7374617409373248,25481,33,0.76621151,0.00153888,True,20.88778732,2.48998004,47.85695585,132308967424.0,12725.51171875,0.00164141,3.0197506,999.62591553,0.81283003,0.5152474,95028278387.08888,7870.83454741,0.00152719,3.0354901,716.33004085,0.79739134,0.5198527
random_IR_0015.npz,random_IR_0015.npz,358.694,1.81873167,PSO+Optuna,MSS,2000,39,50,1989,0.6038042663899071,1.2062301382185026,2.014429067241487,43844,14,1.39956319,0.00029523,True,4.88470536,2.20605361,97.82340307,113331732480.0,4776.24462891,0.00102271,3.50418329,477.83850098,0.9708519,0.63663775,179484685384.75702,7506.14989601,0.00101878,3.50392608,677.81975863,0.98147239,0.63188904
random_IR_0016.npz,random_IR_0016.npz,270.837,1.51767445,PSO+Optuna,MSS,2000,45,43,1980,0.823179202818644,2.2944682079394054,2.6181848146015696,32189,39,0.89750254,0.05123649,True,72.66461263,33.64009142,12.6263693,219999993856.0,14532.92285156,0.005,2.79908085,917.49023438,0.59926969,0.91496694,212770598762.0987,6623.93469364,0.00336817,2.77085627,572.25618327,0.72909144,0.92474025
random_IR_0017.npz,random_IR_0017.npz,459.124,1.26244962,PSO+Optuna,MSS,2000,41,47,1968,0.7683629922894432,0.948728015313036,1.4469818734023343,25062,23,0.88513184,0.00307017,True,8.97107028,8.52166446,47.34691504,188631089152.0,5410.13720703,0.0016582,3.13009739,424.75250244,0.81804001,0.92922884,201808789158.0077,9884.30792792,0.00218975,3.1284899,813.79968172,0.79482371,0.94205033
random_IR_0018.npz,random_IR_0018.npz,467.605,0.98064804,PSO+Optuna,MSS,2000,57,34,1995,0.5337891325375935,1.1525167293641205,1.1320306115159653,90149,2,0.7686578,0.02690039,True,38.15707412,10.99921171,4.35597772,162761162752.0,12418.30371094,0.00307265,3.11117744,166.21136475,0.73814082,0.80655396,165530500482.13452,20404.3723328,0.00390102,3.10834161,501.32936868,0.71768897,0.80713267
random_IR_0019.npz,random_IR_0019.npz,245.217,0.91627687,PSO+Optuna,MSS,2000,54,36,1998,0.26651601038480455,2.045264167169855,1.7993570744841465,17060,24,0.61198407,0.00567386,True,36.32956452,8.83765144,27.10888884,213289041920.0,14147.0703125,0.00256799,1.15469611,984.85412598,0.71978343,0.57444733,161556360636.82275,7883.45901556,0.0022063,1.15566028,660.17693576,0.72009666,0.57638229
random_IR_0020.npz,random_IR_0020.npz,283.317,1.0393126,PSO+Optuna,MSS,2000,30,65,1980,0.19771469289934782,0.9877825011652366,0.7785065622081845,22114,24,0.7638101,0.00990542,True,55.96017215,12.09083213,12.6306861,132615569408.0,14507.12304688,0.00385743,1.95876908,706.81536865,0.73039556,0.75155163,166939725438.14145,13227.31467837,0.00327986,1.96501875,590.87685252,0.8295306,0.72139503
