filename,target_npz,runtime,best_loss,best_popsize,loss_name,gt_loss,nmse,gt_available,mu,D_mu,T0_mu,E,rho,h,Ly,T0,op_x,op_y,gt_E,gt_rho,gt_h,gt_Ly,gt_T0,gt_op_x,gt_op_y
random_IR_0001.npz,random_IR_0001.npz,311.911,0.00036366,42,ComplexSTFT,3.03e-05,0.01320776,True,19.73250555,13.78049543,12.31016197,149592719360.0,7215.82275391,0.00273462,2.69155478,242.91033936,0.82650203,0.72441822,131819184298.85242,12673.80384034,0.00386076,2.69155916,602.76734844,0.82648812,0.72441773
random_IR_0002.npz,random_IR_0002.npz,393.762,0.000242,50,ComplexSTFT,3.263e-05,0.00099698,True,92.07750103,17.89716824,4.55777949,157833887744.0,18801.3984375,0.00489738,3.68613887,419.66894531,0.78835654,0.96354175,147920922722.1944,17314.43071595,0.00485465,3.6861417,383.44768441,0.78834183,0.96354235
random_IR_0003.npz,random_IR_0003.npz,391.914,0.00029791,33,ComplexSTFT,8.846e-05,0.00017284,True,27.72564822,1.66315244,0.82844523,140343410688.0,17931.7890625,0.00154617,1.30600429,22.96918106,0.93630278,0.98953259,186057982895.32712,18083.2530963,0.00134852,1.30600457,20.22819526,0.93630595,0.98952299
random_IR_0004.npz,random_IR_0004.npz,386.758,0.00034162,41,ComplexSTFT,3.565e-05,0.0002114,True,16.93759393,25.51216041,58.95120171,191273172992.0,5760.84130859,0.00294013,3.41755843,998.49151611,0.58024895,0.97289181,164907916263.11115,4653.55920634,0.00284592,3.41755984,780.53137099,0.58024311,0.97288777
random_IR_0005.npz,random_IR_0005.npz,397.391,0.00030951,42,ComplexSTFT,1.303e-05,1.449e-05,True,46.1258977,5.05989019,5.85754804,160688209920.0,18177.1875,0.00253757,2.61335039,270.18466187,0.78853184,0.51920837,136791000829.13193,16985.59336136,0.00265865,2.61336013,264.56296655,0.78853263,0.519207
random_IR_0006.npz,random_IR_0006.npz,343.88,0.00038431,59,ComplexSTFT,2.23e-05,0.00034358,True,64.85314194,8.97688862,8.86846041,181166374912.0,19613.43945312,0.00330657,2.8911407,575.14752197,0.68612945,0.72414649,171318505762.83295,20172.46387607,0.00344838,2.89114294,616.93782753,0.68615887,0.72414566
random_IR_0007.npz,random_IR_0007.npz,1130.805,0.00042045,51,ComplexSTFT,1.816e-05,0.00050438,True,24.36647005,0.90280041,35.72709592,112325140480.0,18725.75390625,0.00130123,3.12312341,870.54321289,0.57315904,0.6645565,99188531844.29764,15037.99194882,0.0012409,3.12313047,666.77004778,0.57317389,0.66455989
random_IR_0008.npz,random_IR_0008.npz,385.721,0.00037931,53,ComplexSTFT,1.074e-05,0.00014366,True,65.88885953,3.76185689,6.35948704,67294031872.0,19040.65625,0.00346043,2.1547749,419.01934814,0.61233258,0.58904523,82612856044.4483,21011.42815551,0.00328079,2.15476124,438.60712745,0.61234961,0.58904166
random_IR_0009.npz,random_IR_0009.npz,387.059,0.00041658,52,ComplexSTFT,1.54e-05,0.00168629,True,24.57577392,4.68296257,32.97450428,128564953088.0,11380.32324219,0.0021595,2.9940002,810.3739624,0.56409848,0.83159626,91322346297.76453,7025.20112963,0.00201317,2.99401414,466.31610975,0.56408382,0.8316015
random_IR_0010.npz,random_IR_0010.npz,686.314,0.00045063,56,ComplexSTFT,2.6e-05,0.00060079,True,25.68489428,1.29966412,11.5474975,132520886272.0,18150.3671875,0.00141512,1.50073385,296.59625244,0.92059565,0.55709368,81856495196.33838,17864.67272114,0.00178633,1.50073056,368.73148341,0.920593,0.55708822
random_IR_0011.npz,random_IR_0011.npz,431.828,0.0001559,39,ComplexSTFT,1.679e-05,0.00038827,True,34.66651095,9.58561437,24.62232059,183026024448.0,12681.97460938,0.00273353,3.93173194,853.56994629,0.5292058,0.6485762,180107327647.94016,13801.09577121,0.0028746,3.93173245,976.76132058,0.52920202,0.64857541
random_IR_0012.npz,random_IR_0012.npz,311.543,0.00044602,52,ComplexSTFT,1.511e-05,0.00315664,True,32.64214221,6.577983,6.45960411,109358792704.0,11633.80859375,0.0028058,1.44856489,210.85531616,0.54140681,0.84931278,130382238160.7445,8408.08377261,0.00218456,1.44857003,118.73653168,0.54143227,0.84931134
random_IR_0013.npz,random_IR_0013.npz,244.207,1.32142806,52,ComplexSTFT,4.762e-05,0.12021305,True,82.80581697,13.95430714,0.00404637,192590643200.0,20337.55273438,0.00407157,1.62526834,0.33506259,0.92762166,0.75643933,155119813820.09543,4196.08160226,0.00206156,2.74314422,523.25282099,0.96535514,0.66609879
random_IR_0014.npz,random_IR_0014.npz,537.197,0.00012383,47,ComplexSTFT,2.207e-05,7.596e-05,True,14.23461021,2.50302333,59.59589109,216140234752.0,11586.078125,0.0012286,3.03548884,848.32427979,0.79739302,0.51985145,95028278387.08888,7870.83454741,0.00152719,3.0354901,716.33004085,0.79739134,0.5198527
