filename,target_npz,runtime,best_loss,best_popsize,loss_name,gt_loss,nmse,gt_available,mu,D_mu,T0_mu,E,rho,h,Ly,T0,op_x,op_y,gt_E,gt_rho,gt_h,gt_Ly,gt_T0,gt_op_x,gt_op_y
random_IR_0001.npz,random_IR_0001.npz,554.835,0.1103365,44,CQT_L1,1.26e-06,0.0072856,True,44.58578752,14.0034577,18.48672193,111296913408.0,11198.57421875,0.00398138,2.70634937,824.24505615,0.72782874,0.74115676,131819184298.85242,12673.80384034,0.00386076,2.69155916,602.76734844,0.82648812,0.72441773
random_IR_0002.npz,random_IR_0002.npz,532.335,0.0008778,48,CQT_L1,1.95e-06,0.00218211,True,95.92213206,17.9061981,3.86002768,176526950400.0,20052.30273438,0.0047836,3.68613195,370.26208496,0.78828311,0.96343726,147920922722.1944,17314.43071595,0.00485465,3.6861417,383.44768441,0.78834183,0.96354235
random_IR_0003.npz,random_IR_0003.npz,305.266,0.14992917,60,CQT_L1,2.54e-06,0.0405976,True,22.94240613,26.95103423,41.30278493,71121240064.0,4979.46972656,0.0046074,2.61493969,947.58526611,0.878833,0.99927509,186057982895.32712,18083.2530963,0.00134852,1.30600457,20.22819526,0.93630595,0.98952299
random_IR_0004.npz,random_IR_0004.npz,324.692,0.00023757,52,CQT_L1,2.72e-06,0.00022259,True,17.03366562,25.51353348,58.70511251,188281503744.0,5752.19482422,0.00296125,3.41753531,999.96325684,0.58028388,0.9728927,164907916263.11115,4653.55920634,0.00284592,3.41755984,780.53137099,0.58024311,0.97288777
random_IR_0005.npz,random_IR_0005.npz,499.611,0.01395014,56,CQT_L1,7.1e-07,0.00074803,True,38.95229611,5.02843286,18.15255453,145930731520.0,15759.50488281,0.00247167,2.61370254,707.0836792,0.7895841,0.52079201,136791000829.13193,16985.59336136,0.00265865,2.61336013,264.56296655,0.78853263,0.519207
random_IR_0006.npz,random_IR_0006.npz,590.263,0.00275381,57,CQT_L1,1.14e-06,0.01454166,True,100.1979916,8.98837453,7.77533912,88703148032.0,20651.00195312,0.00485197,2.8909359,779.07336426,0.68646407,0.72411865,171318505762.83295,20172.46387607,0.00344838,2.89114294,616.93782753,0.68615887,0.72414566
random_IR_0007.npz,random_IR_0007.npz,728.365,0.06910517,35,CQT_L1,1.15e-06,0.01470559,True,18.09976548,0.92707449,25.8326418,71180410880.0,13076.14550781,0.00138418,3.95150852,467.5647583,0.56084079,0.62856025,99188531844.29764,15037.99194882,0.0012409,3.12313047,666.77004778,0.57317389,0.66455989
random_IR_0008.npz,random_IR_0008.npz,572.655,0.05437134,53,CQT_L1,4.6e-07,0.05629892,True,67.8247912,3.71737472,0.22981286,83993812992.0,20983.52539062,0.00323229,3.78868175,15.58700943,0.61564839,0.51979959,82612856044.4483,21011.42815551,0.00328079,2.15476124,438.60712745,0.61234961,0.58904166
random_IR_0009.npz,random_IR_0009.npz,781.362,0.0780136,35,CQT_L1,8.8e-07,0.09206791,True,17.95554125,1.10314705,6.46106489,219980775424.0,17878.53515625,0.00100431,1.11422861,116.01191711,0.67125535,0.69423914,91322346297.76453,7025.20112963,0.00201317,2.99401414,466.31610975,0.56408382,0.8316015
random_IR_0010.npz,random_IR_0010.npz,485.885,0.14179967,56,CQT_L1,1.29e-06,0.00155626,True,27.87422868,1.14374772,35.65303908,86788521984.0,17369.81054688,0.00160475,1.48561502,993.80096436,0.94212013,0.58126676,81856495196.33838,17864.67272114,0.00178633,1.50073056,368.73148341,0.920593,0.55708822
random_IR_0011.npz,random_IR_0011.npz,503.891,0.0475756,48,CQT_L1,9e-07,0.02552968,True,79.50890804,9.80736633,0.08805372,90469851136.0,17306.53710938,0.00459415,3.94467616,7.00105476,0.55150115,0.64644706,180107327647.94016,13801.09577121,0.0028746,3.93173245,976.76132058,0.52920202,0.64857541
random_IR_0012.npz,random_IR_0012.npz,715.5,0.08236115,36,CQT_L1,5.5e-07,0.10504894,True,20.67210747,0.45527833,3.73176024,99342131200.0,20237.54492188,0.00102147,3.24044061,77.14334869,0.73315662,0.69912159,130382238160.7445,8408.08377261,0.00218456,1.44857003,118.73653168,0.54143227,0.84931134
random_IR_0013.npz,random_IR_0013.npz,397.967,0.00059911,57,CQT_L1,1.57e-06,0.000904,True,16.28881474,13.96572223,60.52337263,198879903744.0,6951.06445312,0.00234336,2.74319959,985.85400391,0.96572638,0.66606694,155119813820.09543,4196.08160226,0.00206156,2.74314422,523.25282099,0.96535514,0.66609879
random_IR_0014.npz,random_IR_0014.npz,595.712,0.00038871,43,CQT_L1,8.9e-07,0.00034807,True,16.7601579,2.50252288,59.60515934,209099292672.0,12777.89746094,0.00131165,3.03550601,998.99188232,0.79749435,0.51982641,95028278387.08888,7870.83454741,0.00152719,3.0354901,716.33004085,0.79739134,0.5198527
random_IR_0015.npz,random_IR_0015.npz,540.175,0.00024126,40,CQT_L1,2.34e-06,0.00017465,True,11.0045911,2.20634289,88.53936778,211214614528.0,10100.63671875,0.00108949,3.50392079,974.33953857,0.98146713,0.63188142,179484685384.75702,7506.14989601,0.00101878,3.50392608,677.81975863,0.98147239,0.63188904
random_IR_0016.npz,random_IR_0016.npz,393.231,0.00059893,36,CQT_L1,1.35e-06,0.00016012,True,19.09734028,32.39893584,25.3189209,153091653632.0,5350.62695312,0.00356918,2.77084613,483.52404785,0.7287907,0.92476743,212770598762.0987,6623.93469364,0.00336817,2.77085627,572.25618327,0.72909144,0.92474025
random_IR_0017.npz,random_IR_0017.npz,456.33,0.0004248,43,CQT_L1,1.6e-06,0.00109296,True,13.24500666,8.70223765,37.60816008,67468279808.0,4944.70263672,0.00267863,3.12853551,498.12033081,0.79503316,0.94205284,201808789158.0077,9884.30792792,0.00218975,3.1284899,813.79968172,0.79482371,0.94205033
random_IR_0018.npz,random_IR_0018.npz,376.694,0.00034378,60,CQT_L1,1.04e-06,0.02709589,True,37.77726607,10.97526038,6.13436362,149028978688.0,11987.30273438,0.00315144,3.10842657,231.73948669,0.71773785,0.80713433,165530500482.13452,20404.3723328,0.00390102,3.10834161,501.32936868,0.71768897,0.80713267
random_IR_0019.npz,random_IR_0019.npz,298.127,0.02533479,40,CQT_L1,6.1e-07,0.0667185,True,82.67965064,9.07668274,11.81688065,69548728320.0,16698.171875,0.00495142,1.15547621,977.01556396,0.72406411,0.57743961,161556360636.82275,7883.45901556,0.0022063,1.15566028,660.17693576,0.72009666,0.57638229
random_IR_0020.npz,random_IR_0020.npz,405.978,0.06215683,33,CQT_L1,6.4e-07,0.05699615,True,98.25707385,11.68979747,8.78624444,118509215744.0,20567.1171875,0.00477739,1.93711615,863.31066895,0.70800632,0.73040134,166939725438.14145,13227.31467837,0.00327986,1.96501875,590.87685252,0.8295306,0.72139503
random_IR_0021.npz,random_IR_0021.npz,479.499,0.07704517,51,CQT_L1,1.05e-06,0.03622159,True,14.09653591,5.15970137,20.09957935,123134697472.0,7497.953125,0.00188005,3.65886307,283.33444214,0.69015247,0.55363458,190347680324.05112,19198.15907429,0.00247025,3.69998513,435.87056662,0.85490541,0.55911117
random_IR_0022.npz,random_IR_0022.npz,443.452,0.11469385,52,CQT_L1,1.32e-06,0.1955372,True,31.46079812,2.27353999,25.87163808,77045653504.0,14392.76269531,0.00218588,1.20016134,813.94238281,0.51190203,0.54664189,199823286777.3368,5239.62812757,0.00385697,3.76649958,998.8470181,0.58962154,0.81162419
random_IR_0023.npz,random_IR_0023.npz,274.466,0.00178839,59,CQT_L1,1.12e-06,0.00010451,True,55.07692671,16.89502523,13.20333247,100568293376.0,11708.36816406,0.00470407,1.45889163,727.19897461,0.54337215,0.85147923,129299044475.57794,13129.09388595,0.00439203,1.45907795,807.32088554,0.54389183,0.8517401
random_IR_0024.npz,random_IR_0024.npz,406.952,0.00180437,54,CQT_L1,9.6e-07,0.00454551,True,97.88132241,12.81274168,9.05645097,132051918848.0,20627.65820312,0.00474515,2.4150598,886.45739746,0.51566136,0.68647301,197937911386.0695,20769.80429405,0.00388822,2.41527378,866.38366211,0.5157399,0.68638925
random_IR_0025.npz,random_IR_0025.npz,524.135,0.08109008,51,CQT_L1,1.01e-06,0.10340084,True,14.56669093,6.41154266,36.24138492,168536293376.0,7914.68066406,0.00184046,3.90367365,527.91705322,0.66695327,0.57043707,97599468309.14922,3451.55418078,0.00168652,3.21697263,521.04139584,0.51907568,0.89891187
random_IR_0026.npz,random_IR_0026.npz,615.619,0.06806658,58,CQT_L1,6.6e-07,0.0725074,True,23.459556,2.37829506,7.54707681,129538072576.0,13863.50097656,0.00169218,1.24369121,177.05107117,0.57493913,0.51089674,71871356218.2901,15672.99075616,0.00238141,1.7493816,928.08201265,0.59070014,0.81452442
random_IR_0027.npz,random_IR_0027.npz,371.583,0.08699084,49,CQT_L1,9.9e-07,0.05535012,True,60.25743054,3.90860155,3.86964679,97167556608.0,20019.63671875,0.00300992,3.00413227,233.17497253,0.5894751,0.77447474,148951818862.8186,13972.55997216,0.00195157,2.77396291,934.21465578,0.79905589,0.86775979
random_IR_0028.npz,random_IR_0028.npz,362.778,0.00043093,49,CQT_L1,1.06e-06,0.03456422,True,62.61054581,21.3098463,13.79291164,128944881664.0,12822.97363281,0.00488269,2.00468349,863.58172607,0.87249899,0.75034606,211488975667.54184,5930.42851055,0.00259288,2.00464049,209.85165054,0.87237989,0.75032482
random_IR_0029.npz,random_IR_0029.npz,593.49,0.09247502,38,CQT_L1,6.9e-07,0.00282026,True,32.68793205,3.92601526,13.73031061,219764047872.0,17453.22460938,0.00187289,1.78386426,448.81546021,0.81953657,0.69106424,114704769945.09769,10597.03256049,0.00201743,1.75950242,58.03858003,0.85120831,0.6950984
random_IR_0030.npz,random_IR_0030.npz,600.148,0.11358065,38,CQT_L1,1.19e-06,0.15448381,True,17.03576176,1.38969947,55.56716756,159605211136.0,14362.57324219,0.00118612,2.5991919,946.62902832,0.84682393,0.51810062,136415617217.07494,15202.58414177,0.00109871,1.62085066,67.25895897,0.77292381,0.94936893
random_IR_0031.npz,random_IR_0031.npz,552.338,0.00042375,60,CQT_L1,1.22e-06,4.99e-06,True,13.21710745,2.94720614,48.07455933,204994904064.0,10260.08496094,0.00128821,3.97178268,635.40661621,0.88173997,0.66681391,70159602918.25648,7380.46068266,0.00186759,3.97198295,663.08157232,0.88160554,0.6668084
random_IR_0032.npz,random_IR_0032.npz,341.903,0.08434306,54,CQT_L1,1.26e-06,0.02968899,True,76.49851028,14.39598004,13.07125798,188418162688.0,18953.015625,0.00403622,2.21976805,999.9317627,0.80009633,0.90327764,200515550283.45148,14254.85865951,0.00335327,2.21204529,831.05014475,0.6440356,0.90104295
random_IR_0033.npz,random_IR_0033.npz,336.521,0.00033704,30,CQT_L1,1.53e-06,0.00325332,True,16.69282576,67.28085791,21.9377753,158573428736.0,3879.25830078,0.0043031,1.63833582,366.20346069,0.8683998,0.63447368,211947700344.80545,6481.54432973,0.00481117,1.63834424,687.49140151,0.86811935,0.6344314
random_IR_0034.npz,random_IR_0034.npz,598.756,0.07920926,40,CQT_L1,8.5e-07,0.10560975,True,101.61823593,17.06486609,7.16471955,165574803456.0,20728.15820312,0.00490242,1.69219458,728.06616211,0.68074626,0.77228773,131976876718.98044,6330.43741829,0.0030728,1.71860473,25.67246143,0.69334329,0.73715196
random_IR_0035.npz,random_IR_0035.npz,271.697,0.00061036,30,CQT_L1,1.28e-06,0.00066337,True,8.9868657,31.37212728,55.15892727,153187401728.0,3272.76147461,0.00274596,1.90512764,495.70587158,0.57465577,0.86125809,146159003394.57947,4639.59889209,0.00334714,1.90512325,863.85696737,0.57471337,0.86126124
random_IR_0036.npz,random_IR_0036.npz,307.725,0.13712928,31,CQT_L1,2.05e-06,0.04756265,True,27.34718677,1.58171918,6.61511611,209765695488.0,20658.20703125,0.00132379,1.1260947,180.90481567,0.84449714,0.99940032,141672610939.29004,5153.13787566,0.00326169,2.24857314,183.28800342,0.68425024,0.97081165
random_IR_0037.npz,random_IR_0037.npz,365.601,0.00066879,30,CQT_L1,1.82e-06,1.009e-05,True,16.72072238,53.75079349,55.39208155,104618426368.0,3643.56860352,0.00458911,3.31940365,926.19561768,0.79649502,0.9813655,151485447898.1282,3998.34178631,0.00399465,3.31944324,903.72070255,0.79639327,0.98134883
random_IR_0038.npz,random_IR_0038.npz,383.168,0.15543523,52,CQT_L1,1.32e-06,0.01407979,True,15.46198574,26.31616107,3.9545882,166458916864.0,5122.56542969,0.00301841,1.98360944,61.14578629,0.7058084,0.90595496,209217985469.20517,2738.87703632,0.00196332,1.94722783,100.30293933,0.83825911,0.89472493
random_IR_0039.npz,random_IR_0039.npz,354.832,0.00185647,55,CQT_L1,1.46e-06,0.06944028,True,105.62336933,18.64755057,0.64453224,177936007168.0,21151.2734375,0.00499371,1.91719627,68.07766724,0.93918759,0.67547691,216556756380.9004,11559.79880357,0.00334564,1.91701731,63.96462657,0.93948757,0.67569789
