filename,target_npz,runtime,best_loss,best_popsize,loss_name,gt_loss,nmse,gt_available,mu,D_mu,T0_mu,E,rho,h,Ly,T0,op_x,op_y,gt_E,gt_rho,gt_h,gt_Ly,gt_T0,gt_op_x,gt_op_y
random_IR_0001.npz,random_IR_0001.npz,337.755,0.18565863,60,CQT+LogDec,1.536e-05,0.03331503,True,95.18444283,14.35020205,1.18292425,125442211840.0,19165.56835938,0.00496643,2.68139815,112.59598541,0.8195653,0.72042596,131819184298.85242,12673.80384034,0.00386076,2.69155916,602.76734844,0.82648812,0.72441773
random_IR_0002.npz,random_IR_0002.npz,419.161,0.26440394,60,CQT+LogDec,2.533e-05,0.01882948,True,77.82369994,18.46427164,10.65322315,214351085568.0,18419.94140625,0.00422497,3.69106627,829.07324219,0.62646723,0.96291906,147920922722.1944,17314.43071595,0.00485465,3.6861417,383.44768441,0.78834183,0.96354235
random_IR_0003.npz,random_IR_0003.npz,419.285,0.0010728,52,CQT+LogDec,3.543e-05,0.00134381,True,15.07221087,1.66308155,0.85763892,219990474752.0,13874.92285156,0.00108629,1.30602765,12.92651463,0.93632722,0.98946542,186057982895.32712,18083.2530963,0.00134852,1.30600457,20.22819526,0.93630595,0.98952299
random_IR_0004.npz,random_IR_0004.npz,320.572,0.00035237,60,CQT+LogDec,4.126e-05,0.00019587,True,16.79915508,25.51175348,59.05498146,212806041600.0,5936.83984375,0.00282965,3.41755986,992.0737915,0.58023483,0.97289073,164907916263.11115,4653.55920634,0.00284592,3.41755984,780.53137099,0.58024311,0.97288777
random_IR_0005.npz,random_IR_0005.npz,311.515,0.17895311,43,CQT+LogDec,1.115e-05,0.08029511,True,69.78414635,8.2797255,9.96104885,177306681344.0,21006.64648438,0.003322,3.47187209,695.12329102,0.52123934,0.61701053,136791000829.13193,16985.59336136,0.00265865,2.61336013,264.56296655,0.78853263,0.519207
random_IR_0006.npz,random_IR_0006.npz,329.523,0.00058646,55,CQT+LogDec,1.878e-05,0.00520653,True,87.8944632,8.97739776,8.78893563,72370094080.0,17689.94140625,0.00496861,2.89114928,772.4987793,0.68621475,0.72415257,171318505762.83295,20172.46387607,0.00344838,2.89114294,616.93782753,0.68615887,0.72414566
random_IR_0007.npz,random_IR_0007.npz,824.629,0.0003198,60,CQT+LogDec,1.214e-05,5.018e-05,True,20.46032689,0.90282194,35.72934398,87727685632.0,15348.61035156,0.00133304,3.12313843,731.03405762,0.57320136,0.66455823,99188531844.29764,15037.99194882,0.0012409,3.12313047,666.77004778,0.57317389,0.66455989
random_IR_0008.npz,random_IR_0008.npz,416.569,0.00050072,47,CQT+LogDec,1.205e-05,0.00084813,True,61.53508674,3.76182895,6.34322502,101677162496.0,20875.609375,0.0029477,2.15476227,390.3309021,0.61236256,0.58902752,82612856044.4483,21011.42815551,0.00328079,2.15476124,438.60712745,0.61234961,0.58904166
random_IR_0009.npz,random_IR_0009.npz,596.38,0.00033506,37,CQT+LogDec,1.075e-05,0.00230707,True,26.34594448,4.68302384,32.96993296,162038185984.0,12876.22851562,0.00204609,2.99400687,868.62402344,0.56405121,0.83160043,91322346297.76453,7025.20112963,0.00201317,2.99401414,466.31610975,0.56408382,0.8316015
random_IR_0010.npz,random_IR_0010.npz,329.029,0.00095034,50,CQT+LogDec,2.098e-05,0.00046136,True,37.3692485,1.29958412,11.55465782,93627580416.0,20756.7109375,0.00180035,1.50070405,431.78887939,0.92060167,0.55712968,81856495196.33838,17864.67272114,0.00178633,1.50073056,368.73148341,0.920593,0.55708822
