filename,target_npz,runtime,best_loss,best_popsize,loss_name,gt_loss,nmse,gt_available,mu,D_mu,T0_mu,E,rho,h,Ly,T0,op_x,op_y,gt_E,gt_rho,gt_h,gt_Ly,gt_T0,gt_op_x,gt_op_y
random_IR_0001.npz,random_IR_0001.npz,141.482,0.00237465,33,Dispersion,5e-08,0.0317514,True,94.13204068,13.99634455,7.01531358,122238648320.0,19018.31835938,0.00494955,2.69892335,660.36578369,0.81674725,0.72254121,131819184298.85242,12673.80384034,0.00386076,2.69155916,602.76734844,0.82648812,0.72441773
random_IR_0002.npz,random_IR_0002.npz,311.858,0.00067472,52,Dispersion,2e-07,0.00581779,True,64.6804879,17.98575226,3.17325923,165497389056.0,15069.03808594,0.00429228,3.68757963,205.24795532,0.78852695,0.96362102,147920922722.1944,17314.43071595,0.00485465,3.6861417,383.44768441,0.78834183,0.96354235
random_IR_0003.npz,random_IR_0003.npz,188.555,0.00091525,41,Dispersion,8.6e-07,5.6e-07,True,24.1973922,1.6641888,0.78950972,216702238720.0,18924.09570312,0.00127866,1.30622792,19.10407639,0.93633014,0.98941058,186057982895.32712,18083.2530963,0.00134852,1.30600457,20.22819526,0.93630595,0.98952299
random_IR_0004.npz,random_IR_0004.npz,178.658,0.00718124,37,Dispersion,1.9e-07,0.06754476,True,77.10119806,31.4193321,3.84561503,219031011328.0,15443.98828125,0.00499231,3.59774518,296.50152588,0.55111396,0.96996003,164907916263.11115,4653.55920634,0.00284592,3.41755984,780.53137099,0.58024311,0.97288777
random_IR_0005.npz,random_IR_0005.npz,256.625,0.00094237,38,Dispersion,1e-07,0.01018913,True,70.77449933,5.0950522,5.68806836,93493444608.0,20140.85351562,0.00351398,2.6210134,402.57019043,0.79391778,0.51748425,136791000829.13193,16985.59336136,0.00265865,2.61336013,264.56296655,0.78853263,0.519207
random_IR_0006.npz,random_IR_0006.npz,192.766,0.00104378,34,Dispersion,4e-08,4.725e-05,True,70.36446779,9.1558952,3.79288592,186211254272.0,20762.82617188,0.00338896,2.89914846,266.88439941,0.68369126,0.72113484,171318505762.83295,20172.46387607,0.00344838,2.89114294,616.93782753,0.68615887,0.72414566
random_IR_0007.npz,random_IR_0007.npz,327.943,0.00374299,56,Dispersion,9e-08,0.00050041,True,13.90761807,0.98527871,36.16570559,118589767680.0,12743.25488281,0.00109137,3.20992875,502.9788208,0.57347947,0.66565168,99188531844.29764,15037.99194882,0.0012409,3.12313047,666.77004778,0.57317389,0.66455989
random_IR_0008.npz,random_IR_0008.npz,242.452,0.00135077,50,Dispersion,1e-08,0.05395604,True,20.70728138,0.55872744,24.82689073,130018631680.0,20699.8125,0.00100036,1.32253706,514.09741211,0.57173735,0.52696824,82612856044.4483,21011.42815551,0.00328079,2.15476124,438.60712745,0.61234961,0.58904166
random_IR_0009.npz,random_IR_0009.npz,264.235,0.00500521,42,Dispersion,7e-08,0.00123712,True,21.72556868,4.61897143,34.22260776,80268984320.0,9000.44726562,0.00241383,2.99388385,743.50561523,0.54214698,0.83553559,91322346297.76453,7025.20112963,0.00201317,2.99401414,466.31610975,0.56408382,0.8316015
random_IR_0010.npz,random_IR_0010.npz,195.873,0.00920345,33,Dispersion,6e-08,0.12504568,True,23.86825224,1.26257142,12.22757057,90078191616.0,15344.43164062,0.0015555,3.98584104,291.85073853,0.90375918,0.51128054,81856495196.33838,17864.67272114,0.00178633,1.50073056,368.73148341,0.920593,0.55708822
random_IR_0011.npz,random_IR_0011.npz,169.001,0.00284309,53,Dispersion,3e-08,0.01395849,True,69.12982651,10.8595357,10.82449338,168469872640.0,18748.35351562,0.00368725,3.86647892,748.29534912,0.51501596,0.66040462,180107327647.94016,13801.09577121,0.0028746,3.93173245,976.76132058,0.52920202,0.64857541
random_IR_0012.npz,random_IR_0012.npz,147.368,0.00354185,48,Dispersion,3e-08,0.06440458,True,82.26042754,6.51181119,9.8230068,74435846144.0,19015.30273438,0.00432601,1.45420134,808.04473877,0.58209008,0.84821814,130382238160.7445,8408.08377261,0.00218456,1.44857003,118.73653168,0.54143227,0.84931134
random_IR_0013.npz,random_IR_0013.npz,202.527,0.00130519,41,Dispersion,1.6e-07,0.00030931,True,13.07097517,13.9007813,63.0639724,153789349888.0,5518.02294922,0.00236878,2.74369836,824.30761719,0.96521586,0.66616374,155119813820.09543,4196.08160226,0.00206156,2.74314422,523.25282099,0.96535514,0.66609879
random_IR_0014.npz,random_IR_0014.npz,146.879,0.00946141,55,Dispersion,9e-08,0.05891511,True,58.48026863,5.11670032,8.27349712,98807185408.0,18039.37890625,0.00324181,2.00649762,483.83633423,0.84927994,0.51850438,95028278387.08888,7870.83454741,0.00152719,3.0354901,716.33004085,0.79739134,0.5198527
random_IR_0015.npz,random_IR_0015.npz,260.489,0.00067265,49,Dispersion,6.6e-07,5.711e-05,True,9.56641387,2.19950661,88.81441985,196356734976.0,8988.53222656,0.00106429,3.50369263,849.63549805,0.98147231,0.63180107,179484685384.75702,7506.14989601,0.00101878,3.50392608,677.81975863,0.98147239,0.63188904
random_IR_0016.npz,random_IR_0016.npz,159.289,0.00146802,56,Dispersion,1.4e-07,0.00070862,True,17.59676263,32.51994996,27.21564222,164320821248.0,5181.05957031,0.00339636,2.77782941,478.90719604,0.7063024,0.92553288,212770598762.0987,6623.93469364,0.00336817,2.77085627,572.25618327,0.72909144,0.92474025
random_IR_0017.npz,random_IR_0017.npz,287.624,0.00578059,52,Dispersion,1.6e-07,0.06819719,True,87.53447856,9.67625678,11.17678102,128009666560.0,20808.80078125,0.00420661,3.15967011,978.35369873,0.81235188,0.94621927,201808789158.0077,9884.30792792,0.00218975,3.1284899,813.79968172,0.79482371,0.94205033
random_IR_0018.npz,random_IR_0018.npz,240.206,0.00252886,52,Dispersion,4e-08,0.00847886,True,102.59638344,10.93429973,7.13062161,102595043328.0,20629.19726562,0.00497336,3.11341524,731.57598877,0.73634094,0.79939085,165530500482.13452,20404.3723328,0.00390102,3.10834161,501.32936868,0.71768897,0.80713267
random_IR_0019.npz,random_IR_0019.npz,137.885,0.00344003,37,Dispersion,3e-08,0.02672849,True,10.71024969,9.39134642,80.25214471,216637915136.0,6172.83154297,0.00173506,1.40955651,859.52050781,0.58684731,0.70037621,161556360636.82275,7883.45901556,0.0022063,1.15566028,660.17693576,0.72009666,0.57638229
random_IR_0020.npz,random_IR_0020.npz,124.485,0.00078475,37,Dispersion,4e-08,0.00670341,True,64.15655988,12.09328049,13.94911617,88625061888.0,13892.50878906,0.00461807,1.96252,894.92730713,0.82964253,0.71630794,166939725438.14145,13227.31467837,0.00327986,1.96501875,590.87685252,0.8295306,0.72139503
random_IR_0021.npz,random_IR_0021.npz,169.288,0.00830882,36,Dispersion,8e-08,0.10351394,True,43.57714486,3.79014539,16.44934922,204456034304.0,20881.88476562,0.00208684,1.41973794,716.81567383,0.85913193,0.54358006,190347680324.05112,19198.15907429,0.00247025,3.69998513,435.87056662,0.85490541,0.55911117
random_IR_0022.npz,random_IR_0022.npz,138.388,0.00124617,43,Dispersion,7e-08,0.00018933,True,17.35339993,49.74781405,56.08292174,195695083520.0,4722.16162109,0.00367488,3.76765037,973.22937012,0.59357011,0.80853999,199823286777.3368,5239.62812757,0.00385697,3.76649958,998.8470181,0.58962154,0.81162419
random_IR_0023.npz,random_IR_0023.npz,156.896,0.00314005,55,Dispersion,5e-08,0.01913186,True,23.6712765,16.75746896,15.81961924,146714591232.0,7583.18945312,0.00312155,1.44971704,374.47058105,0.58582485,0.85444438,129299044475.57794,13129.09388595,0.00439203,1.45907795,807.32088554,0.54389183,0.8517401
random_IR_0024.npz,random_IR_0024.npz,163.475,0.00089769,46,Dispersion,2e-08,0.01629089,True,48.53828897,12.30746006,15.18983446,135322599424.0,13205.03125,0.00367574,2.38069153,737.28857422,0.53110081,0.68686205,197937911386.0695,20769.80429405,0.00388822,2.41527378,866.38366211,0.5157399,0.68638925
random_IR_0025.npz,random_IR_0025.npz,305.429,0.00327823,53,Dispersion,1.1e-07,0.10664483,True,81.4737414,16.55283469,5.09210859,157510844416.0,17773.52734375,0.00458399,3.94621873,414.87313843,0.51009053,0.90076411,97599468309.14922,3451.55418078,0.00168652,3.21697263,521.04139584,0.51907568,0.89891187
random_IR_0026.npz,random_IR_0026.npz,242.362,0.00515143,54,Dispersion,3e-08,0.14285666,True,9.50917195,1.21877555,61.84657763,114183864320.0,9097.83300781,0.00104521,3.96788359,588.10974121,0.6438114,0.60655117,71871356218.2901,15672.99075616,0.00238141,1.7493816,928.08201265,0.59070014,0.81452442
random_IR_0027.npz,random_IR_0027.npz,263.51,0.00730928,30,Dispersion,1e-07,0.08833568,True,21.91057514,6.06623813,36.20210416,121535201280.0,9491.01269531,0.00230856,3.96966004,793.20892334,0.51115721,0.81416857,148951818862.8186,13972.55997216,0.00195157,2.77396291,934.21465578,0.79905589,0.86775979
random_IR_0028.npz,random_IR_0028.npz,157.155,0.00021535,30,Dispersion,1e-07,0.03851945,True,65.23974082,21.27608937,13.89033856,197467848704.0,15199.3671875,0.00429227,2.00454569,906.2020874,0.87190276,0.75022781,211488975667.54184,5930.42851055,0.00259288,2.00464049,209.85165054,0.87237989,0.75032482
random_IR_0029.npz,random_IR_0029.npz,187.16,0.00592046,55,Dispersion,5e-08,0.01385889,True,47.92891417,3.84685958,11.60273279,92707012608.0,17009.1640625,0.00281783,2.08623719,556.10638428,0.85888875,0.66326088,114704769945.09769,10597.03256049,0.00201743,1.75950242,58.03858003,0.85120831,0.6950984
random_IR_0030.npz,random_IR_0030.npz,393.67,0.01529617,50,Dispersion,2.3e-07,0.05650446,True,25.95483378,0.89642187,17.39888055,67006115840.0,16480.18164062,0.00157491,2.79285359,451.58505249,0.76769483,0.74938381,136415617217.07494,15202.58414177,0.00109871,1.62085066,67.25895897,0.77292381,0.94936893
random_IR_0031.npz,random_IR_0031.npz,260.553,0.00157354,60,Dispersion,2.1e-07,0.00053232,True,19.64188281,2.934444,48.22275329,215012818944.0,13595.15234375,0.00144477,3.97086573,947.18566895,0.88227344,0.66616243,70159602918.25648,7380.46068266,0.00186759,3.97198295,663.08157232,0.88160554,0.6668084
random_IR_0032.npz,random_IR_0032.npz,180.347,0.00365305,39,Dispersion,1.3e-07,0.02436396,True,87.16431571,15.7691844,1.11407208,218423705600.0,21070.35351562,0.00413682,2.27676988,97.10733032,0.64506584,0.89957768,200515550283.45148,14254.85865951,0.00335327,2.21204529,831.05014475,0.6440356,0.90104295
random_IR_0033.npz,random_IR_0033.npz,100.0,0.00490671,53,Dispersion,7e-08,0.00186055,True,31.69298352,67.53385252,27.1186564,198584795136.0,6403.234375,0.00494953,1.66420579,859.47113037,0.84557432,0.68036938,211947700344.80545,6481.54432973,0.00481117,1.63834424,687.49140151,0.86811935,0.6344314
random_IR_0034.npz,random_IR_0034.npz,135.703,0.00200945,41,Dispersion,3e-08,0.10549,True,101.3210262,17.40608301,0.67979528,161678557184.0,20389.16015625,0.00496936,1.71223092,68.87755585,0.64472365,0.74069995,131976876718.98044,6330.43741829,0.0030728,1.71860473,25.67246143,0.69334329,0.73715196
random_IR_0035.npz,random_IR_0035.npz,118.817,0.0028168,40,Dispersion,7e-08,0.01014654,True,33.9219112,35.73720433,13.467298,129180319744.0,7177.30322266,0.00472628,1.9701308,456.83648682,0.51003522,0.87265199,146159003394.57947,4639.59889209,0.00334714,1.90512325,863.85696737,0.57471337,0.86126124
