filename,target_npz,runtime,best_loss,best_popsize,loss_name,gt_loss,nmse,gt_available,mu,D_mu,T0_mu,E,rho,h,Ly,T0,op_x,op_y,gt_E,gt_rho,gt_h,gt_Ly,gt_T0,gt_op_x,gt_op_y
random_IR_0001.npz,random_IR_0001.npz,277.333,0.00046623,50,Envelope,1.86e-06,0.01346809,True,78.41479668,13.78080575,12.27997837,194295054336.0,19751.9609375,0.00396998,2.69162011,962.93200684,0.82651174,0.72442412,131819184298.85242,12673.80384034,0.00386076,2.69155916,602.76734844,0.82648812,0.72441773
random_IR_0002.npz,random_IR_0002.npz,337.932,0.00022356,51,Envelope,2.79e-06,0.05061174,True,26.89926814,17.89766631,4.60007204,94397489152.0,6974.24951172,0.00385694,3.68618536,123.73857117,0.78828782,0.96356446,147920922722.1944,17314.43071595,0.00485465,3.6861417,383.44768441,0.78834183,0.96354235
random_IR_0003.npz,random_IR_0003.npz,226.631,0.18212116,35,Envelope,4.13e-06,0.00274177,True,22.56881681,1.64940492,27.7124846,219979464704.0,18209.86132812,0.00123937,1.3024205,625.43798828,0.98592383,0.96979451,186057982895.32712,18083.2530963,0.00134852,1.30600457,20.22819526,0.93630595,0.98952299
random_IR_0004.npz,random_IR_0004.npz,228.819,0.00054043,33,Envelope,3.83e-06,0.00020982,True,16.92349084,25.51275979,59.01793905,77631291392.0,4262.87158203,0.00396997,3.41757989,998.78955078,0.58006716,0.97286546,164907916263.11115,4653.55920634,0.00284592,3.41755984,780.53137099,0.58024311,0.97288777
random_IR_0005.npz,random_IR_0005.npz,319.611,0.00014594,60,Envelope,1.17e-06,0.00055251,True,39.18688739,5.05993351,5.85496414,178436325376.0,16884.53710938,0.00232087,2.61333799,229.43782043,0.7885384,0.51919454,136791000829.13193,16985.59336136,0.00265865,2.61336013,264.56296655,0.78853263,0.519207
random_IR_0006.npz,random_IR_0006.npz,302.898,0.00022606,42,Envelope,2.25e-06,0.00740806,True,47.6953223,8.97683017,8.87533409,204934807552.0,16650.62695312,0.00286448,2.89114952,423.31192017,0.68625188,0.72415042,171318505762.83295,20172.46387607,0.00344838,2.89114294,616.93782753,0.68615887,0.72414566
random_IR_0007.npz,random_IR_0007.npz,750.18,0.00035761,60,Envelope,1.79e-06,0.00025921,True,22.75101132,0.90300952,35.73346529,148890058752.0,19649.01367188,0.00115787,3.12332511,812.97247314,0.57316887,0.66457283,99188531844.29764,15037.99194882,0.0012409,3.12313047,666.77004778,0.57317389,0.66455989
random_IR_0008.npz,random_IR_0008.npz,258.033,0.00023821,31,Envelope,5.8e-07,0.04726891,True,13.69754947,3.76193787,6.36525704,80790847488.0,7101.68261719,0.00192878,2.15480828,87.18842316,0.61234266,0.58905298,82612856044.4483,21011.42815551,0.00328079,2.15476124,438.60712745,0.61234961,0.58904166
random_IR_0009.npz,random_IR_0009.npz,404.565,0.00028141,57,Envelope,2.31e-06,0.0020571,True,25.66591638,4.6827451,32.9736027,142859698176.0,12133.61132812,0.00211527,2.99395823,846.29772949,0.5640915,0.83159357,91322346297.76453,7025.20112963,0.00201317,2.99401414,466.31610975,0.56408382,0.8316015
random_IR_0010.npz,random_IR_0010.npz,398.819,0.17810716,47,Envelope,1.83e-06,0.02243096,True,12.93646547,1.22358764,73.58382975,175839281152.0,12882.09570312,0.00100422,1.26928437,951.91467285,0.90433586,0.68758309,81856495196.33838,17864.67272114,0.00178633,1.50073056,368.73148341,0.920593,0.55708822
