filename,target_npz,runtime,best_loss,best_popsize,loss_name,gt_loss,nmse,gt_available,mu,D_mu,T0_mu,E,rho,h,Ly,T0,op_x,op_y,gt_E,gt_rho,gt_h,gt_Ly,gt_T0,gt_op_x,gt_op_y
random_IR_0001.npz,random_IR_0001.npz,232.148,5.31e-06,35,ESR,0.0,4.177e-05,True,47.28871214,13.78249577,12.21483422,153969360896.0,13046.36816406,0.00362466,2.69168663,577.6237793,0.82645911,0.72434705,131819184298.85242,12673.80384034,0.00386076,2.69155916,602.76734844,0.82648812,0.72441773
random_IR_0002.npz,random_IR_0002.npz,263.83,4.176e-05,43,ESR,0.0,0.00037947,True,89.0045765,17.89426551,4.56491858,189125607424.0,19524.03320312,0.00455872,3.68615103,406.29864502,0.78844374,0.96353233,147920922722.1944,17314.43071595,0.00485465,3.6861417,383.44768441,0.78834183,0.96354235
random_IR_0003.npz,random_IR_0003.npz,166.326,0.71844369,57,ESR,0.0,0.00113185,True,20.88053813,1.66520069,10.84811946,83971776512.0,12502.56738281,0.0016701,1.3046515,226.51457214,0.97092062,0.99350065,186057982895.32712,18083.2530963,0.00134852,1.30600457,20.22819526,0.93630595,0.98952299
random_IR_0004.npz,random_IR_0004.npz,211.114,1.99e-06,60,ESR,0.0,0.00021227,True,16.94502126,25.51183787,58.96124489,101197856768.0,4660.72802734,0.0036357,3.41757512,999.09954834,0.58039784,0.97288585,164907916263.11115,4653.55920634,0.00284592,3.41755984,780.53137099,0.58024311,0.97288777
random_IR_0005.npz,random_IR_0005.npz,334.177,1.176e-05,39,ESR,0.0,0.0012826,True,54.25732184,5.0591538,5.94592029,113753620480.0,18053.046875,0.00300544,2.61332679,322.60971069,0.78858978,0.51896852,136791000829.13193,16985.59336136,0.00265865,2.61336013,264.56296655,0.78853263,0.519207
random_IR_0006.npz,random_IR_0006.npz,299.353,2.36e-05,51,ESR,0.0,0.00683078,True,48.56476273,8.97691716,9.11347561,204487294976.0,16840.03710938,0.00288389,2.89118671,442.59378052,0.68593246,0.72423112,171318505762.83295,20172.46387607,0.00344838,2.89114294,616.93782753,0.68615887,0.72414566
random_IR_0007.npz,random_IR_0007.npz,630.821,8.481e-05,48,ESR,0.0,0.00033169,True,23.28652926,0.90284383,35.80822345,179152027648.0,21227.00390625,0.00109702,3.12300944,833.84924316,0.57277149,0.66429251,99188531844.29764,15037.99194882,0.0012409,3.12313047,666.77004778,0.57317389,0.66455989
random_IR_0008.npz,random_IR_0008.npz,300.911,6.55e-06,33,ESR,0.0,0.01875214,True,34.14340458,3.76167349,6.36723627,106396172288.0,14310.95703125,0.00238582,2.15480185,217.39912415,0.61237305,0.58946401,82612856044.4483,21011.42815551,0.00328079,2.15476124,438.60712745,0.61234961,0.58904166
random_IR_0009.npz,random_IR_0009.npz,446.466,2.114e-05,46,ESR,0.0,0.00294014,True,27.91872073,4.68325828,32.82627669,145410736128.0,12909.08984375,0.00216272,2.99410892,916.46765137,0.56383675,0.83156335,91322346297.76453,7025.20112963,0.00201317,2.99401414,466.31610975,0.56408382,0.8316015
random_IR_0010.npz,random_IR_0010.npz,481.414,2.596e-05,57,ESR,0.0,0.00446692,True,14.9323235,1.29950667,11.63197702,214653075456.0,14848.64941406,0.00100564,1.50069344,173.69244385,0.92023671,0.55741435,81856495196.33838,17864.67272114,0.00178633,1.50073056,368.73148341,0.920593,0.55708822
random_IR_0011.npz,random_IR_0011.npz,326.913,6.338e-05,30,ESR,0.0,0.00054486,True,33.74560163,9.58459277,24.64607579,191865257984.0,12654.20410156,0.00266675,3.93142486,831.69665527,0.52840388,0.64810151,180107327647.94016,13801.09577121,0.0028746,3.93173245,976.76132058,0.52920202,0.64857541
random_IR_0012.npz,random_IR_0012.npz,208.347,3.772e-05,32,ESR,0.0,7.1e-06,True,17.69858294,6.57969819,6.32740742,86805463040.0,7161.79443359,0.00247125,1.44879448,111.98614502,0.54181534,0.84908974,130382238160.7445,8408.08377261,0.00218456,1.44857003,118.73653168,0.54143227,0.84931134
random_IR_0013.npz,random_IR_0013.npz,222.406,0.30536279,56,ESR,0.0,0.08528992,True,65.62635983,13.95624793,0.00696309,158445322240.0,16319.42871094,0.00402136,1.62864065,0.45696223,0.9213255,0.75458801,155119813820.09543,4196.08160226,0.00206156,2.74314422,523.25282099,0.96535514,0.66609879
random_IR_0014.npz,random_IR_0014.npz,347.974,2.317e-05,58,ESR,0.0,0.00022617,True,15.84069491,2.50323937,59.53602323,218958577664.0,12495.44824219,0.00126772,3.03529406,943.09197998,0.79737681,0.51961976,95028278387.08888,7870.83454741,0.00152719,3.0354901,716.33004085,0.79739134,0.5198527
random_IR_0015.npz,random_IR_0015.npz,373.742,0.00022011,60,ESR,0.0,5.715e-05,True,5.73023027,2.20589864,88.23992183,137492103168.0,5666.23535156,0.00101129,3.50366998,505.6350708,0.98117155,0.63188404,179484685384.75702,7506.14989601,0.00101878,3.50392608,677.81975863,0.98147239,0.63188904
random_IR_0016.npz,random_IR_0016.npz,203.681,2.459e-05,45,ESR,0.0,0.00166184,True,11.95522243,32.38397585,25.98877867,90534920192.0,3287.12524414,0.00363698,2.77069259,310.70162964,0.72986907,0.92477036,212770598762.0987,6623.93469364,0.00336817,2.77085627,572.25618327,0.72909144,0.92474025
random_IR_0017.npz,random_IR_0017.npz,266.201,3.816e-05,56,ESR,0.0,0.0002255,True,25.459093,8.69897734,37.74879607,91851759616.0,8473.26660156,0.00300464,3.12802672,961.05010986,0.79481888,0.94204003,201808789158.0077,9884.30792792,0.00218975,3.1284899,813.79968172,0.79482371,0.94205033
