filename,target_npz,runtime,best_loss,best_popsize,loss_name,gt_loss,nmse,gt_available,mu,D_mu,T0_mu,E,rho,h,Ly,T0,op_x,op_y,gt_E,gt_rho,gt_h,gt_Ly,gt_T0,gt_op_x,gt_op_y
random_IR_0001.npz,random_IR_0001.npz,204.214,0.0003166,35,Gammatone,6.7e-07,0.00561471,True,29.8934171,13.77882788,12.51806789,148236697600.0,9489.58789062,0.00315013,2.69151688,374.20782471,0.82639164,0.72449327,131819184298.85242,12673.80384034,0.00386076,2.69155916,602.76734844,0.82648812,0.72441773
random_IR_0002.npz,random_IR_0002.npz,230.759,0.00073387,55,Gammatone,9.9e-07,0.00274804,True,70.73937633,17.89494745,5.39541043,148333264896.0,15448.7265625,0.00457898,3.68589687,381.66796875,0.78889543,0.96347964,147920922722.1944,17314.43071595,0.00485465,3.6861417,383.44768441,0.78834183,0.96354235
random_IR_0003.npz,random_IR_0003.npz,215.397,0.08515983,53,Gammatone,1.6e-06,0.16819344,True,18.27148847,107.87841628,37.4049355,218004881408.0,3914.19384766,0.00466801,3.69670367,683.44384766,0.84049374,0.99996519,186057982895.32712,18083.2530963,0.00134852,1.30600457,20.22819526,0.93630595,0.98952299
random_IR_0004.npz,random_IR_0004.npz,192.88,0.00050015,36,Gammatone,1.85e-06,0.00020258,True,16.85824583,25.50466861,59.22454485,148877852672.0,5283.16552734,0.00319094,3.41750026,998.42193604,0.58058918,0.97287416,164907916263.11115,4653.55920634,0.00284592,3.41755984,780.53137099,0.58024311,0.97288777
random_IR_0005.npz,random_IR_0005.npz,363.492,0.00022831,30,Gammatone,1.8e-07,0.03136345,True,90.15220972,5.06121593,5.83090946,67031023616.0,21229.53125,0.00424655,2.61374521,525.66937256,0.78831655,0.51915312,136791000829.13193,16985.59336136,0.00265865,2.61336013,264.56296655,0.78853263,0.519207
random_IR_0006.npz,random_IR_0006.npz,246.456,0.00040378,51,Gammatone,7.4e-07,0.00058941,True,75.73033879,8.97772307,8.89506656,121255419904.0,19024.24414062,0.00398073,2.89093518,673.62640381,0.68613499,0.72401768,171318505762.83295,20172.46387607,0.00344838,2.89114294,616.93782753,0.68615887,0.72414566
random_IR_0007.npz,random_IR_0007.npz,678.532,0.02160128,44,Gammatone,4.4e-07,0.03689484,True,25.49543814,0.47924982,26.41385955,78647705600.0,21165.67773438,0.00120457,2.44160986,673.43292236,0.75392598,0.58676326,99188531844.29764,15037.99194882,0.0012409,3.12313047,666.77004778,0.57317389,0.66455989
random_IR_0008.npz,random_IR_0008.npz,303.292,0.00037882,50,Gammatone,1.7e-07,0.0270373,True,27.15876803,3.76130067,6.3282153,124447236096.0,12945.0859375,0.002098,2.15442228,171.86653137,0.61269909,0.58907795,82612856044.4483,21011.42815551,0.00328079,2.15476124,438.60712745,0.61234961,0.58904166
random_IR_0009.npz,random_IR_0009.npz,606.096,0.0006271,56,Gammatone,8.1e-07,0.00079751,True,21.31503002,4.68494286,32.97434348,150612606976.0,10909.18066406,0.00195386,2.99478149,702.84912109,0.56320155,0.83139026,91322346297.76453,7025.20112963,0.00201317,2.99401414,466.31610975,0.56408382,0.8316015
random_IR_0010.npz,random_IR_0010.npz,303.391,0.05225994,47,Gammatone,5e-07,0.08968147,True,21.601406,1.26046756,0.08938077,206018494464.0,18926.13867188,0.00114135,1.8977536,1.93075037,0.90773678,0.90633106,81856495196.33838,17864.67272114,0.00178633,1.50073056,368.73148341,0.920593,0.55708822
random_IR_0011.npz,random_IR_0011.npz,325.085,0.00051188,49,Gammatone,4.4e-07,7.34e-06,True,40.35231071,9.58085447,24.74761863,73281601536.0,10344.86914062,0.00390071,3.93123245,998.62359619,0.52966744,0.6484676,180107327647.94016,13801.09577121,0.0028746,3.93173245,976.76132058,0.52920202,0.64857541
random_IR_0012.npz,random_IR_0012.npz,189.93,0.00076253,51,Gammatone,1.5e-07,0.00521568,True,36.71514892,6.58291909,6.38918877,179548618752.0,14839.99902344,0.00247407,1.44855762,234.58001709,0.54071808,0.84874189,130382238160.7445,8408.08377261,0.00218456,1.44857003,118.73653168,0.54143227,0.84931134
random_IR_0013.npz,random_IR_0013.npz,183.546,0.00091648,60,Gammatone,1.11e-06,0.00024183,True,4.70219059,13.96341767,61.03580408,208314793984.0,3083.60522461,0.0015249,2.74310279,287.00198364,0.96527207,0.66625506,155119813820.09543,4196.08160226,0.00206156,2.74314422,523.25282099,0.96535514,0.66609879
random_IR_0014.npz,random_IR_0014.npz,353.757,0.00052529,53,Gammatone,4.2e-07,0.00032234,True,16.58034133,2.50081867,59.52872576,165862670336.0,11746.27832031,0.00141154,3.03617597,987.0065918,0.79788494,0.51985466,95028278387.08888,7870.83454741,0.00152719,3.0354901,716.33004085,0.79739134,0.5198527
random_IR_0015.npz,random_IR_0015.npz,358.153,0.00033366,33,Gammatone,1.24e-06,0.00019217,True,11.16904985,2.20548748,88.6057819,164180361216.0,9380.63378906,0.00119065,3.50397563,989.64239502,0.98143858,0.63189107,179484685384.75702,7506.14989601,0.00101878,3.50392608,677.81975863,0.98147239,0.63188904
random_IR_0016.npz,random_IR_0016.npz,268.023,0.00243331,60,Gammatone,5.6e-07,0.0003962,True,17.28217936,32.37315002,23.5786441,194448769024.0,5422.77490234,0.00318696,2.76997352,407.49035645,0.72961634,0.92445821,212770598762.0987,6623.93469364,0.00336817,2.77085627,572.25618327,0.72909144,0.92474025
random_IR_0017.npz,random_IR_0017.npz,375.327,0.00031115,33,Gammatone,6.6e-07,0.00043301,True,16.35767999,8.70008409,37.4139432,158555406336.0,7568.02978516,0.00216142,3.12855744,612.00531006,0.79494488,0.9420138,201808789158.0077,9884.30792792,0.00218975,3.1284899,813.79968172,0.79482371,0.94205033
random_IR_0018.npz,random_IR_0018.npz,360.258,0.00038267,40,Gammatone,6.7e-07,0.00453746,True,96.71145389,10.97608571,6.23499491,119744880640.0,20854.71484375,0.00463739,3.10827208,602.99542236,0.7179178,0.8071326,165530500482.13452,20404.3723328,0.00390102,3.10834161,501.32936868,0.71768897,0.80713267
