filename,target_npz,runtime,best_loss,best_popsize,loss_name,gt_loss,nmse,gt_available,mu,D_mu,T0_mu,E,rho,h,Ly,T0,op_x,op_y,gt_E,gt_rho,gt_h,gt_Ly,gt_T0,gt_op_x,gt_op_y
random_IR_0001.npz,random_IR_0001.npz,301.821,0.02056257,54,GroupDelay,0.03867037,0.00520089,True,67.25262802,13.77907293,12.42275092,173012926464.0,17154.37304688,0.00392044,2.69156861,835.46264648,0.82644159,0.72443783,131819184298.85242,12673.80384034,0.00386076,2.69155916,602.76734844,0.82648812,0.72441773
random_IR_0002.npz,random_IR_0002.npz,512.481,0.02191656,52,GroupDelay,0.03748592,0.00053756,True,78.16517527,17.89750649,4.3998339,162227929088.0,17011.23046875,0.00459492,3.68614435,343.91378784,0.78834897,0.96355444,147920922722.1944,17314.43071595,0.00485465,3.6861417,383.44768441,0.78834183,0.96354235
random_IR_0003.npz,random_IR_0003.npz,1532.779,1.81302524,46,GroupDelay,0.13528024,0.38371671,True,40.63327726,1.97408528,9.74314631,95246172160.0,19202.78710938,0.00211601,3.98219752,395.89596558,0.5991649,0.51135725,186057982895.32712,18083.2530963,0.00134852,1.30600457,20.22819526,0.93630595,0.98952299
random_IR_0004.npz,random_IR_0004.npz,770.746,0.02583076,47,GroupDelay,0.03779887,0.00019456,True,16.78690582,25.51086535,59.16204299,130071666688.0,5035.95800781,0.00333341,3.41755295,993.14764404,0.58028829,0.97289395,164907916263.11115,4653.55920634,0.00284592,3.41755984,780.53137099,0.58024311,0.97288777
random_IR_0005.npz,random_IR_0005.npz,471.311,0.0269562,33,GroupDelay,0.03609952,0.0123576,True,16.9160844,5.05998691,5.89328639,194008023040.0,9916.82128906,0.0017058,2.61336064,99.69132996,0.78844267,0.51920712,136791000829.13193,16985.59336136,0.00265865,2.61336013,264.56296655,0.78853263,0.519207
random_IR_0006.npz,random_IR_0006.npz,384.705,0.01246996,47,GroupDelay,0.02403893,0.01326551,True,98.82410776,8.97662779,8.8317004,96862380032.0,21080.0546875,0.00468804,2.89117193,872.78491211,0.68622243,0.7241497,171318505762.83295,20172.46387607,0.00344838,2.89114294,616.93782753,0.68615887,0.72414566
random_IR_0007.npz,random_IR_0007.npz,1363.879,0.02314299,37,GroupDelay,0.03399607,0.00039857,True,23.7327798,0.90287529,35.72112254,165751767040.0,20947.15429688,0.00113298,3.12309813,847.76153564,0.57321668,0.66458088,99188531844.29764,15037.99194882,0.0012409,3.12313047,666.77004778,0.57317389,0.66455989
random_IR_0008.npz,random_IR_0008.npz,474.542,0.01706719,55,GroupDelay,0.02988018,0.00270666,True,55.71634809,3.7622519,6.37973007,121103474688.0,20709.70117188,0.00269035,2.15479827,355.45526123,0.61237746,0.58910704,82612856044.4483,21011.42815551,0.00328079,2.15476124,438.60712745,0.61234961,0.58904166
random_IR_0009.npz,random_IR_0009.npz,544.197,0.01364607,47,GroupDelay,0.01818036,0.00179839,True,24.9169698,4.68310494,32.99422423,96489095168.0,10437.44238281,0.00238727,2.9940269,822.11608887,0.56410688,0.83160329,91322346297.76453,7025.20112963,0.00201317,2.99401414,466.31610975,0.56408382,0.8316015
random_IR_0010.npz,random_IR_0010.npz,528.288,1.39637256,45,GroupDelay,0.03529174,0.01983903,True,17.36536802,0.68388901,0.16730214,75440168960.0,14353.04882812,0.00120987,2.29796815,2.90526319,0.85815495,0.51675159,81856495196.33838,17864.67272114,0.00178633,1.50073056,368.73148341,0.920593,0.55708822
