filename,target_npz,runtime,best_loss,best_popsize,loss_name,gt_loss,nmse,gt_available,mu,D_mu,T0_mu,E,rho,h,Ly,T0,op_x,op_y,gt_E,gt_rho,gt_h,gt_Ly,gt_T0,gt_op_x,gt_op_y
random_IR_0001.npz,random_IR_0001.npz,242.325,0.00020878,51,L1_STFT,1.403e-05,0.00833818,True,25.7312364,13.78049871,12.33681328,108546936972.60977,7739.39730056,0.00332471,2.69155735,317.44145898,0.8264995,0.72441749,131819184298.85242,12673.80384034,0.00386076,2.69155916,602.76734844,0.82648812,0.72441773
random_IR_0002.npz,random_IR_0002.npz,303.75,0.00030398,46,L1_STFT,2.066e-05,0.00087265,True,91.56066678,17.8970465,4.56289237,184688516254.494,19738.2191046,0.00463875,3.68614081,417.7814675,0.78835911,0.96354734,147920922722.1944,17314.43071595,0.00485465,3.6861417,383.44768441,0.78834183,0.96354235
random_IR_0003.npz,random_IR_0003.npz,317.45,0.00041959,43,L1_STFT,4.55e-05,0.00397215,True,40.39777842,1.66313589,0.84314459,68239924914.61219,18122.76320898,0.00222912,1.30600417,34.06116842,0.93630032,0.98952966,186057982895.32712,18083.2530963,0.00134852,1.30600457,20.22819526,0.93630595,0.98952299
random_IR_0004.npz,random_IR_0004.npz,307.334,0.00025137,43,L1_STFT,2.43e-05,0.00018856,True,9.75500377,25.51241884,58.88544487,159391246348.92535,3752.65290663,0.0025995,3.41755952,574.42773697,0.58024934,0.97288982,164907916263.11115,4653.55920634,0.00284592,3.41755984,780.53137099,0.58024311,0.97288777
random_IR_0005.npz,random_IR_0005.npz,334.69,0.00067205,59,L1_STFT,8.55e-06,0.00232102,True,32.91883425,5.05976745,5.86821199,115042904912.31372,12986.3932982,0.00253487,2.61334505,193.17469789,0.78859633,0.51920403,136791000829.13193,16985.59336136,0.00265865,2.61336013,264.56296655,0.78853263,0.519207
random_IR_0006.npz,random_IR_0006.npz,323.117,0.00019855,60,L1_STFT,1.207e-05,0.00969567,True,94.57891266,8.97677452,8.8686636,97060314438.94812,20485.77960609,0.00461681,2.89113972,838.78855991,0.68613622,0.72414119,171318505762.83295,20172.46387607,0.00344838,2.89114294,616.93782753,0.68615887,0.72414566
random_IR_0007.npz,random_IR_0007.npz,932.618,0.0003277,37,L1_STFT,1.17e-05,7.92e-06,True,17.94556837,0.90279615,35.72657796,179132106464.9871,17842.20599688,0.00100579,3.12314011,641.13374725,0.57318461,0.66455471,99188531844.29764,15037.99194882,0.0012409,3.12313047,666.77004778,0.57317389,0.66455989
random_IR_0008.npz,random_IR_0008.npz,304.557,0.0001966,32,L1_STFT,6.83e-06,0.00322856,True,54.4981657,3.76171045,6.3630535,111139662792.24377,19831.93024135,0.002748,2.15475761,346.77474414,0.61234593,0.58905184,82612856044.4483,21011.42815551,0.00328079,2.15476124,438.60712745,0.61234961,0.58904166
random_IR_0009.npz,random_IR_0009.npz,499.706,0.00031934,58,L1_STFT,1.049e-05,0.00236484,True,26.49778992,4.68314098,32.95659285,178527769348.63254,13349.91324254,0.00198487,2.99401542,873.27687395,0.56406568,0.83160407,91322346297.76453,7025.20112963,0.00201317,2.99401414,466.31610975,0.56408382,0.8316015
random_IR_0010.npz,random_IR_0010.npz,439.595,0.0004183,41,L1_STFT,1.332e-05,0.00044226,True,26.56931338,1.29968988,11.56017671,89094238274.74167,16263.20015026,0.00163371,1.50073393,307.1459578,0.92060111,0.55709634,81856495196.33838,17864.67272114,0.00178633,1.50073056,368.73148341,0.920593,0.55708822
