filename,target_npz,runtime,best_loss,best_popsize,loss_name,gt_loss,nmse,gt_available,mu,D_div_mu,T0_div_mu,Ly,op_x,op_y,gt_mu,gt_D_div_mu,gt_T0_div_mu,gt_Ly,gt_op_x,gt_op_y
random_IR_0001.npz,random_IR_0001.npz,250.252,0.00017162,47,L1_STFT,1.28e-05,0.00111018,True,40.46534164,13.78032441,12.31430879,2.69155749,0.82649179,0.72442053,48.93048279,13.78047401,12.31885144,2.69155916,0.82648812,0.72441773
random_IR_0002.npz,random_IR_0002.npz,189.092,0.00027085,42,L1_STFT,2.039e-05,0.0078623,True,61.52802749,17.89720346,4.53022948,3.68615275,0.78833486,0.96354335,84.05551912,17.89719226,4.56183828,3.6861417,0.78834183,0.96354235
random_IR_0003.npz,random_IR_0003.npz,174.028,0.76621264,60,L1_STFT,4.661e-05,0.13057597,True,101.72322398,26.60192936,34.65212819,2.61241081,0.87210833,0.9882002,24.38557781,1.663153,0.8295147,1.30600457,0.93630595,0.98952299
random_IR_0004.npz,random_IR_0004.npz,226.955,0.00020427,54,L1_STFT,2.324e-05,0.03864449,True,63.18748463,25.51225875,58.88921358,3.41755758,0.58024815,0.97289046,13.24364535,25.5122249,58.93629364,3.41755984,0.58024311,0.97288777
random_IR_0005.npz,random_IR_0005.npz,449.048,0.0001507,49,L1_STFT,8.55e-06,0.00393269,True,29.22623609,5.05997977,5.86060239,2.61336933,0.78853991,0.51920485,45.15870974,5.05994605,5.85851474,2.61336013,0.78853263,0.519207
random_IR_0006.npz,random_IR_0006.npz,326.013,0.000144,56,L1_STFT,1.206e-05,0.03467102,True,22.2558124,8.97693066,8.86280495,2.89114786,0.686169,0.72414442,69.5623793,8.97684595,8.8688431,2.89114294,0.68615887,0.72414566
random_IR_0007.npz,random_IR_0007.npz,714.289,0.00016618,48,L1_STFT,1.178e-05,0.06586928,True,83.86547429,0.90282612,35.73130996,3.1231348,0.57317221,0.66455847,18.66067258,0.90280505,35.73129773,3.12313047,0.57317389,0.66455989
random_IR_0008.npz,random_IR_0008.npz,334.122,0.0001587,60,L1_STFT,6.75e-06,0.02158755,True,31.60558356,3.7618304,6.35901069,2.15476233,0.61235131,0.58904885,68.93402206,3.76179941,6.36270907,2.15476124,0.61234961,0.58904166
random_IR_0009.npz,random_IR_0009.npz,418.3,0.00013631,44,L1_STFT,9.53e-06,0.00586043,True,33.59214174,4.68305505,32.96324978,2.9940163,0.56408757,0.83160334,14.14289894,4.68301045,32.9717487,2.99401414,0.56408382,0.8316015
random_IR_0010.npz,random_IR_0010.npz,315.434,0.49922416,51,L1_STFT,1.342e-05,0.14899331,True,13.3508654,10.25838681,69.768646,2.88134173,0.620484,0.79717954,31.91219094,1.29965677,11.55456497,1.50073056,0.920593,0.55708822
random_IR_0011.npz,random_IR_0011.npz,334.326,0.00027035,43,L1_STFT,1.169e-05,0.00637031,True,19.39501271,9.5855265,24.61964099,3.93174149,0.52917406,0.6485784,39.67269624,9.58565039,24.62049251,3.93173245,0.52920202,0.64857541
