filename,target_npz,runtime,best_loss,best_popsize,loss_name,gt_loss,nmse,gt_available,fixed_mu,mu,D_div_mu,T0_div_mu,Ly,op_x,op_y,gt_mu,gt_D_div_mu,gt_T0_div_mu,gt_Ly,gt_op_x,gt_op_y
random_IR_0001.npz,random_IR_0001.npz,253.751,0.00017166,46,L1_STFT,1.28e-05,0.0,True,54.29,54.29,13.78061313,12.3206277,2.69155807,0.82648073,0.72441585,48.93048279,13.78047401,12.31885144,2.69155916,0.82648812,0.72441773
random_IR_0002.npz,random_IR_0002.npz,225.77,0.00015991,44,L1_STFT,2.039e-05,0.0,True,54.29,54.29,17.89718038,4.53139709,3.68614162,0.78834923,0.96354065,84.05551912,17.89719226,4.56183828,3.6861417,0.78834183,0.96354235
random_IR_0003.npz,random_IR_0003.npz,182.623,0.76629138,50,L1_STFT,4.661e-05,0.04511936,True,54.29,54.29,26.60709042,29.8996568,2.61250017,0.8723761,0.98840828,24.38557781,1.663153,0.8295147,1.30600457,0.93630595,0.98952299
random_IR_0004.npz,random_IR_0004.npz,241.534,0.00011278,54,L1_STFT,2.324e-05,0.0,True,54.29,54.29,25.51229979,58.9150309,3.41755877,0.58023843,0.9728888,13.24364535,25.5122249,58.93629364,3.41755984,0.58024311,0.97288777
random_IR_0005.npz,random_IR_0005.npz,334.594,0.00011505,42,L1_STFT,8.55e-06,0.0,True,54.29,54.29,5.05999207,5.86035596,2.61336481,0.78853351,0.51921032,45.15870974,5.05994605,5.85851474,2.61336013,0.78853263,0.519207
random_IR_0006.npz,random_IR_0006.npz,318.855,0.00017663,51,L1_STFT,1.206e-05,0.0,True,54.29,54.29,8.97677058,8.86441008,2.89113864,0.68616827,0.72414052,69.5623793,8.97684595,8.8688431,2.89114294,0.68615887,0.72414566
random_IR_0007.npz,random_IR_0007.npz,636.45,0.00017931,46,L1_STFT,1.178e-05,0.0,True,54.29,54.29,0.90279809,35.73245243,3.12311849,0.57318163,0.66455865,18.66067258,0.90280505,35.73129773,3.12313047,0.57317389,0.66455989
random_IR_0008.npz,random_IR_0008.npz,357.319,0.00013333,60,L1_STFT,6.75e-06,0.0,True,54.29,54.29,3.76188576,6.36146323,2.15476252,0.61235683,0.58903801,68.93402206,3.76179941,6.36270907,2.15476124,0.61234961,0.58904166
random_IR_0009.npz,random_IR_0009.npz,455.259,0.00017697,48,L1_STFT,9.53e-06,0.0,True,54.29,54.29,4.68293266,32.98327337,2.99400928,0.56408127,0.83160112,14.14289894,4.68301045,32.9717487,2.99401414,0.56408382,0.8316015
random_IR_0010.npz,random_IR_0010.npz,301.422,0.49917829,53,L1_STFT,1.342e-05,0.17190564,True,54.29,54.29,10.26200048,69.36318762,2.88140546,0.62148649,0.79735566,31.91219094,1.29965677,11.55456497,1.50073056,0.920593,0.55708822
random_IR_0011.npz,random_IR_0011.npz,344.863,0.00025087,54,L1_STFT,1.169e-05,0.0,True,54.29,54.29,9.58558068,24.62691417,3.93172338,0.5291892,0.64857026,39.67269624,9.58565039,24.62049251,3.93173245,0.52920202,0.64857541
random_IR_0012.npz,random_IR_0012.npz,253.656,0.00021126,31,L1_STFT,9.2e-06,0.0,True,54.29,54.29,6.57797902,6.47100397,1.44857101,0.54141922,0.84930299,18.36797013,6.57804967,6.46432517,1.44857003,0.54143227,0.84931134
random_IR_0013.npz,random_IR_0013.npz,184.826,0.00017583,35,L1_STFT,3.494e-05,0.0,True,54.29,54.29,13.96563336,60.50248795,2.7431416,0.9653518,0.66609856,8.65046544,13.96567487,60.48840081,2.74314422,0.96535514,0.66609879
random_IR_0014.npz,random_IR_0014.npz,526.716,0.00020978,58,L1_STFT,9.53e-06,0.0,True,54.29,54.29,2.50300487,59.58666267,3.03548076,0.79738533,0.51984759,12.02027122,2.5030327,59.59350065,3.0354901,0.79739134,0.5198527
random_IR_0015.npz,random_IR_0015.npz,335.469,0.00017068,50,L1_STFT,4.18e-05,0.0,True,54.29,54.29,2.20606482,88.65322173,3.50392603,0.98146852,0.63188905,7.64712969,2.20607406,88.63714704,3.50392608,0.98147239,0.63188904
random_IR_0016.npz,random_IR_0016.npz,154.551,0.00010882,50,L1_STFT,1.539e-05,0.0,True,54.29,54.29,32.39148078,25.63985747,2.77085832,0.7290892,0.92474204,22.31052305,32.39145609,25.64960857,2.77085627,0.72909144,0.92474025
random_IR_0017.npz,random_IR_0017.npz,326.418,0.00019326,60,L1_STFT,1.814e-05,0.0,True,54.29,54.29,8.70208407,37.60229012,3.12848507,0.79481774,0.94205259,21.64414157,8.70220854,37.59907405,3.1284899,0.79482371,0.94205033
random_IR_0018.npz,random_IR_0018.npz,296.815,0.00015989,53,L1_STFT,1.241e-05,0.0,True,54.29,54.29,10.97385596,6.29577633,3.10834031,0.71768036,0.80713751,79.59780578,10.97382369,6.29828126,3.10834161,0.71768897,0.80713267
random_IR_0019.npz,random_IR_0019.npz,188.086,9.349e-05,49,L1_STFT,6.66e-06,0.0,True,54.29,54.29,8.86719771,37.94647249,1.15566071,0.72009135,0.5763808,17.39326985,8.86714001,37.95588418,1.15566028,0.72009666,0.57638229
random_IR_0020.npz,random_IR_0020.npz,289.597,0.00027134,49,L1_STFT,1.063e-05,0.0,True,54.29,54.29,12.06812438,13.61276805,1.96501105,0.82952331,0.72138443,43.3837356,12.06829743,13.61977811,1.96501875,0.8295306,0.72139503
random_IR_0021.npz,random_IR_0021.npz,398.468,0.00018088,34,L1_STFT,1.144e-05,0.0,True,54.29,54.29,5.37796187,9.17984994,3.69998204,0.85490512,0.55911435,47.42420408,5.37794567,9.19088839,3.69998513,0.85490541,0.55911117
random_IR_0022.npz,random_IR_0022.npz,177.582,0.00017275,53,L1_STFT,1.18e-05,0.0,True,54.29,54.29,50.42940823,49.41681187,3.76648553,0.58962459,0.81162277,20.20906334,50.42948711,49.42569585,3.76649958,0.58962154,0.81162419
random_IR_0023.npz,random_IR_0023.npz,216.332,0.35498625,56,L1_STFT,1.057e-05,0.00162889,True,54.29,54.29,18.71789615,4.08097988,1.47219693,0.57804982,0.82637287,57.66341252,16.88648318,14.0005742,1.45907795,0.54389183,0.8517401
random_IR_0024.npz,random_IR_0024.npz,247.63,0.00016571,60,L1_STFT,1.093e-05,0.0,True,54.29,54.29,12.80719342,10.72198081,2.41527972,0.51573643,0.68639047,80.75761826,12.80696586,10.7281973,2.41527378,0.5157399,0.68638925
random_IR_0025.npz,random_IR_0025.npz,398.827,0.00015217,52,L1_STFT,1.349e-05,0.0,True,54.29,54.29,7.14929729,89.49057527,3.2169726,0.51907355,0.89891305,5.8211107,7.14928419,89.50893096,3.21697263,0.51907568,0.89891187
random_IR_0026.npz,random_IR_0026.npz,370.715,0.00016368,39,L1_STFT,6.86e-06,0.0,True,54.29,54.29,2.31164107,24.86626235,1.74937578,0.59068563,0.81452936,37.32376555,2.31163143,24.86571221,1.7493816,0.59070014,0.81452442
random_IR_0027.npz,random_IR_0027.npz,473.009,0.00010331,53,L1_STFT,1.154e-05,0.0,True,54.29,54.29,3.60902962,34.25966856,2.77396351,0.79904975,0.8677594,27.26844683,3.60899387,34.25991446,2.77396291,0.79905589,0.86775979
random_IR_0028.npz,random_IR_0028.npz,206.755,0.00014302,58,L1_STFT,1.564e-05,0.0,True,54.29,54.29,21.31168754,13.63001832,2.00464271,0.8723849,0.75032249,15.37691467,21.31156757,13.64718833,2.00464049,0.87237989,0.75032482
random_IR_0029.npz,random_IR_0029.npz,471.061,0.0001376,56,L1_STFT,9.65e-06,0.0,True,54.29,54.29,3.91595875,2.71342011,1.75950594,0.85121528,0.69509984,21.37872824,3.91597475,2.71478169,1.75950242,0.85120831,0.6950984
