filename,target_npz,runtime,best_loss,best_popsize,loss_name,gt_loss,nmse,gt_available,mu,D_mu,T0_mu,E,rho,h,Ly,T0,op_x,op_y,gt_E,gt_rho,gt_h,gt_Ly,gt_T0,gt_op_x,gt_op_y
random_IR_0001.npz,random_IR_0001.npz,742.199,0.00050329,57,L1_STFT,1.66e-06,0.01576616,True,80.8312438,13.78049017,12.35963908,110766432025.45386,16712.82377467,0.00483648,2.69156948,999.0450001,0.8264722,0.72442875,131819184298.85242,12673.80384034,0.00386076,2.69155916,602.76734844,0.82648812,0.72441773
random_IR_0002.npz,random_IR_0002.npz,819.486,0.00033682,48,L1_STFT,8.5e-07,0.01259216,True,55.54611275,17.89692712,4.62537261,100675885510.32394,11554.92868997,0.00480714,3.6861381,256.92146845,0.78833226,0.96353869,147920922722.1944,17314.43071595,0.00485465,3.6861417,383.44768441,0.78834183,0.96354235
random_IR_0003.npz,random_IR_0003.npz,861.494,0.00025111,36,L1_STFT,6.27e-06,0.00208294,True,12.79043714,1.66315807,0.83708658,103405105042.94116,9669.60874511,0.00132275,1.30600626,10.70670328,0.93630232,0.98952428,186057982895.32712,18083.2530963,0.00134852,1.30600457,20.22819526,0.93630595,0.98952299
random_IR_0004.npz,random_IR_0004.npz,727.979,0.00038224,60,L1_STFT,2e-06,3.457e-05,True,14.73731875,25.51208406,58.92272874,156166101929.53387,4907.29035157,0.00300315,3.41755891,868.36303538,0.58022104,0.97289471,164907916263.11115,4653.55920634,0.00284592,3.41755984,780.53137099,0.58024311,0.97288777
random_IR_0005.npz,random_IR_0005.npz,1020.93,0.00053688,41,L1_STFT,7.8e-07,0.00926175,True,69.60904146,5.06004405,5.8571178,67123536254.87272,17877.21123814,0.00389373,2.61332836,407.70835576,0.78855953,0.51921163,136791000829.13193,16985.59336136,0.00265865,2.61336013,264.56296655,0.78853263,0.519207
random_IR_0006.npz,random_IR_0006.npz,953.555,0.00032603,57,L1_STFT,1.78e-06,0.00128083,True,78.65489084,8.97692261,8.90220681,137424041798.8547,20342.8310895,0.00386647,2.89114714,700.20210513,0.68615327,0.72414842,171318505762.83295,20172.46387607,0.00344838,2.89114294,616.93782753,0.68615887,0.72414566
random_IR_0007.npz,random_IR_0007.npz,1911.07,0.00018938,37,L1_STFT,1.32e-06,0.0002591,True,22.75015568,0.90280417,35.72968572,95132808800.4111,16924.57071556,0.00134421,3.12314287,812.85591266,0.57317241,0.66456146,99188531844.29764,15037.99194882,0.0012409,3.12313047,666.77004778,0.57317389,0.66455989
random_IR_0008.npz,random_IR_0008.npz,957.122,0.00040484,58,L1_STFT,1.22e-06,0.00099563,True,76.95055586,3.76182691,6.36441014,68221970359.40521,21212.84001798,0.00362755,2.15477906,489.74489799,0.61234183,0.58902157,82612856044.4483,21011.42815551,0.00328079,2.15476124,438.60712745,0.61234961,0.58904166
random_IR_0009.npz,random_IR_0009.npz,1342.396,0.00026213,52,L1_STFT,1.67e-06,0.00347562,True,29.12092183,4.68290342,32.98513956,157553490902.1908,13637.14677185,0.00213541,2.99401287,960.55767038,0.56409814,0.83159919,91322346297.76453,7025.20112963,0.00201317,2.99401414,466.31610975,0.56408382,0.8316015
random_IR_0010.npz,random_IR_0010.npz,1280.782,0.00040371,48,L1_STFT,1.82e-06,0.0025174,True,19.16501871,1.29965827,11.56490293,130370261029.71716,14850.41001875,0.00129054,1.50072408,221.641581,0.92057978,0.5570912,81856495196.33838,17864.67272114,0.00178633,1.50073056,368.73148341,0.920593,0.55708822
random_IR_0011.npz,random_IR_0011.npz,1111.133,0.00022213,32,L1_STFT,9e-07,9.32e-06,True,40.44818504,9.58565822,24.63493249,104259672662.24506,11651.45040411,0.00347152,3.931743,996.43830789,0.52918663,0.64857521,180107327647.94016,13801.09577121,0.0028746,3.93173245,976.76132058,0.52920202,0.64857541
random_IR_0012.npz,random_IR_0012.npz,667.052,0.00029847,47,L1_STFT,3.7e-07,0.06442241,True,82.85265782,6.57807145,6.46186165,82755359788.9004,19726.61811671,0.00420004,1.44857062,535.38241255,0.54146419,0.84929235,130382238160.7445,8408.08377261,0.00218456,1.44857003,118.73653168,0.54143227,0.84931134
random_IR_0013.npz,random_IR_0013.npz,721.244,0.00032597,51,L1_STFT,2.79e-06,0.00095938,True,16.51969248,13.96566021,60.52665411,211640384254.86017,7163.56965596,0.00230607,2.74314731,999.88171261,0.96535057,0.66609741,155119813820.09543,4196.08160226,0.00206156,2.74314422,523.25282099,0.96535514,0.66609879
random_IR_0014.npz,random_IR_0014.npz,1112.129,0.00028922,32,L1_STFT,1.11e-06,1.211e-05,True,12.90436604,2.50307555,59.57961834,78259451297.16121,7735.0160964,0.00166831,3.03550913,768.83720355,0.79739796,0.51985454,95028278387.08888,7870.83454741,0.00152719,3.0354901,716.33004085,0.79739134,0.5198527
random_IR_0015.npz,random_IR_0015.npz,1063.312,0.00039717,51,L1_STFT,2.5e-06,6.387e-05,True,9.67757575,2.20604772,88.64635377,186047478123.04883,8887.84571996,0.00108886,3.5039258,857.881804,0.98147086,0.63188643,179484685384.75702,7506.14989601,0.00101878,3.50392608,677.81975863,0.98147239,0.63188904
random_IR_0016.npz,random_IR_0016.npz,535.771,0.00043279,56,L1_STFT,2.66e-06,8.67e-06,True,23.05872478,32.3911488,25.6749605,215514488691.48657,6800.21624674,0.00339088,2.77086823,592.03184805,0.72907463,0.92473213,212770598762.0987,6623.93469364,0.00336817,2.77085627,572.25618327,0.72909144,0.92474025
random_IR_0017.npz,random_IR_0017.npz,901.437,0.00030784,38,L1_STFT,1.65e-06,0.0003352,True,26.29557238,8.70241283,37.57384309,84354107920.7026,8414.46348263,0.00312504,3.12849023,988.02571062,0.79481593,0.94204769,201808789158.0077,9884.30792792,0.00218975,3.1284899,813.79968172,0.79482371,0.94205033
random_IR_0018.npz,random_IR_0018.npz,857.16,0.00024042,48,L1_STFT,1.76e-06,0.00118814,True,88.35514297,10.97387567,6.2782004,99249019071.98146,18445.58546686,0.00479004,3.10834455,554.71129423,0.71770749,0.80713491,165530500482.13452,20404.3723328,0.00390102,3.10834161,501.32936868,0.71768897,0.80713267
random_IR_0019.npz,random_IR_0019.npz,448.867,0.00016556,35,L1_STFT,1.9e-07,0.00076591,True,24.42443712,8.86706433,37.94889249,197201041022.76004,10565.14146227,0.00231179,1.15565955,926.88033864,0.72007769,0.57638903,161556360636.82275,7883.45901556,0.0022063,1.15566028,660.17693576,0.72009666,0.57638229
