filename,target_npz,runtime,best_loss,best_popsize,loss_name,gt_loss,nmse,gt_available,mu,D_mu,T0_mu,E,rho,h,Ly,T0,op_x,op_y,gt_E,gt_rho,gt_h,gt_Ly,gt_T0,gt_op_x,gt_op_y
random_IR_0001.npz,random_IR_0001.npz,314.053,0.00067323,58,InstFreq,0.00012316,0.01230005,True,77.10727712,13.78028961,12.34294757,168902606848.0,18641.12304688,0.00413641,2.69155288,951.7310791,0.82652497,0.72441143,131819184298.85242,12673.80384034,0.00386076,2.69155916,602.76734844,0.82648812,0.72441773
random_IR_0002.npz,random_IR_0002.npz,320.692,0.00052449,56,InstFreq,0.0002025,0.0001418,True,87.08083904,17.89746969,4.51959716,153349423104.0,17941.59570312,0.00485357,3.68613839,393.5703125,0.78834039,0.96353889,147920922722.1944,17314.43071595,0.00485465,3.6861417,383.44768441,0.78834183,0.96354235
random_IR_0003.npz,random_IR_0003.npz,569.526,1.1491785,56,InstFreq,0.00105486,0.16149258,True,21.5377706,1.15487555,5.02722164,107359092736.0,15650.11523438,0.00137621,1.10001361,108.27514648,0.52979571,0.73266369,186057982895.32712,18083.2530963,0.00134852,1.30600457,20.22819526,0.93630595,0.98952299
random_IR_0004.npz,random_IR_0004.npz,334.021,0.00055049,55,InstFreq,0.00039587,0.00019812,True,16.81970477,25.51215047,58.96568425,121770737664.0,4932.79833984,0.00340977,3.41755533,991.78540039,0.58024132,0.9728862,164907916263.11115,4653.55920634,0.00284592,3.41755984,780.53137099,0.58024311,0.97288777
random_IR_0005.npz,random_IR_0005.npz,470.497,0.00102492,42,InstFreq,0.00024555,0.00520664,True,63.49099895,5.06004629,5.8609829,82666004480.0,18022.48828125,0.00352288,2.61336517,372.11965942,0.78861809,0.51919466,136791000829.13193,16985.59336136,0.00265865,2.61336013,264.56296655,0.78853263,0.519207
random_IR_0006.npz,random_IR_0006.npz,521.249,0.00059786,53,InstFreq,0.00032837,0.00010446,True,72.15908505,8.97697238,8.86053506,124363284480.0,18577.92773438,0.00388413,2.89114237,639.36810303,0.68616915,0.72414166,171318505762.83295,20172.46387607,0.00344838,2.89114294,616.93782753,0.68615887,0.72414566
random_IR_0007.npz,random_IR_0007.npz,980.418,0.0009553,50,InstFreq,0.00011428,0.00130966,True,27.85493339,0.90277597,35.70479066,75466907648.0,17931.203125,0.00155343,3.12311029,994.55456543,0.57318085,0.66456872,99188531844.29764,15037.99194882,0.0012409,3.12313047,666.77004778,0.57317389,0.66455989
random_IR_0008.npz,random_IR_0008.npz,471.64,0.00055013,52,InstFreq,0.00027778,0.00833059,True,45.74533838,3.76181257,6.33697609,84862877696.0,16129.48828125,0.00283613,2.15475512,289.88711548,0.6123538,0.58903676,82612856044.4483,21011.42815551,0.00328079,2.15476124,438.60712745,0.61234961,0.58904166
random_IR_0009.npz,random_IR_0009.npz,284.111,0.0007186,33,InstFreq,7.424e-05,1.256e-05,True,15.04306165,4.68302573,33.05107925,107960279040.0,7740.20507812,0.0019435,2.99400949,497.18942261,0.56407571,0.83160955,91322346297.76453,7025.20112963,0.00201317,2.99401414,466.31610975,0.56408382,0.8316015
random_IR_0010.npz,random_IR_0010.npz,528.157,0.76588535,60,InstFreq,0.00035273,0.03317553,True,29.18599177,1.2770131,17.74289314,121135947776.0,19294.10742188,0.00151269,1.58462667,517.84393311,0.70457625,0.5837025,81856495196.33838,17864.67272114,0.00178633,1.50073056,368.73148341,0.920593,0.55708822
random_IR_0011.npz,random_IR_0011.npz,425.597,0.00070435,60,InstFreq,0.00037192,0.00218665,True,27.79238836,9.58544062,24.6079805,217546096640.0,11593.453125,0.00239725,3.93172121,683.91455078,0.52921277,0.64857584,180107327647.94016,13801.09577121,0.0028746,3.93173245,976.76132058,0.52920202,0.64857541
random_IR_0012.npz,random_IR_0012.npz,259.37,0.73433143,46,InstFreq,0.00011125,0.09251977,True,43.00064687,10.77508013,17.47185261,173854834688.0,13841.65136719,0.00310661,2.71780062,751.30096436,0.72884119,0.65347564,130382238160.7445,8408.08377261,0.00218456,1.44857003,118.73653168,0.54143227,0.84931134
