filename,target_npz,runtime,best_loss,best_popsize,loss_name,gt_loss,nmse,gt_available,mu,D_mu,T0_mu,E,rho,h,Ly,T0,op_x,op_y,gt_E,gt_rho,gt_h,gt_Ly,gt_T0,gt_op_x,gt_op_y
random_IR_0001.npz,random_IR_0001.npz,292.045,0.0003416,44,L1_STFT,1.403e-05,0.00561309,True,67.96488394,13.78021417,12.29434962,130877890560.0,15740.15429688,0.00431793,2.69155478,835.58404541,0.82649094,0.72441512,131819184298.85242,12673.80384034,0.00386076,2.69155916,602.76734844,0.82648812,0.72441773
random_IR_0002.npz,random_IR_0002.npz,260.44,0.00046684,40,L1_STFT,2.066e-05,0.0008035,True,76.85390285,17.8976529,4.52177494,128384925696.0,15558.4296875,0.0049397,3.68615031,347.51605225,0.78830838,0.96354151,147920922722.1944,17314.43071595,0.00485465,3.6861417,383.44768441,0.78834183,0.96354235
random_IR_0003.npz,random_IR_0003.npz,310.629,0.00051697,41,L1_STFT,4.55e-05,0.00195735,True,13.14542264,1.66314888,0.83612233,219898380288.0,12663.75488281,0.00103804,1.30600286,10.99118137,0.93629539,0.98952818,186057982895.32712,18083.2530963,0.00134852,1.30600457,20.22819526,0.93630595,0.98952299
random_IR_0004.npz,random_IR_0004.npz,259.73,0.00040197,46,L1_STFT,2.43e-05,6.06e-06,True,13.8685263,25.51195888,58.85014139,176342499328.0,4907.27539062,0.00282612,3.41755223,816.16473389,0.5802542,0.97288865,164907916263.11115,4653.55920634,0.00284592,3.41755984,780.53137099,0.58024311,0.97288777
random_IR_0005.npz,random_IR_0005.npz,399.632,0.00033146,36,L1_STFT,8.55e-06,0.00336745,True,59.90181456,5.06019624,5.85687182,147730268160.0,21038.26171875,0.00284728,2.61336136,350.83724976,0.78853816,0.51921201,136791000829.13193,16985.59336136,0.00265865,2.61336013,264.56296655,0.78853263,0.519207
random_IR_0006.npz,random_IR_0006.npz,264.67,0.0003818,54,L1_STFT,1.207e-05,8.32e-05,True,71.8797873,8.97700873,8.85295059,91970002944.0,16756.83007812,0.00428958,2.89114046,636.34820557,0.6861161,0.72414374,171318505762.83295,20172.46387607,0.00344838,2.89114294,616.93782753,0.68615887,0.72414566
random_IR_0007.npz,random_IR_0007.npz,817.734,0.00023257,34,L1_STFT,1.17e-05,0.00069967,True,25.38090447,0.90281067,35.7275962,127492243456.0,20071.64257812,0.00126452,3.12313485,906.79870605,0.57318223,0.66456121,99188531844.29764,15037.99194882,0.0012409,3.12313047,666.77004778,0.57317389,0.66455989
random_IR_0008.npz,random_IR_0008.npz,317.049,0.00030934,41,L1_STFT,6.83e-06,0.00080692,True,61.71706337,3.76180298,6.36212303,104456069120.0,21105.640625,0.0029242,2.15477633,392.65155029,0.61236954,0.58904618,82612856044.4483,21011.42815551,0.00328079,2.15476124,438.60712745,0.61234961,0.58904166
random_IR_0009.npz,random_IR_0009.npz,461.879,0.000391,41,L1_STFT,1.049e-05,9.818e-05,True,11.62552362,4.68322067,32.97480945,199811743744.0,8002.94140625,0.00145266,2.99403238,383.34942627,0.56409353,0.83160156,91322346297.76453,7025.20112963,0.00201317,2.99401414,466.31610975,0.56408382,0.8316015
random_IR_0010.npz,random_IR_0010.npz,551.151,0.0003496,56,L1_STFT,1.332e-05,0.00348859,True,16.90625097,1.29965132,11.56834607,219996422144.0,16262.11230469,0.00103961,1.50073183,195.57736206,0.92058301,0.55708259,81856495196.33838,17864.67272114,0.00178633,1.50073056,368.73148341,0.920593,0.55708822
