filename,target_npz,runtime,best_loss,best_popsize,loss_name,gt_loss,nmse,gt_available,mu,D_mu,T0_mu,E,rho,h,Ly,T0,op_x,op_y,gt_E,gt_rho,gt_h,gt_Ly,gt_T0,gt_op_x,gt_op_y
random_IR_0001.npz,random_IR_0001.npz,746.03,0.00027837,37,L1_STFT,2.014e-05,0.00318187,True,63.26156331,13.78061469,12.31416367,188386607104.0,16942.19140625,0.00373397,2.69156337,779.01324463,0.82644975,0.72443527,131819184298.85242,12673.80384034,0.00386076,2.69155916,602.76734844,0.82648812,0.72441773
random_IR_0002.npz,random_IR_0002.npz,940.056,0.00037915,57,L1_STFT,3.116e-05,0.0128085,True,55.30225193,17.89670071,4.59313533,106175070208.0,11727.19726562,0.00471573,3.68614531,254.01072693,0.78836095,0.96354938,147920922722.1944,17314.43071595,0.00485465,3.6861417,383.44768441,0.78834183,0.96354235
random_IR_0003.npz,random_IR_0003.npz,1052.364,0.00036527,52,L1_STFT,5.216e-05,0.0002472,True,20.39104999,1.66314205,0.80997895,201456943104.0,16481.36523438,0.00123722,1.30600274,16.51632118,0.93630475,0.98951697,186057982895.32712,18083.2530963,0.00134852,1.30600457,20.22819526,0.93630595,0.98952299
random_IR_0004.npz,random_IR_0004.npz,916.759,0.00086952,51,L1_STFT,3.698e-05,0.00021255,True,16.94760332,25.51180751,58.88448702,69262352384.0,4107.77539062,0.00412574,3.41757464,997.95092773,0.58019817,0.97291267,164907916263.11115,4653.55920634,0.00284592,3.41755984,780.53137099,0.58024311,0.97288777
random_IR_0005.npz,random_IR_0005.npz,1161.493,0.000345,43,L1_STFT,1.382e-05,0.00033632,True,49.81794661,5.05993082,5.85664059,219448393728.0,21229.29882812,0.00234666,2.61337066,291.76580811,0.7885896,0.51920104,136791000829.13193,16985.59336136,0.00265865,2.61336013,264.56296655,0.78853263,0.519207
random_IR_0006.npz,random_IR_0006.npz,1026.171,0.00034259,48,L1_STFT,1.819e-05,0.00183182,True,80.43611609,8.97696437,8.88262766,95515279360.0,18290.72851562,0.00439764,2.8911438,714.48406982,0.68612099,0.72414589,171318505762.83295,20172.46387607,0.00344838,2.89114294,616.93782753,0.68615887,0.72414566
random_IR_0007.npz,random_IR_0007.npz,2455.398,0.00020181,44,L1_STFT,1.753e-05,0.00134706,True,27.9853158,0.90281943,35.73248451,105746817024.0,20127.57421875,0.0013904,3.12313271,999.98486328,0.57315302,0.6645627,99188531844.29764,15037.99194882,0.0012409,3.12313047,666.77004778,0.57317389,0.66455989
random_IR_0008.npz,random_IR_0008.npz,1496.266,0.0003654,40,L1_STFT,1.069e-05,0.01049463,True,42.90716484,3.76204294,6.35715617,219541864448.0,21216.16601562,0.00202238,2.15476847,272.76754761,0.6124025,0.58904123,82612856044.4483,21011.42815551,0.00328079,2.15476124,438.60712745,0.61234961,0.58904166
random_IR_0009.npz,random_IR_0009.npz,1295.21,0.00036413,50,L1_STFT,1.509e-05,0.00071319,True,20.92773588,4.68328355,32.96867764,185257656320.0,11547.9765625,0.00181224,2.99401307,689.95977783,0.56410706,0.83162004,91322346297.76453,7025.20112963,0.00201317,2.99401414,466.31610975,0.56408382,0.8316015
random_IR_0010.npz,random_IR_0010.npz,1175.435,0.00030514,47,L1_STFT,2.176e-05,0.00125884,True,22.89806318,1.29963596,11.55549345,213951725568.0,19723.3046875,0.00116096,1.50072885,264.59841919,0.92055994,0.55708939,81856495196.33838,17864.67272114,0.00178633,1.50073056,368.73148341,0.920593,0.55708822
