filename,target_npz,runtime,best_loss,best_popsize,loss_name,gt_loss,nmse,gt_available,mu,D_mu,T0_mu,E,rho,h,Ly,T0,op_x,op_y,gt_E,gt_rho,gt_h,gt_Ly,gt_T0,gt_op_x,gt_op_y
random_IR_0001.npz,random_IR_0001.npz,131.123,0.00014314,57,L1_STFT,1.363e-05,0.0054836,True,67.74403539,13.78048034,12.30059843,138795778048.0,16016.48339844,0.00422964,2.69155931,833.29217529,0.82649261,0.72441691,131819184298.85242,12673.80384034,0.00386076,2.69155916,602.76734844,0.82648812,0.72441773
random_IR_0002.npz,random_IR_0002.npz,176.594,0.000215,57,L1_STFT,1.504e-05,0.03087703,True,39.41225923,17.89704824,4.56995597,202326261760.0,11600.0625,0.00339759,3.68613577,180.11228943,0.78835046,0.96354252,147920922722.1944,17314.43071595,0.00485465,3.6861417,383.44768441,0.78834183,0.96354235
random_IR_0003.npz,random_IR_0003.npz,154.526,0.00056912,53,L1_STFT,4.744e-05,0.0005867,True,30.5394226,1.6631679,0.83032703,181419606016.0,20833.98828125,0.00146585,1.30600703,25.35770798,0.93630719,0.98953038,186057982895.32712,18083.2530963,0.00134852,1.30600457,20.22819526,0.93630595,0.98952299
random_IR_0004.npz,random_IR_0004.npz,154.113,0.00037032,59,L1_STFT,1.873e-05,0.00021362,True,16.95690117,25.51229297,58.90911711,96501268480.0,4589.59814453,0.00369464,3.41755795,998.91607666,0.58022863,0.97289008,164907916263.11115,4653.55920634,0.00284592,3.41755984,780.53137099,0.58024311,0.97288777
random_IR_0005.npz,random_IR_0005.npz,154.705,8.814e-05,35,L1_STFT,5.77e-06,0.00042776,True,39.90411744,5.05994507,5.86318468,123917795328.0,15134.11132812,0.0026367,2.61336017,233.96520996,0.7885285,0.51920879,136791000829.13193,16985.59336136,0.00265865,2.61336013,264.56296655,0.78853263,0.519207
random_IR_0006.npz,random_IR_0006.npz,149.878,0.00028432,58,L1_STFT,1.01e-05,0.00097158,True,61.64323571,8.97695173,8.8662961,121815310336.0,16611.05078125,0.00371098,2.89114547,546.54718018,0.68617851,0.7241444,171318505762.83295,20172.46387607,0.00344838,2.89114294,616.93782753,0.68615887,0.72414566
random_IR_0007.npz,random_IR_0007.npz,253.178,0.20736575,54,L1_STFT,9.82e-06,0.01342843,True,24.98908869,0.90407449,35.85941557,155691991040.0,21222.83789062,0.00117746,3.89328122,896.09411621,0.57269245,0.62560654,99188531844.29764,15037.99194882,0.0012409,3.12313047,666.77004778,0.57317389,0.66455989
random_IR_0008.npz,random_IR_0008.npz,185.554,0.22670712,56,L1_STFT,5.18e-06,0.069567,True,48.77807558,3.7776043,14.23530011,160688799744.0,20798.01953125,0.00234532,3.91276979,694.37054443,0.610156,0.53590137,82612856044.4483,21011.42815551,0.00328079,2.15476124,438.60712745,0.61234961,0.58904166
random_IR_0009.npz,random_IR_0009.npz,168.702,0.39853901,36,L1_STFT,1.102e-05,0.00404662,True,28.34578678,5.28385911,5.35834124,115753451520.0,11609.203125,0.00244167,3.02587152,151.88639832,0.55017143,0.8269453,91322346297.76453,7025.20112963,0.00201317,2.99401414,466.31610975,0.56408382,0.8316015
random_IR_0010.npz,random_IR_0010.npz,127.555,0.00041067,30,L1_STFT,1.185e-05,0.00078336,True,24.80139449,1.2996492,11.54881296,219253604352.0,20972.01171875,0.00118259,1.50073266,286.42666626,0.92058283,0.55709279,81856495196.33838,17864.67272114,0.00178633,1.50073056,368.73148341,0.920593,0.55708822
random_IR_0011.npz,random_IR_0011.npz,138.605,0.12252147,58,L1_STFT,8.36e-06,0.06746014,True,105.54967714,9.60073537,9.4732045,91313995776.0,21118.58007812,0.00499795,3.93212819,999.89367676,0.52917588,0.64853442,180107327647.94016,13801.09577121,0.0028746,3.93173245,976.76132058,0.52920202,0.64857541
random_IR_0012.npz,random_IR_0012.npz,103.143,0.3330723,44,L1_STFT,7.3e-06,0.08034149,True,39.57430409,10.06540824,16.52815136,107734843392.0,11421.7578125,0.00346482,2.55694246,654.09008789,0.73970842,0.67295617,130382238160.7445,8408.08377261,0.00218456,1.44857003,118.73653168,0.54143227,0.84931134
random_IR_0013.npz,random_IR_0013.npz,156.13,0.00038638,60,L1_STFT,2.557e-05,0.00096074,True,16.52530437,13.96566589,60.51298056,99601719296.0,5573.36132812,0.00296505,2.74314618,999.99542236,0.96534717,0.66609633,155119813820.09543,4196.08160226,0.00206156,2.74314422,523.25282099,0.96535514,0.66609879
random_IR_0014.npz,random_IR_0014.npz,161.726,0.00018581,35,L1_STFT,1.007e-05,1.927e-05,True,10.9048833,2.50302514,59.58670007,159693619200.0,8769.41503906,0.00124351,3.03549099,649.78601074,0.79739469,0.51985443,95028278387.08888,7870.83454741,0.00152719,3.0354901,716.33004085,0.79739134,0.5198527
random_IR_0015.npz,random_IR_0015.npz,134.94,0.0005758,39,L1_STFT,3.801e-05,0.00020436,True,11.27902376,2.20607507,88.62545764,136406818816.0,8875.68945312,0.00127078,3.50392675,999.60864258,0.98148364,0.63189012,179484685384.75702,7506.14989601,0.00101878,3.50392608,677.81975863,0.98147239,0.63188904
random_IR_0016.npz,random_IR_0016.npz,83.166,0.00048019,39,L1_STFT,1.108e-05,0.00429022,True,38.95146903,32.39120902,25.60205234,167539671040.0,8868.73925781,0.004392,2.77084708,997.23754883,0.72911179,0.9247455,212770598762.0987,6623.93469364,0.00336817,2.77085627,572.25618327,0.72909144,0.92474025
random_IR_0017.npz,random_IR_0017.npz,159.113,0.00057986,32,L1_STFT,1.293e-05,0.001737,True,11.05555117,8.7022057,37.60965554,109134807040.0,5145.73486328,0.00214849,3.12847757,415.79547119,0.79481661,0.94204301,201808789158.0077,9884.30792792,0.00218975,3.1284899,813.79968172,0.79482371,0.94205033
random_IR_0018.npz,random_IR_0018.npz,142.677,0.00038157,49,L1_STFT,1.099e-05,8.57e-06,True,80.3416607,10.9739863,6.28220761,111153356800.0,17978.87109375,0.00446867,3.10835862,504.72299194,0.71768355,0.8071298,165530500482.13452,20404.3723328,0.00390102,3.10834161,501.32936868,0.71768897,0.80713267
random_IR_0019.npz,random_IR_0019.npz,80.219,0.00034118,40,L1_STFT,5.37e-06,0.00014925,True,20.49703297,8.86728903,37.98679439,205251674112.0,9525.953125,0.0021517,1.15566373,778.61657715,0.72010666,0.57639855,161556360636.82275,7883.45901556,0.0022063,1.15566028,660.17693576,0.72009666,0.57638229
random_IR_0020.npz,random_IR_0020.npz,116.845,0.00032143,57,L1_STFT,8.01e-06,0.0142701,True,73.73324029,12.06844874,13.56233208,89434939392.0,15299.47851562,0.00481933,1.96502352,999.99468994,0.82952839,0.72139293,166939725438.14145,13227.31467837,0.00327986,1.96501875,590.87685252,0.8295306,0.72139503
