filename,target_npz,runtime,best_loss,best_popsize,loss_name,gt_loss,nmse,gt_available,mu,D_mu,T0_mu,E,rho,h,Ly,T0,op_x,op_y,gt_E,gt_rho,gt_h,gt_Ly,gt_T0,gt_op_x,gt_op_y
random_IR_0001.npz,random_IR_0001.npz,230.692,0.00047888,48,L1_STFT,1.403e-05,0.00042908,True,43.66781908,13.78015949,12.31532086,173623328768.0,12877.79296875,0.00339094,2.69155788,537.78320312,0.8264538,0.72441179,131819184298.85242,12673.80384034,0.00386076,2.69155916,602.76734844,0.82648812,0.72441773
random_IR_0002.npz,random_IR_0002.npz,276.523,0.00038559,49,L1_STFT,2.066e-05,0.05352764,True,25.27584429,17.89739419,4.55097093,109777985536.0,7036.03662109,0.00359234,3.68615532,115.02963257,0.7883153,0.96354622,147920922722.1944,17314.43071595,0.00485465,3.6861417,383.44768441,0.78834183,0.96354235
random_IR_0003.npz,random_IR_0003.npz,317.598,0.00025038,34,L1_STFT,4.55e-05,0.00131993,True,33.61581348,1.66315917,0.82069855,154315948032.0,21044.43359375,0.00159737,1.30600476,27.58844948,0.93630952,0.98952812,186057982895.32712,18083.2530963,0.00134852,1.30600457,20.22819526,0.93630595,0.98952299
random_IR_0004.npz,random_IR_0004.npz,240.019,0.00035351,42,L1_STFT,2.43e-05,0.00021499,True,16.9688362,25.51270385,58.88952734,71934369792.0,4163.35888672,0.00407576,3.41755915,999.28674316,0.5802514,0.97288746,164907916263.11115,4653.55920634,0.00284592,3.41755984,780.53137099,0.58024311,0.97288777
random_IR_0005.npz,random_IR_0005.npz,330.915,0.00032732,58,L1_STFT,8.55e-06,0.00065022,True,51.63713883,5.05998591,5.86031371,121772056576.0,17867.20898438,0.00289005,2.6133604,302.60983276,0.78850633,0.51922119,136791000829.13193,16985.59336136,0.00265865,2.61336013,264.56296655,0.78853263,0.519207
random_IR_0006.npz,random_IR_0006.npz,276.582,0.00031084,56,L1_STFT,1.207e-05,0.00180675,True,58.76328853,8.97718612,8.854804,105270738944.0,15325.30175781,0.0038344,2.89114785,520.33740234,0.68615806,0.72414649,171318505762.83295,20172.46387607,0.00344838,2.89114294,616.93782753,0.68615887,0.72414566
random_IR_0007.npz,random_IR_0007.npz,744.613,0.00038284,36,L1_STFT,1.17e-05,8.094e-05,True,20.94631733,0.90282869,35.7405807,175443574784.0,19642.5703125,0.00106637,3.12313175,748.63354492,0.57317191,0.66456109,99188531844.29764,15037.99194882,0.0012409,3.12313047,666.77004778,0.57317389,0.66455989
random_IR_0008.npz,random_IR_0008.npz,330.673,0.00048251,55,L1_STFT,6.83e-06,0.00416734,True,52.53313433,3.76182665,6.37428626,112696451072.0,19442.04101562,0.00270204,2.15476823,334.86123657,0.61239058,0.58903426,82612856044.4483,21011.42815551,0.00328079,2.15476124,438.60712745,0.61234961,0.58904166
random_IR_0009.npz,random_IR_0009.npz,522.309,0.00047425,54,L1_STFT,1.049e-05,0.00385235,True,29.91177915,4.68309434,32.96085401,216474419200.0,15433.64648438,0.00193809,2.99401546,985.91778564,0.56411773,0.83161485,91322346297.76453,7025.20112963,0.00201317,2.99401414,466.31610975,0.56408382,0.8316015
random_IR_0010.npz,random_IR_0010.npz,392.925,0.00035665,39,L1_STFT,1.332e-05,0.00065157,True,38.39732466,1.29968614,11.5548213,94493605888.0,21200.09375,0.00181119,1.50073159,443.67422485,0.92058152,0.55707735,81856495196.33838,17864.67272114,0.00178633,1.50073056,368.73148341,0.920593,0.55708822
random_IR_0011.npz,random_IR_0011.npz,341.897,0.0001954,56,L1_STFT,1.169e-05,1.007e-05,True,40.47909017,9.58586309,24.62499275,145942102016.0,13040.25585938,0.00310416,3.93174124,996.79730225,0.52920562,0.64857644,180107327647.94016,13801.09577121,0.0028746,3.93173245,976.76132058,0.52920202,0.64857541
random_IR_0012.npz,random_IR_0012.npz,227.421,0.00050033,54,L1_STFT,8.64e-06,0.01064726,True,44.58340891,6.57800047,6.48778608,103161651200.0,14045.57324219,0.0031742,1.44858217,289.24761963,0.54141134,0.84930891,130382238160.7445,8408.08377261,0.00218456,1.44857003,118.73653168,0.54143227,0.84931134
random_IR_0013.npz,random_IR_0013.npz,324.838,0.00030723,57,L1_STFT,3.309e-05,0.00095259,True,16.49181541,13.96564743,60.49523254,149437480960.0,6371.78271484,0.00258826,2.74314713,997.6762085,0.96534628,0.66610259,155119813820.09543,4196.08160226,0.00206156,2.74314422,523.25282099,0.96535514,0.66609879
random_IR_0014.npz,random_IR_0014.npz,474.905,0.00028702,32,L1_STFT,1.054e-05,1.48e-06,True,11.7111727,2.50294571,59.5818066,218417840128.0,10208.49316406,0.0011472,3.03548169,697.77282715,0.79738259,0.51985246,95028278387.08888,7870.83454741,0.00152719,3.0354901,716.33004085,0.79739134,0.5198527
random_IR_0015.npz,random_IR_0015.npz,428.895,0.00020384,57,L1_STFT,4.301e-05,6.285e-05,True,9.66122449,2.20607064,88.63616235,111148433408.0,7477.078125,0.00129211,3.50392914,856.3338623,0.98147118,0.63188964,179484685384.75702,7506.14989601,0.00101878,3.50392608,677.81975863,0.98147239,0.63188904
random_IR_0016.npz,random_IR_0016.npz,180.861,0.00035232,52,L1_STFT,1.542e-05,0.0034103,True,37.14709888,32.39136295,25.56694225,108474966016.0,7433.60009766,0.00499719,2.77084804,949.73773193,0.72911191,0.92474228,212770598762.0987,6623.93469364,0.00336817,2.77085627,572.25618327,0.72909144,0.92474025
random_IR_0017.npz,random_IR_0017.npz,328.717,0.00027365,48,L1_STFT,1.814e-05,0.00035112,True,26.40477099,8.70218115,37.60222167,121138978816.0,9519.6875,0.0027737,3.12848258,992.87805176,0.79481643,0.94205505,201808789158.0077,9884.30792792,0.00218975,3.1284899,813.79968172,0.79482371,0.94205033
random_IR_0018.npz,random_IR_0018.npz,310.972,0.00041189,59,L1_STFT,1.266e-05,0.00108262,True,87.9572218,10.97341707,6.2890062,102823845888.0,18608.61914062,0.00472669,3.10833645,553.16351318,0.71771783,0.80713409,165530500482.13452,20404.3723328,0.00390102,3.10834161,501.32936868,0.71768897,0.80713267
random_IR_0019.npz,random_IR_0019.npz,149.535,0.00025102,34,L1_STFT,6.66e-06,0.00118857,True,26.15218017,8.86700524,37.97641145,74214277120.0,7983.46191406,0.00327579,1.15566075,993.16595459,0.72007948,0.57636893,161556360636.82275,7883.45901556,0.0022063,1.15566028,660.17693576,0.72009666,0.57638229
random_IR_0020.npz,random_IR_0020.npz,211.81,0.00040413,51,L1_STFT,1.063e-05,0.00151672,True,53.27814964,12.06839431,13.61229547,160959971328.0,14985.50488281,0.00355531,1.96501887,725.23791504,0.82951891,0.72136921,166939725438.14145,13227.31467837,0.00327986,1.96501875,590.87685252,0.8295306,0.72139503
random_IR_0021.npz,random_IR_0021.npz,333.723,0.00038445,59,L1_STFT,1.145e-05,4.026e-05,True,45.81209728,5.3780815,9.18982102,111247826944.0,15685.22167969,0.00292072,3.69999623,421.00497437,0.85493898,0.55910856,190347680324.05112,19198.15907429,0.00247025,3.69998513,435.87056662,0.85490541,0.55911117
random_IR_0022.npz,random_IR_0022.npz,243.347,0.00044102,42,L1_STFT,1.24e-05,2e-08,True,20.18631295,50.42896852,49.53249063,105055698944.0,4225.71630859,0.00477702,3.76649499,999.87835693,0.58967483,0.81162441,199823286777.3368,5239.62812757,0.00385697,3.76649958,998.8470181,0.58962154,0.81162419
random_IR_0023.npz,random_IR_0023.npz,120.354,0.34324071,47,L1_STFT,1.132e-05,0.04447169,True,57.90396211,16.85038834,16.65792108,153822609408.0,13960.19335938,0.00414779,1.47048652,964.55963135,0.77137822,0.74083096,129299044475.57794,13129.09388595,0.00439203,1.45907795,807.32088554,0.54389183,0.8517401
random_IR_0024.npz,random_IR_0024.npz,197.429,0.00041133,46,L1_STFT,1.061e-05,0.00098091,True,72.80056789,12.80653816,10.72644596,100092051456.0,15441.69433594,0.00471455,2.41526699,780.89135742,0.51578003,0.68638885,197937911386.0695,20769.80429405,0.00388822,2.41527378,866.38366211,0.5157399,0.68638925
random_IR_0025.npz,random_IR_0025.npz,343.507,0.28798556,55,L1_STFT,1.26e-05,0.15242216,True,98.3070715,16.95012721,0.03210436,188212936704.0,21207.90820312,0.0046354,3.97095132,3.15608525,0.54191637,0.89901441,97599468309.14922,3451.55418078,0.00168652,3.21697263,521.04139584,0.51907568,0.89891187
random_IR_0026.npz,random_IR_0026.npz,514.874,0.00018379,52,L1_STFT,7.29e-06,6.88e-06,True,36.657534,2.3116291,24.86613999,180559724544.0,21051.9453125,0.00174129,1.74937785,911.53137207,0.59068501,0.81453627,71871356218.2901,15672.99075616,0.00238141,1.7493816,928.08201265,0.59070014,0.81452442
random_IR_0027.npz,random_IR_0027.npz,394.008,0.00030496,38,L1_STFT,1.214e-05,0.00107039,True,18.95636608,3.60897475,34.27290952,160221102080.0,11234.77832031,0.00168729,2.77396202,649.68981934,0.79905343,0.86775076,148951818862.8186,13972.55997216,0.00195157,2.77396291,934.21465578,0.79905589,0.86775979
random_IR_0028.npz,random_IR_0028.npz,148.868,0.00063696,39,L1_STFT,1.564e-05,0.05051055,True,72.47599225,21.31136149,13.78181403,148330070016.0,14812.14453125,0.00489301,2.00464559,998.85064697,0.87237024,0.75031608,211488975667.54184,5930.42851055,0.00259288,2.00464049,209.85165054,0.87237989,0.75032482
random_IR_0029.npz,random_IR_0029.npz,324.59,0.0002779,53,L1_STFT,9.72e-06,0.00255088,True,34.2104018,3.9159184,2.71173061,103971840000.0,14030.78515625,0.00243824,1.75949895,92.76939392,0.85123241,0.69509602,114704769945.09769,10597.03256049,0.00201743,1.75950242,58.03858003,0.85120831,0.6950984
random_IR_0030.npz,random_IR_0030.npz,407.119,0.00034176,42,L1_STFT,1.426e-05,0.000173,True,20.04495779,0.96284372,4.02273263,210579963904.0,19841.43164062,0.00101026,1.62085342,80.63550568,0.77292144,0.94936603,136415617217.07494,15202.58414177,0.00109871,1.62085066,67.25895897,0.77292381,0.94936893
random_IR_0031.npz,random_IR_0031.npz,498.147,0.00032126,56,L1_STFT,1.491e-05,0.00075286,True,20.75464372,2.94726941,48.11387651,185457934336.0,13406.06152344,0.00154815,3.97198129,998.58636475,0.8816219,0.66680419,70159602918.25648,7380.46068266,0.00186759,3.97198295,663.08157232,0.88160554,0.6668084
random_IR_0032.npz,random_IR_0032.npz,154.747,0.0005811,34,L1_STFT,1.419e-05,0.00139602,True,57.29294248,14.05984112,17.45045906,101097472000.0,12801.765625,0.00447539,2.21204162,999.78814697,0.6440388,0.90104741,200515550283.45148,14254.85865951,0.00335327,2.21204529,831.05014475,0.6440356,0.90104295
random_IR_0033.npz,random_IR_0033.npz,140.482,0.00051324,57,L1_STFT,2.086e-05,0.00027198,True,26.99388304,67.28328965,22.06886517,173054050304.0,5502.38427734,0.00490585,1.63834834,595.72436523,0.86812729,0.63441229,211947700344.80545,6481.54432973,0.00481117,1.63834424,687.49140151,0.86811935,0.6344314
random_IR_0034.npz,random_IR_0034.npz,170.007,0.00087268,41,L1_STFT,9.34e-06,0.0082621,True,42.54533098,17.49876526,1.43299636,67018477568.0,8509.671875,0.00499964,1.71861231,60.96730423,0.69331247,0.73715961,131976876718.98044,6330.43741829,0.0030728,1.71860473,25.67246143,0.69334329,0.73715196
random_IR_0035.npz,random_IR_0035.npz,161.36,0.00032236,51,L1_STFT,1.492e-05,9.07e-05,True,17.9489566,31.37183228,55.66284371,164882350080.0,5319.28662109,0.00337432,1.90512896,999.08996582,0.57474089,0.86126125,146159003394.57947,4639.59889209,0.00334714,1.90512325,863.85696737,0.57471337,0.86126124
random_IR_0036.npz,random_IR_0036.npz,239.855,0.00054519,53,L1_STFT,2.684e-05,0.01168654,True,44.27301085,25.99902688,10.91461572,219549450240.0,11373.66113281,0.00389259,2.24858713,483.22290039,0.68425512,0.97081226,141672610939.29004,5153.13787566,0.00326169,2.24857314,183.28800342,0.68425024,0.97081165
random_IR_0037.npz,random_IR_0037.npz,238.501,0.00043675,60,L1_STFT,3.484e-05,8e-08,True,16.04079278,53.73972295,56.66944139,185978290176.0,4293.60400391,0.00373597,3.31944799,909.02276611,0.79640514,0.98134023,151485447898.1282,3998.34178631,0.00399465,3.31944324,903.72070255,0.79639327,0.98134883
random_IR_0038.npz,random_IR_0038.npz,180.005,0.00037212,52,L1_STFT,1.683e-05,0.01219483,True,33.43329544,26.1730446,18.60650145,167880491008.0,8605.65527344,0.00388504,1.94722581,622.07666016,0.83827239,0.89471155,209217985469.20517,2738.87703632,0.00196332,1.94722783,100.30293933,0.83825911,0.89472493
random_IR_0039.npz,random_IR_0039.npz,224.87,0.00034085,56,L1_STFT,2.702e-05,0.01589683,True,70.70762364,18.63890928,1.65708908,210200625152.0,17113.19726562,0.00413176,1.91701674,117.16883087,0.93948555,0.67570037,216556756380.9004,11559.79880357,0.00334564,1.91701731,63.96462657,0.93948757,0.67569789
random_IR_0040.npz,random_IR_0040.npz,548.259,0.00027128,44,L1_STFT,1.739e-05,8.85e-06,True,39.53845334,3.10333689,24.4787519,126362001408.0,17819.33398438,0.00221885,3.88855672,967.85198975,0.81894046,0.93839973,189277995864.91592,20127.90084848,0.00192681,3.88855345,949.31932923,0.81891949,0.9384011
random_IR_0041.npz,random_IR_0041.npz,146.378,0.0003302,35,L1_STFT,3.052e-05,9.843e-05,True,14.29616925,77.02137079,52.51660795,130178326528.0,3131.39672852,0.00456543,1.94976485,750.78631592,0.58258176,0.99110794,120126728243.6296,2678.85292587,0.00439577,1.94975883,617.88051315,0.58258902,0.9910964
random_IR_0042.npz,random_IR_0042.npz,298.658,0.0003486,57,L1_STFT,1.777e-05,0.00012152,True,25.17987057,7.46505211,22.82427703,117429116928.0,9606.51367188,0.00262112,2.48727202,574.71234131,0.91285014,0.60302395,87945741567.89664,9359.39059524,0.00298957,2.48727389,639.47612167,0.91283769,0.60302548
random_IR_0043.npz,random_IR_0043.npz,431.186,0.00027085,30,L1_STFT,4.237e-05,0.00577967,True,16.04879407,3.70544011,2.78098303,83695493120.0,8026.59814453,0.00199945,2.58282399,44.63142395,0.98080933,0.9542129,215856681820.5389,18639.20052753,0.00189727,2.58282505,97.85350605,0.98080898,0.95421219
random_IR_0044.npz,random_IR_0044.npz,404.175,0.00037436,37,L1_STFT,7.73e-06,0.01239723,True,51.8146007,4.91662592,3.46286155,133385846784.0,18637.94921875,0.00278006,3.34472847,179.42678833,0.57492596,0.53617126,102531823752.15424,10086.13402258,0.00233258,3.34473726,81.11057897,0.57491894,0.53617932
random_IR_0045.npz,random_IR_0045.npz,595.544,0.39302883,40,L1_STFT,1.705e-05,0.01259505,True,5.70210203,3.98450592,137.19360448,216354373632.0,5393.89990234,0.00105714,3.99971437,782.29193115,0.55169028,0.8376177,79166878635.77364,5192.59693353,0.00104571,3.20422366,770.5830427,0.55390549,0.83930343
random_IR_0046.npz,random_IR_0046.npz,246.814,0.0002879,44,L1_STFT,7.82e-06,0.01588137,True,81.92767581,6.124826,11.1801572,89829212160.0,20606.81445312,0.00397576,1.81156671,915.96429443,0.64244014,0.57442486,178237772194.83322,18608.36206798,0.00268216,1.81156491,557.37321764,0.64246067,0.57442657
random_IR_0047.npz,random_IR_0047.npz,225.01,0.00021725,52,L1_STFT,1.018e-05,0.01789413,True,58.26783208,6.74478979,10.79555472,93950615552.0,16139.08105469,0.00361036,1.26058102,629.03356934,0.85084522,0.64892179,171542044338.7951,11005.44265585,0.00220639,1.26058553,262.12552806,0.85085647,0.64892423
random_IR_0048.npz,random_IR_0048.npz,267.208,0.00030815,33,L1_STFT,1.794e-05,4.071e-05,True,7.65479067,13.12087668,130.60999559,80077512704.0,3167.7722168,0.00241646,2.20178461,999.79217529,0.891559,0.89092708,173640577983.92307,3498.74383694,0.0017246,2.20178817,788.54762685,0.89156074,0.89092971
random_IR_0049.npz,random_IR_0049.npz,204.996,0.00035526,47,L1_STFT,9.29e-06,0.00272041,True,32.11294791,9.05985718,31.13925478,204224987136.0,12736.94042969,0.00252125,1.85231996,999.9732666,0.60653317,0.73534089,123740478280.33698,7559.05176558,0.00249525,1.85232544,587.6037592,0.6065566,0.73532938
random_IR_0050.npz,random_IR_0050.npz,145.641,0.00037309,40,L1_STFT,3.653e-05,0.00290678,True,64.86087054,14.65771631,1.55193482,86041010176.0,12996.23046875,0.00499074,1.22937715,100.65984344,0.79298937,0.9801265,113941945230.415,12184.10079803,0.00419918,1.22937567,76.96567742,0.79299604,0.98012234
random_IR_0051.npz,random_IR_0051.npz,618.737,0.00045367,47,L1_STFT,1.238e-05,0.00242346,True,26.22537568,1.43619092,31.38245929,217386483712.0,20994.4140625,0.00124916,2.97215748,823.01678467,0.84390211,0.6460315,149035156689.62817,12018.31682358,0.00114145,2.97215371,430.40813548,0.84388233,0.64602209
random_IR_0052.npz,random_IR_0052.npz,118.903,0.10179912,33,L1_STFT,1.089e-05,0.02104811,True,49.91518001,20.34525481,12.40409528,91483660288.0,9986.14160156,0.00499845,1.4737221,619.15264893,0.77681071,0.73420322,205309545104.02023,5948.06076492,0.0025707,1.47369564,956.40615874,0.77646492,0.7338866
random_IR_0053.npz,random_IR_0053.npz,228.137,0.00026832,30,L1_STFT,1.703e-05,0.00178902,True,38.89648319,14.76311866,25.70655363,151036002304.0,11122.18652344,0.0034972,3.65791035,999.89453125,0.848104,0.85281789,205318792113.84653,9931.67604802,0.00283442,3.65792009,724.17039494,0.84811226,0.85281481
random_IR_0054.npz,random_IR_0054.npz,211.523,0.00034215,39,L1_STFT,4.592e-05,0.00010816,True,30.60000856,19.01256527,22.80442142,135556063232.0,8403.42382812,0.00364137,2.05038977,697.81549072,0.90024364,0.97999197,91562439840.24425,6942.38113954,0.00402711,2.05038916,636.06469484,0.90023182,0.97999164
random_IR_0055.npz,random_IR_0055.npz,215.91,0.00051467,59,L1_STFT,1.651e-05,0.0006096,True,43.36285998,19.39871008,23.05771319,159642877952.0,11121.24316406,0.0038991,2.4285934,999.84838867,0.79213017,0.91216397,212636794955.40863,11025.80092305,0.00336394,2.4286026,857.72406697,0.79211807,0.91217589
random_IR_0056.npz,random_IR_0056.npz,272.24,0.00029563,37,L1_STFT,1.029e-05,0.00557626,True,79.72073403,14.49664397,2.62298255,104126242816.0,15950.00878906,0.00499816,3.73566985,209.10609436,0.5407384,0.71777177,127960441568.8106,14253.29065436,0.0042621,3.73564678,159.4228693,0.54072935,0.7177758
random_IR_0057.npz,random_IR_0057.npz,194.05,0.00031347,37,L1_STFT,1.161e-05,0.00253869,True,77.13938985,10.19121757,0.37038073,184191074304.0,21223.359375,0.00363465,1.85019016,28.57094383,0.68481195,0.51801145,121371433816.20525,20458.87517103,0.00439615,1.85018379,33.3142935,0.68478638,0.51800097
random_IR_0058.npz,random_IR_0058.npz,163.351,0.00026482,30,L1_STFT,1.949e-05,7.31e-06,True,11.89574587,29.66926806,82.95977049,103547076608.0,3527.66455078,0.00337213,1.63717663,986.86834717,0.93603492,0.73253459,211631134622.2992,4302.76068816,0.00260504,1.63717374,929.29212439,0.93604938,0.73253957
random_IR_0059.npz,random_IR_0059.npz,235.697,0.00042582,58,L1_STFT,9.38e-06,0.00018376,True,9.33692166,7.53566444,104.25458912,142094811136.0,5267.08740234,0.00177269,2.04744339,973.41693115,0.72012162,0.54333651,69387727860.36472,3051.80231974,0.00193098,2.04743256,614.46856183,0.7201099,0.5433563
random_IR_0060.npz,random_IR_0060.npz,365.747,0.00035384,49,L1_STFT,8.59e-06,0.01133363,True,36.27036006,4.44123273,27.45067017,190039572480.0,17103.98242188,0.00212058,1.83062291,995.64569092,0.56656945,0.81303662,68841542103.34111,4893.83834685,0.00188464,1.83062887,253.19866181,0.56658731,0.81305533
random_IR_0061.npz,random_IR_0061.npz,244.798,0.00047998,44,L1_STFT,4.887e-05,0.00399835,True,11.19063769,65.61026147,15.08011093,85091524608.0,2434.95288086,0.00459583,3.92533374,168.75605774,0.75026774,0.99481058,164730548877.07898,5493.54320968,0.00496138,3.92534302,409.06000483,0.75024962,0.99481079
random_IR_0062.npz,random_IR_0062.npz,130.705,0.00067228,43,L1_STFT,1.503e-05,0.00855522,True,52.30030422,36.68226098,9.90748403,178142429184.0,10569.53125,0.00494821,1.28937709,518.16442871,0.63058543,0.83624703,168363199444.49942,6968.67005744,0.00413294,1.2893822,288.40561335,0.63057096,0.83627097
random_IR_0063.npz,random_IR_0063.npz,233.295,0.00041294,43,L1_STFT,1.176e-05,0.00430362,True,37.7701134,14.45861236,26.2920678,67717382144.0,8405.67382812,0.00449341,2.60019779,993.05438232,0.71324652,0.68668014,175105930059.76578,7826.56857449,0.00269636,2.6001947,554.69226178,0.71327987,0.68666732
