loss,n_irs,converged,conv_rate,mean_nmse,median_nmse,mean_runtime,mean_err_mu,mean_err_D_mu,mean_err_T0_mu,mean_err_Ly,mean_err_op_x,mean_err_op_y,median_err_mu,median_err_D_mu,median_err_T0_mu,median_err_Ly,median_err_op_x,median_err_op_y
l1_stft,100,93,0.93,0.0054886135,0.00107997,308.91636000000005,0.12313875109024637,0.00011127754926200457,0.003870615209625113,0.007669844310344832,0.0012532887755102111,0.0014571371428571318,0.07238359112241582,8.125264542580002e-07,2.3025279364162965e-05,1.5258620689739821e-06,2.0969387755309654e-05,9.428571428563015e-06
l1_stft_v2,100,92,0.92,0.007721994499999999,0.002318655,303.66957,0.14473945996281393,0.0008387078497638159,0.004706430367412602,0.005960142862068958,0.005502154081632658,0.0024070048979591674,0.10386113288932274,5.639255838338353e-07,3.067298366942264e-05,1.6655172413448938e-06,2.4459183673275486e-05,1.0122448979632548e-05
esr,100,88,0.88,0.008219500900000003,0.00204728,284.64266,0.14427316664529863,0.0007019092966703256,0.007256323055947644,0.007166616620689658,0.019015253265306117,0.00543005040816326,0.09631248109421216,9.660974664468802e-06,0.00025459666349676377,5.5446551724097626e-05,0.0009903061224491028,0.0004445612244897701
l1_stft_1s,100,86,0.86,0.0118601658,0.00221842,1016.87087,0.16221940293435416,0.00030864594976900284,0.008718531177460954,0.011087309827586211,0.009147929591836731,0.012180465102040825,0.10673148425968579,7.681693630183506e-07,2.620961830212057e-05,1.441379310296309e-06,5.864285714274331e-05,2.2979591836749108e-05
groupdelay,100,82,0.82,0.0171246508,0.003793095,522.75669,0.15748949057180306,0.003254226514678602,0.007922391807650425,0.03580372524137931,0.029699989795918383,0.034313130000000004,0.12550223023890056,2.3289630086235913e-06,0.00026746109635813684,4.805172413871461e-06,0.0001365510204082293,4.081632653055861e-05
complexstft,100,81,0.81,0.015592184100000002,0.00173142,374.5461499999999,0.1702063090889704,0.005801173236337141,0.013114617699671604,0.029883328103448265,0.02556634591836733,0.01575901020408162,0.0901028566574909,2.135948672307708e-07,1.3839143197018344e-05,1.0465517241847744e-06,2.46734693878925e-05,6.5204081631797806e-06
gammatone,100,80,0.8,0.013524796199999998,0.00275143,277.97384,0.1641998700972587,0.007164666350519842,0.021650383658451178,0.02736775006896551,0.022510558163265294,0.017276019795918383,0.10218575454864828,2.049234040853859e-05,0.0004926271644455419,7.017068965520235e-05,0.0006793163265306351,0.00022405102040809477
cqt_logdec,100,78,0.78,0.0169888876,0.002325255,396.10121,0.15663840029900722,0.0047535997553759665,0.01387106775323538,0.038396118758620694,0.04747352857142856,0.029066266122448968,0.09949703128776081,1.937743806600112e-06,0.00012025250922676964,4.113793103444063e-06,6.721428571420524e-05,3.02857142857188e-05
sc_logmag,100,78,0.78,0.014646542899999998,0.0030883050000000004,358.13583,0.1638537070505891,0.003534599593735237,0.0140576352065432,0.029212548586206886,0.026107334489795932,0.0214018024489796,0.10610011999961451,7.216082249288103e-06,0.0002774878484047699,2.2399999999950237e-05,0.00011139795918380102,4.836734693881156e-05
vqt,100,77,0.77,0.0185168274,0.003495815,396.85110999999995,0.15518634836515782,0.003934899657370094,0.018574154821418262,0.039491917344827585,0.05781344591836734,0.05023979163265307,0.10412225005983253,4.608434572565129e-06,0.00015536260138139784,1.3086206896550934e-05,0.00018398979591843778,6.369387755092437e-05
envelope,100,73,0.73,0.015945908600000003,0.004025005,305.43534000000005,0.16813506912124251,0.0036504946437309616,0.03068719640589652,0.02806192331034483,0.04147176959183672,0.01868668489795917,0.11124031553805466,4.091157006037849e-06,5.396499660375448e-05,2.182931034479252e-05,0.00014322448979589564,5.20612244897245e-05
instfreq,100,73,0.73,0.0220056387,0.004555695,363.29907,0.18705176327520032,0.001979881125518797,0.01555285370038109,0.027876708517241392,0.055912978979591826,0.047579193265306116,0.12884183501082347,6.432864457697057e-07,0.00010643362076870333,2.1379310345126523e-06,4.9642857142817576e-05,1.8051020408166307e-05
mss,100,67,0.67,0.023304758199999998,0.008071075,387.24758,0.18079469233106377,0.006141565962386226,0.027159334216144883,0.07834130996551723,0.08297555795918371,0.050311342244897965,0.11215073826594182,0.00015431128642754387,0.004333961081157077,0.0010740362068965004,0.033327530612244846,0.005772867346938786
dispersion,100,59,0.59,0.0260508404,0.01286451,204.53903,0.23649134997029347,0.005383577611439499,0.034031358932626904,0.06977821937931035,0.057896968367346945,0.040741462653061215,0.17507647391189335,0.0007530132521347994,0.01072380472328153,0.002997537931034411,0.01952050000000012,0.006219408163265189
cqt_l1,100,56,0.56,0.034876113800000004,0.017200105,467.20439999999996,0.20824899658841886,0.016954140488126424,0.04063228815957373,0.09876007748275863,0.0906465312244898,0.0959955744897959,0.12902535360077344,0.0004875017012860353,0.00783718081297204,0.0009290431034482682,0.009327520408163342,0.004731632653061216
mel,100,34,0.34,0.05855433499999999,0.03192619,509.2916,0.23942405888477947,0.035481284443479096,0.05953868208472808,0.1831353539310345,0.1914474408163266,0.12169789102040815,0.19126481811883045,0.001521162915030863,0.030370348376734288,0.06677225172413798,0.05165930612244898,0.04535651020408162
