filename,target_npz,runtime,best_loss,best_popsize,loss_name,gt_loss,nmse,gt_available,mu,D_mu,T0_mu,E,rho,h,Ly,T0,op_x,op_y,gt_E,gt_rho,gt_h,gt_Ly,gt_T0,gt_op_x,gt_op_y
random_IR_0001.npz,random_IR_0001.npz,805.667,0.49273562,56,Mel,0.17330483,0.02884229,True,22.94109891,13.95480872,0.06272649,186068090880.0,8544.26367188,0.00268497,2.73492527,1.43901467,0.66463327,0.72778231,131819184298.85242,12673.80384034,0.00386076,2.69155916,602.76734844,0.82648812,0.72441773
random_IR_0002.npz,random_IR_0002.npz,734.173,0.29199839,58,Mel,0.3033185,0.00713269,True,105.50445334,17.8973178,6.86510542,171288494080.0,21156.46484375,0.00498687,3.68610907,724.29919434,0.78826249,0.96354264,147920922722.1944,17314.43071595,0.00485465,3.6861417,383.44768441,0.78834183,0.96354235
random_IR_0003.npz,random_IR_0003.npz,289.07,0.67561054,56,Mel,0.39282116,0.09856749,True,18.85150561,15.86716089,47.69056753,88091525120.0,5597.46630859,0.00336786,2.83431768,899.03900146,0.67125475,0.99748015,186057982895.32712,18083.2530963,0.00134852,1.30600457,20.22819526,0.93630595,0.98952299
random_IR_0004.npz,random_IR_0004.npz,411.135,0.57253057,50,Mel,0.25540507,0.08370302,True,66.1834759,15.79348149,4.60761118,164610097152.0,15950.52832031,0.0041493,3.02935886,304.94772339,0.80136257,0.96344692,164907916263.11115,4653.55920634,0.00284592,3.41755984,780.53137099,0.58024311,0.97288777
random_IR_0005.npz,random_IR_0005.npz,631.974,0.46532863,35,Mel,0.15142515,0.03892892,True,65.43851527,4.73921932,6.97653727,68586291200.0,17660.98632812,0.00370526,2.79838419,456.53424072,0.59855282,0.61835313,136791000829.13193,16985.59336136,0.00265865,2.61336013,264.56296655,0.78853263,0.519207
random_IR_0006.npz,random_IR_0006.npz,495.463,0.15572204,60,Mel,0.15755484,0.00516596,True,87.82287769,8.97628653,9.00745001,100900462592.0,19752.39453125,0.00444619,2.89116597,791.06018066,0.68610191,0.72413349,171318505762.83295,20172.46387607,0.00344838,2.89114294,616.93782753,0.68615887,0.72414566
random_IR_0007.npz,random_IR_0007.npz,650.748,0.43150494,38,Mel,0.14363307,0.00544538,True,18.1635637,0.90858034,28.03659148,130952929280.0,16168.40429688,0.0011234,2.64690423,509.24441528,0.57488835,0.70030165,99188531844.29764,15037.99194882,0.0012409,3.12313047,666.77004778,0.57317389,0.66455989
random_IR_0008.npz,random_IR_0008.npz,677.178,0.10659359,47,Mel,0.11202602,0.00701906,True,47.64884117,3.76165675,6.47007797,131714752512.0,19189.7421875,0.00248304,2.15477014,308.29171753,0.61238617,0.58902782,82612856044.4483,21011.42815551,0.00328079,2.15476124,438.60712745,0.61234961,0.58904166
random_IR_0009.npz,random_IR_0009.npz,760.926,0.4567982,53,Mel,0.13193336,0.0239744,True,52.53139162,4.60275716,14.38157931,128004308992.0,18965.484375,0.00276984,2.84837461,755.484375,0.58438557,0.81979513,91322346297.76453,7025.20112963,0.00201317,2.99401414,466.31610975,0.56408382,0.8316015
random_IR_0010.npz,random_IR_0010.npz,517.643,0.53884286,60,Mel,0.19413595,0.13365269,True,59.53897305,10.28669796,10.90902398,215482908672.0,18758.39453125,0.00317399,3.90928507,649.51208496,0.82745403,0.58412784,81856495196.33838,17864.67272114,0.00178633,1.50073056,368.73148341,0.920593,0.55708822
random_IR_0011.npz,random_IR_0011.npz,853.857,0.14980833,40,Mel,0.15722595,2.358e-05,True,40.90542879,9.58503409,24.42780849,138972758016.0,12919.58203125,0.00316616,3.93170786,999.22998047,0.5292573,0.64858443,180107327647.94016,13801.09577121,0.0028746,3.93173245,976.76132058,0.52920202,0.64857541
random_IR_0012.npz,random_IR_0012.npz,800.638,0.47918892,50,Mel,0.15290317,0.01941729,True,48.50863545,8.33266204,8.37553359,129674002432.0,14820.11523438,0.00327316,1.58779347,406.28570557,0.51672417,0.76862901,130382238160.7445,8408.08377261,0.00218456,1.44857003,118.73653168,0.54143227,0.84931134
random_IR_0013.npz,random_IR_0013.npz,360.795,0.41224998,59,Mel,0.33693266,0.04172548,True,58.712482,14.0009783,6.22621106,209909514240.0,16623.6875,0.00353186,2.74296045,365.55630493,0.96585238,0.66611749,155119813820.09543,4196.08160226,0.00206156,2.74314422,523.25282099,0.96535514,0.66609879
random_IR_0014.npz,random_IR_0014.npz,372.208,0.49152112,53,Mel,0.16135709,0.1420893,True,14.77094439,2.7774301,23.78543333,121658990592.0,9470.83691406,0.00155962,1.12697804,351.33331299,0.51181906,0.65087354,95028278387.08888,7870.83454741,0.00152719,3.0354901,716.33004085,0.79739134,0.5198527
random_IR_0015.npz,random_IR_0015.npz,489.379,0.52360004,32,Mel,0.39950967,0.00569196,True,18.22890521,2.22251598,25.27283625,101257781248.0,11040.38085938,0.00165111,3.50388265,460.69613647,0.98424959,0.63109732,179484685384.75702,7506.14989601,0.00101878,3.50392608,677.81975863,0.98147239,0.63188904
random_IR_0016.npz,random_IR_0016.npz,569.502,0.57031554,39,Mel,0.22554934,0.09323157,True,47.10598782,5.42499966,0.29836739,105623445504.0,15659.8203125,0.00300808,1.77748609,14.05489063,0.85898972,0.65958893,212770598762.0987,6623.93469364,0.00336817,2.77085627,572.25618327,0.72909144,0.92474025
random_IR_0017.npz,random_IR_0017.npz,505.679,0.20793772,42,Mel,0.2185446,0.00012675,True,18.78388566,8.70165731,37.50994183,214193094656.0,9173.6171875,0.0020476,3.12845516,704.5824585,0.79485184,0.94203758,201808789158.0077,9884.30792792,0.00218975,3.1284899,813.79968172,0.79482371,0.94205033
random_IR_0018.npz,random_IR_0018.npz,401.209,0.48854697,43,Mel,0.16935122,0.01603245,True,75.25574352,10.83718602,2.30828211,204284313600.0,21171.34375,0.0035546,3.03130531,173.71148682,0.57514638,0.76060253,165530500482.13452,20404.3723328,0.00390102,3.10834161,501.32936868,0.71768897,0.80713267
random_IR_0019.npz,random_IR_0019.npz,405.897,0.48797476,43,Mel,0.1182405,0.17819561,True,96.85183831,8.72319446,5.21112432,77767720960.0,19516.21875,0.00496263,3.02720809,504.70697021,0.62046713,0.51042384,161556360636.82275,7883.45901556,0.0022063,1.15566028,660.17693576,0.72009666,0.57638229
random_IR_0020.npz,random_IR_0020.npz,817.797,0.51618803,47,Mel,0.17108575,0.09886794,True,3.12767241,3.58440493,102.21746926,100968144896.0,2904.15039062,0.00107697,2.18209648,319.70275879,0.52567953,0.7535345,166939725438.14145,13227.31467837,0.00327986,1.96501875,590.87685252,0.8295306,0.72139503
random_IR_0021.npz,random_IR_0021.npz,809.948,0.46299571,40,Mel,0.17471525,0.01169263,True,24.75490424,5.35464026,26.73251562,191707840512.0,12493.76074219,0.00198138,3.70958972,661.76086426,0.78464991,0.55865586,190347680324.05112,19198.15907429,0.00247025,3.69998513,435.87056662,0.85490541,0.55911117
random_IR_0022.npz,random_IR_0022.npz,572.514,0.49284419,53,Mel,0.17628996,0.02423613,True,35.18134707,20.75064755,2.90844219,153878577152.0,9344.14648438,0.00376507,3.00651479,102.32291412,0.5187133,0.8209331,199823286777.3368,5239.62812757,0.00385697,3.76649958,998.8470181,0.58962154,0.81162419
random_IR_0023.npz,random_IR_0023.npz,543.995,0.52360845,47,Mel,0.17054872,0.05741951,True,9.85091621,1.67820306,84.49053119,174238269440.0,9639.02832031,0.00102198,1.2727685,832.30914307,0.51123089,0.70607179,129299044475.57794,13129.09388595,0.00439203,1.45907795,807.32088554,0.54389183,0.8517401
random_IR_0024.npz,random_IR_0024.npz,300.016,0.12582195,49,Mel,0.12925905,0.02968315,True,36.98596123,12.80668816,10.58827733,210567118848.0,12597.71191406,0.00293593,2.41525006,391.61761475,0.51576442,0.68637699,197937911386.0695,20769.80429405,0.00388822,2.41527378,866.38366211,0.5157399,0.68638925
random_IR_0025.npz,random_IR_0025.npz,833.324,0.50320673,58,Mel,0.16784076,0.03033294,True,12.68194304,1.36081979,27.58376246,166552125440.0,12050.06933594,0.00105244,2.07887578,349.81570435,0.51526713,0.89472145,97599468309.14922,3451.55418078,0.00168652,3.21697263,521.04139584,0.51907568,0.89891187
