filename,target_npz,runtime,best_loss,best_popsize,loss_name,gt_loss,nmse,gt_available,mu,D_mu,T0_mu,E,rho,h,Ly,T0,op_x,op_y,gt_E,gt_rho,gt_h,gt_Ly,gt_T0,gt_op_x,gt_op_y
random_IR_0001.npz,random_IR_0001.npz,361.375,1.07680964,37,MSS,0.77671623,0.01854377,True,73.58716808,14.08613117,12.40184066,144794271744.0,17040.03320312,0.00431849,2.74715352,912.61633301,0.71256727,0.73329163,131819184298.85242,12673.80384034,0.00386076,2.69155916,602.76734844,0.82648812,0.72441773
random_IR_0002.npz,random_IR_0002.npz,341.914,1.07869458,39,MSS,1.09980261,0.00566557,True,103.15794217,17.89515953,1.0278648,179028590592.0,21151.76171875,0.00487704,3.68599486,106.0324173,0.788378,0.96354055,147920922722.1944,17314.43071595,0.00485465,3.6861417,383.44768441,0.78834183,0.96354235
random_IR_0003.npz,random_IR_0003.npz,211.491,1.759835,57,MSS,1.40233612,0.0077943,True,44.91625857,1.64882058,4.33895383,79735701504.0,20545.24609375,0.00218621,1.30288792,194.88957214,0.89385784,0.99070591,186057982895.32712,18083.2530963,0.00134852,1.30600457,20.22819526,0.93630595,0.98952299
random_IR_0004.npz,random_IR_0004.npz,262.686,1.56150126,58,MSS,0.95469129,0.03602066,True,44.13699631,40.56537738,19.30339413,161147617280.0,8827.55566406,0.00499991,3.80432057,851.99383545,0.72762567,0.94089568,164907916263.11115,4653.55920634,0.00284592,3.41755984,780.53137099,0.58024311,0.97288777
random_IR_0005.npz,random_IR_0005.npz,549.933,0.94599718,44,MSS,0.74725163,0.00268557,True,50.49541391,5.04102005,6.93039241,211837517824.0,21197.20507812,0.00238217,2.61210513,349.95303345,0.73183459,0.51510286,136791000829.13193,16985.59336136,0.00265865,2.61336013,264.56296655,0.78853263,0.519207
random_IR_0006.npz,random_IR_0006.npz,341.2,0.70861173,49,MSS,0.73440981,0.00236299,True,81.91230655,8.97395838,9.1027911,141501038592.0,21107.67773438,0.00388069,2.89102054,745.63061523,0.68611777,0.72413844,171318505762.83295,20172.46387607,0.00344838,2.89114294,616.93782753,0.68615887,0.72414566
random_IR_0007.npz,random_IR_0007.npz,923.022,1.11312008,50,MSS,0.72631347,0.10278711,True,19.74633983,0.87475826,8.48259551,67794407424.0,13900.87597656,0.00142051,1.10101306,167.50021362,0.70371616,0.54959148,99188531844.29764,15037.99194882,0.0012409,3.12313047,666.77004778,0.57317389,0.66455989
random_IR_0008.npz,random_IR_0008.npz,598.518,0.58146811,47,MSS,0.6011613,0.00885976,True,45.02021576,3.76171678,6.47270527,197847072768.0,21160.9609375,0.00212751,2.154778,291.40258789,0.61237109,0.58903664,82612856044.4483,21011.42815551,0.00328079,2.15476124,438.60712745,0.61234961,0.58904166
random_IR_0009.npz,random_IR_0009.npz,553.33,0.66608274,51,MSS,0.67430782,0.00027884,True,18.38530767,4.68305233,32.95032924,155357331456.0,9989.19921875,0.00184052,2.99401093,605.80194092,0.56407994,0.83160496,91322346297.76453,7025.20112963,0.00201317,2.99401414,466.31610975,0.56408382,0.8316015
random_IR_0010.npz,random_IR_0010.npz,683.141,1.12112653,57,MSS,0.81727743,0.00811382,True,12.79238463,1.35330623,7.96614677,193787641856.0,12771.05664062,0.00100167,1.52001488,101.90601349,0.88406354,0.51054221,81856495196.33838,17864.67272114,0.00178633,1.50073056,368.73148341,0.920593,0.55708822
random_IR_0011.npz,random_IR_0011.npz,366.892,0.96978414,33,MSS,0.72122926,0.01892778,True,74.24489164,10.32329517,12.84737041,102976356352.0,16970.70703125,0.00437489,3.99231625,953.85162354,0.54609072,0.6498307,180107327647.94016,13801.09577121,0.0028746,3.93173245,976.76132058,0.52920202,0.64857541
random_IR_0012.npz,random_IR_0012.npz,311.839,0.69431019,39,MSS,0.70928609,0.02710043,True,60.19198111,6.57779972,6.20600841,146606637056.0,19290.015625,0.00312037,1.44854987,373.55194092,0.54148227,0.84928721,130382238160.7445,8408.08377261,0.00218456,1.44857003,118.73653168,0.54143227,0.84931134
random_IR_0013.npz,random_IR_0013.npz,345.197,1.44826794,59,MSS,1.19360256,0.0136284,True,16.36051339,13.95541547,31.31457042,74585473024.0,5028.64453125,0.00325346,2.12577009,512.32244873,0.88690621,0.65810984,155119813820.09543,4196.08160226,0.00206156,2.74314422,523.25282099,0.96535514,0.66609879
random_IR_0014.npz,random_IR_0014.npz,561.026,1.22978473,58,MSS,0.76621151,0.00262056,True,20.46162278,3.27947734,36.94862113,163285057536.0,12282.5859375,0.00166591,3.14892745,756.02874756,0.83024144,0.51707232,95028278387.08888,7870.83454741,0.00152719,3.0354901,716.33004085,0.79739134,0.5198527
random_IR_0015.npz,random_IR_0015.npz,387.383,1.89715135,47,MSS,1.39956319,0.09507005,True,18.96393842,2.90131938,40.97541126,125755654144.0,11148.390625,0.00170105,1.5006901,777.05517578,0.91956937,0.74358875,179484685384.75702,7506.14989601,0.00101878,3.50392608,677.81975863,0.98147239,0.63188904
random_IR_0016.npz,random_IR_0016.npz,199.683,0.87006938,54,MSS,0.89750254,0.00013284,True,19.38826017,32.39184808,24.90968296,128431226880.0,5097.84570312,0.00380323,2.7708025,482.95541382,0.72910964,0.92472947,212770598762.0987,6623.93469364,0.00336817,2.77085627,572.25618327,0.72909144,0.92474025
random_IR_0017.npz,random_IR_0017.npz,305.697,1.19151998,58,MSS,0.88513184,0.00412715,True,11.25228972,8.67075229,44.16020422,183517167616.0,6198.92529297,0.0018152,3.15190697,496.90341187,0.73614317,0.93814272,201808789158.0077,9884.30792792,0.00218975,3.1284899,813.79968172,0.79482371,0.94205033
random_IR_0018.npz,random_IR_0018.npz,340.863,0.73611963,42,MSS,0.7686578,0.03653649,True,31.03531345,10.97209271,5.97745753,176711876608.0,11130.43164062,0.00278833,3.10827494,185.51226807,0.71771371,0.80711919,165530500482.13452,20404.3723328,0.00390102,3.10834161,501.32936868,0.71768897,0.80713267
random_IR_0019.npz,random_IR_0019.npz,170.89,0.58403921,43,MSS,0.61198407,0.00036246,True,22.22992684,8.86774046,37.77150149,112081952768.0,8218.93261719,0.00270472,1.15572202,839.65771484,0.72012854,0.57632768,161556360636.82275,7883.45901556,0.0022063,1.15566028,660.17693576,0.72009666,0.57638229
random_IR_0020.npz,random_IR_0020.npz,280.083,0.99475253,54,MSS,0.7638101,0.00804505,True,35.25483127,11.89410207,19.37936166,136895176704.0,10833.79003906,0.00325415,1.95387065,683.21612549,0.73404664,0.75216764,166939725438.14145,13227.31467837,0.00327986,1.96501875,590.87685252,0.8295306,0.72139503
random_IR_0021.npz,random_IR_0021.npz,530.201,0.92273974,47,MSS,0.81957912,0.00386756,True,63.18112717,5.34743131,10.97065818,114272141312.0,19645.92382812,0.00321599,3.69966698,693.1385498,0.84982634,0.55892783,190347680324.05112,19198.15907429,0.00247025,3.69998513,435.87056662,0.85490541,0.55911117
random_IR_0022.npz,random_IR_0022.npz,285.574,0.73613232,60,MSS,0.76083601,0.00136457,True,10.82556832,50.41304864,50.09926605,77012697088.0,2515.29785156,0.00430389,3.76634026,542.35302734,0.58954018,0.81159157,199823286777.3368,5239.62812757,0.00385697,3.76649958,998.8470181,0.58962154,0.81162419
