filename,target_npz,runtime,best_loss,best_popsize,loss_name,gt_loss,nmse,gt_available,mu,D_mu,T0_mu,E,rho,h,Ly,T0,op_x,op_y,gt_E,gt_rho,gt_h,gt_Ly,gt_T0,gt_op_x,gt_op_y
random_IR_0001.npz,random_IR_0001.npz,287.808,0.41949672,38,SC+LogMag,0.38835976,0.03541436,True,96.73851884,13.7853305,10.20602114,158481055744.0,21226.03320312,0.00455754,2.69167924,987.31536865,0.82643205,0.72443718,131819184298.85242,12673.80384034,0.00386076,2.69155916,602.76734844,0.82648812,0.72441773
random_IR_0002.npz,random_IR_0002.npz,297.566,0.53813398,43,SC+LogMag,0.54990351,0.00126143,True,93.07883406,17.89397114,4.71946487,218752942080.0,21115.37695312,0.00440811,3.68606067,439.2822876,0.78831255,0.96353638,147920922722.1944,17314.43071595,0.00485465,3.6861417,383.44768441,0.78834183,0.96354235
random_IR_0003.npz,random_IR_0003.npz,228.389,1.29853153,53,SC+LogMag,0.7011745,0.05794019,True,12.4427756,21.49470312,75.4729186,133015175168.0,4399.64111328,0.00282813,1.48443818,939.09259033,0.67338526,0.99274135,186057982895.32712,18083.2530963,0.00134852,1.30600457,20.22819526,0.93630595,0.98952299
random_IR_0004.npz,random_IR_0004.npz,190.121,0.64927524,58,SC+LogMag,0.47734869,0.00037719,True,8.65427394,25.45641322,59.96072792,219186593792.0,3855.74682617,0.00224451,3.41431856,518.91656494,0.58139253,0.96451139,164907916263.11115,4653.55920634,0.00284592,3.41755984,780.53137099,0.58024311,0.97288777
random_IR_0005.npz,random_IR_0005.npz,400.088,0.43119812,53,SC+LogMag,0.37362647,0.0002969,True,49.53311237,5.03334733,6.26710712,145422942208.0,18470.19921875,0.00268179,2.61135221,310.42932129,0.78836411,0.51869833,136791000829.13193,16985.59336136,0.00265865,2.61336013,264.56296655,0.78853263,0.519207
random_IR_0006.npz,random_IR_0006.npz,328.133,0.35986236,45,SC+LogMag,0.36720628,0.00534534,True,88.1372504,8.97503678,8.82643468,116243070976.0,20757.05664062,0.00424613,2.89105058,777.93768311,0.68621737,0.72414523,171318505762.83295,20172.46387607,0.00344838,2.89114294,616.93782753,0.68615887,0.72414566
random_IR_0007.npz,random_IR_0007.npz,1118.308,0.65008056,35,SC+LogMag,0.36315781,0.09068181,True,25.34031225,0.84652306,15.24573901,141601062912.0,21214.51171875,0.00119448,1.27647471,386.33178711,0.73940182,0.7282505,99188531844.29764,15037.99194882,0.0012409,3.12313047,666.77004778,0.57317389,0.66455989
random_IR_0008.npz,random_IR_0008.npz,432.06,0.29131657,46,SC+LogMag,0.30058104,0.01202823,True,41.07030653,3.76206513,6.38191879,127862652928.0,17208.390625,0.00238664,2.15481949,262.10736084,0.61233586,0.5890668,82612856044.4483,21011.42815551,0.00328079,2.15476124,438.60712745,0.61234961,0.58904166
random_IR_0009.npz,random_IR_0009.npz,614.786,0.33442613,39,SC+LogMag,0.33715537,0.00328011,True,28.69354615,4.68318254,32.94952516,108492603392.0,11924.08300781,0.00240635,2.99400926,945.4387207,0.56412238,0.83159578,91322346297.76453,7025.20112963,0.00201317,2.99401414,466.31610975,0.56408382,0.8316015
random_IR_0010.npz,random_IR_0010.npz,522.183,0.40589017,52,SC+LogMag,0.40864006,0.00493336,True,14.06749214,1.29963403,11.48782615,205326614528.0,14059.45019531,0.00100057,1.5007211,161.60490417,0.92049241,0.55706424,81856495196.33838,17864.67272114,0.00178633,1.50073056,368.73148341,0.920593,0.55708822
random_IR_0011.npz,random_IR_0011.npz,389.247,0.34821403,45,SC+LogMag,0.36061555,1.788e-05,True,38.59854503,9.58575788,24.56213366,129300316160.0,12133.5390625,0.00318114,3.93178415,948.06262207,0.5291853,0.64858377,180107327647.94016,13801.09577121,0.0028746,3.93173245,976.76132058,0.52920202,0.64857541
random_IR_0012.npz,random_IR_0012.npz,239.751,0.62100065,33,SC+LogMag,0.35464367,0.00399245,True,29.20896527,3.73169336,34.06574445,200094007296.0,15961.33886719,0.00182998,1.2600168,995.02514648,0.51786095,0.82858509,130382238160.7445,8408.08377261,0.00218456,1.44857003,118.73653168,0.54143227,0.84931134
random_IR_0013.npz,random_IR_0013.npz,274.525,0.79606515,42,SC+LogMag,0.59680378,0.00285382,True,12.44381522,13.99126522,65.38489183,139944558592.0,5163.58349609,0.00240992,2.74840426,813.63751221,0.90408081,0.66524309,155119813820.09543,4196.08160226,0.00206156,2.74314422,523.25282099,0.96535514,0.66609879
