filename,target_npz,runtime,best_loss,best_popsize,loss_name,gt_loss,nmse,gt_available,mu,D_mu,T0_mu,E,rho,h,Ly,T0,op_x,op_y,gt_E,gt_rho,gt_h,gt_Ly,gt_T0,gt_op_x,gt_op_y
random_IR_0001.npz,random_IR_0001.npz,379.071,0.00021724,38,VQT,2.17e-06,0.00408993,True,65.17833585,13.78061762,12.32709025,123201601536.0,15001.47265625,0.0043448,2.69153476,803.45922852,0.8264944,0.72442758,131819184298.85242,12673.80384034,0.00386076,2.69155916,602.76734844,0.82648812,0.72441773
random_IR_0002.npz,random_IR_0002.npz,415.748,0.00037503,40,VQT,2.34e-06,0.00067875,True,77.43657229,17.89649538,4.55765602,212347666432.0,18492.95898438,0.00418735,3.68608594,352.92926025,0.78823441,0.96352619,147920922722.1944,17314.43071595,0.00485465,3.6861417,383.44768441,0.78834183,0.96354235
random_IR_0003.npz,random_IR_0003.npz,369.815,0.00104565,58,VQT,2.74e-06,3.476e-05,True,22.89284911,1.6636015,0.72775024,177103093760.0,17053.28320312,0.00134243,1.30596364,16.66027641,0.9361183,0.99007159,186057982895.32712,18083.2530963,0.00134852,1.30600457,20.22819526,0.93630595,0.98952299
random_IR_0004.npz,random_IR_0004.npz,320.694,0.00020304,48,VQT,4.27e-06,0.00087826,True,5.71444996,25.5114654,58.93622633,155913519104.0,2608.04394531,0.00219109,3.41756058,336.78811646,0.58022028,0.97290111,164907916263.11115,4653.55920634,0.00284592,3.41755984,780.53137099,0.58024311,0.97288777
random_IR_0005.npz,random_IR_0005.npz,431.437,0.00041687,55,VQT,9.9e-07,0.0093434,True,69.71656491,5.06058258,5.81489932,76807626752.0,18717.20898438,0.00372473,2.61334062,405.39480591,0.78862631,0.51922137,136791000829.13193,16985.59336136,0.00265865,2.61336013,264.56296655,0.78853263,0.519207
random_IR_0006.npz,random_IR_0006.npz,339.044,0.00027889,41,VQT,2.07e-06,0.0034123,True,54.72144772,8.97661151,8.9099685,143772303360.0,16214.68359375,0.00337481,2.89117455,487.56637573,0.68621683,0.72414833,171318505762.83295,20172.46387607,0.00344838,2.89114294,616.93782753,0.68615887,0.72414566
random_IR_0007.npz,random_IR_0007.npz,718.952,0.12220895,60,VQT,1.82e-06,0.00046083,True,20.94325474,0.89626457,20.28347731,156097871872.0,18936.46289062,0.00110598,3.05436087,424.80203247,0.58100158,0.66095793,99188531844.29764,15037.99194882,0.0012409,3.12313047,666.77004778,0.57317389,0.66455989
random_IR_0008.npz,random_IR_0008.npz,799.98,0.10984979,43,VQT,6.6e-07,0.07361279,True,17.74808387,0.43128191,3.18578419,82783117312.0,17516.3515625,0.00101323,2.99615526,56.54156494,0.75737584,0.50999999,82612856044.4483,21011.42815551,0.00328079,2.15476124,438.60712745,0.61234961,0.58904166
random_IR_0009.npz,random_IR_0009.npz,381.313,0.14695451,39,VQT,1.53e-06,0.09240196,True,38.73353735,3.86950451,13.21547778,74015424512.0,13663.52929688,0.00283481,2.61033916,511.88220215,0.77127844,0.56340635,91322346297.76453,7025.20112963,0.00201317,2.99401414,466.31610975,0.56408382,0.8316015
random_IR_0010.npz,random_IR_0010.npz,390.268,0.00047248,37,VQT,1.6e-06,0.00412441,True,15.59599104,1.29971869,11.53654442,218188136448.0,15368.03710938,0.00101483,1.50071526,179.92384338,0.92054683,0.55705065,81856495196.33838,17864.67272114,0.00178633,1.50073056,368.73148341,0.920593,0.55708822
random_IR_0011.npz,random_IR_0011.npz,692.3,0.00046699,42,VQT,1.31e-06,1.611e-05,True,40.69207485,9.58627675,24.53576969,105351331840.0,11738.67480469,0.0034665,3.93164587,998.41137695,0.52913159,0.64859015,180107327647.94016,13801.09577121,0.0028746,3.93173245,976.76132058,0.52920202,0.64857541
random_IR_0012.npz,random_IR_0012.npz,243.196,0.15561253,41,VQT,8e-07,0.06596383,True,13.71440052,8.54528313,9.12833067,212278722560.0,7460.94287109,0.00183816,1.23230398,125.18958282,0.75762635,0.63382137,130382238160.7445,8408.08377261,0.00218456,1.44857003,118.73653168,0.54143227,0.84931134
random_IR_0013.npz,random_IR_0013.npz,343.656,0.0004114,30,VQT,1.94e-06,0.0008611,True,16.10573883,13.96562811,60.55265831,158447665152.0,6395.55224609,0.00251827,2.74313879,975.24530029,0.96542978,0.66607291,155119813820.09543,4196.08160226,0.00206156,2.74314422,523.25282099,0.96535514,0.66609879
random_IR_0014.npz,random_IR_0014.npz,514.63,0.00044508,32,VQT,1.35e-06,0.00035218,True,16.78804288,2.50346333,59.54720858,100891549696.0,10031.98925781,0.00167345,3.0355804,999.68109131,0.79743642,0.51986158,95028278387.08888,7870.83454741,0.00152719,3.0354901,716.33004085,0.79739134,0.5198527
random_IR_0015.npz,random_IR_0015.npz,407.821,0.00028471,47,VQT,2.69e-06,0.00018169,True,11.07162157,2.20629151,88.58736542,217954041856.0,10248.4296875,0.00108032,3.50392652,980.80578613,0.98154479,0.63190037,179484685384.75702,7506.14989601,0.00101878,3.50392608,677.81975863,0.98147239,0.63188904
random_IR_0016.npz,random_IR_0016.npz,388.409,0.00040735,53,VQT,1.7e-06,0.00042333,True,27.53762866,32.39031248,25.6474014,108471468032.0,6088.82714844,0.00452265,2.77085805,706.26861572,0.72930628,0.92471534,212770598762.0987,6623.93469364,0.00336817,2.77085627,572.25618327,0.72909144,0.92474025
random_IR_0017.npz,random_IR_0017.npz,370.682,0.00026043,56,VQT,2.23e-06,0.00109285,True,13.24532373,8.70134436,37.63638502,130493546496.0,6161.10253906,0.00214983,3.12848496,498.50610352,0.79486877,0.94205749,201808789158.0077,9884.30792792,0.00218975,3.1284899,813.79968172,0.79482371,0.94205033
random_IR_0018.npz,random_IR_0018.npz,247.803,0.00066476,44,VQT,1.61e-06,0.00543198,True,98.32255304,10.97496393,6.31291608,116373282816.0,20886.61132812,0.00470744,3.10842204,620.70202637,0.71788043,0.80710393,165530500482.13452,20404.3723328,0.00390102,3.10834161,501.32936868,0.71768897,0.80713267
random_IR_0019.npz,random_IR_0019.npz,221.279,0.00029037,48,VQT,8.2e-07,0.00114111,True,25.97553562,8.86621595,38.00042841,70817357824.0,7824.54882812,0.00331975,1.15566289,987.08148193,0.72009999,0.57642126,161556360636.82275,7883.45901556,0.0022063,1.15566028,660.17693576,0.72009666,0.57638229
random_IR_0020.npz,random_IR_0020.npz,300.311,0.0002893,46,VQT,8.7e-07,0.00208264,True,54.97805309,12.06886238,13.62603274,131273302016.0,14297.01660156,0.00384542,1.96507847,749.13275146,0.8294819,0.72137654,166939725438.14145,13227.31467837,0.00327986,1.96501875,590.87685252,0.8295306,0.72139503
random_IR_0021.npz,random_IR_0021.npz,461.382,0.00026568,54,VQT,1.67e-06,0.00325452,True,61.91795775,5.37693945,9.24220541,111582060544.0,19194.640625,0.00322579,3.69996524,572.25848389,0.854828,0.55911338,190347680324.05112,19198.15907429,0.00247025,3.69998513,435.87056662,0.85490541,0.55911117
random_IR_0022.npz,random_IR_0022.npz,227.65,0.00059331,44,VQT,1.76e-06,0.00037639,True,15.28051378,50.43065043,49.41418251,113327374336.0,3599.60253906,0.00424506,3.76651406,755.07409668,0.58993399,0.81164014,199823286777.3368,5239.62812757,0.00385697,3.76649958,998.8470181,0.58962154,0.81162419
random_IR_0023.npz,random_IR_0023.npz,242.379,0.00046662,60,VQT,1.54e-06,0.0120376,True,29.78886885,16.88224194,14.11287818,210480234496.0,9944.40722656,0.00299554,1.45905185,420.40667725,0.54387462,0.85164607,129299044475.57794,13129.09388595,0.00439203,1.45907795,807.32088554,0.54389183,0.8517401
random_IR_0024.npz,random_IR_0024.npz,427.726,0.00034935,42,VQT,1.46e-06,0.00229278,True,68.59243284,12.80793927,10.76077041,219940749312.0,19293.40039062,0.00355523,2.41528296,738.10742188,0.5157783,0.68639213,197937911386.0695,20769.80429405,0.00388822,2.41527378,866.38366211,0.5157399,0.68638925
random_IR_0025.npz,random_IR_0025.npz,367.838,0.17648014,33,VQT,1.41e-06,0.06157287,True,17.9383052,5.69259575,53.12243843,74377658368.0,7203.01220703,0.00249039,2.83077216,952.92651367,0.74870348,0.73597592,97599468309.14922,3451.55418078,0.00168652,3.21697263,521.04139584,0.51907568,0.89891187
random_IR_0026.npz,random_IR_0026.npz,504.544,0.119619,55,VQT,8.6e-07,0.07598829,True,34.99760151,1.44045123,0.09802858,85307432960.0,18612.47460938,0.00188033,1.26842809,3.43076515,0.68824369,0.51062465,71871356218.2901,15672.99075616,0.00238141,1.7493816,928.08201265,0.59070014,0.81452442
