filename,target_npz,runtime,best_loss,best_popsize,loss_name,gt_loss,nmse,gt_available,mu,D_mu,T0_mu,E,rho,h,Ly,T0,op_x,op_y,gt_E,gt_rho,gt_h,gt_Ly,gt_T0,gt_op_x,gt_op_y
random_IR_0001.npz,random_IR_0001.npz,90.361,0.00017227,43,L1,1.2e-06,0.00918633,True,73.28104142,13.77952346,12.33562823,165414388502.48816,17894.65278352,0.00409514,2.69150525,903.96768341,0.82640918,0.72444311,131819184298.85242,12673.80384034,0.00386076,2.69155916,602.76734844,0.82648812,0.72441773
random_IR_0002.npz,random_IR_0002.npz,154.337,0.00043916,58,L1,1.02e-06,0.00785029,True,61.54523855,17.89891236,4.57204692,186134155973.42944,15184.90023616,0.00405306,3.6862721,281.38771813,0.78827292,0.96350046,147920922722.1944,17314.43071595,0.00485465,3.6861417,383.44768441,0.78834183,0.96354235
random_IR_0003.npz,random_IR_0003.npz,145.632,0.00050348,57,L1,3.33e-06,0.00243407,True,11.85127027,1.66309726,0.875878,218418026311.75143,11791.87057839,0.00100504,1.30599754,10.38026685,0.93632833,0.98927276,186057982895.32712,18083.2530963,0.00134852,1.30600457,20.22819526,0.93630595,0.98952299
random_IR_0004.npz,random_IR_0004.npz,100.353,0.00119015,60,L1,1.35e-06,0.00014927,True,10.14415649,25.52027379,58.33401651,145242579421.99634,3733.89981032,0.00271677,3.41790312,591.74939211,0.58057643,0.97289264,164907916263.11115,4653.55920634,0.00284592,3.41755984,780.53137099,0.58024311,0.97288777
random_IR_0005.npz,random_IR_0005.npz,146.371,0.00027606,58,L1,3.3e-07,0.00112669,True,53.68649597,5.05943884,5.83489282,154097833132.47992,19834.62188258,0.00270671,2.61320416,313.2549499,0.78869791,0.51918977,136791000829.13193,16985.59336136,0.00265865,2.61336013,264.56296655,0.78853263,0.519207
random_IR_0006.npz,random_IR_0006.npz,132.756,0.00014215,40,L1,7.1e-07,0.0024018,True,57.11133044,8.97704505,8.92530036,151773866484.29974,16987.07256185,0.00336205,2.8911765,509.73577825,0.68611188,0.7241565,171318505762.83295,20172.46387607,0.00344838,2.89114294,616.93782753,0.68615887,0.72414566
random_IR_0007.npz,random_IR_0007.npz,338.127,0.00035537,50,L1,6.3e-07,0.00020613,True,22.30829057,0.90292654,35.77144085,92437326725.37698,16544.67881397,0.00134837,3.12312687,797.99969662,0.5731987,0.66457732,99188531844.29764,15037.99194882,0.0012409,3.12313047,666.77004778,0.57317389,0.66455989
random_IR_0008.npz,random_IR_0008.npz,155.495,0.03756414,41,L1,2.6e-07,0.00235512,True,57.04662734,3.88701748,9.15478538,86201564476.32184,18580.98330249,0.00307016,2.17296458,522.24962972,0.60344108,0.60083017,82612856044.4483,21011.42815551,0.00328079,2.15476124,438.60712745,0.61234961,0.58904166
random_IR_0009.npz,random_IR_0009.npz,137.633,0.00050222,35,L1,7.7e-07,0.003902,True,30.01299522,4.68349098,33.04507379,109359839625.99622,12319.26443498,0.00243627,2.99418352,991.78164191,0.56385639,0.83158047,91322346297.76453,7025.20112963,0.00201317,2.99401414,466.31610975,0.56408382,0.8316015
random_IR_0010.npz,random_IR_0010.npz,181.973,0.00046141,47,L1,8.7e-07,0.00049872,True,26.23854198,1.29971634,11.66036016,89018641424.09479,16123.26849651,0.00162737,1.50082029,305.95084962,0.92061197,0.55714102,81856495196.33838,17864.67272114,0.00178633,1.50073056,368.73148341,0.920593,0.55708822
