filename,target_npz,runtime,best_loss,best_popsize,loss_name,gt_loss,nmse,gt_available,mu,D_mu,T0_mu,E,rho,h,Ly,T0,op_x,op_y,gt_E,gt_rho,gt_h,gt_Ly,gt_T0,gt_op_x,gt_op_y
random_IR_0001.npz,random_IR_0001.npz,101.528,0.00032816,42,L1_STFT_1024,5.26e-06,0.00256548,True,36.06215276,13.78141618,12.27590812,179565904831.3286,11462.87619257,0.003146,2.69156333,442.69567393,0.82648891,0.72441413,131819184298.85242,12673.80384034,0.00386076,2.69155916,602.76734844,0.82648812,0.72441773
random_IR_0002.npz,random_IR_0002.npz,128.28,0.00027133,60,L1_STFT_1024,6.55e-06,0.0002225,True,80.26580747,17.89776558,4.53195922,219664628796.67212,19155.34523589,0.00419026,3.68616767,363.76136656,0.78834048,0.9635486,147920922722.1944,17314.43071595,0.00485465,3.6861417,383.44768441,0.78834183,0.96354235
random_IR_0003.npz,random_IR_0003.npz,114.314,0.00021917,48,L1_STFT_1024,1.979e-05,0.00430274,True,7.72037403,1.66313063,0.84002139,86378730821.60936,6504.31459185,0.00118696,1.30600271,6.48527931,0.9363061,0.98951655,186057982895.32712,18083.2530963,0.00134852,1.30600457,20.22819526,0.93630595,0.98952299
random_IR_0004.npz,random_IR_0004.npz,122.482,0.00015914,35,L1_STFT_1024,9.39e-06,0.00021395,True,16.95983668,25.51242882,58.91225593,212530862834.4025,5972.0073862,0.00283989,3.41757316,999.14223923,0.58023816,0.97288796,164907916263.11115,4653.55920634,0.00284592,3.41755984,780.53137099,0.58024311,0.97288777
random_IR_0005.npz,random_IR_0005.npz,171.652,0.00028498,47,L1_STFT_1024,2.72e-06,0.01124151,True,72.09578506,5.06006296,5.89629488,100320519892.30388,20923.4691914,0.00344569,2.61335777,425.09800818,0.78852824,0.51920923,136791000829.13193,16985.59336136,0.00265865,2.61336013,264.56296655,0.78853263,0.519207
random_IR_0006.npz,random_IR_0006.npz,110.003,0.00031716,58,L1_STFT_1024,4.26e-06,0.01723319,True,36.21044589,8.97734164,8.86542522,210187481529.4426,13974.12977642,0.00259125,2.89118492,321.02100037,0.68613944,0.72413844,171318505762.83295,20172.46387607,0.00344838,2.89114294,616.93782753,0.68615887,0.72414566
random_IR_0007.npz,random_IR_0007.npz,232.67,0.0863803,41,L1_STFT_1024,4.45e-06,0.01359247,True,25.76492393,0.9035225,35.84012466,144302028119.88965,21122.54395634,0.00121978,3.8932061,923.4180856,0.57332467,0.62551361,99188531844.29764,15037.99194882,0.0012409,3.12313047,666.77004778,0.57317389,0.66455989
random_IR_0008.npz,random_IR_0008.npz,168.381,0.11022799,32,L1_STFT_1024,2.36e-06,0.05309122,True,35.87376618,3.75940612,15.38141157,100612667976.3485,14520.3900253,0.00247058,3.47519279,551.78916239,0.61561038,0.54228113,82612856044.4483,21011.42815551,0.00328079,2.15476124,438.60712745,0.61234961,0.58904166
random_IR_0009.npz,random_IR_0009.npz,193.916,0.19551958,43,L1_STFT_1024,5.15e-06,0.03896174,True,56.94388821,4.64384348,0.08110267,141521960811.72803,20633.01334982,0.00275984,3.50943666,4.61830117,0.53671862,0.75828548,91322346297.76453,7025.20112963,0.00201317,2.99401414,466.31610975,0.56408382,0.8316015
random_IR_0010.npz,random_IR_0010.npz,168.586,0.00052998,55,L1_STFT_1024,5.01e-06,1.996e-05,True,30.77705122,1.29960771,11.59210323,134329461220.00037,20569.33076293,0.00149626,1.50070041,356.77075505,0.92059241,0.55710455,81856495196.33838,17864.67272114,0.00178633,1.50073056,368.73148341,0.920593,0.55708822
random_IR_0011.npz,random_IR_0011.npz,130.304,0.18096273,39,L1_STFT_1024,3.87e-06,0.00705246,True,60.12660629,10.84932854,5.02533959,125829730814.00441,15504.35686052,0.00387805,3.99839493,302.15661473,0.5411045,0.64827544,180107327647.94016,13801.09577121,0.0028746,3.93173245,976.76132058,0.52920202,0.64857541
random_IR_0012.npz,random_IR_0012.npz,127.894,0.00046207,49,L1_STFT_1024,3.42e-06,0.02675489,True,59.92454224,6.57841913,6.44058541,129077039930.61996,18432.94788069,0.00325095,1.44858741,385.94913219,0.54141729,0.84928569,130382238160.7445,8408.08377261,0.00218456,1.44857003,118.73653168,0.54143227,0.84931134
random_IR_0013.npz,random_IR_0013.npz,104.573,0.00026366,57,L1_STFT_1024,1.273e-05,0.00087003,True,16.14432937,13.96580456,60.52141852,148622523358.63208,6270.49831555,0.00257465,2.74314333,977.07771446,0.96536664,0.66609705,155119813820.09543,4196.08160226,0.00206156,2.74314422,523.25282099,0.96535514,0.66609879
