filename,target_npz,runtime,best_loss,n_restarts_run,best_popsize,loss_name,gt_loss,nmse,gt_available,mu,D_mu,T0_mu,E,rho,h,Ly,T0,op_x,op_y,gt_E,gt_rho,gt_h,gt_Ly,gt_T0,gt_op_x,gt_op_y
random_IR_0001.npz,random_IR_0001.npz,33.525,0.00066325,1,56,L1_STFT,1.809e-05,0.00052252,True,54.73795928,13.78130783,12.33142351,107148544051.95784,12745.98806534,0.00429452,2.69157026,674.9969582,0.8264874,0.72442758,131819184298.85242,12673.80384034,0.00386076,2.69155916,602.76734844,0.82648812,0.72441773
random_IR_0002.npz,random_IR_0002.npz,58.31,0.00024615,1,59,L1_STFT,2.736e-05,0.06878445,True,17.42345529,17.89698592,4.55756447,91761775157.01715,5172.08895866,0.00336875,3.68614738,79.40852077,0.78833891,0.96354366,147920922722.1944,17314.43071595,0.00485465,3.6861417,383.44768441,0.78834183,0.96354235
random_IR_0003.npz,random_IR_0003.npz,123.829,0.00069326,4,42,L1_STFT,5.234e-05,0.00430417,True,41.0535487,1.66316613,0.77118487,80626391298.40349,19365.56439453,0.00211993,1.30600368,31.65987568,0.93630458,0.98954722,186057982895.32712,18083.2530963,0.00134852,1.30600457,20.22819526,0.93630595,0.98952299
random_IR_0004.npz,random_IR_0004.npz,425.802,0.00068074,38,52,L1_STFT,3.266e-05,0.0002085,True,16.9121415,25.51157482,58.95348211,78371299285.00966,4274.52788346,0.00395649,3.41755348,997.02963126,0.580173,0.97288633,164907916263.11115,4653.55920634,0.00284592,3.41755984,780.53137099,0.58024311,0.97288777
random_IR_0005.npz,random_IR_0005.npz,39.13,0.00019839,1,38,L1_STFT,1.159e-05,0.00735662,True,66.9497145,5.06010275,5.85841683,102169465408.55872,20037.13267247,0.00334128,2.61335688,392.21933443,0.788531,0.51920872,136791000829.13193,16985.59336136,0.00265865,2.61336013,264.56296655,0.78853263,0.519207
random_IR_0006.npz,random_IR_0006.npz,37.902,0.00076805,1,54,L1_STFT,1.577e-05,0.01556762,True,101.26163998,8.97727602,8.87592544,86064148045.22269,20597.05026223,0.00491632,2.89114541,898.79076618,0.68627799,0.72412133,171318505762.83295,20172.46387607,0.00344838,2.89114294,616.93782753,0.68615887,0.72414566
random_IR_0007.npz,random_IR_0007.npz,228.144,0.00049186,3,46,L1_STFT,1.522e-05,0.00077442,True,25.73078249,0.9027621,35.7341885,69053844859.64087,16511.60678368,0.00155835,3.12313335,919.46863181,0.57321456,0.66456155,99188531844.29764,15037.99194882,0.0012409,3.12313047,666.77004778,0.57317389,0.66455989
random_IR_0008.npz,random_IR_0008.npz,36.921,0.00035889,1,39,L1_STFT,9.08e-06,0.00019557,True,65.38103087,3.76199543,6.36692731,90196556706.51088,20885.30876638,0.00313048,2.15476909,416.27627076,0.61234097,0.58904656,82612856044.4483,21011.42815551,0.00328079,2.15476124,438.60712745,0.61234961,0.58904166
random_IR_0009.npz,random_IR_0009.npz,195.039,0.00052867,11,51,L1_STFT,1.35e-05,0.00230495,True,26.34034829,4.68289963,32.9838145,68141518754.71887,9645.59792235,0.00273082,2.99403614,868.805162,0.56409613,0.83160865,91322346297.76453,7025.20112963,0.00201317,2.99401414,466.31610975,0.56408382,0.8316015
random_IR_0010.npz,random_IR_0010.npz,147.823,0.00058242,4,52,L1_STFT,1.834e-05,0.00120886,True,23.07881369,1.29960251,11.5551994,194633039204.49356,19211.45039993,0.00120131,1.50072391,266.68029417,0.92056276,0.55707921,81856495196.33838,17864.67272114,0.00178633,1.50073056,368.73148341,0.920593,0.55708822
