filename,target_npz,runtime,best_loss,n_restarts_run,best_popsize,loss_name,gt_loss,nmse,gt_available,mu,D_mu,T0_mu,E,rho,h,Ly,T0,op_x,op_y,gt_E,gt_rho,gt_h,gt_Ly,gt_T0,gt_op_x,gt_op_y
random_IR_0001.npz,random_IR_0001.npz,59.612,1.76e-06,1,45,L1_STFT,1.66e-06,0.00692836,True,70.07770768,13.78047157,12.31882059,126377042236.98569,15878.29207818,0.00441343,2.69155918,863.27470851,0.82648816,0.72441777,131819184298.85242,12673.80384034,0.00386076,2.69155916,602.76734844,0.82648812,0.72441773
random_IR_0002.npz,random_IR_0002.npz,102.591,1.03e-06,1,54,L1_STFT,8.5e-07,0.0032696,True,69.52820313,17.89719569,4.56166995,215987853543.11728,17308.97206257,0.00401689,3.68614167,317.16471476,0.78834183,0.96354236,147920922722.1944,17314.43071595,0.00485465,3.6861417,383.44768441,0.78834183,0.96354235
random_IR_0003.npz,random_IR_0003.npz,192.637,6.06e-06,4,46,L1_STFT,6.27e-06,0.00264046,True,11.33055364,1.66315315,0.82941773,129283917581.3934,9608.46472314,0.00117923,1.30600453,9.39776203,0.93630596,0.98952293,186057982895.32712,18083.2530963,0.00134852,1.30600457,20.22819526,0.93630595,0.98952299
random_IR_0004.npz,random_IR_0004.npz,52.64,1.21e-06,1,37,L1_STFT,2e-06,6.71e-05,True,11.16252702,25.51222622,58.93625123,85740295982.80338,3338.89720232,0.00334318,3.41755987,657.87749654,0.58024314,0.97288778,164907916263.11115,4653.55920634,0.00284592,3.41755984,780.53137099,0.58024311,0.97288777
random_IR_0005.npz,random_IR_0005.npz,98.915,1.27e-06,1,48,L1_STFT,7.8e-07,0.02695427,True,86.8698369,5.05994643,5.85844049,67001032992.179146,20709.69437262,0.00419465,2.61336022,508.92177005,0.7885327,0.51920697,136791000829.13193,16985.59336136,0.00265865,2.61336013,264.56296655,0.78853263,0.519207
random_IR_0006.npz,random_IR_0006.npz,70.23,1.57e-06,1,44,L1_STFT,1.78e-06,0.00116101,True,78.2191435,8.9768446,8.86883731,68350766506.15617,16058.23308262,0.00487097,2.89114286,693.712858,0.68615882,0.72414567,171318505762.83295,20172.46387607,0.00344838,2.89114294,616.93782753,0.68615887,0.72414566
random_IR_0007.npz,random_IR_0007.npz,684.016,1.29e-06,4,58,L1_STFT,1.32e-06,2.628e-05,True,19.96303171,0.90280507,35.73130479,200719835203.85992,19895.99166924,0.00100337,3.1231305,713.30517051,0.57317387,0.66455992,99188531844.29764,15037.99194882,0.0012409,3.12313047,666.77004778,0.57317389,0.66455989
random_IR_0008.npz,random_IR_0008.npz,98.616,1.69e-06,1,47,L1_STFT,1.22e-06,0.00060286,True,62.69599481,3.7618,6.36265948,94967808055.10652,20661.85272382,0.00303438,2.15476138,398.91326589,0.61234971,0.58904163,82612856044.4483,21011.42815551,0.00328079,2.15476124,438.60712745,0.61234961,0.58904166
random_IR_0009.npz,random_IR_0009.npz,465.672,1.6e-06,4,45,L1_STFT,1.67e-06,0.0036877,True,29.5711289,4.68301067,32.9717199,208152671361.09592,15117.50227122,0.00195609,2.99401434,975.01097915,0.5640838,0.83160152,91322346297.76453,7025.20112963,0.00201317,2.99401414,466.31610975,0.56408382,0.8316015
random_IR_0010.npz,random_IR_0010.npz,197.729,1.53e-06,2,36,L1_STFT,1.82e-06,5.966e-05,True,29.94989517,1.29965666,11.55456897,152224946875.11096,21058.70989846,0.00142221,1.50073046,346.05812926,0.920593,0.55708818,81856495196.33838,17864.67272114,0.00178633,1.50073056,368.73148341,0.920593,0.55708822
