filename,target_npz,runtime,best_loss,n_restarts_run,best_popsize,loss_name,gt_loss,nmse,gt_available,mu,D_mu,T0_mu,E,rho,h,Ly,T0,op_x,op_y,gt_E,gt_rho,gt_h,gt_Ly,gt_T0,gt_op_x,gt_op_y
random_IR_0001.npz,random_IR_0001.npz,27.036,1.195e-05,1,59,L1_STFT,1.403e-05,0.003109,True,63.09651649,13.78046886,12.31888479,100451008009.77316,13714.59065113,0.00460069,2.69155906,777.27871728,0.8264879,0.72441772,131819184298.85242,12673.80384034,0.00386076,2.69155916,602.76734844,0.82648812,0.72441773
random_IR_0002.npz,random_IR_0002.npz,33.76,1.997e-05,1,53,L1_STFT,2.066e-05,0.04116837,True,32.50655373,17.89719107,4.56183808,96821933667.30144,7979.81343168,0.0040736,3.68614178,148.2896346,0.78834189,0.96354232,147920922722.1944,17314.43071595,0.00485465,3.6861417,383.44768441,0.78834183,0.96354235
random_IR_0003.npz,random_IR_0003.npz,74.187,4.085e-05,2,42,L1_STFT,4.55e-05,0.0003255,True,19.80191105,1.66315277,0.82957462,129857610935.23616,13961.50763107,0.00141832,1.30600467,16.42716281,0.93630593,0.98952311,186057982895.32712,18083.2530963,0.00134852,1.30600457,20.22819526,0.93630595,0.98952299
random_IR_0004.npz,random_IR_0004.npz,26.613,2.174e-05,1,60,L1_STFT,2.43e-05,0.00041099,True,8.09306786,25.51221893,58.93656357,67004890092.943,2482.05100801,0.00326064,3.41755971,476.97760814,0.58024312,0.9728878,164907916263.11115,4653.55920634,0.00284592,3.41755984,780.53137099,0.58024311,0.97288777
random_IR_0005.npz,random_IR_0005.npz,37.787,8.77e-06,1,51,L1_STFT,8.55e-06,0.00562432,True,64.21213527,5.05994645,5.85850531,131872979096.58093,21217.64599716,0.00302636,2.61336014,376.18713578,0.78853263,0.51920695,136791000829.13193,16985.59336136,0.00265865,2.61336013,264.56296655,0.78853263,0.519207
random_IR_0006.npz,random_IR_0006.npz,27.913,1.059e-05,1,46,L1_STFT,1.207e-05,0.00409173,True,85.81381936,8.97684585,8.86885108,106751966920.72365,19818.52610434,0.00432998,2.89114307,761.06998472,0.6861589,0.72414565,171318505762.83295,20172.46387607,0.00344838,2.89114294,616.93782753,0.68615887,0.72414566
random_IR_0007.npz,random_IR_0007.npz,96.834,9.54e-06,1,54,L1_STFT,1.17e-05,0.00133343,True,27.9380093,0.90280484,35.7312846,102050610536.46622,19867.96442649,0.00140618,3.12313033,998.26096133,0.5731739,0.66455985,99188531844.29764,15037.99194882,0.0012409,3.12313047,666.77004778,0.57317389,0.66455989
random_IR_0008.npz,random_IR_0008.npz,32.459,6.87e-06,1,48,L1_STFT,6.83e-06,0.00232607,True,56.6808262,3.76179944,6.36271119,97006534452.50128,19455.46990529,0.00291336,2.1547611,360.64372723,0.61234964,0.5890416,82612856044.4483,21011.42815551,0.00328079,2.15476124,438.60712745,0.61234961,0.58904166
random_IR_0009.npz,random_IR_0009.npz,131.52,9.24e-06,5,30,L1_STFT,1.049e-05,0.00101649,True,22.24298498,4.68300955,32.97177208,107946056409.15482,10045.50523175,0.00221422,2.99401419,733.39063112,0.56408386,0.83160146,91322346297.76453,7025.20112963,0.00201317,2.99401414,466.31610975,0.56408382,0.8316015
random_IR_0010.npz,random_IR_0010.npz,62.499,1.274e-05,2,40,L1_STFT,1.332e-05,1.073e-05,True,31.07992663,1.29965671,11.5545393,93060442795.60675,18319.5430295,0.00169654,1.5007305,359.11423351,0.92059288,0.55708824,81856495196.33838,17864.67272114,0.00178633,1.50073056,368.73148341,0.920593,0.55708822
