filename,target_npz,runtime,best_loss,n_restarts_run,best_popsize,loss_name,gt_loss,nmse,gt_available,mu,D_mu,T0_mu,E,rho,h,Ly,T0,op_x,op_y,gt_E,gt_rho,gt_h,gt_Ly,gt_T0,gt_op_x,gt_op_y
random_IR_0001.npz,random_IR_0001.npz,26.644,1.205e-05,1,60,L1_STFT,1.403e-05,0.00035362,True,53.70804021,13.78047127,12.31886422,69035096613.908,10870.36145177,0.00494078,2.69155909,661.622055,0.82648809,0.7244177,131819184298.85242,12673.80384034,0.00386076,2.69155916,602.76734844,0.82648812,0.72441773
random_IR_0002.npz,random_IR_0002.npz,32.177,2.006e-05,1,46,L1_STFT,2.066e-05,0.02671621,True,42.52899893,17.89719277,4.56171804,170346215636.94543,11523.60749387,0.0036906,3.68614166,194.00530157,0.7883419,0.96354237,147920922722.1944,17314.43071595,0.00485465,3.6861417,383.44768441,0.78834183,0.96354235
random_IR_0003.npz,random_IR_0003.npz,127.176,4.08e-05,15,60,L1_STFT,4.55e-05,0.00063586,True,17.97912552,1.66315274,0.82956228,129849381304.47821,13090.73763965,0.00137342,1.30600466,14.91480429,0.93630601,0.98952308,186057982895.32712,18083.2530963,0.00134852,1.30600457,20.22819526,0.93630595,0.98952299
random_IR_0004.npz,random_IR_0004.npz,38.35,2.233e-05,1,58,L1_STFT,2.43e-05,0.00020925,True,16.91879735,25.5122245,58.9360206,84079734164.73633,4376.9993836,0.00386539,3.41755968,997.12658895,0.5802431,0.97288776,164907916263.11115,4653.55920634,0.00284592,3.41755984,780.53137099,0.58024311,0.97288777
random_IR_0005.npz,random_IR_0005.npz,24.623,8.56e-06,1,30,L1_STFT,8.55e-06,0.00069112,True,51.83776616,5.0599444,5.85850333,175369698479.73804,20229.3974929,0.0025625,2.61335993,303.69172585,0.78853268,0.51920701,136791000829.13193,16985.59336136,0.00265865,2.61336013,264.56296655,0.78853263,0.519207
random_IR_0006.npz,random_IR_0006.npz,27.217,1.089e-05,1,47,L1_STFT,1.207e-05,0.01421508,True,99.85332508,8.97684433,8.8687685,82514775992.29681,20121.49246517,0.00496252,2.89114281,885.57602455,0.68615899,0.72414564,171318505762.83295,20172.46387607,0.00344838,2.89114294,616.93782753,0.68615887,0.72414566
random_IR_0007.npz,random_IR_0007.npz,278.102,9.73e-06,6,46,L1_STFT,1.17e-05,0.00026946,True,22.83112951,0.90280507,35.73132914,163169411338.83823,20307.15152215,0.00112429,3.12313029,815.7866032,0.57317397,0.66455983,99188531844.29764,15037.99194882,0.0012409,3.12313047,666.77004778,0.57317389,0.66455989
random_IR_0008.npz,random_IR_0008.npz,28.616,6.69e-06,1,39,L1_STFT,6.83e-06,0.00029524,True,64.56858184,3.76179817,6.36270599,90923897356.5343,20767.81668985,0.00310907,2.15476103,410.83090255,0.61234966,0.58904164,82612856044.4483,21011.42815551,0.00328079,2.15476124,438.60712745,0.61234961,0.58904166
random_IR_0009.npz,random_IR_0009.npz,197.78,9.59e-06,9,54,L1_STFT,1.049e-05,0.00386687,True,29.94146886,4.68300895,32.97175375,111412243518.24252,12376.57670422,0.0024192,2.99401421,987.22273824,0.56408369,0.83160147,91322346297.76453,7025.20112963,0.00201317,2.99401414,466.31610975,0.56408382,0.8316015
random_IR_0010.npz,random_IR_0010.npz,79.424,1.268e-05,4,45,L1_STFT,1.332e-05,5.12e-05,True,30.09435586,1.29965673,11.55453037,72884874055.7496,16527.56128376,0.00182086,1.50073054,347.72614872,0.92059292,0.55708818,81856495196.33838,17864.67272114,0.00178633,1.50073056,368.73148341,0.920593,0.55708822
