filename,target_npz,runtime,best_loss,n_restarts_run,best_popsize,loss_name,gt_loss,nmse,gt_available,mu,D_mu,T0_mu,E,rho,h,Ly,T0,op_x,op_y,gt_E,gt_rho,gt_h,gt_Ly,gt_T0,gt_op_x,gt_op_y
random_IR_0001.npz,random_IR_0001.npz,26.867,1.202e-05,1,43,L1_STFT,1.403e-05,0.00422417,True,32.4181298,13.7804693,12.31890671,74931392905.7857,7978.86400767,0.004063,2.69155892,399.35591662,0.82648796,0.72441776,131819184298.85242,12673.80384034,0.00386076,2.69155916,602.76734844,0.82648812,0.72441773
random_IR_0002.npz,random_IR_0002.npz,35.322,2.036e-05,1,55,L1_STFT,2.066e-05,0.00505955,True,102.12701416,17.89718813,4.56144376,166508043122.14288,20508.14535645,0.00497983,3.68614172,465.84663152,0.78834177,0.96354236,147920922722.1944,17314.43071595,0.00485465,3.6861417,383.44768441,0.78834183,0.96354235
random_IR_0003.npz,random_IR_0003.npz,121.863,4.062e-05,13,45,L1_STFT,4.55e-05,0.00421766,True,40.88520022,1.66315279,0.82955816,78976592384.84369,19180.00248233,0.00213166,1.30600461,33.91665146,0.93630593,0.98952301,186057982895.32712,18083.2530963,0.00134852,1.30600457,20.22819526,0.93630595,0.98952299
random_IR_0004.npz,random_IR_0004.npz,56.747,2.215e-05,5,49,L1_STFT,2.43e-05,0.00021358,True,16.95660153,25.51222265,58.93718745,73184717590.0986,4185.35599675,0.00405141,3.41755967,999.37440322,0.58024311,0.97288773,164907916263.11115,4653.55920634,0.00284592,3.41755984,780.53137099,0.58024311,0.97288777
random_IR_0005.npz,random_IR_0005.npz,26.576,8.95e-06,1,33,L1_STFT,8.55e-06,0.0011616,True,53.81769203,5.05994628,5.85853529,168704806411.62335,20475.11683512,0.00262844,2.61335986,315.29284808,0.7885327,0.51920697,136791000829.13193,16985.59336136,0.00265865,2.61336013,264.56296655,0.78853263,0.519207
random_IR_0006.npz,random_IR_0006.npz,21.223,1.048e-05,1,30,L1_STFT,1.207e-05,0.00230011,True,81.74701825,8.97684358,8.86885737,108687063045.04306,19302.57157071,0.00423503,2.89114291,725.00264547,0.6861588,0.72414567,171318505762.83295,20172.46387607,0.00344838,2.89114294,616.93782753,0.68615887,0.72414566
random_IR_0007.npz,random_IR_0007.npz,280.703,9.43e-06,15,40,L1_STFT,1.17e-05,0.00044429,True,24.01583059,0.90280496,35.73130464,78272403031.62215,16441.91797787,0.00146065,3.12313043,858.1169589,0.57317389,0.66455984,99188531844.29764,15037.99194882,0.0012409,3.12313047,666.77004778,0.57317389,0.66455989
random_IR_0008.npz,random_IR_0008.npz,75.825,6.85e-06,2,35,L1_STFT,6.83e-06,0.00305202,True,54.8983982,3.76179858,6.36270373,133577509289.50851,21188.56485991,0.00259094,2.15476099,349.30224296,0.61234977,0.58904167,82612856044.4483,21011.42815551,0.00328079,2.15476124,438.60712745,0.61234961,0.58904166
random_IR_0009.npz,random_IR_0009.npz,354.617,9.28e-06,20,51,L1_STFT,1.049e-05,0.00361596,True,29.42032372,4.68300976,32.97177853,196430011546.6012,14777.75233,0.00199085,2.99401435,970.04039785,0.56408384,0.83160142,91322346297.76453,7025.20112963,0.00201317,2.99401414,466.31610975,0.56408382,0.8316015
random_IR_0010.npz,random_IR_0010.npz,73.398,1.297e-05,2,55,L1_STFT,1.332e-05,0.00351682,True,16.84566515,1.2996567,11.55448414,219934235506.21854,16221.6862459,0.00103847,1.5007305,194.64297073,0.92059291,0.55708819,81856495196.33838,17864.67272114,0.00178633,1.50073056,368.73148341,0.920593,0.55708822
random_IR_0011.npz,random_IR_0011.npz,52.977,1.128e-05,1,43,L1_STFT,1.169e-05,9.1e-07,True,39.43069436,9.58564543,24.62055695,78993350732.66736,10443.0774981,0.00377577,3.9317322,970.80565601,0.52920223,0.64857535,180107327647.94016,13801.09577121,0.0028746,3.93173245,976.76132058,0.52920202,0.64857541
random_IR_0012.npz,random_IR_0012.npz,37.568,9.66e-06,2,56,L1_STFT,8.64e-06,0.02030016,True,54.566241,6.57804977,6.46438247,108705812714.3579,16353.73870174,0.00333662,1.44857003,352.73705168,0.5414323,0.84931139,130382238160.7445,8408.08377261,0.00218456,1.44857003,118.73653168,0.54143227,0.84931134
random_IR_0013.npz,random_IR_0013.npz,47.41,3.372e-05,2,54,L1_STFT,3.309e-05,0.00096192,True,16.53011417,13.96567276,60.48865124,219165833398.49545,7250.53507609,0.00227985,2.74314437,999.88431097,0.96535508,0.66609874,155119813820.09543,4196.08160226,0.00206156,2.74314422,523.25282099,0.96535514,0.66609879
random_IR_0014.npz,random_IR_0014.npz,88.26,9.46e-06,2,30,L1_STFT,1.054e-05,4.045e-05,True,13.63604648,2.50303234,59.5935321,194786075262.59174,10875.23432452,0.00125386,3.03549003,812.62017358,0.79739129,0.51985271,95028278387.08888,7870.83454741,0.00152719,3.0354901,716.33004085,0.79739134,0.5198527
random_IR_0015.npz,random_IR_0015.npz,145.096,4.09e-05,8,47,L1_STFT,4.301e-05,1.76e-06,True,7.98462024,2.20607361,88.63717751,162532091834.64304,7474.0909441,0.00106831,3.50392614,707.7342015,0.98147235,0.63188904,179484685384.75702,7506.14989601,0.00101878,3.50392608,677.81975863,0.98147239,0.63188904
random_IR_0016.npz,random_IR_0016.npz,18.757,1.477e-05,1,45,L1_STFT,1.542e-05,4.404e-05,True,20.62454427,32.39145423,25.64968613,171683102673.2906,5852.00159006,0.00352436,2.77085642,529.01308715,0.72909143,0.92474028,212770598762.0987,6623.93469364,0.00336817,2.77085627,572.25618327,0.72909144,0.92474025
random_IR_0017.npz,random_IR_0017.npz,33.982,1.758e-05,1,50,L1_STFT,1.814e-05,0.00020331,True,25.2667347,8.70220772,37.59910906,119704577934.98297,9207.51307211,0.00274414,3.12848975,950.00671377,0.7948236,0.94205033,201808789158.0077,9884.30792792,0.00218975,3.1284899,813.79968172,0.79482371,0.94205033
random_IR_0018.npz,random_IR_0018.npz,28.935,1.207e-05,1,52,L1_STFT,1.266e-05,0.00098887,True,87.58707826,10.97382506,6.29826373,130815971124.66876,20106.82190144,0.00435609,3.10834159,551.64651798,0.71768892,0.80713264,165530500482.13452,20404.3723328,0.00390102,3.10834161,501.32936868,0.71768897,0.80713267
random_IR_0019.npz,random_IR_0019.npz,15.213,6.72e-06,1,51,L1_STFT,6.66e-06,0.00073973,True,24.30321422,8.86714083,37.95590701,193673347560.846,10466.95572156,0.0023219,1.15566044,922.45053907,0.72009667,0.57638228,161556360636.82275,7883.45901556,0.0022063,1.15566028,660.17693576,0.72009666,0.57638229
random_IR_0020.npz,random_IR_0020.npz,13.127,1.067e-05,1,31,L1_STFT,1.063e-05,0.00511723,True,61.55794817,12.06829763,13.61980705,170877495467.26953,16832.61288134,0.00365706,1.96501878,838.40737636,0.82953053,0.7213951,166939725438.14145,13227.31467837,0.00327986,1.96501875,590.87685252,0.8295306,0.72139503
random_IR_0021.npz,random_IR_0021.npz,38.476,1.116e-05,1,31,L1_STFT,1.145e-05,0.00304513,True,61.44397852,5.37794611,9.19078862,132657919420.88712,20228.99421251,0.00303742,3.69998521,564.71861868,0.85490546,0.55911113,190347680324.05112,19198.15907429,0.00247025,3.69998513,435.87056662,0.85490541,0.55911117
random_IR_0022.npz,random_IR_0022.npz,18.412,1.091e-05,1,39,L1_STFT,1.24e-05,9.49e-06,True,19.42631339,50.42948196,49.4256966,89611307769.06644,3906.32934243,0.00497304,3.76649982,960.15907198,0.58962167,0.81162409,199823286777.3368,5239.62812757,0.00385697,3.76649958,998.8470181,0.58962154,0.81162419
random_IR_0023.npz,random_IR_0023.npz,1034.963,1.159e-05,250,55,L1_STFT,1.132e-05,0.00289066,True,71.32296478,16.88648485,14.00061353,163092810461.69482,16345.59014259,0.00436344,1.45907793,998.5652657,0.54389205,0.85174012,129299044475.57794,13129.09388595,0.00439203,1.45907795,807.32088554,0.54389183,0.8517401
