filename,target_npz,runtime,best_loss,n_restarts_run,best_popsize,loss_name,gt_loss,nmse,gt_available,mu,D_mu,T0_mu,E,rho,h,Ly,T0,op_x,op_y,gt_E,gt_rho,gt_h,gt_Ly,gt_T0,gt_op_x,gt_op_y
random_IR_0001.npz,random_IR_0001.npz,27.284,0.00048104,2,34,MultiResL1_STFT,9.27e-06,0.00014461,True,45.87528728,13.78129099,12.27620487,154579053664.81647,12802.31781216,0.00358336,2.69157477,563.17442511,0.82648368,0.72441654,131819184298.85242,12673.80384034,0.00386076,2.69155916,602.76734844,0.82648812,0.72441773
random_IR_0002.npz,random_IR_0002.npz,21.89,0.00044483,1,57,MultiResL1_STFT,1.374e-05,0.02134154,True,46.94038596,17.89654189,4.55843194,167333849118.7115,12234.46989498,0.00383673,3.68613845,213.97455474,0.78829211,0.96353781,147920922722.1944,17314.43071595,0.00485465,3.6861417,383.44768441,0.78834183,0.96354235
random_IR_0003.npz,random_IR_0003.npz,30.91,0.0007043,1,49,MultiResL1_STFT,2.984e-05,0.00553141,True,5.49018557,1.66310684,0.85604608,102215091979.99423,5481.15562818,0.00100165,1.30600351,4.69985182,0.93628297,0.98953213,186057982895.32712,18083.2530963,0.00134852,1.30600457,20.22819526,0.93630595,0.98952299
random_IR_0004.npz,random_IR_0004.npz,13.578,0.00083264,1,34,MultiResL1_STFT,1.671e-05,3.88e-06,True,12.74369425,25.51099993,59.01010608,91410486872.5668,3725.93752208,0.00342027,3.41753262,752.00674968,0.58026346,0.97287583,164907916263.11115,4653.55920634,0.00284592,3.41755984,780.53137099,0.58024311,0.97288777
random_IR_0005.npz,random_IR_0005.npz,17.854,0.00071487,1,33,MultiResL1_STFT,5.71e-06,0.00702586,True,66.45420745,5.05976087,5.88344471,113002940229.62209,20619.78178587,0.00322284,2.61341034,390.97965522,0.7884976,0.51919038,136791000829.13193,16985.59336136,0.00265865,2.61336013,264.56296655,0.78853263,0.519207
random_IR_0006.npz,random_IR_0006.npz,14.796,0.0005181,1,43,MultiResL1_STFT,8.17e-06,0.00466333,True,86.91184094,8.97707387,8.82404228,108254132009.21463,20080.36886521,0.0043282,2.89114413,766.91375929,0.6861843,0.72416382,171318505762.83295,20172.46387607,0.00344838,2.89114294,616.93782753,0.68615887,0.72414566
random_IR_0007.npz,random_IR_0007.npz,315.774,0.00035588,22,35,MultiResL1_STFT,7.78e-06,0.00131422,True,27.87094835,0.90282806,35.7262225,80539332953.1108,18330.93634682,0.00152043,3.12310762,995.72370196,0.5731846,0.66455672,99188531844.29764,15037.99194882,0.0012409,3.12313047,666.77004778,0.57317389,0.66455989
random_IR_0008.npz,random_IR_0008.npz,21.419,0.00079171,1,52,MultiResL1_STFT,4.59e-06,0.00040857,True,63.79866115,3.76229573,6.36174139,85338052391.71622,20170.66120272,0.00316294,2.15483394,405.87058325,0.6123042,0.58907636,82612856044.4483,21011.42815551,0.00328079,2.15476124,438.60712745,0.61234961,0.58904166
random_IR_0009.npz,random_IR_0009.npz,721.892,0.00054642,54,48,MultiResL1_STFT,7.22e-06,0.00332495,True,28.7926646,4.68314278,32.967604,202918144251.96777,14725.32511755,0.00195532,2.9940671,949.22516478,0.56403803,0.83160642,91322346297.76453,7025.20112963,0.00201317,2.99401414,466.31610975,0.56408382,0.8316015
random_IR_0010.npz,random_IR_0010.npz,240.33,0.00060394,22,52,MultiResL1_STFT,8.97e-06,6.4e-07,True,32.11451665,1.29962619,11.5627522,85785492169.55005,18222.80453721,0.00176233,1.50074687,371.33219809,0.92055845,0.5570684,81856495196.33838,17864.67272114,0.00178633,1.50073056,368.73148341,0.920593,0.55708822
