filename,target_npz,runtime,best_loss,n_restarts_run,best_popsize,loss_name,gt_loss,nmse,gt_available,mu,D_mu,T0_mu,E,rho,h,Ly,T0,op_x,op_y,gt_E,gt_rho,gt_h,gt_Ly,gt_T0,gt_op_x,gt_op_y
random_IR_0001.npz,random_IR_0001.npz,10.372,0.00044115,1,37,MultiResL1_STFT_V2,1.023e-05,0.00063298,True,55.32244694,13.78049601,12.32316329,89389683630.80246,12084.37693477,0.00457801,2.69153656,681.74754692,0.82649933,0.72443199,131819184298.85242,12673.80384034,0.00386076,2.69155916,602.76734844,0.82648812,0.72441773
random_IR_0002.npz,random_IR_0002.npz,25.312,0.00055548,1,54,MultiResL1_STFT_V2,1.486e-05,0.00118811,True,92.81272409,17.89799887,4.53993729,170073866198.0921,19377.53551644,0.00478971,3.68614265,421.3639474,0.78832512,0.96355558,147920922722.1944,17314.43071595,0.00485465,3.6861417,383.44768441,0.78834183,0.96354235
random_IR_0003.npz,random_IR_0003.npz,50.166,0.0004164,2,57,MultiResL1_STFT_V2,3.281e-05,0.00143872,True,14.74894667,1.66316612,0.78617551,145468315694.21735,11914.26960238,0.00123792,1.30600338,11.59526067,0.93630055,0.98951732,186057982895.32712,18083.2530963,0.00134852,1.30600457,20.22819526,0.93630595,0.98952299
random_IR_0004.npz,random_IR_0004.npz,22.434,0.00056465,1,58,MultiResL1_STFT_V2,1.815e-05,0.00013351,True,16.179243,25.51145007,58.95266148,75384400210.16855,4096.72429489,0.00394931,3.41757064,953.80943543,0.58025348,0.97289664,164907916263.11115,4653.55920634,0.00284592,3.41755984,780.53137099,0.58024311,0.97288777
random_IR_0005.npz,random_IR_0005.npz,23.754,0.00033073,1,57,MultiResL1_STFT_V2,6.21e-06,0.00971938,True,70.20581085,5.06004551,5.87143304,108746531005.85132,21116.31808529,0.00332472,2.61337217,412.20871762,0.78851334,0.51920625,136791000829.13193,16985.59336136,0.00265865,2.61336013,264.56296655,0.78853263,0.519207
random_IR_0006.npz,random_IR_0006.npz,16.889,0.00040284,1,39,MultiResL1_STFT_V2,8.89e-06,0.00253714,True,82.3594436,8.9766378,8.85857519,104382720778.9797,19139.46227335,0.00430312,2.89111933,729.58732379,0.68613733,0.72413236,171318505762.83295,20172.46387607,0.00344838,2.89114294,616.93782753,0.68615887,0.72414566
random_IR_0007.npz,random_IR_0007.npz,240.893,0.00034879,9,49,MultiResL1_STFT_V2,8.46e-06,0.00069286,True,25.34814827,0.90278688,35.73473561,143385532201.63196,20855.47167973,0.00121542,3.1231245,905.80937668,0.5731588,0.66455201,99188531844.29764,15037.99194882,0.0012409,3.12313047,666.77004778,0.57317389,0.66455989
random_IR_0008.npz,random_IR_0008.npz,21.654,0.00035633,1,45,MultiResL1_STFT_V2,4.98e-06,0.00033151,True,64.30821598,3.76173721,6.3633952,89152131913.06592,20576.64478808,0.0031253,2.15474386,409.21859319,0.61230352,0.58903158,82612856044.4483,21011.42815551,0.00328079,2.15476124,438.60712745,0.61234961,0.58904166
random_IR_0009.npz,random_IR_0009.npz,455.686,0.00058511,29,46,MultiResL1_STFT_V2,7.82e-06,0.00144209,True,23.79082086,4.68289456,32.97658899,86271060689.34738,9750.02426871,0.00244008,2.99398966,784.54012132,0.56399516,0.83161466,91322346297.76453,7025.20112963,0.00201317,2.99401414,466.31610975,0.56408382,0.8316015
random_IR_0010.npz,random_IR_0010.npz,171.046,0.00036152,10,60,MultiResL1_STFT_V2,9.78e-06,0.0015278,True,21.98167659,1.29964323,11.54338128,184152070472.21222,18257.4668319,0.00120398,1.500738,253.74287407,0.92059262,0.55708193,81856495196.33838,17864.67272114,0.00178633,1.50073056,368.73148341,0.920593,0.55708822
random_IR_0011.npz,random_IR_0011.npz,24.397,0.00038292,1,50,MultiResL1_STFT_V2,8.39e-06,3.336e-05,True,38.20528275,9.58530761,24.63180024,74408515445.18338,10023.90555958,0.00381142,3.93172259,941.06489258,0.52915572,0.64856631,180107327647.94016,13801.09577121,0.0028746,3.93173245,976.76132058,0.52920202,0.64857541
random_IR_0012.npz,random_IR_0012.npz,35.672,0.00085075,4,39,MultiResL1_STFT_V2,6.4e-06,0.01645478,True,50.95795067,6.57812238,6.47802896,213641090063.67197,19571.22788668,0.00260372,1.44853833,330.10708006,0.54147097,0.84928812,130382238160.7445,8408.08377261,0.00218456,1.44857003,118.73653168,0.54143227,0.84931134
random_IR_0013.npz,random_IR_0013.npz,29.106,0.00032009,2,54,MultiResL1_STFT_V2,2.45e-05,0.00095933,True,16.51952946,13.9654872,60.51129253,217156347232.25974,7225.25345806,0.00228636,2.74314125,999.61807929,0.96536255,0.66609947,155119813820.09543,4196.08160226,0.00206156,2.74314422,523.25282099,0.96535514,0.66609879
random_IR_0014.npz,random_IR_0014.npz,79.842,0.000368,4,49,MultiResL1_STFT_V2,7.71e-06,0.00028631,True,16.31918872,2.50293306,59.60673832,147802303356.2551,11181.29721427,0.00145951,3.0354951,972.73361169,0.79738747,0.51983869,95028278387.08888,7870.83454741,0.00152719,3.0354901,716.33004085,0.79739134,0.5198527
random_IR_0015.npz,random_IR_0015.npz,116.008,0.00024524,8,48,MultiResL1_STFT_V2,3.021e-05,1.549e-05,True,6.64736502,2.20604682,88.63853844,164856190761.04633,6645.77584779,0.00100024,3.5039256,589.21271947,0.98146479,0.63188819,179484685384.75702,7506.14989601,0.00101878,3.50392608,677.81975863,0.98147239,0.63188904
