filename,target_npz,runtime,best_loss,n_restarts_run,total_evaluations,cmaes_gen_count,best_popsize,loss_name,gt_loss,terrain_mean,early_threshold,tolfun_eff,nmse,gt_available,mu,D_mu,T0_mu,E,rho,h,Ly,T0,op_x,op_y,gt_E,gt_rho,gt_h,gt_Ly,gt_T0,gt_op_x,gt_op_y
random_IR_0001.npz,random_IR_0001.npz,477.9824559688568,0.03840753436088562,20,15640,354,39,L1_STFT_c2,9.286736712965649e-06,0.06277071684598923,0.0006055203227510901,0.0003263594365682366,0.01636776568197422,True,41.57655572213556,13.96560145029893,8.009400779552095,188165643923.1158,12745.05539267656,0.003262171441485133,2.704822207186647,333.0032978119636,0.6770216878688042,0.7236185984666184,131819184298.8524,12673.80384034166,0.0038607574654896,2.691559161389242,602.7673484378831,0.8264881154026615,0.7244177335187193
random_IR_0002.npz,random_IR_0002.npz,295.3040051460266,0.0005327792023308575,3,8976,212,33,L1_STFT_c2,1.451447405997897e-05,0.06531515717506409,0.000634870579719518,0.0003395633420452213,0.001368632671578992,True,74.67132038247915,17.89471799970498,6.653246637103497,142020372917.7958,15785.57150094577,0.004730352675416618,3.686122532978109,496.8067112228073,0.7882878125709079,0.9635346137823184,147920922722.1944,17314.43071595409,0.0048546510420041,3.686141702268032,383.4476844105894,0.7883418349360268,0.9635423527634041
random_IR_0003.npz,random_IR_0003.npz,428.5652921199799,0.07024287432432175,20,5320,140,38,L1_STFT_c2,2.852302532119211e-05,0.1266038119792938,0.001230988270383932,0.0006581915025606576,0.03973524752692151,True,11.02981339677694,7.965197426023557,25.33169714594007,69190924520.13637,4545.818923460678,0.00242636444224665,2.632804105567892,279.4038925433858,0.9703655009179688,0.9620304870935017,186057982895.3271,18083.25309630123,0.0013485171988061,1.306004568773872,20.22819525635132,0.9363059526409414,0.9895229876940544
random_IR_0004.npz,random_IR_0004.npz,531.9498903751373,0.04453102499246597,20,10001,184,50,L1_STFT_c2,1.549347507534549e-05,0.06952397525310516,0.0006758240519666287,0.000361444105245755,0.0164678341263231,True,42.12356545537465,28.20949550176253,22.46749242670404,140596507303.2112,9229.092088191941,0.00456421553202066,3.509912815852817,946.4108878544017,0.6339796387080078,0.9659058240895553,164907916263.1111,4653.559206335945,0.0028459174490117,3.417559836228498,780.5313709946926,0.5802431108304328,0.972887769354296
random_IR_0005.npz,random_IR_0005.npz,636.1920011043549,0.03061899356544018,20,18853,373,40,L1_STFT_c2,6.272731297940481e-06,0.06559193879365921,0.0006293365588903725,0.0003410454635242786,0.01127130691728325,True,51.14900292646321,5.058078400384701,6.335395287008997,119813105982.2177,17660.92843489321,0.002896167272010832,2.619330494792321,324.0491520755244,0.6643134984097983,0.5214066432914224,136791000829.1319,16985.59336136327,0.002658647759962,2.613360133075208,264.5629665485059,0.7885326349456379,0.519207002213814
random_IR_0006.npz,random_IR_0006.npz,1157.73646402359,0.03540860861539841,20,17824,352,46,L1_STFT_c2,8.021266694413498e-06,0.06362702697515488,0.0006124018209247878,0.0003308188296839944,0.0292956313503909,True,30.44748723619407,0.8509940722375036,31.000938985711,86546983624.47061,20312.27640439153,0.001498969718116444,2.992391006100491,943.9006940774669,0.6735995771259168,0.6434069100279854,171318505762.8329,20172.46387607493,0.0034483828908896,2.891142941520044,616.9378275347882,0.6861588712811552,0.7241456573616774
random_IR_0007.npz,random_IR_0007.npz,580.9785845279694,3.889432991854846e-05,5,12450,258,59,L1_STFT_c2,7.497844762838213e-06,0.06023468822240829,0.00057965615335047,0.0003131813899637564,1.200946145385446e-05,True,19.54111234969514,0.902812694091049,35.72925333792649,138290348962.9584,17323.94324151735,0.001127982935366832,3.123139593439694,698.1893536471416,0.5731772619047777,0.6645597844700042,99188531844.29764,15037.9919488214,0.001240901886517,3.123130468189068,666.7700477785132,0.5731738858508781,0.6645598919528501
random_IR_0008.npz,random_IR_0008.npz,573.2076752185822,0.02824607864022255,20,8697,201,41,L1_STFT_c2,5.149016033101361e-06,0.07122272253036499,0.0006817159644192543,0.0003703313822745258,0.07133984960025992,True,58.70906604051311,3.769757829598249,0.008806592466066717,99523891323.10013,20073.5371321683,0.0029246996009702,3.999983413505865,0.5170268186821961,0.6121267502268802,0.5326909781590126,82612856044.4483,21011.42815551345,0.0032807870816715,2.154761235733606,438.6071274471857,0.612349610486469,0.5890416637636482
random_IR_0009.npz,random_IR_0009.npz,770.1453709602356,0.03378374502062798,20,11806,244,44,L1_STFT_c2,6.682085768261459e-06,0.058157067745924,0.000559110749539741,0.0003023820054328098,0.02874071717059882,True,14.08101662461471,1.046394567135594,6.134147176044542,164072745011.7118,14033.0526943273,0.001003417925616911,3.990628072986973,86.37502836371657,0.6049698926375572,0.7302310677113041,91322346297.76453,7025.201129630132,0.0020131664101591,2.994014143849656,466.3161097485777,0.5640838191705095,0.831601498837984
random_IR_0010.npz,random_IR_0010.npz,1069.197215557098,0.04072701930999756,20,14952,344,52,L1_STFT_c2,9.322855476057157e-06,0.05900153145194054,0.0005697488371424697,0.0003067594847016153,0.09268545698378634,True,24.50529013103602,0.7344438886707992,40.76076779526688,131220457564.6505,21206.55063415245,0.001155552855048999,3.032317783722856,998.8544407868043,0.7069968897083851,0.6930800025384952,81856495196.33838,17864.67272114118,0.0017863294467202,1.50073055891098,368.7314834092575,0.920593004674414,0.5570882198680419
random_IR_0011.npz,random_IR_0011.npz,379.7399826049805,4.554125916911289e-05,6,14800,350,58,L1_STFT_c2,7.900893251644447e-06,0.06071139499545097,0.0005845840872225381,0.0003156581693314365,0.0008142463442972438,True,32.4230703657665,9.585580407552708,24.6615543180749,195313251071.253,12394.32890069856,0.002615960139958775,3.931732716766616,799.6033109841151,0.529200193201916,0.6485800489609106,180107327647.9402,13801.09577120686,0.0028746048065908,3.931732448538848,976.7613205794552,0.5292020182046171,0.6485754116624407
random_IR_0012.npz,random_IR_0012.npz,940.5824770927429,0.03672441467642784,20,21340,425,47,L1_STFT_c2,6.795623903599335e-06,0.06011773273348808,0.0005778495264446519,0.0003125768729698393,0.2138170993358378,True,90.46156200427509,6.279118142967187,2.809756971948254,80631166559.06136,21060.07808253719,0.004295404872182546,3.968691338501276,254.1750045348412,0.5312784843373004,0.7464305276124472,130382238160.7445,8408.083772606749,0.0021845607900885,1.44857002751819,118.7365316770545,0.5414322732109044,0.8493113384913098
random_IR_0013.npz,random_IR_0013.npz,428.2056927680969,0.0001344737393083051,10,18877,374,55,L1_STFT_c2,2.390505505900364e-05,0.1026839092373848,0.0009991750947910987,0.0005338320217480941,0.0009122265855586874,True,16.3238579361928,13.96576540907678,60.39470829104948,173446668119.2852,6650.660363644688,0.002454471743201004,2.74313480533407,985.8746382408972,0.9653446617961179,0.6661057014770386,155119813820.0954,4196.081602258703,0.0020615579637577,2.743144217199068,523.252820986165,0.965355136812345,0.6660987867011486
