filename,target_npz,runtime,best_loss,n_restarts_run,total_evaluations,cmaes_gen_count,best_popsize,loss_name,gt_loss,terrain_mean,early_threshold,tolfun_eff,nmse,gt_available,mu,D_mu,T0_mu,E,rho,h,Ly,T0,op_x,op_y,gt_E,gt_rho,gt_h,gt_Ly,gt_T0,gt_op_x,gt_op_y
random_IR_0001.npz,random_IR_0001.npz,1974.987483263016,0.4971695244312286,20,43975,1034,50,L1_STFT_log_masked,0.1088185980916023,1.271097540855408,0.1198602480478585,0.006043850502371787,0.07253633310180117,True,8.440257455114939,9.167369411310096,0.0880603635511073,150479001655.4092,4701.791267265349,0.00179511530294367,2.62042294733177,0.7432521399623652,0.631984061612942,0.8964364558412088,131819184298.8524,12673.80384034166,0.0038607574654896,2.691559161389242,602.7673484378831,0.8264881154026615,0.7244177335187193
random_IR_0002.npz,random_IR_0002.npz,1321.097264051437,0.6426227688789368,20,21577,449,59,L1_STFT_log_masked,0.3289777934551239,1.460508823394775,0.3397273382395506,0.005883961355686187,0.1781448957793687,True,18.01450868523516,0.7208242467322095,35.31715552784146,88750324665.42688,15257.29798585837,0.00118071421964311,1.926210066402677,636.221204994101,0.8469597423612143,0.7098985200943728,147920922722.1944,17314.43071595409,0.0048546510420041,3.686141702268032,383.4476844105894,0.7883418349360268,0.9635423527634041
random_IR_0003.npz,random_IR_0003.npz,1215.649329662323,0.4071784615516663,20,49335,884,57,L1_STFT_log_masked,0.05098314210772514,1.671967506408691,0.06638249356858432,0.008429118694365025,0.1908308199455896,True,12.99281556887163,33.42388897376796,12.2043097588629,96303612090.04474,3509.779830428144,0.003701889063305343,3.995931251302904,158.5683458422858,0.6930225013482935,0.9978135966497022,186057982895.3271,18083.25309630123,0.0013485171988061,1.306004568773872,20.22819525635132,0.9363059526409414,0.9895229876940544
random_IR_0004.npz,random_IR_0004.npz,514.2775776386261,0.3913104236125946,20,40792,714,60,L1_STFT_log_masked,0.02784423902630806,1.441851139068604,0.04127730457670987,0.007352835880219936,0.09323921662259428,True,43.5839308107667,22.38517924085318,0.6407981575510195,146969312030.6149,10349.56552552312,0.004211184585795811,3.458344048631086,27.92850256237042,0.9088519886369476,0.9434282608431948,164907916263.1111,4653.559206335945,0.0028459174490117,3.417559836228498,780.5313709946926,0.5802431108304328,0.972887769354296
random_IR_0005.npz,random_IR_0005.npz,1096.796270847321,0.4823845326900482,20,28026,606,41,L1_STFT_log_masked,0.1332916468381882,1.381845593452454,0.1451529093310237,0.00649248052239418,0.03540178214788133,True,26.83444411520631,4.861399757098668,4.045753268191015,156331058188.7896,12720.53973296319,0.002109536598173524,3.271022435856052,108.5655399791851,0.6226563846698049,0.5795204728038474,136791000829.1319,16985.59336136327,0.002658647759962,2.613360133075208,264.5629665485059,0.7885326349456379,0.519207002213814
random_IR_0006.npz,random_IR_0006.npz,844.3756611347198,0.3605745136737823,20,40925,921,54,L1_STFT_log_masked,0.03061923570930958,1.148242712020874,0.04123665873426944,0.005811642076820135,0.07656867722355366,True,11.40226717415393,5.220150035962613,21.06618352089732,113206450653.8141,6304.820076618713,0.001808500010402991,3.95831906317513,240.2022528450299,0.6564034479084426,0.6907416494136371,171318505762.8329,20172.46387607493,0.0034483828908896,2.891142941520044,616.9378275347882,0.6861588712811552,0.7241456573616774
random_IR_0007.npz,random_IR_0007.npz,2340.530012845993,0.4411539733409882,20,55208,1216,33,L1_STFT_log_masked,0.08035735040903091,1.353420257568359,0.09245144802704454,0.006619927117228508,0.03196149564937386,True,2.730676419947406,3.574648388021793,14.85102176410165,84446042377.25821,2501.754230872602,0.001091504667504832,3.012515188554366,40.55333494335811,0.7416426088706967,0.76938560562125,99188531844.29764,15037.9919488214,0.001240901886517,3.123130468189068,666.7700477785132,0.5731738858508781,0.6645598919528501
random_IR_0008.npz,random_IR_0008.npz,775.2543625831604,0.3833756446838379,20,29608,606,48,L1_STFT_log_masked,0.03893750905990601,1.104398012161255,0.04905938383936882,0.005540394616127014,0.02366105870391201,True,50.96732676993057,4.775375397558497,11.00375657147998,188979986996.1544,20906.42758871683,0.002437878329697875,1.19810120777968,560.8320568753909,0.5863299041966321,0.5953373949759642,82612856044.4483,21011.42815551345,0.0032807870816715,2.154761235733606,438.6071274471857,0.612349610486469,0.5890416637636482
random_IR_0009.npz,random_IR_0009.npz,1771.748285770416,0.4349562227725983,20,32392,655,50,L1_STFT_log_masked,0.063536137342453,1.578815102577209,0.07793128751218319,0.007879450619220733,0.03937779305159944,True,19.4253221263759,0.6065606757393401,11.43438045134434,90685157961.32062,17116.51321487657,0.001134887805858302,3.547988564740533,222.1165235828993,0.7614379303238639,0.7442041655859265,91322346297.76453,7025.201129630132,0.0020131664101591,2.994014143849656,466.3161097485777,0.5640838191705095,0.831601498837984
random_IR_0010.npz,random_IR_0010.npz,809.1571969985962,0.4082826673984528,20,38973,798,46,L1_STFT_log_masked,0.05102738738059998,1.006638765335083,0.06010569547116756,0.004969179165363311,0.1876629803595178,True,3.617374019275552,15.71393381037344,171.4846876679288,215650696060.1367,2517.870661907584,0.001436679839835365,3.71348935507044,620.3242538735484,0.6521064595434953,0.6128449657775831,81856495196.33838,17864.67272114118,0.0017863294467202,1.50073055891098,368.7314834092575,0.920593004674414,0.5570882198680419
random_IR_0011.npz,random_IR_0011.npz,1421.117806196213,0.4294039905071259,20,37244,836,41,L1_STFT_log_masked,0.07587983459234238,1.085046529769897,0.08546691819652916,0.005247666814923287,0.0104150765729947,True,27.66650797075798,1.090166435939343,35.21558311765738,118212144017.3415,19467.42391482693,0.001421169441411629,3.364316613123082,974.2922110195583,0.5540215791794507,0.6112857261487361,180107327647.9402,13801.09577120686,0.0028746048065908,3.931732448538848,976.7613205794552,0.5292020182046171,0.6485754116624407
random_IR_0012.npz,random_IR_0012.npz,2156.684303045273,0.4369916915893555,20,47434,834,60,L1_STFT_log_masked,0.05386951565742493,1.151697635650635,0.06429888279736042,0.005708706223964691,0.01809625274153548,True,31.37855075936122,1.297546981208846,25.02101050955443,128833718936.433,20559.2166986495,0.001526252250720351,2.246224335375005,785.1230483245644,0.5776644097831992,0.8028350441765935,130382238160.7445,8408.083772606749,0.0021845607900885,1.44857002751819,118.7365316770545,0.5414322732109044,0.8493113384913098
random_IR_0013.npz,random_IR_0013.npz,1026.666308164597,0.4362045228481293,20,45867,1139,45,L1_STFT_log_masked,0.05021935328841209,1.383744478225708,0.06288784197531641,0.006934330649673939,0.06542752877863295,True,14.02307137565055,4.32624121202032,64.85787194007096,67001178309.18196,6468.970326151813,0.002167743963666075,3.629369159138521,909.5065674884182,0.9602464080065979,0.9317720634237565,155119813820.0954,4196.081602258703,0.0020615579637577,2.743144217199068,523.252820986165,0.965355136812345,0.6660987867011486
random_IR_0014.npz,random_IR_0014.npz,521.194503068924,0.386789470911026,20,13281,233,57,L1_STFT_log_masked,0.02678286470472813,1.158998847007751,0.03753891653660685,0.005887523107975721,0.05857489599251619,True,3.822722133806752,7.047549721420217,182.5552950054648,93153046633.80547,2579.787603595346,0.001481797233415331,2.455236081746736,697.8581668610115,0.6307315788121947,0.6745665432302796,95028278387.08888,7870.83454740738,0.0015271914496175,3.035490101894677,716.3300408465243,0.7973913380569407,0.5198526976318718
random_IR_0015.npz,random_IR_0015.npz,515.4459476470947,0.6123612523078918,20,27061,573,57,L1_STFT_log_masked,0.3420473337173462,1.709902167320251,0.3550419546365738,0.007112845134735107,0.04292418741764742,True,22.84482694055263,18.14444420628217,40.51382722604716,193525903520.1686,7909.327382108079,0.002888340036629484,3.999999572791042,925.5313716784968,0.9840076675745845,0.84367936115137,179484685384.757,7506.149896012699,0.0010187819047701,3.503926084730353,677.8197586308621,0.9814723871075448,0.6318890403247794
random_IR_0016.npz,random_IR_0016.npz,569.5626091957092,0.548969566822052,20,38864,694,52,L1_STFT_log_masked,0.1609431505203247,1.26400101184845,0.1714222002029419,0.005735900878906249,0.1325623992875222,True,60.65925186272785,36.53147750417243,0.2467457603204755,204983977272.6132,12243.28854639233,0.004954490097401325,3.694649365878522,14.96741322134,0.5304706998586362,0.6192632256795636,212770598762.0987,6623.934693643624,0.0033681677250873,2.770856269811727,572.2561832718154,0.7290914355226374,0.9247402495108528
random_IR_0017.npz,random_IR_0017.npz,923.0005116462708,0.4536844193935394,20,42152,794,48,L1_STFT_log_masked,0.09196344017982483,1.003916025161743,0.1006269897371531,0.004742153441905975,0.05081450347551736,True,22.97034982305855,1.167208250499714,23.50780268925111,126867619914.7885,17210.56177852184,0.001334665894039829,3.924658120709681,539.9824513435345,0.8586118049805636,0.7175976896449039,201808789158.0077,9884.307927923312,0.0021897478034205,3.128489898420763,813.7996817242802,0.7948237075915707,0.9420503273088778
random_IR_0018.npz,random_IR_0018.npz,877.3021459579468,0.4677914679050446,20,32535,769,58,L1_STFT_log_masked,0.1154962033033371,1.19361400604248,0.125738322429359,0.005606212574243545,0.1229725116101689,True,9.777396158289259,2.884665306244089,72.12096784665927,186332770388.2632,8187.712234963696,0.001194154835649596,2.824635384220352,705.1552739560294,0.7143456669361496,0.5631809050247777,165530500482.1345,20404.37233279661,0.0039010171192785,3.108341611225521,501.329368682883,0.717688973793508,0.8071326749226829
random_IR_0019.npz,random_IR_0019.npz,1255.94578742981,0.4070203304290771,20,26199,679,49,L1_STFT_log_masked,0.03928214684128761,1.11194384098053,0.04947243293561041,0.005577840809524059,0.08305467818556173,True,21.70008748194694,1.169355325556735,40.89971724753744,87763840420.19632,14645.80304046654,0.001481659108892105,3.04002751656266,887.5274422584564,0.5878323423395362,0.5750332695856395,161556360636.8228,7883.459015556348,0.0022062992666981,1.155660275097067,660.1769357573102,0.7200966634634254,0.5763822914690007
random_IR_0020.npz,random_IR_0020.npz,2197.504044771194,0.4543982148170471,20,57922,1259,43,L1_STFT_log_masked,0.06276822090148926,1.23025906085968,0.07385938388109207,0.006070952367782593,0.08216477160529814,True,21.36788213377562,0.9829362111766549,39.11576908849082,182701689321.9732,19612.33132943421,0.001089512601783689,1.673731513513634,835.8211434548557,0.5107087112091571,0.7641320325242629,166939725438.1414,13227.31467837208,0.003279859642805,1.965018745272489,590.8768525205608,0.8295306023008275,0.7213950333626472
random_IR_0021.npz,random_IR_0021.npz,2026.579564571381,0.4474081099033356,20,29572,556,51,L1_STFT_log_masked,0.09248317778110504,1.149778604507446,0.1025274843350053,0.005497936218976974,0.06306500606790764,True,17.73334643007029,0.9322388124434297,47.19962765758839,76446836019.60426,13185.21056704558,0.001344942224464134,3.994939096203195,837.0073486223422,0.5971051016444697,0.5672384428992392,190347680324.0511,19198.15907429464,0.0024702474801915,3.699985127968082,435.8705666163742,0.8549054059347795,0.5591111747830275
random_IR_0022.npz,random_IR_0022.npz,751.7988321781158,0.4282881319522858,20,10767,291,37,L1_STFT_log_masked,0.06004515290260315,1.078335285186768,0.06971890915930271,0.005295108687877655,0.06144556239659984,True,76.73851131440584,13.25376988788206,6.064535303401641,214798623874.2036,20394.9241878634,0.003762627926808934,3.711317530067808,465.3834109967005,0.511134294616381,0.8196201386215931,199823286777.3368,5239.628127570282,0.0038569651981964,3.766499579859553,998.8470180978009,0.5896215379914237,0.8116241864990836
random_IR_0023.npz,random_IR_0023.npz,475.6339290142059,0.417026162147522,20,33288,660,53,L1_STFT_log_masked,0.03336070105433464,1.076149702072144,0.04326719656400382,0.005422502805292606,0.01240467468445997,True,57.60551716939784,11.98165031493708,6.638500886502031,194338520014.3826,16850.2350224366,0.003418677371128316,2.166040448941976,382.4142767964555,0.5933804870289954,0.8212084907787653,129299044475.5779,13129.09388595436,0.0043920329172889,1.45907795026338,807.3208855354235,0.5438918277730177,0.8517400988408361
random_IR_0024.npz,random_IR_0024.npz,745.9132752418518,0.3871975839138031,20,38927,1033,43,L1_STFT_log_masked,0.03706356883049011,0.9892488121986389,0.04610932864248753,0.004951363265514374,0.05022449247367609,True,66.37045732690896,29.97409907065201,7.499715538814391,200803785302.4198,13791.37661245998,0.004812460655083976,3.602502455760438,497.7595501328366,0.5698242094110635,0.83738624474004,197937911386.0695,20769.80429405425,0.0038882223978813,2.4152737797664,866.3836621053699,0.5157399012506509,0.6863892515943983
random_IR_0025.npz,random_IR_0025.npz,1923.900650978088,0.504221498966217,20,45638,1026,37,L1_STFT_log_masked,0.1465055197477341,1.277060031890869,0.1572457876130939,0.005878883463144302,0.04347108560607252,True,22.91168004988588,1.298766062999313,26.58429567634577,161743361289.1171,17978.45195914437,0.001274396711238106,3.543185819066704,609.0908768879989,0.6144525519607246,0.7035830143622919,97599468309.14922,3451.554180777968,0.0016865187090457,3.216972631029768,521.0413958380673,0.5190756792857009,0.8989118746451361
random_IR_0026.npz,random_IR_0026.npz,1576.787377595901,0.4277810454368591,20,37785,663,55,L1_STFT_log_masked,0.06170495226979256,1.132191896438599,0.07187457823939622,0.005566532109677791,0.06157440644933451,True,31.1804770555609,2.95366420275365,12.91300453038481,83638115868.80685,13475.72180102015,0.00231382611751457,2.792590477347772,402.6336414780176,0.650150212134657,0.58419280500659,71871356218.2901,15672.99075616242,0.0023814067227876,1.749381595375102,928.0820126526562,0.5907001366839773,0.8145244167348842
random_IR_0027.npz,random_IR_0027.npz,962.3690695762634,0.4946074187755585,20,9828,189,52,L1_STFT_log_masked,0.1351588219404221,1.393387198448181,0.1471119915172458,0.006542787557840347,0.04946999603593302,True,20.78774746758983,0.8792228791805895,33.29769784631784,189745333186.1223,20238.49225169955,0.001027139137098722,3.354106086426493,692.1841340813652,0.5968315024685955,0.7271183197651979,148951818862.8186,13972.55997215884,0.001951571285498,2.773962906952086,934.2146557848146,0.7990558884137398,0.8677597944632172
random_IR_0028.npz,random_IR_0028.npz,451.3330371379852,0.4051022529602051,20,23836,538,41,L1_STFT_log_masked,0.02353120595216751,1.367571234703064,0.03629958622530103,0.006989008149504661,0.08077615631115781,True,4.175074821000919,4.411293714644146,179.2874178561468,204368129100.8777,4155.989092675158,0.001004592343218465,1.427386990305195,748.5383840134693,0.7013865453220234,0.9352999175609491,211488975667.5418,5930.42851055032,0.0025928842488643,2.004640486890846,209.8516505376324,0.8723798895741509,0.7503248162226079
random_IR_0029.npz,random_IR_0029.npz,1624.910639286041,0.6586875915527344,20,34689,826,42,L1_STFT_log_masked,0.287015825510025,2.021490097045898,0.3034933310896158,0.009019266211986541,0.04821610606140536,True,31.57096779533368,2.439090279212634,23.02512577289168,148649943111.1871,17543.65372359266,0.001799566287202599,1.773933076079025,726.9255042594709,0.6424195881809137,0.846574911351764,114704769945.0977,10597.03256049267,0.0020174259270815,1.759502421122638,58.03858003227238,0.8512083095195752,0.6950984012533157
random_IR_0030.npz,random_IR_0030.npz,888.4916129112244,0.4311742782592773,20,23415,492,50,L1_STFT_log_masked,0.06975080817937851,1.005937695503235,0.07864458360895514,0.004868171814084053,0.1293306233775168,True,10.57929253561829,0.984312257965043,57.11728614051458,67678372927.21315,8811.014485829635,0.001200689495248532,2.105846199778938,604.26047892112,0.6171608570427153,0.5614217254952849,136415617217.0749,15202.58414177307,0.0010987149135653,1.620850664922941,67.25895896693396,0.7729238134432739,0.9493689335897676
random_IR_0031.npz,random_IR_0031.npz,724.3168411254883,0.4675973653793335,20,12090,310,39,L1_STFT_log_masked,0.1224537864327431,1.151381969451904,0.1322286041714251,0.005350426551699638,0.101730999082525,True,13.95004962241301,0.6587392889465723,46.91516441575877,96224457794.20001,13620.41361543369,0.001024201615038019,3.992973440035246,654.4688716434999,0.5139707787431975,0.5602626468148472,70159602918.25648,7380.460682658432,0.0018675879375938,3.971982947450442,663.0815723180698,0.8816055403797093,0.6668084039030092
random_IR_0032.npz,random_IR_0032.npz,1904.181864500046,0.4897614419460297,20,43788,1010,30,L1_STFT_log_masked,0.1351169049739838,1.154974937438965,0.1448055562824011,0.005303261768817902,0.0954421043614652,True,12.46073029136035,5.845584487086827,22.31578762177154,100751187610.2489,6196.106880751164,0.002011057996767435,2.344053105692963,278.071010794173,0.7308211962964439,0.582993608549401,200515550283.4515,14254.8586595136,0.0033532684542144,2.212045293098504,831.0501447516381,0.6440355970596615,0.9010429486171564
random_IR_0033.npz,random_IR_0033.npz,463.8861465454102,0.5527657270431519,20,42207,766,50,L1_STFT_log_masked,0.1460047215223312,1.434556007385254,0.158245958738029,0.006700466686487197,0.07350613896422442,True,30.64925585093651,49.97647352809646,22.12905625793336,137856807838.2045,6129.851951385711,0.004999999362791781,3.49605809507623,678.2391069891673,0.8774580877406848,0.5603283057053043,211947700344.8055,6481.544329734899,0.0048111666278877,1.638344238487262,687.4914015050514,0.8681193453173773,0.6344314048715627
random_IR_0034.npz,random_IR_0034.npz,1049.207865476608,0.4635409414768219,20,13905,309,45,L1_STFT_log_masked,0.09979231655597687,1.176225304603577,0.1100184299424291,0.005597451537847519,0.04456135893239174,True,28.70295744684404,0.6727955863510618,18.34657897654898,67767809495.54396,19466.163285192,0.001474505120825659,1.747294409064814,526.6010756590488,0.5309386296688652,0.5533273255108462,131976876718.9804,6330.437418292857,0.0030728028557226,1.718604734365698,25.67246142735103,0.6933432903637705,0.7371519579387572
random_IR_0035.npz,random_IR_0035.npz,897.5357325077057,0.6935301423072815,20,14994,294,51,L1_STFT_log_masked,0.3476130068302155,1.713453054428101,0.3605884872823953,0.007102368247509002,0.1443469530768579,True,8.244462355836266,11.93034113175012,61.22452076874004,109379365249.5033,3811.988347128934,0.002162772182146288,3.588509931283081,504.7632567319928,0.5535552681973234,0.5103787628434127,146159003394.5795,4639.598892086222,0.0033471373858326,1.905123248254723,863.8569673671722,0.5747133721091251,0.861261243784371
random_IR_0036.npz,random_IR_0036.npz,1544.891425132751,0.7495271563529968,20,33766,1011,38,L1_STFT_log_masked,0.3443702459335327,1.975115656852722,0.359862327337265,0.008479876136779784,0.1133067685644888,True,49.6334186861751,2.583119572190185,6.667682908138212,88755587106.37907,19595.16912146378,0.002532941582617351,2.862215127428736,330.9398974462774,0.8723064993079243,0.6711806264492528,141672610939.29,5153.137875655491,0.003261685247434,2.248573138141152,183.2880034157165,0.6842502415464783,0.9708116531738784
