filename,target_npz,runtime,best_loss,n_restarts_run,total_evaluations,cmaes_gen_count,best_popsize,loss_name,gt_loss,terrain_mean,early_threshold,tolfun_eff,nmse,gt_available,mu,D_mu,T0_mu,E,rho,h,Ly,T0,op_x,op_y,gt_E,gt_rho,gt_h,gt_Ly,gt_T0,gt_op_x,gt_op_y
random_IR_0001.npz,random_IR_0001.npz,45.35859036445618,2.31649238457976e-07,1,4130,70,59,SOT_lin,3.379199142727884e-08,0.0001421112392563373,1.383527740443924e-06,7.388027257775321e-07,0.0006477448253434699,True,55.39641788048464,13.78206984913815,12.27755521573832,108720276760.8315,12910.27961688757,0.004290876690852007,2.691759112553021,680.1325792817637,0.826309425175888,0.7243710690612233,131819184298.8524,12673.80384034166,0.0038607574654896,2.691559161389242,602.7673484378831,0.8264881154026615,0.7244177335187193
random_IR_0002.npz,random_IR_0002.npz,53.98962926864624,2.19207620943962e-07,1,4104,72,57,SOT_lin,4.102609096889864e-08,0.0001808912493288517,1.759103211728785e-06,9.404211608369905e-07,0.04729728491040063,True,28.80248563552982,17.89522964940473,4.71626927397541,82783048612.77238,6987.210892477608,0.004122172076777933,3.686277441828845,135.8402780169674,0.7883130212231697,0.9635370076814254,147920922722.1944,17314.43071595409,0.0048546510420041,3.686141702268032,383.4476844105894,0.7883418349360268,0.9635423527634041
random_IR_0003.npz,random_IR_0003.npz,362.3812165260315,4.5222339394968e-05,20,12651,233,60,SOT_lin,5.41106501827926e-08,0.00041994868661277,4.043109121827371e-06,2.183451795005453e-06,0.003518446898945331,True,13.66598175980595,0.955538105040887,33.85864742345748,140023630053.7791,13449.12894957998,0.001016123929738419,1.138376073856487,462.7116581006708,0.9485534238727247,0.9880474180629667,186057982895.3271,18083.25309630123,0.0013485171988061,1.306004568773872,20.22819525635132,0.9363059526409414,0.9895229876940544
random_IR_0004.npz,random_IR_0004.npz,330.2433245182037,2.182946991524659e-05,20,10913,249,42,SOT_lin,5.415764192662209e-08,0.0001648428733460605,1.619650441115894e-06,8.569013216614962e-07,0.01484768706135078,True,41.46289214156739,29.11315968231164,17.68434331553725,219974824655.7398,10490.99708610932,0.003952235597936315,3.532410423422365,733.2440194865692,0.5534446557428844,0.9672158199192007,164907916263.1111,4653.559206335945,0.0028459174490117,3.417559836228498,780.5313709946926,0.5802431108304328,0.972887769354296
random_IR_0005.npz,random_IR_0005.npz,67.6784200668335,1.638867956899048e-07,1,3978,78,51,SOT_lin,5.369768629748251e-08,0.0001702856679912657,1.67090140419468e-06,8.852062455858345e-07,0.0008733353810240161,True,37.65064258296011,5.059569532593367,5.899022115577781,142193167262.5161,15242.36910129751,0.002470130616359047,2.613288498424739,222.1019732625962,0.7885209675987332,0.5191881098133887,136791000829.1319,16985.59336136327,0.002658647759962,2.613360133075208,264.5629665485059,0.7885326349456379,0.519207002213814
random_IR_0006.npz,random_IR_0006.npz,53.36185526847839,1.027800990982541e-07,1,3920,70,56,SOT_lin,5.433578564861818e-08,0.0001270177308470011,1.260488038731467e-06,6.602096543190328e-07,0.008864981361574259,True,93.48324683987619,8.977715828899486,8.87349947003205,93582824708.33887,20080.83570022239,0.004655346432561117,2.89116724954562,829.5235412905166,0.6862389821188537,0.7241704619592531,171318505762.8329,20172.46387607493,0.0034483828908896,2.891142941520044,616.9378275347882,0.6861588712811552,0.7241456573616774
random_IR_0007.npz,random_IR_0007.npz,141.4075338840485,1.265790956495039e-07,1,3510,78,45,SOT_lin,4.59069546820956e-08,0.0001280294382013381,1.261750501525327e-06,6.655143624826109e-07,5.253548201020536e-06,True,18.07840583235544,0.9029652043284451,35.7267770964811,125085703199.2262,15906.26205670002,0.001136559033663127,3.123251479745193,645.8831754322867,0.5731422233837808,0.664554269576575,99188531844.29764,15037.9919488214,0.001240901886517,3.123130468189068,666.7700477785132,0.5731738858508781,0.6645598919528501
random_IR_0008.npz,random_IR_0008.npz,49.61347055435181,1.118596841820363e-07,1,3182,74,43,SOT_lin,4.743334613976913e-08,0.0002071816998068243,2.015208877516272e-06,1.07709818559556e-06,1.168249344111279e-05,True,68.0659723030743,3.762134043975913,6.361984763632112,76751656707.91022,20329.20328774764,0.003348186908244334,2.154790358521946,433.0346787139641,0.6124535919100998,0.589000945790471,82612856044.4483,21011.42815551345,0.0032807870816715,2.154761235733606,438.6071274471857,0.612349610486469,0.5890416637636482
random_IR_0009.npz,random_IR_0009.npz,57.10058522224426,1.712913899609703e-07,1,3036,66,46,SOT_lin,5.432180216757843e-08,0.0001647539465921,1.618968237671936e-06,8.564380489076483e-07,0.002672257649629095,True,27.27625547994468,4.684100940884586,32.97662048428437,105881720409.1918,11434.1505686633,0.002385507809797312,2.994064740288262,899.4787251945177,0.5639183595811544,0.8315865805470752,91322346297.76453,7025.201129630132,0.0020131664101591,2.994014143849656,466.3161097485777,0.5640838191705095,0.831601498837984
random_IR_0010.npz,random_IR_0010.npz,453.714875459671,1.199867512013952e-07,19,9717,218,45,SOT_lin,5.179602169391728e-08,0.0001147508810390718,1.141437329359007e-06,5.964352420903651e-07,0.0064053389647932,True,11.57883040943132,1.299726747999578,11.53497556755913,166180459546.956,11507.16271454335,0.001006228094332706,1.500772201335215,133.5615258737009,0.9205685653375025,0.5570775005039146,81856495196.33838,17864.67272114118,0.0017863294467202,1.50073055891098,368.7314834092575,0.920593004674414,0.5570882198680419
random_IR_0011.npz,random_IR_0011.npz,49.14317417144775,1.515720953193522e-07,1,2788,82,34,SOT_lin,5.156402593797793e-08,0.0001353017432847992,1.336440728897159e-06,7.033009321460781e-07,0.0008832658080388695,True,32.1220861203335,9.582707542649066,24.67739715021696,204365508298.918,12506.18290041894,0.002568496429014919,3.931680768235494,792.6894764849417,0.5291261979570064,0.6485675308493291,180107327647.9402,13801.09577120686,0.0028746048065908,3.931732448538848,976.7613205794552,0.5292020182046171,0.6485754116624407
random_IR_0012.npz,random_IR_0012.npz,277.3948907852173,1.959331530088093e-05,20,9684,170,60,SOT_lin,5.016542203861718e-08,0.0001381313486490399,1.361936662695129e-06,7.180221527804064e-07,0.009414220736742486,True,39.75067314098817,7.060777307557338,0.9694613101219137,208735111253.2819,16072.85950875005,0.002473155017584018,1.461084927568274,38.53673966149036,0.5984590464774673,0.8568541446091713,130382238160.7445,8408.083772606749,0.0021845607900885,1.44857002751819,118.7365316770545,0.5414322732109044,0.8493113384913098
