filename,est_E,est_rho,est_h,est_Ly,est_T0,est_op_x,est_op_y,gt_E,gt_rho,gt_h,gt_Ly,gt_T0,gt_op_x,gt_op_y,est_mu,est_D_div_mu,est_T0_div_mu,refined_mu,refined_D_div_mu,refined_T0_div_mu,refined_Ly,refined_op_x,refined_op_y,gt_mu,gt_D_div_mu,gt_T0_div_mu,mu_orig,mu_refined,mu_gt,mu_orig_err,mu_refined_err,loss_orig,loss_refined,loss_delta,nmse_orig,nmse_refined,nmse_delta,nmse_summary_orig,sanity_ok,sanity_grid_min_mu,total_evaluations,elapsed_s
random_IR_0001.npz,143161842487.1945,16400.00049436016,0.0042142140896616,2.691558920302497,851.3970380564717,0.8264878761792891,0.7244177264862015,131819184298.85242,12673.80384034166,0.0038607574654896,2.691559161389242,602.7673484378831,0.8264881154026615,0.7244177335187193,69.1131131537898,13.780471748126251,12.318892887402592,48.93052861046553,13.780471748126251,12.318892887402592,2.691558920302497,0.8264878761792891,0.7244177264862015,48.93048279274982,13.78047400625313,12.31885144054203,69.1131131537898,48.93052861046553,48.93048279274982,20.182630361039976,4.581771570855153e-05,0.2910151481628418,1.7996056840274832e-06,-0.29101334855715777,0.006310725152944036,7.514585054237767e-14,-0.00631072515286889,0.0063107251529443,True,51.560526315789474,122,1.058
random_IR_0002.npz,214956793766.7931,10699.02487893162,0.0031656669623918,3.686141728308336,154.5060162184685,0.7883418154627733,0.9635423732684968,147920922722.1944,17314.430715954095,0.0048546510420041,3.686141702268032,383.44768441058943,0.7883418349360268,0.963542352763404,33.86954958904175,17.897192260199834,4.561797192261977,84.05539314390063,17.897192260199834,4.561797192261977,3.686141728308336,0.7883418154627733,0.9635423732684968,84.05551911691434,17.897192258481063,4.561838275928618,33.86954958904175,84.05539314390063,84.05551911691434,-50.18596952787259,-0.0001259730137093129,1.4517793655395508,3.980177098128479e-06,-1.4517753853624527,0.03902009932671819,2.48084492101182e-13,-0.039020099326470103,0.0390200993267167,True,84.3142105263158,122,1.242
random_IR_0003.npz,77924970390.17966,19568.44674425767,0.0021676153652519,1.30600460933608,35.18626755475974,0.9363059116287572,0.9895229891782382,186057982895.32712,18083.253096301232,0.0013485171988061,1.3060045687738722,20.22819525635132,0.9363059526409414,0.9895229876940544,42.416865836966444,1.6631530269089108,0.8295348291408835,24.385470333563624,1.6631530269089108,0.8295348291408835,1.30600460933608,0.9363059116287572,0.9895229891782382,24.385577810725874,1.6631530041768487,0.8295146997687317,42.416865836966444,24.385470333563624,24.385577810725874,18.03128802624057,-0.00010747716224912551,0.42359232902526855,9.192892321152613e-06,-0.4235831361329474,0.005037061284934805,1.8056053473324695e-13,-0.005037061284754244,0.0050370612849351,True,24.26578947368421,122,1.368
random_IR_0004.npz,187015708168.8538,5722.902942939902,0.0029635998634876,3.417559918635365,999.587108027207,0.5802430542770071,0.9728876854408152,164907916263.11115,4653.5592063359445,0.0028459174490117,3.4175598362284982,780.5313709946926,0.5802431108304328,0.972887769354296,16.960394380449475,25.5122237592288,58.93654862055846,13.243659447778796,25.5122237592288,58.93654862055846,3.417559918635365,0.5802430542770071,0.9728876854408152,13.243645345320504,25.51222490269219,58.93629364444471,16.960394380449475,13.243659447778796,13.243645345320504,3.716749035128972,1.4102458292697406e-05,0.21836918592453003,5.361349394661374e-06,-0.21836382457513537,0.00021401795418197662,7.431151128303533e-14,-0.0002140179541076651,0.000214017954182,True,13.347894736842106,122,0.989
random_IR_0005.npz,135108076436.7119,15465.09297813714,0.0025526118147947,2.613359810910171,231.2729623159173,0.7885325646495758,0.519206943826306,136791000829.13193,16985.593361363273,0.002658647759962,2.613360133075208,264.5629665485059,0.7885326349456379,0.519207002213814,39.47637905289141,5.059945080568664,5.858515088378602,45.15874665841056,5.059945080568664,5.858515088378602,2.613359810910171,0.7885325646495758,0.519206943826306,45.15870974181389,5.059946047841708,5.858514737491241,39.47637905289141,45.15874665841056,45.15870974181389,-5.682330688922477,3.69165966702667e-05,0.14376947283744812,1.0554092568781925e-06,-0.14376841742819124,0.0005002380722812835,2.897133709063367e-14,-0.0005002380722523122,0.000500238072281,True,46.101578947368424,122,1.618
random_IR_0006.npz,83753841160.49994,16709.44744974541,0.0044886603549039,2.891142836461304,665.1873491618554,0.6861590354930159,0.7241456493335704,171318505762.83295,20172.463876074933,0.0034483828908896,2.891142941520044,616.9378275347882,0.6861588712811552,0.7241456573616774,75.0030343200223,8.976842638241312,8.868805844889419,69.56239695787511,8.976842638241312,8.868805844889419,2.891142836461304,0.6861590354930159,0.7241456493335704,69.5623792973453,8.976845948324273,8.868843098331634,75.0030343200223,69.56239695787511,69.5623792973453,5.440655022676992,1.766052980656241e-05,0.07232196629047394,1.7054729823939851e-06,-0.07232026081749154,0.00045859161751764704,2.5224850852615662e-14,-0.0004585916174924222,0.0004585916175176,True,67.93736842105264,122,1.332
random_IR_0007.npz,89272763336.55205,18996.43847039113,0.0014701100076923,3.12313030485635,997.8628663909394,0.5731738254984495,0.6645598574629652,99188531844.29764,15037.991948821396,0.001240901886517,3.123130468189068,666.7700477785132,0.5731738858508781,0.6645598919528501,27.92685430583301,0.9028049641135739,35.73130204580608,18.660677905494694,0.9028049641135739,35.73130204580608,3.12313030485635,0.5731738254984495,0.6645598574629652,18.66067257871993,0.9028050531466348,35.73129773140534,27.92685430583301,18.660677905494694,18.66067257871993,9.266181727113082,5.3267747652796515e-06,0.33163726329803467,1.1026885431419942e-06,-0.3316361606094915,0.001330225779064442,4.340769662380329e-15,-0.0013302257790601014,0.0013302257790649,True,18.806842105263158,122,4.443
random_IR_0008.npz,180552590860.2489,20261.846972257,0.0021792732209244,2.154761129783473,280.9526316302353,0.6123495991476231,0.589041697465911,82612856044.4483,21011.42815551345,0.0032807870816715,2.1547612357336057,438.60712744718575,0.612349610486469,0.5890416637636482,44.156100513107816,3.7617985593122913,6.3627138349056445,68.93404000856512,3.7617985593122913,6.3627138349056445,2.154761129783473,0.6123495991476231,0.589041697465911,68.93402206007737,3.761799410073101,6.362709070782652,44.156100513107816,68.93404000856512,68.93402206007737,-24.77792154696955,1.7948487752050823e-05,0.5606290698051453,8.258270440819615e-07,-0.5606282439781012,0.009511597859471012,6.116392627854415e-15,-0.009511597859464895,0.0095115978594697,True,67.93736842105264,122,1.536
random_IR_0009.npz,148849796850.4337,13681.48383865186,0.0022005498683924,2.994014225745713,992.6727097191716,0.5640837878224209,0.8316014353909424,91322346297.76453,7025.201129630132,0.0020131664101591,2.994014143849656,466.3161097485777,0.5640838191705095,0.831601498837984,30.1067874605581,4.68300856236207,32.97172476537522,14.142901892581893,4.68300856236207,32.97172476537522,2.994014225745713,0.5640837878224209,0.8316014353909424,14.142898938783146,4.683010453498064,32.971748703501625,30.1067874605581,14.142901892581893,14.142898938783146,15.963888521774953,2.9537987469296922e-06,0.5299627780914307,1.8931808654087945e-06,-0.5299608849105653,0.00394821783677175,4.323295639303502e-15,-0.0039482178367674274,0.0039482178367718,True,13.347894736842106,122,1.919
random_IR_0010.npz,121861229854.5749,21217.10371598775,0.0015955149011182,1.500730508557897,391.1462133636384,0.9205929817679251,0.5570882379583819,81856495196.33838,17864.672721141178,0.0017863294467202,1.50073055891098,368.7314834092575,0.920593004674414,0.5570882198680419,33.85220513742878,1.2996567424471304,11.554526855066424,31.912207557075483,1.2996567424471304,11.554526855066424,1.500730508557897,0.9205929817679251,0.5570882379583819,31.91219093779357,1.2996567710331561,11.55456496634862,33.85220513742878,31.912207557075483,31.91219093779357,1.9400141996352112,1.661928191154516e-05,0.05727776512503624,2.3186337330116658e-06,-0.05727544649130323,5.8308725770905964e-05,6.3501550664714574e-15,-5.830872576455581e-05,5.830872577093192e-05,True,29.724736842105266,122,1.826
