step,epoch,final_spec_losses_weighted/2048_spectrogram_mag,in_domain_validation_losses/loss_total,in_domain_validation_losses/raw_params_loss,in_domain_validation_losses/raw_spec_loss,in_domain_validation_losses/weighted_params_loss,in_domain_validation_losses/weighted_spec_loss,in_domain_validation_metrics/lsd_value,in_domain_validation_metrics/mean_average_error,in_domain_validation_metrics/mfcc_mae,in_domain_validation_metrics/paper_lsd_value,in_domain_validation_metrics/pearson_fft,in_domain_validation_metrics/pearson_stft,in_domain_validation_metrics/spectral_convergence_value,loss/parameters_decay_factor,loss/spec_loss_rampup_factor,lr-Adam,normalized_losses/post_rampup_weighted_params_loss,normalized_losses/post_rampup_weighted_spec_loss,normalized_losses/running_avg_parameters_loss,normalized_losses/running_avg_spectrogram_loss,train_loss_epoch,train_loss_step,train_losses/loss_total,train_losses/raw_params_loss,train_losses/raw_spec_loss,train_losses/weighted_params_loss,train_losses/weighted_spec_loss
0,,,2.2014174461364746,,,,,,,,,,,,0.0,1.0,,0.0,2.189061164855957,2.3592824935913086,2.361001968383789,,,,,,,
1,,,2.22373366355896,,,,,,,,,,,,0.0,1.0,,0.0,2.5052170753479004,2.3624439239501953,2.361001968383789,,,,,,,
2,,,2.2264018058776855,,,,,,,,,,,,0.0,1.0,,0.0,2.0718038082122803,2.358109951019287,2.361001968383789,,,,,,,
3,,,2.1533870697021484,,,,,,,,,,,,0.0,1.0,,0.0,2.438507556915283,2.361776828765869,2.361001968383789,,,,,,,
4,,,2.2442517280578613,,,,,,,,,,,,0.0,1.0,,0.0,2.256103277206421,2.359952926635742,2.361001968383789,,,,,,,
5,,,2.060605525970459,,,,,,,,,,,,0.0,1.0,,0.0,2.1612110137939453,2.359004020690918,2.361001968383789,,,,,,,
6,,,2.2873122692108154,,,,,,,,,,,,0.0,1.0,,0.0,2.48970890045166,2.3622889518737793,2.361001968383789,,,,,,,
7,,,2.1356799602508545,,,,,,,,,,,,0.0,1.0,,0.0,2.3169546127319336,2.3605613708496094,2.361001968383789,,,,,,,
8,,,2.195575475692749,,,,,,,,,,,,0.0,1.0,,0.0,2.2781271934509277,2.360173225402832,2.361001968383789,,,,,,,
9,,,2.055713415145874,,,,,,,,,,,,0.0,1.0,,0.0,2.2087295055389404,2.3594791889190674,2.361001968383789,,,,,,,
10,,,2.162207841873169,,,,,,,,,,,,0.0,1.0,,0.0,2.441558837890625,2.361807346343994,2.361001968383789,,,,,,,
11,,,2.1258938312530518,,,,,,,,,,,,0.0,1.0,,0.0,2.3380794525146484,2.3607726097106934,2.361001968383789,,,,,,,
12,,,2.124788284301758,,,,,,,,,,,,0.0,1.0,,0.0,2.377758741378784,2.3611693382263184,2.361001968383789,,,,,,,
13,,,2.1969170570373535,,,,,,,,,,,,0.0,1.0,,0.0,2.258347988128662,2.3599753379821777,2.361001968383789,,,,,,,
14,,,2.1112000942230225,,,,,,,,,,,,0.0,1.0,,0.0,2.3327789306640625,2.360719680786133,2.361001968383789,,,,,,,
15,,,2.264698028564453,,,,,,,,,,,,0.0,1.0,,0.0,2.415476083755493,2.361546516418457,2.361001968383789,,,,,,,
16,,,1.9454823732376099,,,,,,,,,,,,0.0,1.0,,0.0,2.315114736557007,2.3605430126190186,2.361001968383789,,,,,,,
17,,,1.9997814893722534,,,,,,,,,,,,0.0,1.0,,0.0,2.448080062866211,2.361872673034668,2.361001968383789,,,,,,,
18,,,1.995365023612976,,,,,,,,,,,,0.0,1.0,,0.0,2.311410665512085,2.360506057739258,2.361001968383789,,,,,,,
19,,,1.9336293935775757,,,,,,,,,,,,0.0,1.0,,0.0,2.294837474822998,2.360340118408203,2.361001968383789,,,,,,,
