step,epoch,final_spec_losses_weighted/1024_spectrogram_logmag_eps,final_spec_losses_weighted/128_spectrogram_logmag_eps,final_spec_losses_weighted/2048_spectrogram_logmag_eps,final_spec_losses_weighted/256_spectrogram_logmag_eps,final_spec_losses_weighted/512_spectrogram_logmag_eps,final_spec_losses_weighted/64_spectrogram_logmag_eps,in_domain_validation_losses/loss_total,in_domain_validation_losses/raw_params_loss,in_domain_validation_losses/raw_spec_loss,in_domain_validation_losses/weighted_params_loss,in_domain_validation_losses/weighted_spec_loss,in_domain_validation_metrics/lsd_value,in_domain_validation_metrics/mean_average_error,in_domain_validation_metrics/mfcc_mae,in_domain_validation_metrics/paper_lsd_value,in_domain_validation_metrics/pearson_fft,in_domain_validation_metrics/pearson_stft,in_domain_validation_metrics/spectral_convergence_value,loss/parameters_decay_factor,loss/spec_loss_rampup_factor,lr-Adam,normalized_losses/post_rampup_weighted_params_loss,normalized_losses/post_rampup_weighted_spec_loss,normalized_losses/running_avg_parameters_loss,normalized_losses/running_avg_spectrogram_loss,train_loss_epoch,train_loss_step,train_losses/loss_total,train_losses/raw_params_loss,train_losses/raw_spec_loss,train_losses/weighted_params_loss,train_losses/weighted_spec_loss
0,,,,,,,,22.843751907348633,,,,,,,,,,,,0.0,1.0,,0.0,18.172121047973633,15.325103759765625,15.296346664428711,,,,,,,
1,,,,,,,,22.086502075195312,,,,,,,,,,,,0.0,1.0,,0.0,16.16266632080078,15.305009841918945,15.296346664428711,,,,,,,
2,,,,,,,,22.007688522338867,,,,,,,,,,,,0.0,1.0,,0.0,16.7605037689209,15.310988426208496,15.296346664428711,,,,,,,
3,,,,,,,,22.822662353515625,,,,,,,,,,,,0.0,1.0,,0.0,15.619370460510254,15.299576759338379,15.296346664428711,,,,,,,
4,,,,,,,,20.991497039794922,,,,,,,,,,,,0.0,1.0,,0.0,17.082365036010742,15.314207077026367,15.296346664428711,,,,,,,
5,,,,,,,,25.091930389404297,,,,,,,,,,,,0.0,1.0,,0.0,15.872926712036133,15.302112579345703,15.296346664428711,,,,,,,
6,,,,,,,,20.811832427978516,,,,,,,,,,,,0.0,1.0,,0.0,15.198267936706543,15.295365333557129,15.296346664428711,,,,,,,
7,,,,,,,,21.48447036743164,,,,,,,,,,,,0.0,1.0,,0.0,15.566110610961914,15.299043655395508,15.296346664428711,,,,,,,
8,,,,,,,,22.63561248779297,,,,,,,,,,,,0.0,1.0,,0.0,16.472787857055664,15.308111190795898,15.296346664428711,,,,,,,
9,,,,,,,,21.066556930541992,,,,,,,,,,,,0.0,1.0,,0.0,16.944828033447266,15.312830924987793,15.296346664428711,,,,,,,
