step,epoch,final_spec_losses_weighted/1024_spectrogram_logmag_eps,final_spec_losses_weighted/128_spectrogram_logmag_eps,final_spec_losses_weighted/2048_spectrogram_logmag_eps,final_spec_losses_weighted/256_spectrogram_logmag_eps,final_spec_losses_weighted/512_spectrogram_logmag_eps,final_spec_losses_weighted/64_spectrogram_logmag_eps,in_domain_validation_losses/loss_total,in_domain_validation_losses/raw_params_loss,in_domain_validation_losses/raw_spec_loss,in_domain_validation_losses/weighted_params_loss,in_domain_validation_losses/weighted_spec_loss,in_domain_validation_metrics/lsd_value,in_domain_validation_metrics/mean_average_error,in_domain_validation_metrics/mfcc_mae,in_domain_validation_metrics/paper_lsd_value,in_domain_validation_metrics/pearson_fft,in_domain_validation_metrics/pearson_stft,in_domain_validation_metrics/spectral_convergence_value,loss/parameters_decay_factor,loss/spec_loss_rampup_factor,lr-Adam,normalized_losses/post_rampup_weighted_params_loss,normalized_losses/post_rampup_weighted_spec_loss,normalized_losses/running_avg_parameters_loss,normalized_losses/running_avg_spectrogram_loss,train_loss_epoch,train_loss_step,train_losses/loss_total,train_losses/raw_params_loss,train_losses/raw_spec_loss,train_losses/weighted_params_loss,train_losses/weighted_spec_loss
0,,,,,,,,19.808937072753906,,,,,,,,,,,,0.0,1.0,,0.0,16.920602798461914,15.1387300491333,15.120731353759766,,,,,,,
1,,,,,,,,18.1496639251709,,,,,,,,,,,,0.0,1.0,,0.0,16.79302406311035,15.137454986572266,15.120731353759766,,,,,,,
2,,,,,,,,16.883010864257812,,,,,,,,,,,,0.0,1.0,,0.0,15.640667915344238,15.125930786132812,15.120731353759766,,,,,,,
3,,,,,,,,19.253253936767578,,,,,,,,,,,,0.0,1.0,,0.0,15.973433494567871,15.12925910949707,15.120731353759766,,,,,,,
4,,,,,,,,16.828907012939453,,,,,,,,,,,,0.0,1.0,,0.0,15.502880096435547,15.124552726745605,15.120731353759766,,,,,,,
5,,,,,,,,22.80847930908203,,,,,,,,,,,,0.0,1.0,,0.0,15.440410614013672,15.12392807006836,15.120731353759766,,,,,,,
6,,,,,,,,16.610980987548828,,,,,,,,,,,,0.0,1.0,,0.0,15.598430633544922,15.125508308410645,15.120731353759766,,,,,,,
7,,,,,,,,18.618167877197266,,,,,,,,,,,,0.0,1.0,,0.0,15.75635814666748,15.127087593078613,15.120731353759766,,,,,,,
8,,,,,,,,18.552146911621094,,,,,,,,,,,,0.0,1.0,,0.0,15.213370323181152,15.121658325195312,15.120731353759766,,,,,,,
9,,,,,,,,17.91104507446289,,,,,,,,,,,,0.0,1.0,,0.0,15.572933197021484,15.125253677368164,15.120731353759766,,,,,,,
10,,,,,,,,18.494792938232422,,,,,,,,,,,,0.0,1.0,,0.0,15.142244338989258,15.120946884155273,15.120731353759766,,,,,,,
11,,,,,,,,21.440555572509766,,,,,,,,,,,,0.0,1.0,,0.0,14.39140510559082,15.113438606262207,15.120731353759766,,,,,,,
