step,epoch,final_spec_losses_weighted/1024_spectrogram_logmag,final_spec_losses_weighted/1024_spectrogram_mag,final_spec_losses_weighted/128_spectrogram_logmag,final_spec_losses_weighted/128_spectrogram_mag,final_spec_losses_weighted/2048_spectrogram_logmag,final_spec_losses_weighted/2048_spectrogram_mag,final_spec_losses_weighted/256_spectrogram_logmag,final_spec_losses_weighted/256_spectrogram_mag,final_spec_losses_weighted/512_spectrogram_logmag,final_spec_losses_weighted/512_spectrogram_mag,final_spec_losses_weighted/64_spectrogram_logmag,final_spec_losses_weighted/64_spectrogram_mag,in_domain_validation_losses/loss_total,in_domain_validation_losses/raw_params_loss,in_domain_validation_losses/raw_spec_loss,in_domain_validation_losses/weighted_params_loss,in_domain_validation_losses/weighted_spec_loss,in_domain_validation_metrics/lsd_value,in_domain_validation_metrics/mean_average_error,in_domain_validation_metrics/mfcc_mae,in_domain_validation_metrics/paper_lsd_value,in_domain_validation_metrics/pearson_fft,in_domain_validation_metrics/pearson_stft,in_domain_validation_metrics/spectral_convergence_value,loss/parameters_decay_factor,loss/spec_loss_rampup_factor,lr-Adam,normalized_losses/post_rampup_weighted_params_loss,normalized_losses/post_rampup_weighted_spec_loss,normalized_losses/pre_rampup_normalized_parameters_loss,normalized_losses/pre_rampup_normalized_spectrogram_loss,normalized_losses/running_avg_parameters_loss,normalized_losses/running_avg_spectrogram_loss,train_loss_epoch,train_loss_step,train_losses/loss_total,train_losses/raw_params_loss,train_losses/raw_spec_loss,train_losses/weighted_params_loss,train_losses/weighted_spec_loss
0,,,,,,,,,,,,,,0.7114889025688171,,,,,,,,,,,,1.0,0.0,,1.0987385511398315,0.0,1.0987385511398315,0.0,0.514535129070282,1.0,,,,,,,
1,,,,,,,,,,,,,,0.5990371704101562,,,,,,,,,,,,1.0,0.0,,0.7631241679191589,0.0,0.7631241679191589,0.0,0.5096067786216736,1.0,,,,,,,
2,,,,,,,,,,,,,,0.6154865026473999,,,,,,,,,,,,1.0,0.0,,1.0497938394546509,0.0,1.0497938394546509,0.0,0.5133448839187622,1.0,,,,,,,
3,,,,,,,,,,,,,,0.6613881587982178,,,,,,,,,,,,1.0,0.0,,0.9610633850097656,0.0,0.9610633850097656,0.0,0.5156123042106628,1.0,,,,,,,
4,,,,,,,,,,,,,,0.6156877875328064,,,,,,,,,,,,1.0,0.0,,0.9385297894477844,0.0,0.9385297894477844,0.0,0.5149641036987305,1.0,,,,,,,
5,,,,,,,,,,,,,,0.8590931296348572,,,,,,,,,,,,1.0,0.0,,0.9113380312919617,0.0,0.9113380312919617,0.0,0.5116770267486572,1.0,,,,,,,
6,,,,,,,,,,,,,,0.4696964919567108,,,,,,,,,,,,1.0,0.0,,0.8408993482589722,0.0,0.8408993482589722,0.0,0.5080461502075195,1.0,,,,,,,
7,,,,,,,,,,,,,,0.679952085018158,,,,,,,,,,,,1.0,0.0,,0.7329442501068115,0.0,0.7329442501068115,0.0,0.5008851885795593,1.0,,,,,,,
8,,,,,,,,,,,,,,0.6108501553535461,,,,,,,,,,,,1.0,0.0,,0.5948016047477722,0.0,0.5948016047477722,0.0,0.4923516809940338,1.0,,,,,,,
9,,,,,,,,,,,,,,0.7304367423057556,,,,,,,,,,,,1.0,0.0,,0.5404641032218933,0.0,0.5404641032218933,0.0,0.4834122061729431,1.0,,,,,,,
10,,,,,,,,,,,,,,0.6464681625366211,,,,,,,,,,,,1.0,0.0,,0.5918036103248596,0.0,0.5918036103248596,0.0,0.4736430048942566,1.0,,,,,,,
11,,,,,,,,,,,,,,0.7829128503799438,,,,,,,,,,,,1.0,0.0,,0.5368659496307373,0.0,0.5368659496307373,0.0,0.4649893343448639,1.0,,,,,,,
12,,,,,,,,,,,,,,0.7253941893577576,,,,,,,,,,,,1.0,0.0,,0.40366852283477783,0.0,0.40366852283477783,0.0,0.4548023045063019,1.0,,,,,,,
13,,,,,,,,,,,,,,0.6653143763542175,,,,,,,,,,,,1.0,0.0,,0.5545763969421387,0.0,0.5545763969421387,0.0,0.4469701945781708,1.0,,,,,,,
14,,,,,,,,,,,,,,0.7653718590736389,,,,,,,,,,,,1.0,0.0,,0.5377119183540344,0.0,0.5377119183540344,0.0,0.437804251909256,1.0,,,,,,,
