step,epoch,final_spec_losses_weighted/2048_spectrogram_logmag_eps,in_domain_validation_losses/loss_total,in_domain_validation_losses/raw_params_loss,in_domain_validation_losses/raw_spec_loss,in_domain_validation_losses/weighted_params_loss,in_domain_validation_losses/weighted_spec_loss,in_domain_validation_metrics/lsd_value,in_domain_validation_metrics/mean_average_error,in_domain_validation_metrics/mfcc_mae,in_domain_validation_metrics/paper_lsd_value,in_domain_validation_metrics/pearson_fft,in_domain_validation_metrics/pearson_stft,in_domain_validation_metrics/spectral_convergence_value,loss/parameters_decay_factor,loss/spec_loss_rampup_factor,lr-Adam,normalized_losses/post_rampup_weighted_params_loss,normalized_losses/post_rampup_weighted_spec_loss,normalized_losses/pre_rampup_normalized_parameters_loss,normalized_losses/pre_rampup_normalized_spectrogram_loss,normalized_losses/running_avg_parameters_loss,normalized_losses/running_avg_spectrogram_loss,train_loss_epoch,train_loss_step,train_losses/loss_total,train_losses/raw_params_loss,train_losses/raw_spec_loss,train_losses/weighted_params_loss,train_losses/weighted_spec_loss
0,,,0.9060658812522888,,,,,,,,,,,,1.0,0.0,,1.1417680978775024,0.0,1.1417680978775024,0.0,0.5068838596343994,1.0,,,,,,,
1,,,0.8576605916023254,,,,,,,,,,,,1.0,0.0,,1.2617554664611816,0.0,1.2617554664611816,0.0,0.5102017521858215,1.0,,,,,,,
2,,,0.7628913521766663,,,,,,,,,,,,1.0,0.0,,1.0682510137557983,0.0,1.0682510137557983,0.0,0.5103889107704163,1.0,,,,,,,
3,,,0.9252055287361145,,,,,,,,,,,,1.0,0.0,,0.8773696422576904,0.0,0.8773696422576904,0.0,0.5084066390991211,1.0,,,,,,,
4,,,0.7397075295448303,,,,,,,,,,,,1.0,0.0,,0.5693985819816589,0.0,0.5693985819816589,0.0,0.4992141127586365,1.0,,,,,,,
5,,,1.152559757232666,,,,,,,,,,,,1.0,0.0,,0.5080552101135254,0.0,0.5080552101135254,0.0,0.4907155930995941,1.0,,,,,,,
6,,,0.6838281154632568,,,,,,,,,,,,1.0,0.0,,0.6237968802452087,0.0,0.6237968802452087,0.0,0.4827507436275482,1.0,,,,,,,
7,,,0.9311153292655945,,,,,,,,,,,,1.0,0.0,,0.43301039934158325,0.0,0.43301039934158325,0.0,0.4724382758140564,1.0,,,,,,,
8,,,0.8374265432357788,,,,,,,,,,,,1.0,0.0,,0.49400344491004944,0.0,0.49400344491004944,0.0,0.46250656247138977,1.0,,,,,,,
9,,,0.9671883583068848,,,,,,,,,,,,1.0,0.0,,0.45727354288101196,0.0,0.45727354288101196,0.0,0.45249059796333313,1.0,,,,,,,
10,,,0.9007307291030884,,,,,,,,,,,,1.0,0.0,,0.5470759272575378,0.0,0.5470759272575378,0.0,0.4425763487815857,1.0,,,,,,,
11,,,1.0112847089767456,,,,,,,,,,,,1.0,0.0,,0.37621068954467773,0.0,0.37621068954467773,0.0,0.4317896068096161,1.0,,,,,,,
12,,,0.9976065158843994,,,,,,,,,,,,1.0,0.0,,0.3573465049266815,0.0,0.3573465049266815,0.0,0.42179054021835327,1.0,,,,,,,
13,,,0.8188773989677429,,,,,,,,,,,,1.0,0.0,,0.4495258331298828,0.0,0.4495258331298828,0.0,0.4129277765750885,1.0,,,,,,,
14,,,1.044042706489563,,,,,,,,,,,,1.0,0.0,,0.4042796492576599,0.0,0.4042796492576599,0.0,0.40346837043762207,1.0,,,,,,,
15,,,0.7515478730201721,,,,,,,,,,,,1.0,0.0,,0.40830695629119873,0.0,0.40830695629119873,0.0,0.39375555515289307,1.0,,,,,,,
16,,,1.3821918964385986,,,,,,,,,,,,1.0,0.0,,0.37204423546791077,0.0,0.37204423546791077,0.0,0.38431933522224426,1.0,,,,,,,
17,,,1.1902120113372803,,,,,,,,,,,,1.0,0.0,,0.4520726203918457,0.0,0.4520726203918457,0.0,0.3763478696346283,1.0,,,,,,,
18,,,1.3608500957489014,,,,,,,,,,,,1.0,0.0,,0.4011969268321991,0.0,0.4011969268321991,0.0,0.3675084114074707,1.0,,,,,,,
19,,,1.1486103534698486,,,,,,,,,,,,1.0,0.0,,0.3756117522716522,0.0,0.3756117522716522,0.0,0.3582969307899475,1.0,,,,,,,
20,,,1.2423139810562134,,,,,,,,,,,,1.0,0.0,,0.4622577130794525,0.0,0.4622577130794525,0.0,0.3503192365169525,1.0,,,,,,,
21,,,1.2983213663101196,,,,,,,,,,,,1.0,0.0,,0.39818060398101807,0.0,0.39818060398101807,0.0,0.3412895202636719,1.0,,,,,,,
22,,,1.4206548929214478,,,,,,,,,,,,1.0,0.0,,0.5023714900016785,0.0,0.5023714900016785,0.0,0.3338312804698944,1.0,,,,,,,
23,,,1.1824886798858643,,,,,,,,,,,,1.0,0.0,,0.2900763750076294,0.0,0.2900763750076294,0.0,0.32519787549972534,1.0,,,,,,,
24,,,1.086814284324646,,,,,,,,,,,,1.0,0.0,,0.4020562767982483,0.0,0.4020562767982483,0.0,0.3192135691642761,1.0,,,,,,,
25,,,1.1564593315124512,,,,,,,,,,,,1.0,0.0,,0.41398417949676514,0.0,0.41398417949676514,0.0,0.3117882013320923,1.0,,,,,,,
26,,,1.0282083749771118,,,,,,,,,,,,1.0,0.0,,0.40144583582878113,0.0,0.40144583582878113,0.0,0.3035237193107605,1.0,,,,,,,
27,,,1.2009154558181763,,,,,,,,,,,,1.0,0.0,,0.35546931624412537,0.0,0.35546931624412537,0.0,0.297049880027771,1.0,,,,,,,
28,,,1.2396384477615356,,,,,,,,,,,,1.0,0.0,,0.4376766085624695,0.0,0.4376766085624695,0.0,0.2904382646083832,1.0,,,,,,,
