step,epoch,final_spec_losses_weighted/2048_spectrogram_logmag_eps,in_domain_validation_losses/loss_total,in_domain_validation_losses/raw_params_loss,in_domain_validation_losses/raw_spec_loss,in_domain_validation_losses/weighted_params_loss,in_domain_validation_losses/weighted_spec_loss,in_domain_validation_metrics/lsd_value,in_domain_validation_metrics/mean_average_error,in_domain_validation_metrics/mfcc_mae,in_domain_validation_metrics/paper_lsd_value,in_domain_validation_metrics/pearson_fft,in_domain_validation_metrics/pearson_stft,in_domain_validation_metrics/spectral_convergence_value,loss/parameters_decay_factor,loss/spec_loss_rampup_factor,lr-Adam,normalized_losses/post_rampup_weighted_params_loss,normalized_losses/post_rampup_weighted_spec_loss,normalized_losses/running_avg_parameters_loss,normalized_losses/running_avg_spectrogram_loss,train_loss_epoch,train_loss_step,train_losses/loss_total,train_losses/raw_params_loss,train_losses/raw_spec_loss,train_losses/weighted_params_loss,train_losses/weighted_spec_loss
0,,,1.144546627998352,,,,,,,,,,,,0.0,1.0,,0.0,2.2260725498199463,1.8381712436676025,1.834252953529358,,,,,,,
1,,,1.1415820121765137,,,,,,,,,,,,0.0,1.0,,0.0,2.1415653228759766,1.837326169013977,1.834252953529358,,,,,,,
2,,,1.326456904411316,,,,,,,,,,,,0.0,1.0,,0.0,1.972639799118042,1.835636854171753,1.834252953529358,,,,,,,
3,,,1.0847065448760986,,,,,,,,,,,,0.0,1.0,,0.0,2.0070981979370117,1.8359814882278442,1.834252953529358,,,,,,,
4,,,1.1804087162017822,,,,,,,,,,,,0.0,1.0,,0.0,2.009338140487671,1.8360037803649902,1.834252953529358,,,,,,,
5,,,1.1202608346939087,,,,,,,,,,,,0.0,1.0,,0.0,1.9215025901794434,1.83512544631958,1.834252953529358,,,,,,,
6,,,1.113255500793457,,,,,,,,,,,,0.0,1.0,,0.0,1.9612411260604858,1.8355228900909424,1.834252953529358,,,,,,,
7,,,0.9743936061859131,,,,,,,,,,,,0.0,1.0,,0.0,2.021635055541992,1.8361268043518066,1.834252953529358,,,,,,,
8,,,1.1582969427108765,,,,,,,,,,,,0.0,1.0,,0.0,1.9698121547698975,1.8356086015701294,1.834252953529358,,,,,,,
9,,,0.877932071685791,,,,,,,,,,,,0.0,1.0,,0.0,2.012622117996216,1.8360366821289062,1.834252953529358,,,,,,,
10,,,0.7892954349517822,,,,,,,,,,,,0.0,1.0,,0.0,1.964735984802246,1.8355578184127808,1.834252953529358,,,,,,,
11,,,1.0891282558441162,,,,,,,,,,,,0.0,1.0,,0.0,1.870197057723999,1.8346123695373535,1.834252953529358,,,,,,,
12,,,1.1630882024765015,,,,,,,,,,,,0.0,1.0,,0.0,1.8243030309677124,1.8341535329818726,1.834252953529358,,,,,,,
13,,,0.9644894003868103,,,,,,,,,,,,0.0,1.0,,0.0,1.9379842281341553,1.8352903127670288,1.834252953529358,,,,,,,
14,,,1.1785799264907837,,,,,,,,,,,,0.0,1.0,,0.0,1.945037841796875,1.8353608846664429,1.834252953529358,,,,,,,
15,,,0.9898319840431213,,,,,,,,,,,,0.0,1.0,,0.0,1.9243580102920532,1.8351540565490723,1.834252953529358,,,,,,,
