step,epoch,final_spec_losses_weighted/1024_spectrogram_logmag_eps,final_spec_losses_weighted/128_spectrogram_logmag_eps,final_spec_losses_weighted/2048_spectrogram_logmag_eps,final_spec_losses_weighted/256_spectrogram_logmag_eps,final_spec_losses_weighted/512_spectrogram_logmag_eps,final_spec_losses_weighted/64_spectrogram_logmag_eps,in_domain_validation_losses/loss_total,in_domain_validation_losses/raw_params_loss,in_domain_validation_losses/raw_spec_loss,in_domain_validation_losses/weighted_params_loss,in_domain_validation_losses/weighted_spec_loss,in_domain_validation_metrics/lsd_value,in_domain_validation_metrics/mean_average_error,in_domain_validation_metrics/mfcc_mae,in_domain_validation_metrics/paper_lsd_value,in_domain_validation_metrics/pearson_fft,in_domain_validation_metrics/pearson_stft,in_domain_validation_metrics/spectral_convergence_value,loss/parameters_decay_factor,loss/spec_loss_rampup_factor,lr-Adam,normalized_losses/post_rampup_weighted_params_loss,normalized_losses/post_rampup_weighted_spec_loss,normalized_losses/running_avg_parameters_loss,normalized_losses/running_avg_spectrogram_loss,train_loss_epoch,train_loss_step,train_losses/loss_total,train_losses/raw_params_loss,train_losses/raw_spec_loss,train_losses/weighted_params_loss,train_losses/weighted_spec_loss
0,,,,,,,,16.091083526611328,,,,,,,,,,,,0.0,1.0,,0.0,17.135173797607422,14.472027778625488,14.445127487182617,,,,,,,
1,,,,,,,,15.00326156616211,,,,,,,,,,,,0.0,1.0,,0.0,16.511686325073242,14.46579360961914,14.445127487182617,,,,,,,
2,,,,,,,,13.877067565917969,,,,,,,,,,,,0.0,1.0,,0.0,15.362592697143555,14.454301834106445,14.445127487182617,,,,,,,
3,,,,,,,,15.275652885437012,,,,,,,,,,,,0.0,1.0,,0.0,15.358993530273438,14.454266548156738,14.445127487182617,,,,,,,
4,,,,,,,,13.599003791809082,,,,,,,,,,,,0.0,1.0,,0.0,15.487857818603516,14.455554962158203,14.445127487182617,,,,,,,
5,,,,,,,,18.198379516601562,,,,,,,,,,,,0.0,1.0,,0.0,14.710464477539062,14.44778060913086,14.445127487182617,,,,,,,
6,,,,,,,,13.60558032989502,,,,,,,,,,,,0.0,1.0,,0.0,14.637357711791992,14.447050094604492,14.445127487182617,,,,,,,
7,,,,,,,,14.78162670135498,,,,,,,,,,,,0.0,1.0,,0.0,15.043937683105469,14.451115608215332,14.445127487182617,,,,,,,
8,,,,,,,,14.907632827758789,,,,,,,,,,,,0.0,1.0,,0.0,14.836416244506836,14.449040412902832,14.445127487182617,,,,,,,
9,,,,,,,,13.715682983398438,,,,,,,,,,,,0.0,1.0,,0.0,15.020405769348145,14.45088005065918,14.445127487182617,,,,,,,
10,,,,,,,,14.620471954345703,,,,,,,,,,,,0.0,1.0,,0.0,14.214570999145508,14.442822456359863,14.445127487182617,,,,,,,
11,,,,,,,,16.940574645996094,,,,,,,,,,,,0.0,1.0,,0.0,13.551855087280273,14.436195373535156,14.445127487182617,,,,,,,
12,,,,,,,,18.804080963134766,,,,,,,,,,,,0.0,1.0,,0.0,13.138992309570312,14.432065963745117,14.445127487182617,,,,,,,
13,,,,,,,,12.349519729614258,,,,,,,,,,,,0.0,1.0,,0.0,14.48226261138916,14.445499420166016,14.445127487182617,,,,,,,
14,,,,,,,,17.269750595092773,,,,,,,,,,,,0.0,1.0,,0.0,14.18221664428711,14.442498207092285,14.445127487182617,,,,,,,
15,,,,,,,,12.74756145477295,,,,,,,,,,,,0.0,1.0,,0.0,12.818923950195312,14.428865432739258,14.445127487182617,,,,,,,
16,,,,,,,,14.086114883422852,,,,,,,,,,,,0.0,1.0,,0.0,13.61883544921875,14.436864852905273,14.445127487182617,,,,,,,
17,,,,,,,,12.786282539367676,,,,,,,,,,,,0.0,1.0,,0.0,12.884800910949707,14.429524421691895,14.445127487182617,,,,,,,
18,,,,,,,,11.366897583007812,,,,,,,,,,,,0.0,1.0,,0.0,12.652311325073242,14.427199363708496,14.445127487182617,,,,,,,
19,,,,,,,,13.092279434204102,,,,,,,,,,,,0.0,1.0,,0.0,11.812524795532227,14.418801307678223,14.445127487182617,,,,,,,
20,,,,,,,,11.673749923706055,,,,,,,,,,,,0.0,1.0,,0.0,12.278646469116211,14.423462867736816,14.445127487182617,,,,,,,
21,,,,,,,,15.953886985778809,,,,,,,,,,,,0.0,1.0,,0.0,14.546167373657227,14.446138381958008,14.445127487182617,,,,,,,
22,,,,,,,,11.639568328857422,,,,,,,,,,,,0.0,1.0,,0.0,11.732805252075195,14.418004035949707,14.445127487182617,,,,,,,
23,,,,,,,,12.914833068847656,,,,,,,,,,,,0.0,1.0,,0.0,14.02834415435791,14.440959930419922,14.445127487182617,,,,,,,
24,,,,,,,,12.949206352233887,,,,,,,,,,,,0.0,1.0,,0.0,13.264988899230957,14.43332576751709,14.445127487182617,,,,,,,
25,,,,,,,,11.955231666564941,,,,,,,,,,,,0.0,1.0,,0.0,13.673827171325684,14.437414169311523,14.445127487182617,,,,,,,
26,,,,,,,,12.714947700500488,,,,,,,,,,,,0.0,1.0,,0.0,12.563536643981934,14.426311492919922,14.445127487182617,,,,,,,
27,,,,,,,,15.58421516418457,,,,,,,,,,,,0.0,1.0,,0.0,11.23865032196045,14.413063049316406,14.445127487182617,,,,,,,
28,,,,,,,,16.77968978881836,,,,,,,,,,,,0.0,1.0,,0.0,13.268491744995117,14.433361053466797,14.445127487182617,,,,,,,
29,,,,,,,,10.107012748718262,,,,,,,,,,,,0.0,1.0,,0.0,10.530157089233398,14.405978202819824,14.445127487182617,,,,,,,
30,,,,,,,,15.047445297241211,,,,,,,,,,,,0.0,1.0,,0.0,11.016193389892578,14.41083812713623,14.445127487182617,,,,,,,
31,,,,,,,,11.37127685546875,,,,,,,,,,,,0.0,1.0,,0.0,13.054485321044922,14.431221008300781,14.445127487182617,,,,,,,
32,,,,,,,,13.9951810836792,,,,,,,,,,,,0.0,1.0,,0.0,12.45821475982666,14.42525863647461,14.445127487182617,,,,,,,
