step,epoch,final_spec_losses_weighted/2048_spectrogram_mag,in_domain_validation_losses/loss_total,in_domain_validation_losses/raw_params_loss,in_domain_validation_losses/raw_spec_loss,in_domain_validation_losses/weighted_params_loss,in_domain_validation_losses/weighted_spec_loss,in_domain_validation_metrics/lsd_value,in_domain_validation_metrics/mean_average_error,in_domain_validation_metrics/mfcc_mae,in_domain_validation_metrics/paper_lsd_value,in_domain_validation_metrics/pearson_fft,in_domain_validation_metrics/pearson_stft,in_domain_validation_metrics/spectral_convergence_value,loss/parameters_decay_factor,loss/spec_loss_rampup_factor,lr-Adam,normalized_losses/post_rampup_weighted_params_loss,normalized_losses/post_rampup_weighted_spec_loss,normalized_losses/running_avg_parameters_loss,normalized_losses/running_avg_spectrogram_loss,train_loss_epoch,train_loss_step,train_losses/loss_total,train_losses/raw_params_loss,train_losses/raw_spec_loss,train_losses/weighted_params_loss,train_losses/weighted_spec_loss
0,,,0.13389909267425537,,,,,,,,,,,,1.0,0.0,,0.5348931550979614,0.0,0.47730016708374023,1.0,,,,,,,
1,,,0.11958633363246918,,,,,,,,,,,,1.0,0.0,,0.5403372049331665,0.0,0.47887006402015686,1.0,,,,,,,
2,,,0.11060278117656708,,,,,,,,,,,,1.0,0.0,,0.520689845085144,0.0,0.4792790710926056,1.0,,,,,,,
3,,,0.13719847798347473,,,,,,,,,,,,1.0,0.0,,0.4340677857398987,0.0,0.47870156168937683,1.0,,,,,,,
4,,,0.12138073146343231,,,,,,,,,,,,1.0,0.0,,0.4759513735771179,0.0,0.47734177112579346,1.0,,,,,,,
5,,,0.17111122608184814,,,,,,,,,,,,1.0,0.0,,0.41092365980148315,0.0,0.47535017132759094,1.0,,,,,,,
6,,,0.0996837466955185,,,,,,,,,,,,1.0,0.0,,0.38012465834617615,0.0,0.4719282388687134,1.0,,,,,,,
7,,,0.14112573862075806,,,,,,,,,,,,1.0,0.0,,0.39065003395080566,0.0,0.4677715003490448,1.0,,,,,,,
8,,,0.11092954128980637,,,,,,,,,,,,1.0,0.0,,0.35177984833717346,0.0,0.4629034996032715,1.0,,,,,,,
9,,,0.13519972562789917,,,,,,,,,,,,1.0,0.0,,0.32626670598983765,0.0,0.4581127166748047,1.0,,,,,,,
10,,,0.10273024439811707,,,,,,,,,,,,1.0,0.0,,0.3214688003063202,0.0,0.4524814486503601,1.0,,,,,,,
11,,,0.16454485058784485,,,,,,,,,,,,1.0,0.0,,0.29419928789138794,0.0,0.4471703767776489,1.0,,,,,,,
12,,,0.1634867787361145,,,,,,,,,,,,1.0,0.0,,0.2630053162574768,0.0,0.4408971667289734,1.0,,,,,,,
13,,,0.10074128210544586,,,,,,,,,,,,1.0,0.0,,0.30079466104507446,0.0,0.4346623718738556,1.0,,,,,,,
14,,,0.15797603130340576,,,,,,,,,,,,1.0,0.0,,0.26628178358078003,0.0,0.42773911356925964,1.0,,,,,,,
15,,,0.08031396567821503,,,,,,,,,,,,1.0,0.0,,0.23895137012004852,0.0,0.4211534857749939,1.0,,,,,,,
16,,,0.08616568893194199,,,,,,,,,,,,1.0,0.0,,0.2545839548110962,0.0,0.41424480080604553,1.0,,,,,,,
17,,,0.08232668042182922,,,,,,,,,,,,1.0,0.0,,0.21604353189468384,0.0,0.40714365243911743,1.0,,,,,,,
18,,,0.0746808797121048,,,,,,,,,,,,1.0,0.0,,0.2077319622039795,0.0,0.39947617053985596,1.0,,,,,,,
19,,,0.07130616903305054,,,,,,,,,,,,1.0,0.0,,0.21642376482486725,0.0,0.3925568759441376,1.0,,,,,,,
20,,,0.09421122074127197,,,,,,,,,,,,1.0,0.0,,0.18527373671531677,0.0,0.384570837020874,1.0,,,,,,,
21,,,0.10287874191999435,,,,,,,,,,,,1.0,0.0,,0.19639576971530914,0.0,0.376758873462677,1.0,,,,,,,
22,,,0.09773020446300507,,,,,,,,,,,,1.0,0.0,,0.22629237174987793,0.0,0.36937183141708374,1.0,,,,,,,
23,,,0.07969096302986145,,,,,,,,,,,,1.0,0.0,,0.16756364703178406,0.0,0.3620971143245697,1.0,,,,,,,
24,,,0.07884049415588379,,,,,,,,,,,,1.0,0.0,,0.20089936256408691,0.0,0.35544613003730774,1.0,,,,,,,
25,,,0.08105425536632538,,,,,,,,,,,,1.0,0.0,,0.18683964014053345,0.0,0.3481913208961487,1.0,,,,,,,
26,,,0.07331515103578568,,,,,,,,,,,,1.0,0.0,,0.1903686821460724,0.0,0.34188055992126465,1.0,,,,,,,
27,,,0.0990336537361145,,,,,,,,,,,,1.0,0.0,,0.13902240991592407,0.0,0.33449962735176086,1.0,,,,,,,
28,,,0.0992247462272644,,,,,,,,,,,,1.0,0.0,,0.18045781552791595,0.0,0.328579306602478,1.0,,,,,,,
29,,,0.06124520301818848,,,,,,,,,,,,1.0,0.0,,0.14177940785884857,0.0,0.32223984599113464,1.0,,,,,,,
