loss,monotonicity,fdc_7d_total,fdc_6d_total,fdc_7d_global,fdc_6d_global,metamodel_r2,metamodel_slope,autocorr_length,entropy,skewness,kurtosis,conv_rate,geomean_nmse,n_stage2,fdc_7d_q0,fdc_6d_q0,fdc_7d_q1,fdc_6d_q1,fdc_7d_q2,fdc_6d_q2,fdc_7d_q3,fdc_6d_q3,fdc_7d_q4,fdc_6d_q4
si_sdr,0.7424242424242424,0.120708027927007,0.10911917052979261,0.03404216901355633,0.02501571259820374,0.013310887998713467,6.0348940373867475,9.5,1.1495305859311515,1.1651336849106841,2.18708502222171,0.06,0.08110887574094768,50,0.0896089663060394,0.04003103144394652,0.011603322520765753,0.014120432002700016,0.006600041250257814,0.022656704104400648,0.01002587516171976,0.02247407796298727,0.052372639828998924,0.02579631747698423
sot_lin,0.7272727272727273,0.29478396919599226,0.41538166204416793,0.08019336995856223,0.11585380533628334,0.07136939985315832,0.00015846572603764498,25.75,1.2173989084806751,3.152233218605061,17.05619240927127,0.92,3.5240160968541765e-07,50,0.17362308514428215,0.2067756360977256,0.05165263532897081,0.051104288151800945,0.014146119663247895,0.0886972418577616,0.031515665722910764,0.08268370427315169,0.13002934393339957,0.15000815630097686
sot,0.7045454545454546,0.2793173235793309,0.3978803104700776,0.07905596909980686,0.10943087769298558,0.0637488782116177,0.0001433885041246537,26.25,1.2367605451122579,3.2076944040209185,17.786358512245037,0.66,0.0006941446486879429,50,0.17327620797629983,0.17662976018600116,0.04469671685448033,0.05372696079350496,0.012682485515534471,0.09196060600378751,0.037112388202426266,0.08048187801173758,0.12751204695029345,0.14435518346989668
l1_stft_masked,0.6893939393939394,0.29296408924102224,0.33540233166471745,0.09325640785254907,0.11061806011287571,0.0929164356553902,0.5894446098530323,29.5,1.1415970133096847,1.5090270010073468,2.1221178481010643,0.98,4.009845563864959e-09,50,0.16661447884049274,0.1826822980143626,0.04394118088238051,0.056780511128194544,0.07794404965031032,0.07063562897268107,0.033711491946824663,0.0675968912305702,0.14407083794273712,0.17539497121857012
l1_stft,0.6893939393939394,0.2929617942957853,0.33540527916296203,0.09325083906774416,0.11062132263326645,0.09291456257552938,0.2947378755250063,29.5,1.1415970133096847,1.5091045075087144,2.122439030756588,1.0,4.862971912477189e-14,50,0.16659600997506233,0.18268426677666733,0.04394118088238051,0.056780511128194544,0.07791536197101231,0.07065128532053325,0.03372667954174713,0.06759557872236702,0.14407496296851854,0.17539497121857012
esr,0.6767676767676768,0.1176147751763731,0.03458019339504834,0.0067119794498715635,0.003632460202876267,0.017715567955703004,0.3556867000056856,21.0,1.1120294003824762,0.5583368284242152,0.2882225709556667,0.84,1.1442027518919782e-05,50,0.09207320045750286,0.045727598297489354,0.017112669454184087,0.003785742410890068,0.01117460109125682,0.015037687735548345,-0.01853364708529428,-0.002104231901449384,-0.06826692666829168,-0.044284495528097045
complexstft,0.6590909090909091,0.23128135732033933,0.20824142281035568,0.06951388446177789,0.05362319764498528,0.06502566848906996,0.3529114950827889,27.0,1.1044593944329626,0.5301905356286034,0.33772467734262546,0.76,1.3301855452620228e-07,50,0.11141010256314102,0.04038268989181182,0.031102975643597767,0.02685879286745542,0.05649175932349576,0.026048319051994073,0.020028875180469873,0.03451399696248102,0.128535709598185,0.14031218945118407
l1_stft_512,0.6363636363636365,0.2372074268018567,0.2626484314121078,0.07065073234940723,0.08665047906549415,0.06603035703839126,0.10080312502528582,22.5,1.104150344786216,0.9953557002645292,1.71925686052519,0.92,5.889956925130311e-12,50,0.12995340595878724,0.13072581703635647,0.0219735435846474,0.022628110175688596,0.051969043556522224,0.06953209082556766,0.03153990103603171,0.06005625035156469,0.11781776761104755,0.15031012693829338
smoothmss,0.6338383838383839,0.23492120348030088,0.2909492902373225,0.06703264395402471,0.10017636360227251,0.05845683157940107,1255.3077609493048,24.75,1.1144489047894248,1.881771779659044,5.145524353980952,0.86,7.91976940680711e-11,50,0.14221401383758647,0.1539862749142182,0.031299195619972624,0.060457221607635045,0.028530084563028517,0.044932968331052064,0.04146841542759642,0.0680772692329327,0.09165151032193952,0.17342808392552453
mel_linear,0.6313131313131314,0.29475128943782236,0.34854001888500474,0.08026830490192358,0.09980850505315655,0.07826472530599674,0.13359388061455382,27.5,1.143541135508578,1.478672120411722,1.8793017159751182,0.8958333333333334,5.225058678601667e-07,48,0.13588041175257343,0.1418216676354227,0.048681585509909434,0.05643813398833743,0.05959190369939811,0.060513003206270025,0.03219915486980776,0.07252460952880954,0.12498846867792923,0.16774511090694316
