feature,conv_rate_pearson_r,conv_rate_pearson_p,conv_rate_spearman_rho,conv_rate_spearman_p,geomean_nmse_pearson_r,geomean_nmse_pearson_p,geomean_nmse_spearman_rho,geomean_nmse_spearman_p
monotonicity,0.6000275567985796,0.0031564921532068625,0.6419892881328276,0.0012772359397418404,-0.5237798024607075,0.012352182500248053,-0.5627119542136677,0.006404225606213413
fdc_7d_q0,0.752950235011677,5.2569043119431756e-05,0.7737927447788474,2.3935836971120117e-05,-0.6534291535778355,0.0009750589826462983,-0.7447769621682666,7.012307345222715e-05
fdc_6d_q0,0.6580203264799467,0.0008722263001882454,0.7065800903053561,0.00023709688058304518,-0.5700206036197429,0.005611393881956886,-0.6826651609260306,0.0004640172344893777
fdc_7d_q4,0.3326752966055788,0.13033748324345545,0.5941824580345602,0.003546151020131564,-0.35094127992531654,0.10929025376601902,-0.5369847543760589,0.009969419900431731
fdc_6d_q4,0.4385642490733617,0.04117724571958431,0.6141242937853107,0.0023619691791193042,-0.5166207212231634,0.013826687227947578,-0.682857976961771,0.00046162475908055156
fdc_7d_total,0.6549720209773102,0.0009394069820532302,0.691894972521232,0.00036073958911897556,-0.5339457439550789,0.010481228443247463,-0.6092603049124788,0.0026144624895228564
fdc_6d_total,0.49322928318776194,0.01967226108562614,0.5004236291051524,0.01769475344352743,-0.41082389339643777,0.057526376260462427,-0.47826086956521746,0.024357000698180233
fdc_7d_global,0.5327094971372811,0.01069549828848309,0.6755154180697089,0.0005605830321530363,-0.5009303033812753,0.01756177619907232,-0.6453980801806889,0.0011798501721029494
fdc_6d_global,0.49772869827855076,0.01841577523951641,0.5744140302482391,0.0051753627948330485,-0.486318311180083,0.021735732409714055,-0.5866741953698477,0.004105106680637815
metamodel_r2,0.7397468928462644,8.329267499686656e-05,0.7749223692237799,2.288352634411988e-05,-0.6465120217602554,0.0011494283189363661,-0.7244494635798985,0.0001374235023569973
metamodel_slope,0.23257084507756576,0.2976215241494103,-0.03727760668277658,0.8691817282132765,-0.4177629435127755,0.05303531364604844,-0.07622811970638058,0.7359946162262682
autocorr_length,0.8580418567766511,3.294724861762554e-07,0.8581120647493422,3.2794680164581726e-07,-0.7423028051568102,7.635475322497127e-05,-0.8301783146679291,1.7505316383686815e-06
entropy,0.36624174298861945,0.0936636478974564,0.3480225988700565,0.11247486970634116,-0.20934851209651284,0.34977134010050065,-0.26489693233670025,0.2335042695216823
skewness,0.028150556670300676,0.9010344865140183,0.03840723112770921,0.8652520144355561,0.06564544742027986,0.7716292416415031,0.014116318464144554,0.9502846499817856
kurtosis,0.06447172110988635,0.7756104610559913,0.0378424189052429,0.8672164928132984,0.10176443622460846,0.652257291515625,0.016374929418407683,0.9423421025261127
