loss,monotonicity,conv_rate,geomean_nmse,n_stage2
sot_lin,0.7171717171717171,0.92,3.5240160968541765e-07,50
sot,0.6868686868686869,0.66,0.0006941446486879429,50
l1_stft_sc,0.6691919191919191,0.98,1.0134731452736596e-13,50
l1_stft_2048,0.6616161616161615,0.96,1.7683879123841338e-13,50
l1_stft_sc_multi,0.6590909090909091,1.0,3.1948768726044485e-14,50
l1_stft,0.6590909090909091,1.0,4.862971912477189e-14,50
l1_stft_multi,0.6565656565656566,1.0,4.778239293619033e-14,50
l1_stft_8192,0.6515151515151516,0.96,9.220695898406987e-14,50
l1_stft_1024,0.6363636363636364,0.88,3.730000652968372e-12,50
l1_stft_512,0.6186868686868687,0.92,5.889956925130311e-12,50
smoothmss,0.6060606060606061,0.86,7.91976940680711e-11,50
smoothmss_resmatch,0.5909090909090908,0.74,1.1618985656272556e-09,50
l1_stft_c2,0.5707070707070707,0.4,0.0008886780625259799,50
mss,0.5303030303030303,0.68,0.00026875901013552575,50
l1_stft_log_sc,0.5277777777777778,0.48,0.006969303021207643,50
l1_stft_pow,0.5252525252525253,0.34,0.00941095401762798,50
l1_stft_log,0.5151515151515151,0.0,0.13109903051964425,50
l1_stft_log_multi,0.5151515151515151,0.02,0.12599161148987648,50
