filename,target_npz,runtime,best_loss,optimizer,loss_name,num_particles,max_iter,w,c1,c2,gt_loss,nmse,mu,gt_mu,mu_abs_error,mu_rel_error,est_mu,est_D_div_mu,gt_D_div_mu,est_T0_div_mu,gt_T0_div_mu,est_Ly,gt_Ly,est_op_x,gt_op_x,est_op_y,gt_op_y
random_IR_0001.npz,random_IR_0001.npz,16.697,0.0,PSO_MU_ONLY,L1_STFT,5,300,0.2,2.0,1.0,0.0,0.0,48.93048279,48.93048279,0.0,0.0,48.93048279,13.78047401,13.78047401,12.31885144,12.31885144,2.69155916,2.69155916,0.82648812,0.82648812,0.72441773,0.72441773
random_IR_0002.npz,random_IR_0002.npz,19.965,0.0,PSO_MU_ONLY,L1_STFT,5,300,0.2,2.0,1.0,0.0,0.0,84.05551912,84.05551912,0.0,0.0,84.05551912,17.89719226,17.89719226,4.56183828,4.56183828,3.6861417,3.6861417,0.78834183,0.78834183,0.96354235,0.96354235
random_IR_0003.npz,random_IR_0003.npz,23.452,0.0,PSO_MU_ONLY,L1_STFT,5,300,0.2,2.0,1.0,0.0,0.0,24.38557781,24.38557781,0.0,0.0,24.38557781,1.663153,1.663153,0.8295147,0.8295147,1.30600457,1.30600457,0.93630595,0.93630595,0.98952299,0.98952299
random_IR_0004.npz,random_IR_0004.npz,15.802,2e-08,PSO_MU_ONLY,L1_STFT,5,300,0.2,2.0,1.0,0.0,0.02342511,52.12836462,13.24364535,38.88471927,2.93610394,52.12836462,25.5122249,25.5122249,58.93629364,58.93629364,3.41755984,3.41755984,0.58024311,0.58024311,0.97288777,0.97288777
random_IR_0005.npz,random_IR_0005.npz,26.734,0.0,PSO_MU_ONLY,L1_STFT,5,300,0.2,2.0,1.0,0.0,0.0,45.15870974,45.15870974,0.0,0.0,45.15870974,5.05994605,5.05994605,5.85851474,5.85851474,2.61336013,2.61336013,0.78853263,0.78853263,0.519207,0.519207
random_IR_0006.npz,random_IR_0006.npz,22.319,0.0,PSO_MU_ONLY,L1_STFT,5,300,0.2,2.0,1.0,0.0,0.0,69.5623793,69.5623793,0.0,0.0,69.5623793,8.97684595,8.97684595,8.8688431,8.8688431,2.89114294,2.89114294,0.68615887,0.68615887,0.72414566,0.72414566
random_IR_0007.npz,random_IR_0007.npz,74.54,6e-08,PSO_MU_ONLY,L1_STFT,5,300,0.2,2.0,1.0,0.0,0.00518807,36.96024341,18.66067258,18.29957083,0.98064905,36.96024341,0.90280505,0.90280505,35.73129773,35.73129773,3.12313047,3.12313047,0.57317389,0.57317389,0.66455989,0.66455989
random_IR_0008.npz,random_IR_0008.npz,25.681,0.0,PSO_MU_ONLY,L1_STFT,5,300,0.2,2.0,1.0,0.0,0.0,68.93402206,68.93402206,0.0,0.0,68.93402206,3.76179941,3.76179941,6.36270907,6.36270907,2.15476124,2.15476124,0.61234961,0.61234961,0.58904166,0.58904166
random_IR_0009.npz,random_IR_0009.npz,31.7,0.0,PSO_MU_ONLY,L1_STFT,5,300,0.2,2.0,1.0,0.0,0.0,14.14289894,14.14289894,0.0,0.0,14.14289894,4.68301045,4.68301045,32.9717487,32.9717487,2.99401414,2.99401414,0.56408382,0.56408382,0.8316015,0.8316015
random_IR_0010.npz,random_IR_0010.npz,30.225,0.0,PSO_MU_ONLY,L1_STFT,5,300,0.2,2.0,1.0,0.0,0.0,31.91219094,31.91219094,0.0,0.0,31.91219094,1.29965677,1.29965677,11.55456497,11.55456497,1.50073056,1.50073056,0.920593,0.920593,0.55708822,0.55708822
