filename,mu_orig,mu_refined,mu_gt,mu_orig_err,mu_refined_err,loss_orig,loss_refined,loss_delta,nmse_orig,nmse_refined,nmse_delta,nmse_summary_orig,sanity_ok,sanity_grid_min_mu,elapsed_s
random_IR_0001.npz,55.598084613421975,48.923070891531125,48.93051491463106,6.667569698790913,-0.007444023099935748,2.620714090184606e-09,8.284556200777171e-12,-2.612429533983829e-09,0.0006887467879466862,2.0076019219874084e-09,-0.0006887447803447642,0.00068875,True,51.560526315789474,1.704
random_IR_0002.npz,62.336972159527875,84.06074136221432,84.05550107518667,-21.718528915658794,0.005240287027646673,1.8553968361700868e-09,1.6814729946953988e-12,-1.8537153631753914e-09,0.007307764919543467,8.306830942611118e-10,-0.007307764088860373,0.00730778,True,84.3142105263158,1.986
random_IR_0003.npz,12.549703053009283,24.39459701168449,24.385628465422474,-11.835925412413191,0.008968546262014598,5.402721114933229e-08,2.267286532131596e-11,-5.400453828401097e-08,0.0021703420454031413,1.3021458606501456e-09,-0.0021703407432572806,0.00217033,True,24.26578947368421,2.264
random_IR_0004.npz,16.44109856537587,13.24147088707522,13.243657216507133,3.197441348868738,-0.002186329431912881,6.48495879218558e-09,7.301508356261088e-12,-6.477657283829319e-09,0.00015839081640422502,4.716267347020393e-10,-0.0001583903447774903,0.00015839,True,13.347894736842106,1.573
random_IR_0005.npz,61.02500788594243,45.163000092152,45.15874779017976,15.86626009576267,0.004252301972236694,1.149039530190521e-08,2.2227825483001062e-11,-1.1468167476422209e-08,0.0039000745787310946,6.359905951176647e-10,-0.0039000739427404994,0.00390007,True,46.101578947368424,2.542
random_IR_0006.npz,79.58776374517585,69.54966349911183,69.56232098096227,10.02544276421358,-0.012657481850439467,2.5595061625693916e-09,1.5117081197946192e-11,-2.5443890813714454e-09,0.0015571607157686977,1.1737979694440657e-08,-0.0015571489777890034,0.00155715,True,67.93736842105264,2.16
random_IR_0007.npz,22.37861039942901,18.660513922723766,18.660644209290737,3.7179661901382737,-0.00013028656697144925,1.8635628151741912e-08,2.868939807942894e-11,-1.8606938753662483e-08,0.00021415825073333846,1.0142153508538884e-10,-0.00021415814931180336,0.00021415,True,18.806842105263158,6.719
random_IR_0008.npz,41.09478444117906,68.92947761243639,68.93408337831565,-27.83929893713659,-0.0046057658792619804,3.472529996884077e-08,1.8349538902229234e-11,-3.4706950429938543e-08,0.012007161507674538,1.1581540381361683e-09,-0.0120071603495205,0.01200706,True,67.93736842105264,2.442
random_IR_0009.npz,29.261927250758966,14.143625761703213,14.142924158137225,15.11900309262174,0.0007016035659876962,5.3865917948314745e-08,7.901981846636374e-11,-5.378689812984838e-08,0.0035413609239624117,1.1959328770564555e-09,-0.0035413597280295347,0.00354135,True,13.347894736842106,2.975
random_IR_0010.npz,26.864091067945925,31.905110313608105,31.912200821954016,-5.048109754008092,-0.007090508345910962,2.710810065309488e-08,6.960649417964149e-11,-2.7038494158915238e-08,0.0003948042157516176,1.2069178753842175e-09,-0.0003948030088337422,0.00039481,True,29.724736842105266,2.856
random_IR_0011.npz,39.23120096353814,39.67250630183981,39.67262990392027,-0.4414289403821243,-0.00012360208045691934,2.2525913079274318e-10,9.911187322242387e-12,-2.153479434705008e-10,3.0196468934760605e-06,7.706892284056872e-10,-3.0188762042476547e-06,3.02e-06,True,40.64263157894737,2.751
random_IR_0012.npz,56.865646275973,18.36640636263938,18.3679634862929,38.4976827896801,-0.0015571236535194544,1.3844683621755394e-07,1.3285689215436491e-10,-1.3831397932539957e-07,0.022961115158677894,3.4147951283334787e-09,-0.022961111743882767,0.02296108,True,18.806842105263158,1.352
random_IR_0013.npz,16.522308253570408,8.645549268469967,8.650473987955126,7.871834265615282,-0.004924719485158491,2.4390574893118355e-08,1.359436695158589e-11,-2.437698052616677e-08,0.0009600110865289,1.7713295924370943e-09,-0.0009600093151993076,0.00096002,True,7.888947368421054,1.703
random_IR_0014.npz,16.32670694244464,12.020003726113373,12.020259812459079,4.306447129985562,-0.00025608634570595257,3.4139912230557456e-08,7.869414148098386e-11,-3.406121808907647e-08,0.00028731939183519305,1.96293329465112e-09,-0.0002873174289018984,0.00028732,True,13.347894736842106,4.023
random_IR_0015.npz,8.75581752255535,7.648826811009604,7.647115391057067,1.1087021314982834,0.0017114199525369855,6.758282822261208e-09,2.3968670798124592e-11,-6.734314151463083e-09,1.9050729807192407e-05,6.980159639546128e-09,-1.904374964755286e-05,1.905e-05,True,7.888947368421054,4.876
random_IR_0016.npz,38.738723904397595,22.318295406433933,22.31053811707744,16.428185787320157,0.0077572893564941126,1.325887488690114e-08,3.129112247091115e-11,-1.3227583764430229e-08,0.004181257190026246,3.883784671774581e-08,-0.004181218352179528,0.00418124,True,24.26578947368421,1.199
random_IR_0017.npz,26.413844390330524,21.64221280575898,21.64416328516282,4.769681105167706,-0.001950479403838301,6.449096812133348e-09,2.889733938249428e-11,-6.420199472750854e-09,0.0003524713654337304,1.7443082192613548e-08,-0.0003524539223515378,0.00035248,True,24.26578947368421,2.346
random_IR_0018.npz,63.58632572613884,79.59456245472808,79.59786455769945,-16.011538831560614,-0.0033021029713751204,3.2731886090431317e-09,5.285443957503411e-12,-3.2679031650856283e-09,0.003971823987405031,1.2209359932001885e-09,-0.003971822766469038,0.00397181,True,78.85526315789475,2.112
random_IR_0019.npz,25.940340624717876,17.395596434649754,17.39327562603003,8.547064998687848,0.0023208086197250566,1.0607781320004506e-07,1.9903347026062335e-10,-1.0587877972978443e-07,0.0011317710645589183,2.27127850364582e-09,-0.0011317687932804147,0.00113177,True,18.806842105263158,1.01
random_IR_0020.npz,71.97281430663682,43.388097754798295,43.383740320998626,28.589073985638194,0.004357433799668797,1.6754892584458503e-08,1.4211997897972672e-11,-1.674068058656053e-08,0.012662630302069385,7.8520373102967e-10,-0.012662629516865653,0.01266265,True,46.101578947368424,1.364
random_IR_0021.npz,75.77067245135143,47.42666813802765,47.42425245326487,28.34641999808656,0.0024156847627807565,7.095612097884896e-09,6.269353959587054e-12,-7.089342743925309e-09,0.012448590308433975,2.5103004956405604e-10,-0.012448590057403926,0.01244861,True,46.101578947368424,3.394
random_IR_0022.npz,17.34759129177418,20.20941637172627,20.209088499193662,-2.8614972074194824,0.00032787253260835314,3.6730753993907683e-09,1.2862297164850656e-11,-3.6602131022259177e-09,0.00012686564766739586,9.832460611325166e-09,-0.00012685581520678453,0.00012686,True,18.806842105263158,1.286
random_IR_0023.npz,63.43016614756861,57.66099741144985,57.66337421990898,5.766791927659632,-0.0023768084591324623,4.1203507272769e-09,1.6259682836250455e-11,-4.10409104444065e-09,0.0005152206915451904,1.2727490955731348e-09,-0.0005152194187960948,0.00051522,True,57.01947368421053,0.951
random_IR_0024.npz,79.50693275940799,80.74989693021774,80.7575684522111,-1.2506356928031153,-0.007671521993358965,3.374313051196509e-10,1.4634307654581846e-11,-3.2279699746506907e-10,2.4237238673147234e-05,6.36741274880101e-09,-2.4230871260398432e-05,2.424e-05,True,78.85526315789475,1.588
random_IR_0025.npz,10.828916541427207,5.821295475267268,5.8211151569690855,5.007801384458121,0.0001803182981827689,7.625116182907732e-08,6.11741352019024e-11,-7.618998769387542e-08,0.00038852530568990896,1.2400860174083801e-09,-0.0003885240656038915,0.00038852,True,7.888947368421054,2.625
