filename,est_E,est_rho,est_h,est_Ly,est_T0,est_op_x,est_op_y,gt_E,gt_rho,gt_h,gt_Ly,gt_T0,gt_op_x,gt_op_y,est_mu,est_D_div_mu,est_T0_div_mu,refined_mu,refined_D_div_mu,refined_T0_div_mu,refined_Ly,refined_op_x,refined_op_y,gt_mu,gt_D_div_mu,gt_T0_div_mu,mu_orig,mu_refined,mu_gt,mu_orig_err,mu_refined_err,loss_orig,loss_refined,loss_delta,nmse_orig,nmse_refined,nmse_delta,nmse_summary_orig,sanity_ok,sanity_grid_min_mu,elapsed_s
random_IR_0001.npz,100451008009.77316,13714.59065113,0.00460069,2.69155906,777.27871728,0.8264879,0.72441772,131819184298.85242,12673.80384034166,0.0038607574654896,2.691559161389242,602.7673484378831,0.8264881154026615,0.7244177335187193,63.09658006274728,13.780496630006148,12.3188723779803,48.930494325729995,13.780496630006148,12.3188723779803,2.69155906,0.8264879,0.72441772,48.93048279274982,13.78047400625313,12.31885144054203,63.09658006274728,48.930494325729995,48.93048279274982,14.166097269997458,1.1532980174422391e-05,4.902615202695415e-09,5.335661925308377e-13,-4.902081636502884e-09,0.0031090247006203696,3.714370164711201e-14,-0.0031090247005832257,0.003109,True,51.560526315789474,0.475
random_IR_0002.npz,96821933667.30144,7979.81343168,0.0040736,3.68614178,148.2896346,0.78834189,0.96354232,147920922722.1944,17314.430715954095,0.0048546510420041,3.686141702268032,383.44768441058943,0.7883418349360268,0.963542352763404,32.50656799529165,17.897206773541452,4.561836076373203,84.05548472082529,17.897206773541452,4.561836076373203,3.68614178,0.78834189,0.96354232,84.05551911691434,17.897192258481063,4.561838275928618,32.50656799529165,84.05548472082529,84.05551911691434,-51.54895112162269,-3.43960890489825e-05,8.444142274299793e-09,1.1051740983957989e-13,-8.444031756889953e-09,0.04116834415576293,2.2173419581094035e-14,-0.041168344155740756,0.04116837,True,84.3142105263158,0.551
random_IR_0003.npz,129857610935.23616,13961.50763107,0.00141832,1.30600467,16.42716281,0.93630593,0.98952311,186057982895.32712,18083.253096301232,0.0013485171988061,1.3060045687738722,20.22819525635132,0.9363059526409414,0.9895229876940544,19.801885503299204,1.663148475998581,0.8295756890051232,24.38534061857419,1.663148475998581,0.8295756890051232,1.30600467,0.93630593,0.98952311,24.385577810725874,1.6631530041768487,0.8295146997687317,19.801885503299204,24.38534061857419,24.385577810725874,-4.58369230742667,-0.00023719215168327423,1.3250780028783993e-08,3.912830996710692e-12,-1.3246867197787282e-08,0.00032550273869935475,8.863023175450367e-13,-0.00032550273781305244,0.0003255,True,24.26578947368421,0.624
random_IR_0004.npz,67004890092.943,2482.05100801,0.00326064,3.41755971,476.97760814,0.58024312,0.9728878,164907916263.11115,4653.5592063359445,0.0028459174490117,3.4175598362284982,780.5313709946926,0.5802431108304328,0.972887769354296,8.093074798757726,25.51226270723043,58.9365130065541,13.243618426777235,25.51226270723043,58.9365130065541,3.41755971,0.58024312,0.9728878,13.243645345320504,25.51222490269219,58.93629364444471,8.093074798757726,13.243618426777235,13.243645345320504,-5.150570546562777,-2.6918543268195094e-05,2.1212615664012446e-08,9.66357636272841e-13,-2.1211649306376174e-08,0.00041099298905351156,6.551036677964226e-14,-0.0004109929889880012,0.00041099,True,13.347894736842106,0.449
random_IR_0005.npz,131872979096.58092,21217.64599716,0.00302636,2.61336014,376.18713578,0.78853263,0.51920695,136791000829.13193,16985.593361363273,0.002658647759962,2.613360133075208,264.5629665485059,0.7885326349456379,0.519207002213814,64.21223513996514,5.059962193906736,5.858496203410685,45.15870469435191,5.059962193906736,5.858496203410685,2.61336014,0.78853263,0.51920695,45.15870974181389,5.059946047841708,5.858514737491241,64.21223513996514,45.15870469435191,45.15870974181389,19.05352539815126,-5.047461975493661e-06,1.311611352861064e-08,1.2283579101796116e-12,-1.311488517070046e-08,0.005624376951944327,3.719593394599541e-15,-0.0056243769519406074,0.00562432,True,46.101578947368424,0.698
random_IR_0006.npz,106751966920.72363,19818.52610434,0.00432998,2.89114307,761.06998472,0.6861589,0.72414565,171318505762.83295,20172.463876074933,0.0034483828908896,2.891142941520044,616.9378275347882,0.6861588712811552,0.7241456573616774,85.8138216612701,8.976846333530954,8.868850844612712,69.56236655794982,8.976846333530954,8.868850844612712,2.89114307,0.6861589,0.72414565,69.5623792973453,8.976845948324273,8.868843098331634,85.8138216612701,69.56236655794982,69.5623792973453,16.251442363924795,-1.2739395486960348e-05,3.840529227971956e-09,2.0475586287246883e-13,-3.840324472109084e-09,0.004091735549588257,3.5112627134702142e-15,-0.004091735549584746,0.00409173,True,67.93736842105264,0.601
random_IR_0007.npz,102050610536.46622,19867.96442649,0.00140618,3.12313033,998.26096133,0.5731739,0.66455985,99188531844.29764,15037.991948821396,0.001240901886517,3.123130468189068,666.7700477785132,0.5731738858508781,0.6645598919528501,27.937934217241708,0.9027999878141694,35.731380622763794,18.66068552576875,0.9027999878141694,35.731380622763794,3.12313033,0.5731739,0.66455985,18.66067257871993,0.9028050531466348,35.73129773140534,27.937934217241708,18.66068552576875,18.66067257871993,9.277261638521779,1.2947048819711426e-05,3.7245392547902156e-08,4.5375764777533245e-12,-3.72408549714244e-08,0.0013334088799558993,1.1204130848767563e-14,-0.0013334088799446951,0.00133343,True,18.806842105263158,1.789
random_IR_0008.npz,97006534452.50128,19455.46990529,0.00291336,2.1547611,360.64372723,0.61234964,0.5890416,82612856044.4483,21011.42815551345,0.0032807870816715,2.1547612357336057,438.60712744718575,0.612349610486469,0.5890416637636482,56.68078780327567,3.7617943414273967,6.362715502150411,68.9340781671765,3.7617943414273967,6.362715502150411,2.1547611,0.61234964,0.5890416,68.93402206007737,3.761799410073101,6.362709070782652,56.68078780327567,68.9340781671765,68.93402206007737,-12.253234256801697,5.610709912673428e-05,1.108402880589665e-08,5.173094483161556e-13,-1.1083511496448335e-08,0.0023260829943977184,5.270958408974088e-14,-0.002326082994345009,0.00232607,True,67.93736842105264,0.675
random_IR_0009.npz,107946056409.15482,10045.50523175,0.00221422,2.99401419,733.39063112,0.56408386,0.83160146,91322346297.76453,7025.201129630132,0.0020131664101591,2.994014143849656,466.3161097485777,0.5640838191705095,0.831601498837984,22.242958594245483,4.682998435774586,32.971811191957926,14.142905632811757,4.682998435774586,32.971811191957926,2.99401419,0.56408386,0.83160146,14.142898938783146,4.683010453498064,32.971748703501625,22.242958594245483,14.142905632811757,14.142898938783146,8.100059655462337,6.694028611420322e-06,3.796541037104362e-08,2.372017729804221e-12,-3.796303835331381e-08,0.0010164831134118317,7.37993958509338e-15,-0.0010164831134044517,0.00101649,True,13.347894736842106,0.814
random_IR_0010.npz,93060442795.60677,18319.5430295,0.00169654,1.5007305,359.11423351,0.92059288,0.55708824,81856495196.33838,17864.672721141178,0.0017863294467202,1.50073055891098,368.7314834092575,0.920593004674414,0.5570882198680419,31.07983753126793,1.2996492581420687,11.55457241849197,31.91228386811955,1.2996492581420687,11.55457241849197,1.5007305,0.92059288,0.55708824,31.91219093779357,1.2996567710331561,11.55456496634862,31.07983753126793,31.91228386811955,31.91219093779357,-0.832353406525641,9.293032598023387e-05,3.868538822615619e-09,7.050892855686719e-12,-3.8614879297599325e-09,1.0733447995966291e-05,1.4522219763926732e-13,-1.0733447850744093e-05,1.073e-05,True,29.724736842105266,0.779
random_IR_0011.npz,98986576138.4998,11483.20849252,0.00353696,3.93173232,999.98029748,0.52920192,0.64857538,180107327647.94016,13801.095771206865,0.0028746048065908,3.931732448538848,976.7613205794552,0.5292020182046171,0.6485754116624407,40.61564910970354,9.585633649439067,24.62056668795411,39.67272375729961,9.585633649439067,24.62056668795411,3.93173232,0.52920192,0.64857538,39.672696240131216,9.585650388125048,24.62049250868422,40.61564910970354,39.67272375729961,39.672696240131216,0.9429528695723235,2.751716839100027e-05,4.635009598352724e-10,3.544764308471837e-13,-4.631464834044252e-10,1.3775383772838476e-05,2.6021012063063743e-14,-1.3775383746817464e-05,1.378e-05,True,40.64263157894737,0.752
