testId,uuid,trial_id,trial_type,stimulus,score,comment,time
snare14,691d499b-ac61-4368-bfe4-794191592993,emt_140_bright_2,mushra,reference,100,,378677
snare14,691d499b-ac61-4368-bfe4-794191592993,emt_140_bright_2,mushra,L1_STFT,74,,378677
snare14,691d499b-ac61-4368-bfe4-794191592993,emt_140_bright_2,mushra,anchor35,9,,378677
snare14,691d499b-ac61-4368-bfe4-794191592993,emt_140_bright_2,mushra,L1_STFT_hyb1e2,61,,378677
snare14,691d499b-ac61-4368-bfe4-794191592993,emt_140_bright_2,mushra,L1_STFT_eps1e2,42,,378677
snare14,691d499b-ac61-4368-bfe4-794191592993,emt_140_bright_3,mushra,L1_STFT_eps1e2,54,,191910
snare14,691d499b-ac61-4368-bfe4-794191592993,emt_140_bright_3,mushra,reference,100,,191910
snare14,691d499b-ac61-4368-bfe4-794191592993,emt_140_bright_3,mushra,anchor35,10,,191910
snare14,691d499b-ac61-4368-bfe4-794191592993,emt_140_bright_3,mushra,L1_STFT_hyb1e2,66,,191910
snare14,691d499b-ac61-4368-bfe4-794191592993,emt_140_bright_3,mushra,L1_STFT,66,,191910
snare14,691d499b-ac61-4368-bfe4-794191592993,emt_140_bright_4,mushra,L1_STFT_hyb1e2,75,,167603
snare14,691d499b-ac61-4368-bfe4-794191592993,emt_140_bright_4,mushra,anchor35,8,,167603
snare14,691d499b-ac61-4368-bfe4-794191592993,emt_140_bright_4,mushra,L1_STFT_eps1e2,40,,167603
snare14,691d499b-ac61-4368-bfe4-794191592993,emt_140_bright_4,mushra,reference,100,,167603
snare14,691d499b-ac61-4368-bfe4-794191592993,emt_140_bright_4,mushra,L1_STFT,66,,167603
snare14,691d499b-ac61-4368-bfe4-794191592993,emt_140_dark_2,mushra,anchor35,10,,205418
snare14,691d499b-ac61-4368-bfe4-794191592993,emt_140_dark_2,mushra,L1_STFT_hyb1e2,64,,205418
snare14,691d499b-ac61-4368-bfe4-794191592993,emt_140_dark_2,mushra,reference,100,,205418
snare14,691d499b-ac61-4368-bfe4-794191592993,emt_140_dark_2,mushra,L1_STFT_eps1e2,34,,205418
snare14,691d499b-ac61-4368-bfe4-794191592993,emt_140_dark_2,mushra,L1_STFT,49,,205418
snare14,691d499b-ac61-4368-bfe4-794191592993,emt_140_dark_3,mushra,reference,100,,162881
snare14,691d499b-ac61-4368-bfe4-794191592993,emt_140_dark_3,mushra,L1_STFT_hyb1e2,55,,162881
snare14,691d499b-ac61-4368-bfe4-794191592993,emt_140_dark_3,mushra,anchor35,62,,162881
snare14,691d499b-ac61-4368-bfe4-794191592993,emt_140_dark_3,mushra,L1_STFT_eps1e2,32,,162881
snare14,691d499b-ac61-4368-bfe4-794191592993,emt_140_dark_3,mushra,L1_STFT,82,,162881
snare14,691d499b-ac61-4368-bfe4-794191592993,emt_140_dark_4,mushra,anchor35,76,,136856
snare14,691d499b-ac61-4368-bfe4-794191592993,emt_140_dark_4,mushra,L1_STFT_hyb1e2,48,,136856
snare14,691d499b-ac61-4368-bfe4-794191592993,emt_140_dark_4,mushra,L1_STFT,68,,136856
snare14,691d499b-ac61-4368-bfe4-794191592993,emt_140_dark_4,mushra,reference,100,,136856
snare14,691d499b-ac61-4368-bfe4-794191592993,emt_140_dark_4,mushra,L1_STFT_eps1e2,26,,136856
snare14,691d499b-ac61-4368-bfe4-794191592993,emt_140_medium_2,mushra,L1_STFT,78,,174520
snare14,691d499b-ac61-4368-bfe4-794191592993,emt_140_medium_2,mushra,reference,100,,174520
snare14,691d499b-ac61-4368-bfe4-794191592993,emt_140_medium_2,mushra,L1_STFT_eps1e2,45,,174520
snare14,691d499b-ac61-4368-bfe4-794191592993,emt_140_medium_2,mushra,anchor35,10,,174520
snare14,691d499b-ac61-4368-bfe4-794191592993,emt_140_medium_2,mushra,L1_STFT_hyb1e2,62,,174520
snare14,691d499b-ac61-4368-bfe4-794191592993,emt_140_medium_3,mushra,L1_STFT_hyb1e2,66,,97816
snare14,691d499b-ac61-4368-bfe4-794191592993,emt_140_medium_3,mushra,L1_STFT,81,,97816
snare14,691d499b-ac61-4368-bfe4-794191592993,emt_140_medium_3,mushra,reference,100,,97816
snare14,691d499b-ac61-4368-bfe4-794191592993,emt_140_medium_3,mushra,L1_STFT_eps1e2,49,,97816
